MiniDOT Logger Concatenated Data File
Sensor:             7450-249209
Concatenation Date: 2023Aug21 15:10:37 EDT

DO concentration compensated for salinity: 0.3 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1692181260,           2023-08-16 10:21:00,           2023-08-16 06:21:00,      3.540000,     21.465000,          8.816590,                    99.975487,      0.956000
                1692181560,           2023-08-16 10:26:00,           2023-08-16 06:26:00,      3.540000,     21.423000,          8.823573,                    99.973133,      0.956000
                1692181860,           2023-08-16 10:31:00,           2023-08-16 06:31:00,      3.540000,     21.390000,          8.821573,                    99.886429,      0.956000
                1692182160,           2023-08-16 10:36:00,           2023-08-16 06:36:00,      3.540000,     21.340000,          8.836541,                    99.958732,      0.955000
                1692182460,           2023-08-16 10:41:00,           2023-08-16 06:41:00,      3.540000,     21.340000,          8.835543,                    99.947440,      0.954000
                1692182760,           2023-08-16 10:46:00,           2023-08-16 06:46:00,      3.540000,     21.382000,          8.828560,                    99.950005,      0.956000
                1692183060,           2023-08-16 10:51:00,           2023-08-16 06:51:00,      3.540000,     21.432000,          8.823574,                    99.990616,      0.958000
                1692183360,           2023-08-16 10:56:00,           2023-08-16 06:56:00,      3.540000,     21.540000,          8.820592,                   100.166448,      0.956000
                1692183660,           2023-08-16 11:01:00,           2023-08-16 07:01:00,      3.540000,     21.607000,          8.812613,                   100.205821,      0.956000
                1692183960,           2023-08-16 11:06:00,           2023-08-16 07:06:00,      3.530000,     21.716000,          8.795655,                   100.224114,      0.955000
                1692184260,           2023-08-16 11:11:00,           2023-08-16 07:11:00,      3.530000,     21.791000,          8.785681,                   100.255615,      0.955000
                1692184560,           2023-08-16 11:16:00,           2023-08-16 07:16:00,      3.530000,     21.967000,          8.763739,                   100.345173,      0.957000
                1692184860,           2023-08-16 11:21:00,           2023-08-16 07:21:00,      3.530000,     22.150000,          8.723830,                   100.240304,      0.956000
                1692185160,           2023-08-16 11:26:00,           2023-08-16 07:26:00,      3.540000,     22.334000,          8.699892,                   100.318559,      0.957000
                1692185460,           2023-08-16 11:31:00,           2023-08-16 07:31:00,      3.540000,     22.476000,          8.678944,                   100.349192,      0.957000
                1692185760,           2023-08-16 11:36:00,           2023-08-16 07:36:00,      3.540000,     22.552000,          8.670966,                   100.402554,      0.957000
                1692186060,           2023-08-16 11:41:00,           2023-08-16 07:41:00,      3.530000,     23.120000,          8.572199,                   100.336101,      0.961000
                1692186360,           2023-08-16 11:46:00,           2023-08-16 07:46:00,      3.530000,     23.857000,          8.464463,                   100.458817,      0.962000
                1692186660,           2023-08-16 11:51:00,           2023-08-16 07:51:00,      3.530000,     24.360000,          8.394635,                   100.569060,      0.960000
                1692186960,           2023-08-16 11:56:00,           2023-08-16 07:56:00,      3.530000,     24.721000,          8.333776,                   100.510172,      0.960000
                1692187260,           2023-08-16 12:01:00,           2023-08-16 08:01:00,      3.530000,     26.499000,          3.218575,                    40.098561,      0.958000
                1692187560,           2023-08-16 12:06:00,           2023-08-16 08:06:00,      3.530000,     26.956000,          3.201621,                    40.216393,      0.957000
                1692187860,           2023-08-16 12:11:00,           2023-08-16 08:11:00,      3.530000,     27.024000,          3.058863,                    38.470012,      0.958000
                1692188160,           2023-08-16 12:16:00,           2023-08-16 08:16:00,      3.530000,     26.973000,          2.791311,                    35.073065,      0.957000
                1692188460,           2023-08-16 12:21:00,           2023-08-16 08:21:00,      3.530000,     26.947000,          2.675504,                    33.602288,      0.957000
                1692188760,           2023-08-16 12:26:00,           2023-08-16 08:26:00,      3.530000,     26.930000,          2.632576,                    33.053066,      0.956000
                1692189060,           2023-08-16 12:31:00,           2023-08-16 08:31:00,      3.530000,     26.888000,          2.580662,                    32.376867,      0.957000
                1692189360,           2023-08-16 12:36:00,           2023-08-16 08:36:00,      3.530000,     26.888000,          2.584655,                    32.426967,      0.957000
                1692189660,           2023-08-16 12:41:00,           2023-08-16 08:41:00,      3.530000,     26.837000,          2.606617,                    32.672580,      0.957000
                1692189960,           2023-08-16 12:46:00,           2023-08-16 08:46:00,      3.530000,     26.829000,          2.608613,                    32.692908,      0.957000
                1692190260,           2023-08-16 12:51:00,           2023-08-16 08:51:00,      3.530000,     26.837000,          2.712439,                    33.999004,      0.957000
                1692190560,           2023-08-16 12:56:00,           2023-08-16 08:56:00,      3.530000,     26.888000,          2.837231,                    35.595767,      0.957000
                1692190860,           2023-08-16 13:01:00,           2023-08-16 09:01:00,      3.530000,     26.888000,          2.969009,                    37.249054,      0.957000
                1692191160,           2023-08-16 13:06:00,           2023-08-16 09:06:00,      3.530000,     26.914000,          3.089807,                    38.782660,      0.957000
                1692191460,           2023-08-16 13:11:00,           2023-08-16 09:11:00,      3.530000,     26.947000,          3.189641,                    40.059444,      0.957000
                1692191760,           2023-08-16 13:16:00,           2023-08-16 09:16:00,      3.530000,     26.930000,          3.244548,                    40.736618,      0.957000
                1692192060,           2023-08-16 13:21:00,           2023-08-16 09:21:00,      3.530000,     26.939000,          3.250538,                    40.818414,      0.957000
                1692192360,           2023-08-16 13:26:00,           2023-08-16 09:26:00,      3.530000,     26.964000,          3.332401,                    41.865164,      0.957000
                1692192660,           2023-08-16 13:31:00,           2023-08-16 09:31:00,      3.530000,     26.956000,          3.440220,                    43.213499,      0.957000
                1692192960,           2023-08-16 13:36:00,           2023-08-16 09:36:00,      3.530000,     26.998000,          3.596958,                    45.216346,      0.957000
                1692193260,           2023-08-16 13:41:00,           2023-08-16 09:41:00,      3.530000,     27.083000,          3.716761,                    46.793501,      0.957000
                1692193560,           2023-08-16 13:46:00,           2023-08-16 09:46:00,      3.530000,     27.134000,          3.880488,                    48.899393,      0.957000
                1692193860,           2023-08-16 13:51:00,           2023-08-16 09:51:00,      3.530000,     27.219000,          4.105115,                    51.808634,      0.957000
                1692194160,           2023-08-16 13:56:00,           2023-08-16 09:56:00,      3.530000,     27.295000,          4.245883,                    53.657942,      0.957000
                1692194460,           2023-08-16 14:01:00,           2023-08-16 10:01:00,      3.520000,     27.380000,          4.365687,                    55.255666,      0.957000
                1692194760,           2023-08-16 14:06:00,           2023-08-16 10:06:00,      3.520000,     27.448000,          4.539399,                    57.523954,      0.957000
                1692195060,           2023-08-16 14:11:00,           2023-08-16 10:11:00,      3.530000,     27.525000,          4.762031,                    60.427928,      0.957000
                1692195360,           2023-08-16 14:16:00,           2023-08-16 10:16:00,      3.530000,     27.576000,          4.931749,                    62.638363,      0.957000
                1692195660,           2023-08-16 14:21:00,           2023-08-16 10:21:00,      3.530000,     27.618000,          5.118440,                    65.058066,      0.958000
                1692195960,           2023-08-16 14:26:00,           2023-08-16 10:26:00,      3.530000,     27.644000,          5.302134,                    67.424052,      0.958000
                1692196260,           2023-08-16 14:31:00,           2023-08-16 10:31:00,      3.530000,     27.678000,          5.516777,                    70.195908,      0.958000
                1692196560,           2023-08-16 14:36:00,           2023-08-16 10:36:00,      3.530000,     27.695000,          5.643566,                    71.830857,      0.957000
                1692196860,           2023-08-16 14:41:00,           2023-08-16 10:41:00,      3.530000,     27.712000,          5.949057,                    75.741963,      0.958000
                1692197160,           2023-08-16 14:46:00,           2023-08-16 10:46:00,      3.530000,     27.772000,          6.257546,                    79.754406,      0.958000
                1692197460,           2023-08-16 14:51:00,           2023-08-16 10:51:00,      3.530000,     27.806000,          6.478179,                    82.616237,      0.958000
                1692197760,           2023-08-16 14:56:00,           2023-08-16 10:56:00,      3.530000,     27.874000,          6.590996,                    84.156310,      0.959000
                1692198060,           2023-08-16 15:01:00,           2023-08-16 11:01:00,      3.530000,     27.882000,          6.643908,                    84.843931,      0.959000
