datetime,ph
8/16/23 7:00,3.84
8/16/23 7:05,3.84
8/16/23 7:10,3.84
8/16/23 7:15,3.84
8/16/23 7:20,3.84
8/16/23 7:25,3.84
8/16/23 7:30,3.84
8/16/23 7:35,3.84
8/16/23 7:40,3.84
8/16/23 7:45,3.85
8/16/23 7:50,3.85
8/16/23 7:55,3.85
8/16/23 8:00,3.85
8/16/23 8:05,3.85
8/16/23 8:10,3.85
8/16/23 8:15,3.85
8/16/23 8:20,3.85
8/16/23 8:25,3.85
8/16/23 8:30,3.85
8/16/23 8:35,3.86
8/16/23 8:40,3.86
8/16/23 8:45,3.86
8/16/23 8:50,3.86
8/16/23 8:55,3.86
8/16/23 9:00,3.86
8/16/23 9:05,3.86
8/16/23 9:10,3.86
8/16/23 9:15,3.86
8/16/23 9:20,3.86
8/16/23 9:25,3.86
8/16/23 9:30,3.87
8/16/23 9:35,3.86
8/16/23 9:40,3.87
8/16/23 9:45,3.86
8/16/23 9:50,3.86
8/16/23 9:55,3.86
8/16/23 10:00,3.86
8/16/23 10:05,3.86
8/16/23 10:10,3.86
8/16/23 10:15,3.86
8/16/23 10:20,3.86
8/16/23 10:25,8.12
8/16/23 10:30,8.14
8/16/23 10:35,8.15
8/16/23 10:40,8.15
8/16/23 10:45,8.15
8/16/23 10:50,8.15
8/16/23 10:55,8.15
8/16/23 11:00,8.15
8/16/23 11:05,8.14
8/16/23 11:10,8.14
8/16/23 11:15,8.14
8/16/23 11:20,8.14
8/16/23 11:25,8.14
8/16/23 11:30,8.13
8/16/23 11:35,8.13
8/16/23 11:40,8.13
8/16/23 11:45,8.12
8/16/23 11:50,8.12
8/16/23 11:55,8.12
8/16/23 12:00,8.12
8/16/23 12:05,8.12
8/16/23 12:10,8.12
8/16/23 12:15,8.11
8/16/23 12:20,8.11
8/16/23 12:25,8.11
8/16/23 12:30,8.11
8/16/23 12:35,8.1
8/16/23 12:40,8.09
8/16/23 12:45,8.09
8/16/23 12:50,8.09
8/16/23 12:55,8.09
8/16/23 13:00,8.09
8/16/23 13:05,8.09
8/16/23 13:10,8.08
8/16/23 13:15,8.08
8/16/23 13:20,8.08
8/16/23 13:25,8.07
8/16/23 13:30,7.69
8/16/23 13:35,7.32
8/16/23 13:40,7.1
8/16/23 13:45,7.06
8/16/23 13:50,7.04
8/16/23 13:55,7.04
8/16/23 14:00,7.04
8/16/23 14:05,6.99
8/16/23 14:10,7.06
8/16/23 14:15,7.07
8/16/23 14:20,7.01
8/16/23 14:25,6.97
8/16/23 14:30,6.95
8/16/23 14:35,6.94
8/16/23 14:40,6.92
8/16/23 14:45,6.94
8/16/23 14:50,6.96
8/16/23 14:55,6.96
8/16/23 15:00,6.96
8/16/23 15:05,6.96
8/16/23 15:10,6.96
8/16/23 15:15,6.96
8/16/23 15:20,6.96
8/16/23 15:25,6.95
8/16/23 15:30,6.95
8/16/23 15:35,6.95
8/16/23 15:40,6.95
8/16/23 15:45,6.95
8/16/23 15:50,6.94
8/16/23 15:55,6.94
8/16/23 16:00,6.94
8/16/23 16:05,6.94
8/16/23 16:10,6.94
8/16/23 16:15,6.94
8/16/23 16:20,6.94
8/16/23 16:25,6.94
8/16/23 16:30,6.94
8/16/23 16:35,6.92
8/16/23 16:40,6.91
8/16/23 16:45,6.91
8/16/23 16:50,6.9
8/16/23 16:55,6.91
8/16/23 17:00,3.67
8/16/23 17:05,3.66
8/16/23 17:10,3.66
8/16/23 17:15,3.66
8/16/23 17:20,3.66
8/16/23 17:25,3.66
8/16/23 17:30,3.66
8/16/23 17:35,3.66
8/16/23 17:40,3.66
8/16/23 17:45,3.66
8/16/23 17:50,3.67
8/16/23 17:55,3.66
8/16/23 18:00,3.67
8/16/23 18:05,3.67
8/16/23 18:10,3.67
8/16/23 18:15,3.67
8/16/23 18:20,3.67
8/16/23 18:25,3.67
8/16/23 18:30,3.67
8/16/23 18:35,3.67
8/16/23 18:40,3.67
8/16/23 18:45,3.67
8/16/23 18:50,3.67
8/16/23 18:55,3.67
8/16/23 19:00,3.67
8/16/23 19:05,3.67
8/16/23 19:10,3.67
8/16/23 19:15,3.67
8/16/23 19:20,3.67
8/16/23 19:25,3.67
8/16/23 19:30,3.67
8/16/23 19:35,3.67
8/16/23 19:40,3.67
8/16/23 19:45,3.67
8/16/23 19:50,3.67
8/16/23 19:55,3.67
8/16/23 20:00,3.67
8/16/23 20:05,3.67
8/16/23 20:10,3.67
8/16/23 20:15,3.67
8/16/23 20:20,3.67
8/16/23 20:25,3.67
8/16/23 20:30,3.67
8/16/23 20:35,3.67
8/16/23 20:40,3.67
8/16/23 20:45,3.67
8/16/23 20:50,3.67
8/16/23 20:55,3.67
