MiniDOT Logger Concatenated Data File
Sensor:             7450-458163
Concatenation Date: 2023Oct26 17:37:26 EDT

DO concentration compensated for salinity: 1.3 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1697019600,           2023-10-11 10:20:00,           2023-10-11 06:20:00,      3.540000,     20.423000,          8.946503,                    99.986497,      0.936000
                1697019900,           2023-10-11 10:25:00,           2023-10-11 06:25:00,      3.540000,     20.490000,          8.947530,                   100.129838,      0.937000
                1697020200,           2023-10-11 10:30:00,           2023-10-11 06:30:00,      3.540000,     20.456000,          8.954459,                   100.140410,      0.936000
                1697020500,           2023-10-11 10:35:00,           2023-10-11 06:35:00,      3.540000,     20.381000,          8.978238,                   100.258244,      0.936000
                1697020800,           2023-10-11 10:40:00,           2023-10-11 06:40:00,      3.550000,     20.222000,          9.007928,                   100.274925,      0.936000
                1697021100,           2023-10-11 10:45:00,           2023-10-11 06:45:00,      3.540000,     19.987000,          9.050478,                   100.281391,      0.936000
                1697021400,           2023-10-11 10:50:00,           2023-10-11 06:50:00,      3.540000,     19.753000,          9.102950,                   100.395322,      0.936000
                1697021700,           2023-10-11 10:55:00,           2023-10-11 06:55:00,      3.540000,     19.543000,          9.131617,                   100.290998,      0.936000
                1697022000,           2023-10-11 11:00:00,           2023-10-11 07:00:00,      3.550000,     19.316000,          9.188059,                   100.453945,      0.937000
                1697022300,           2023-10-11 11:05:00,           2023-10-11 07:05:00,      3.550000,     19.140000,          9.207810,                   100.315126,      0.936000
                1697022600,           2023-10-11 11:10:00,           2023-10-11 07:10:00,      3.540000,     18.837000,          9.265199,                   100.326368,      0.937000
                1697022900,           2023-10-11 11:15:00,           2023-10-11 07:15:00,      3.550000,     18.475000,          9.339421,                   100.391616,      0.937000
                1697023200,           2023-10-11 11:20:00,           2023-10-11 07:20:00,      3.550000,     17.986000,          9.424482,                   100.301042,      0.937000
                1697023500,           2023-10-11 11:25:00,           2023-10-11 07:25:00,      3.540000,     17.505000,          9.508547,                   100.200361,      0.937000
                1697023800,           2023-10-11 11:30:00,           2023-10-11 07:30:00,      3.550000,     17.022000,          9.603518,                   100.193646,      0.937000
                1697024100,           2023-10-11 11:35:00,           2023-10-11 07:35:00,      3.540000,     16.588000,          9.674697,                   100.025966,      0.937000
                1697024400,           2023-10-11 11:40:00,           2023-10-11 07:40:00,      3.550000,     16.102000,          9.777588,                   100.061501,      0.936000
                1697024700,           2023-10-11 11:45:00,           2023-10-11 07:45:00,      3.550000,     15.640000,          9.872547,                   100.048301,      0.937000
                1697025000,           2023-10-11 11:50:00,           2023-10-11 07:50:00,      3.550000,     15.262000,          9.988385,                   100.408311,      0.938000
                1697025300,           2023-10-11 11:55:00,           2023-10-11 07:55:00,      3.550000,     15.064000,         10.029927,                   100.398339,      0.938000
                1697025600,           2023-10-11 12:00:00,           2023-10-11 08:00:00,      3.550000,     14.961000,          9.998114,                    99.858331,      0.937000
                1697025900,           2023-10-11 12:05:00,           2023-10-11 08:05:00,      3.550000,     14.823000,         10.038701,                    99.965787,      0.938000
                1697026200,           2023-10-11 12:10:00,           2023-10-11 08:10:00,      3.550000,     14.762000,         10.045606,                    99.902831,      0.937000
                1697026500,           2023-10-11 12:15:00,           2023-10-11 08:15:00,      3.550000,     14.702000,         10.100130,                   100.314846,      0.937000
                1697026800,           2023-10-11 12:20:00,           2023-10-11 08:20:00,      3.540000,     14.641000,         10.115963,                   100.339534,      0.937000
                1697027100,           2023-10-11 12:25:00,           2023-10-11 08:25:00,      3.540000,     15.760000,          9.864685,                   100.224077,      0.936000
                1697027400,           2023-10-11 12:30:00,           2023-10-11 08:30:00,      3.550000,     16.068000,          9.822213,                   100.446004,      0.937000
                1697027700,           2023-10-11 12:35:00,           2023-10-11 08:35:00,      3.550000,     16.025000,          9.792422,                   100.050353,      0.936000
                1697028000,           2023-10-11 12:40:00,           2023-10-11 08:40:00,      3.550000,     15.786000,          9.824024,                    99.866103,      0.935000
                1697028300,           2023-10-11 12:45:00,           2023-10-11 08:45:00,      3.550000,     16.281000,          9.741979,                   100.074187,      0.936000
                1697028600,           2023-10-11 12:50:00,           2023-10-11 08:50:00,      3.540000,     17.344000,          9.514407,                    99.929176,      0.936000
                1697028900,           2023-10-11 12:55:00,           2023-10-11 08:55:00,      3.540000,     19.157000,          9.184996,                   100.100745,      0.936000
                1697029200,           2023-10-11 13:00:00,           2023-10-11 09:00:00,      3.540000,     20.456000,          8.976292,                   100.384574,      0.936000
                1697029500,           2023-10-11 13:05:00,           2023-10-11 09:05:00,      3.530000,     22.171000,          8.699261,                   100.579105,      0.936000
                1697029800,           2023-10-11 13:10:00,           2023-10-11 09:10:00,      3.540000,     21.837000,          8.763610,                   100.675367,      0.936000
                1697030100,           2023-10-11 13:15:00,           2023-10-11 09:15:00,      3.540000,     21.184000,          8.885359,                   100.792504,      0.936000
                1697030400,           2023-10-11 13:20:00,           2023-10-11 09:20:00,      3.540000,     20.691000,          8.961527,                   100.682892,      0.936000
                1697030700,           2023-10-11 13:25:00,           2023-10-11 09:25:00,      3.540000,     20.071000,          9.069377,                   100.658096,      0.935000
                1697031000,           2023-10-11 13:30:00,           2023-10-11 09:30:00,      3.540000,     19.660000,          9.155496,                   100.788097,      0.936000
                1697031300,           2023-10-11 13:35:00,           2023-10-11 09:35:00,      3.540000,     19.325000,          9.203941,                   100.645728,      0.936000
                1697031600,           2023-10-11 13:40:00,           2023-10-11 09:40:00,      3.540000,     19.064000,          9.239523,                   100.506981,      0.935000
                1697031900,           2023-10-11 13:45:00,           2023-10-11 09:45:00,      3.540000,     19.022000,          9.249423,                   100.529695,      0.935000
                1697032200,           2023-10-11 13:50:00,           2023-10-11 09:50:00,      3.540000,     19.190000,          9.233638,                   100.697550,      0.936000
                1697032500,           2023-10-11 13:55:00,           2023-10-11 09:55:00,      3.540000,     19.375000,          9.199006,                   100.692503,      0.936000
                1697032800,           2023-10-11 14:00:00,           2023-10-11 10:00:00,      3.540000,     19.929000,          9.093119,                   100.638086,      0.935000
                1697033100,           2023-10-11 14:05:00,           2023-10-11 10:05:00,      3.540000,     20.331000,          9.036764,                   100.812438,      0.935000
                1697033400,           2023-10-11 14:10:00,           2023-10-11 10:10:00,      3.540000,     20.724000,          8.963528,                   100.770510,      0.935000
                1697033700,           2023-10-11 14:15:00,           2023-10-11 10:15:00,      3.530000,     21.109000,          8.905171,                   100.869929,      0.935000
                1697034000,           2023-10-11 14:20:00,           2023-10-11 10:20:00,      3.540000,     21.703000,          8.815153,                   101.006327,      0.935000
                1697034300,           2023-10-11 14:25:00,           2023-10-11 10:25:00,      3.540000,     22.380000,          8.711272,                   101.121298,      0.935000
                1697034600,           2023-10-11 14:30:00,           2023-10-11 10:30:00,      3.530000,     22.782000,          8.665808,                   101.366208,      0.936000
                1697034900,           2023-10-11 14:35:00,           2023-10-11 10:35:00,      3.540000,     22.765000,          8.664807,                   101.321808,      0.936000
                1697035200,           2023-10-11 14:40:00,           2023-10-11 10:40:00,      3.540000,     22.782000,          8.657867,                   101.273328,      0.936000
                1697035500,           2023-10-11 14:45:00,           2023-10-11 10:45:00,      3.530000,     23.050000,          8.641121,                   101.591759,      0.937000
                1697035800,           2023-10-11 14:50:00,           2023-10-11 10:50:00,      3.540000,     23.493000,          8.598648,                   101.939597,      0.937000
                1697036100,           2023-10-11 14:55:00,           2023-10-11 10:55:00,      3.530000,     24.072000,          8.516530,                   102.065003,      0.936000
                1697036400,           2023-10-11 15:00:00,           2023-10-11 11:00:00,      3.530000,     24.315000,          8.468002,                   101.942783,      0.936000
                1697036700,           2023-10-11 15:05:00,           2023-10-11 11:05:00,      3.530000,     24.432000,          8.443239,                   101.865359,      0.936000
                1697037000,           2023-10-11 15:10:00,           2023-10-11 11:10:00,      3.530000,     24.424000,          8.454154,                   101.981936,      0.937000
                1697037300,           2023-10-11 15:15:00,           2023-10-11 11:15:00,      3.530000,     24.432000,          8.443239,                   101.865359,      0.936000
                1697037600,           2023-10-11 15:20:00,           2023-10-11 11:20:00,      3.530000,     24.659000,          8.417532,                   101.982380,      0.937000
                1697037900,           2023-10-11 15:25:00,           2023-10-11 11:25:00,      3.530000,     25.104000,          8.346258,                   101.950332,      0.937000
                1697038200,           2023-10-11 15:30:00,           2023-10-11 11:30:00,      3.530000,     25.668000,          8.269073,                   102.053821,      0.936000
                1697038500,           2023-10-11 15:35:00,           2023-10-11 11:35:00,      3.530000,     25.980000,          8.232476,                   102.179487,      0.937000
                1697038800,           2023-10-11 15:40:00,           2023-10-11 11:40:00,      3.530000,     26.192000,          8.200799,                   102.177544,      0.936000
                1697039100,           2023-10-11 15:45:00,           2023-10-11 11:45:00,      3.530000,     26.538000,          8.164213,                   102.358145,      0.937000
                1697039400,           2023-10-11 15:50:00,           2023-10-11 11:50:00,      3.530000,     26.911000,          8.117708,                   102.458397,      0.937000
                1697039700,           2023-10-11 15:55:00,           2023-10-11 11:55:00,      3.530000,     27.089000,          8.100904,                   102.572115,      0.937000
                1697040000,           2023-10-11 16:00:00,           2023-10-11 12:00:00,      3.530000,     27.199000,          8.073152,                   102.421505,      0.937000
                1697040300,           2023-10-11 16:05:00,           2023-10-11 12:05:00,      3.530000,     27.360000,          8.059318,                   102.539563,      0.937000
                1697040600,           2023-10-11 16:10:00,           2023-10-11 12:10:00,      3.530000,     27.547000,          8.026632,                   102.463550,      0.936000
                1697040900,           2023-10-11 16:15:00,           2023-10-11 12:15:00,      3.530000,     27.743000,          8.018768,                   102.719352,      0.937000
                1697041200,           2023-10-11 16:20:00,           2023-10-11 12:20:00,      3.530000,     27.973000,          7.970212,                   102.513226,      0.936000
                1697041500,           2023-10-11 16:25:00,           2023-10-11 12:25:00,      3.530000,     22.180000,          5.392254,                    62.354905,      0.933000
                1697041800,           2023-10-11 16:30:00,           2023-10-11 12:30:00,      3.540000,     20.825000,          3.077509,                    34.666679,      0.929000
                1697042100,           2023-10-11 16:35:00,           2023-10-11 12:35:00,      3.540000,     20.523000,          0.323525,                     3.622845,      0.925000
                1697042400,           2023-10-11 16:40:00,           2023-10-11 12:40:00,      3.540000,     20.381000,          0.117103,                     1.307668,      0.923000
                1697042700,           2023-10-11 16:45:00,           2023-10-11 12:45:00,      3.540000,     20.322000,          0.093285,                     1.040488,      0.923000
                1697043000,           2023-10-11 16:50:00,           2023-10-11 12:50:00,      3.540000,     20.306000,          0.090308,                     1.006962,      0.923000
                1697043300,           2023-10-11 16:55:00,           2023-10-11 12:55:00,      3.540000,     20.272000,          0.091300,                     1.017343,      0.923000
                1697043600,           2023-10-11 17:00:00,           2023-10-11 13:00:00,      3.540000,     20.247000,          0.093285,                     1.038946,      0.922000
                1697043900,           2023-10-11 17:05:00,           2023-10-11 13:05:00,      3.540000,     20.205000,          0.094277,                     1.049125,      0.923000
                1697044200,           2023-10-11 17:10:00,           2023-10-11 13:10:00,      3.540000,     20.214000,          0.095269,                     1.060358,      0.922000
                1697044500,           2023-10-11 17:15:00,           2023-10-11 13:15:00,      3.540000,     20.197000,          0.096262,                     1.071043,      0.922000
                1697044800,           2023-10-11 17:20:00,           2023-10-11 13:20:00,      3.540000,     20.180000,          0.099239,                     1.103796,      0.922000
                1697045100,           2023-10-11 17:25:00,           2023-10-11 13:25:00,      3.540000,     20.180000,          0.100231,                     1.114834,      0.922000
                1697045400,           2023-10-11 17:30:00,           2023-10-11 13:30:00,      3.540000,     20.155000,          0.102216,                     1.136347,      0.922000
                1697045700,           2023-10-11 17:35:00,           2023-10-11 13:35:00,      3.540000,     20.163000,          0.104201,                     1.158595,      0.922000
                1697046000,           2023-10-11 17:40:00,           2023-10-11 13:40:00,      3.540000,     20.163000,          0.105193,                     1.169629,      0.922000
                1697046300,           2023-10-11 17:45:00,           2023-10-11 13:45:00,      3.540000,     20.155000,          0.106185,                     1.180477,      0.922000
                1697046600,           2023-10-11 17:50:00,           2023-10-11 13:50:00,      3.540000,     20.138000,          0.108170,                     1.202136,      0.922000
