MiniDOT Logger Concatenated Data File
Sensor:             7450-566774
Concatenation Date: 2023Oct26 17:44:42 EDT

DO concentration compensated for salinity: 1.3 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1697019420,           2023-10-11 10:17:00,           2023-10-11 06:17:00,      3.470000,     20.493000,          8.812564,                    98.625283,      0.889000
                1697019720,           2023-10-11 10:22:00,           2023-10-11 06:22:00,      3.470000,     20.518000,          8.820516,                    98.762790,      0.889000
                1697020020,           2023-10-11 10:27:00,           2023-10-11 06:27:00,      3.470000,     20.493000,          8.843329,                    98.969583,      0.890000
                1697020320,           2023-10-11 10:32:00,           2023-10-11 06:32:00,      3.470000,     20.442000,          8.850250,                    98.947751,      0.889000
                1697020620,           2023-10-11 10:37:00,           2023-10-11 06:37:00,      3.480000,     20.308000,          8.897816,                    99.217377,      0.890000
                1697020920,           2023-10-11 10:42:00,           2023-10-11 06:42:00,      3.470000,     20.040000,          8.952260,                    99.297301,      0.890000
                1697021220,           2023-10-11 10:47:00,           2023-10-11 06:47:00,      3.470000,     19.856000,          8.966057,                    99.088174,      0.889000
                1697021520,           2023-10-11 10:52:00,           2023-10-11 06:52:00,      3.470000,     19.646000,          9.033428,                    99.416589,      0.891000
                1697021820,           2023-10-11 10:57:00,           2023-10-11 06:57:00,      3.470000,     19.470000,          9.060129,                    99.360913,      0.891000
                1697022120,           2023-10-11 11:02:00,           2023-10-11 07:02:00,      3.480000,     19.328000,          9.088831,                    99.392967,      0.891000
                1697022420,           2023-10-11 11:07:00,           2023-10-11 07:07:00,      3.480000,     19.168000,          9.116531,                    99.376543,      0.891000
                1697022720,           2023-10-11 11:12:00,           2023-10-11 07:12:00,      3.470000,     18.975000,          9.137266,                    99.216754,      0.891000
                1697023020,           2023-10-11 11:17:00,           2023-10-11 07:17:00,      3.470000,     18.790000,          9.159989,                    99.093025,      0.890000
                1697023320,           2023-10-11 11:22:00,           2023-10-11 07:22:00,      3.470000,     18.546000,          9.212447,                    99.169527,      0.892000
                1697023620,           2023-10-11 11:27:00,           2023-10-11 07:27:00,      3.480000,     18.235000,          9.242044,                    98.860989,      0.891000
                1697023920,           2023-10-11 11:32:00,           2023-10-11 07:32:00,      3.480000,     17.923000,          9.292476,                    98.768643,      0.891000
                1697024220,           2023-10-11 11:37:00,           2023-10-11 07:37:00,      3.470000,     17.585000,          9.351820,                    98.711471,      0.892000
                1697024520,           2023-10-11 11:42:00,           2023-10-11 07:42:00,      3.480000,     17.196000,          9.421053,                    98.645824,      0.891000
