MiniDOT Logger Concatenated Data File
Sensor:             7450-562111
Concatenation Date: 2023Oct26 17:14:52 EDT

DO concentration compensated for salinity: 1.3 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1697019480,           2023-10-11 10:18:00,           2023-10-11 06:18:00,      3.470000,     20.533000,          8.794721,                    98.502990,      0.918000
                1697019780,           2023-10-11 10:23:00,           2023-10-11 06:23:00,      3.470000,     20.558000,          8.797711,                    98.584873,      0.918000
                1697020080,           2023-10-11 10:28:00,           2023-10-11 06:28:00,      3.470000,     20.500000,          8.803636,                    98.538922,      0.918000
                1697020380,           2023-10-11 10:33:00,           2023-10-11 06:33:00,      3.470000,     20.458000,          8.825448,                    98.701519,      0.919000
                1697020680,           2023-10-11 10:38:00,           2023-10-11 06:38:00,      3.470000,     20.315000,          8.838276,                    98.567060,      0.918000
                1697020980,           2023-10-11 10:43:00,           2023-10-11 06:43:00,      3.470000,     20.081000,          8.890753,                    98.695137,      0.918000
                1697021280,           2023-10-11 10:48:00,           2023-10-11 06:48:00,      3.470000,     19.830000,          8.933296,                    98.675141,      0.919000
                1697021580,           2023-10-11 10:53:00,           2023-10-11 06:53:00,      3.470000,     19.587000,          8.975841,                    98.666706,      0.919000
                1697021880,           2023-10-11 10:58:00,           2023-10-11 06:58:00,      3.470000,     19.343000,          9.025329,                    98.728178,      0.919000
                1697022180,           2023-10-11 11:03:00,           2023-10-11 07:03:00,      3.470000,     19.133000,          9.057965,                    98.668751,      0.919000
                1697022480,           2023-10-11 11:08:00,           2023-10-11 07:08:00,      3.470000,     18.940000,          9.095570,                    98.694381,      0.919000
                1697022780,           2023-10-11 11:13:00,           2023-10-11 07:13:00,      3.470000,     18.655000,          9.138085,                    98.586543,      0.919000
                1697023080,           2023-10-11 11:18:00,           2023-10-11 07:18:00,      3.470000,     18.335000,          9.199432,                    98.605806,      0.919000
                1697023380,           2023-10-11 11:23:00,           2023-10-11 07:23:00,      3.470000,     17.871000,          9.291455,                    98.652573,      0.920000
                1697023680,           2023-10-11 11:28:00,           2023-10-11 07:28:00,      3.470000,     17.407000,          9.373548,                    98.578066,      0.920000
                1697023980,           2023-10-11 11:33:00,           2023-10-11 07:33:00,      3.470000,     17.043000,          9.436840,                    98.497700,      0.920000
                1697024280,           2023-10-11 11:38:00,           2023-10-11 07:38:00,      3.470000,     16.652000,          9.505073,                    98.404017,      0.920000
                1697024580,           2023-10-11 11:43:00,           2023-10-11 07:43:00,      3.470000,     16.227000,          9.590147,                    98.402479,      0.920000
                1697024880,           2023-10-11 11:48:00,           2023-10-11 07:48:00,      3.470000,     15.852000,          9.667308,                    98.410768,      0.920000
                1697025180,           2023-10-11 11:53:00,           2023-10-11 07:53:00,      3.470000,     15.578000,          9.748494,                    98.660774,      0.920000
