MiniDOT Logger Concatenated Data File
Sensor:             7450-233512
Concatenation Date: 2023Oct26 16:33:30 EDT

DO concentration compensated for salinity: 1.3 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1697019540,           2023-10-11 10:19:00,           2023-10-11 06:19:00,      3.520000,     20.476000,          8.779806,                    98.225840,      0.936000
                1697019840,           2023-10-11 10:24:00,           2023-10-11 06:24:00,      3.520000,     20.527000,          8.784794,                    98.380207,      0.937000
                1697020140,           2023-10-11 10:29:00,           2023-10-11 06:29:00,      3.520000,     20.493000,          8.793708,                    98.414260,      0.937000
                1697020440,           2023-10-11 10:34:00,           2023-10-11 06:34:00,      3.520000,     20.460000,          8.800639,                    98.427932,      0.937000
                1697020740,           2023-10-11 10:39:00,           2023-10-11 06:39:00,      3.520000,     20.367000,          8.815478,                    98.413589,      0.936000
                1697021040,           2023-10-11 10:44:00,           2023-10-11 06:44:00,      3.520000,     20.233000,          8.828311,                    98.296796,      0.936000
                1697021340,           2023-10-11 10:49:00,           2023-10-11 06:49:00,      3.520000,     20.099000,          8.857021,                    98.355703,      0.936000
                1697021640,           2023-10-11 10:54:00,           2023-10-11 06:54:00,      3.520000,     19.965000,          8.892678,                    98.489986,      0.937000
                1697021940,           2023-10-11 10:59:00,           2023-10-11 06:59:00,      3.520000,     19.831000,          8.903525,                    98.348256,      0.936000
                1697022240,           2023-10-11 11:04:00,           2023-10-11 07:04:00,      3.520000,     19.655000,          8.937174,                    98.374911,      0.936000
                1697022540,           2023-10-11 11:09:00,           2023-10-11 07:09:00,      3.520000,     19.470000,          8.978756,                    98.468515,      0.937000
                1697022840,           2023-10-11 11:14:00,           2023-10-11 07:14:00,      3.520000,     19.227000,          8.999467,                    98.216689,      0.936000
                1697023140,           2023-10-11 11:19:00,           2023-10-11 07:19:00,      3.520000,     18.924000,          9.055868,                    98.231908,      0.937000
                1697023440,           2023-10-11 11:24:00,           2023-10-11 07:24:00,      3.520000,     18.520000,          9.117173,                    98.092175,      0.937000
                1697023740,           2023-10-11 11:29:00,           2023-10-11 07:29:00,      3.530000,     18.107000,          9.184422,                    97.988326,      0.937000
                1697024040,           2023-10-11 11:34:00,           2023-10-11 07:34:00,      3.520000,     17.727000,          9.247715,                    97.898291,      0.937000
                1697024340,           2023-10-11 11:39:00,           2023-10-11 07:39:00,      3.530000,     17.313000,          9.363572,                    98.281898,      0.938000
                1697024640,           2023-10-11 11:44:00,           2023-10-11 07:44:00,      3.530000,     16.863000,          9.402009,                    97.767022,      0.937000
                1697024940,           2023-10-11 11:49:00,           2023-10-11 07:49:00,      3.520000,     16.506000,          9.493081,                    97.979666,      0.938000
                1697025240,           2023-10-11 11:54:00,           2023-10-11 07:54:00,      3.530000,     16.233000,          9.578245,                    98.292782,      0.938000
                1697025540,           2023-10-11 11:59:00,           2023-10-11 07:59:00,      3.530000,     16.097000,          9.566258,                    97.888462,      0.938000
                1697025840,           2023-10-11 12:04:00,           2023-10-11 08:04:00,      3.530000,     15.926000,          9.616754,                    98.049835,      0.939000
                1697026140,           2023-10-11 12:09:00,           2023-10-11 08:09:00,      3.530000,     15.738000,          9.644420,                    97.940415,      0.938000
                1697026440,           2023-10-11 12:14:00,           2023-10-11 08:14:00,      3.520000,     15.686000,          9.684073,                    98.234423,      0.938000
                1697026740,           2023-10-11 12:19:00,           2023-10-11 08:19:00,      3.520000,     15.618000,          9.712803,                    98.383357,      0.939000
                1697027040,           2023-10-11 12:24:00,           2023-10-11 08:24:00,      3.520000,     16.438000,          9.531735,                    98.238298,      0.938000
                1697027340,           2023-10-11 12:29:00,           2023-10-11 08:29:00,      3.530000,     16.863000,          9.458564,                    98.355110,      0.938000
                1697027640,           2023-10-11 12:34:00,           2023-10-11 08:34:00,      3.520000,     16.719000,          9.506104,                    98.552709,      0.938000
                1697027940,           2023-10-11 12:39:00,           2023-10-11 08:39:00,      3.520000,     16.659000,          9.518967,                    98.562302,      0.938000
                1697028240,           2023-10-11 12:44:00,           2023-10-11 08:44:00,      3.530000,     17.033000,          9.451717,                    98.632471,      0.938000
                1697028540,           2023-10-11 12:49:00,           2023-10-11 08:49:00,      3.530000,     18.057000,          9.293543,                    99.051275,      0.939000
                1697028840,           2023-10-11 12:54:00,           2023-10-11 08:54:00,      3.520000,     19.915000,          8.994867,                    99.523037,      0.939000
                1697029140,           2023-10-11 12:59:00,           2023-10-11 08:59:00,      3.520000,     21.573000,          8.741647,                    99.912946,      0.939000
                1697029440,           2023-10-11 13:04:00,           2023-10-11 09:04:00,      3.520000,     23.356000,          8.474514,                   100.209577,      0.940000
                1697029740,           2023-10-11 13:09:00,           2023-10-11 09:09:00,      3.510000,     24.002000,          8.372571,                   100.209003,      0.940000
                1697030040,           2023-10-11 13:14:00,           2023-10-11 09:14:00,      3.520000,     23.490000,          8.433880,                    99.980587,      0.938000
                1697030340,           2023-10-11 13:19:00,           2023-10-11 09:19:00,      3.510000,     22.895000,          8.507055,                    99.722664,      0.937000
                1697030640,           2023-10-11 13:24:00,           2023-10-11 09:24:00,      3.520000,     22.720000,          8.540719,                    99.785493,      0.938000
                1697030940,           2023-10-11 13:29:00,           2023-10-11 09:29:00,      3.510000,     23.214000,          8.473456,                    99.929450,      0.938000
                1697031240,           2023-10-11 13:34:00,           2023-10-11 09:34:00,      3.520000,     23.415000,          8.428883,                    99.780651,      0.937000
                1697031540,           2023-10-11 13:39:00,           2023-10-11 09:39:00,      3.510000,     23.214000,          8.471471,                    99.906039,      0.938000
                1697031840,           2023-10-11 13:44:00,           2023-10-11 09:44:00,      3.510000,     24.287000,          8.342920,                   100.384802,      0.938000
                1697032140,           2023-10-11 13:49:00,           2023-10-11 09:49:00,      3.510000,     25.381000,          8.211375,                   100.812707,      0.939000
                1697032440,           2023-10-11 13:54:00,           2023-10-11 09:54:00,      3.510000,     26.216000,          8.090618,                   100.848463,      0.939000
                1697032740,           2023-10-11 13:59:00,           2023-10-11 09:59:00,      3.510000,     27.845000,          7.875846,                   101.070730,      0.940000
                1697033040,           2023-10-11 14:04:00,           2023-10-11 10:04:00,      3.500000,     28.460000,          7.791695,                   101.079455,      0.939000
                1697033340,           2023-10-11 14:09:00,           2023-10-11 10:09:00,      3.500000,     28.391000,          7.797625,                   101.033994,      0.939000
                1697033640,           2023-10-11 14:14:00,           2023-10-11 10:14:00,      3.510000,     28.871000,          7.733273,                   101.045473,      0.939000
                1697033940,           2023-10-11 14:19:00,           2023-10-11 10:19:00,      3.500000,     29.713000,          7.630327,                   101.168340,      0.939000
                1697034240,           2023-10-11 14:24:00,           2023-10-11 10:24:00,      3.510000,     29.885000,          7.603582,                   101.113353,      0.938000
                1697034540,           2023-10-11 14:29:00,           2023-10-11 10:29:00,      3.500000,     29.403000,          7.653050,                   100.926777,      0.938000
                1697034840,           2023-10-11 14:34:00,           2023-10-11 10:34:00,      3.510000,     21.916000,          6.076990,                    69.917962,      0.933000
                1697035140,           2023-10-11 14:39:00,           2023-10-11 10:39:00,      3.520000,     20.267000,          5.587172,                    62.250840,      0.935000
                1697035440,           2023-10-11 14:44:00,           2023-10-11 10:44:00,      3.520000,     19.965000,          5.375699,                    59.538026,      0.936000
                1697035740,           2023-10-11 14:49:00,           2023-10-11 10:49:00,      3.520000,     19.915000,          3.592389,                    39.747727,      0.936000
                1697036040,           2023-10-11 14:54:00,           2023-10-11 10:54:00,      3.520000,     19.831000,          3.629090,                    40.086890,      0.937000
                1697036340,           2023-10-11 14:59:00,           2023-10-11 10:59:00,      3.520000,     19.781000,          3.409766,                    37.626841,      0.937000
                1697036640,           2023-10-11 15:04:00,           2023-10-11 11:04:00,      3.520000,     19.756000,          3.124953,                    34.466782,      0.937000
                1697036940,           2023-10-11 15:09:00,           2023-10-11 11:09:00,      3.520000,     19.730000,          3.072353,                    33.869107,      0.937000
                1697037240,           2023-10-11 15:14:00,           2023-10-11 11:14:00,      3.520000,     19.705000,          2.953265,                    32.540110,      0.938000
                1697037540,           2023-10-11 15:19:00,           2023-10-11 11:19:00,      3.520000,     19.705000,          2.802427,                    30.878115,      0.937000
                1697037840,           2023-10-11 15:24:00,           2023-10-11 11:24:00,      3.520000,     19.680000,          2.789522,                    30.720631,      0.937000
                1697038140,           2023-10-11 15:29:00,           2023-10-11 11:29:00,      3.520000,     19.655000,          2.933410,                    32.289167,      0.937000
                1697038440,           2023-10-11 15:34:00,           2023-10-11 11:34:00,      3.520000,     19.655000,          2.975089,                    32.747944,      0.937000
                1697038740,           2023-10-11 15:39:00,           2023-10-11 11:39:00,      3.520000,     19.663000,          3.020739,                    33.255729,      0.937000
                1697039040,           2023-10-11 15:44:00,           2023-10-11 11:44:00,      3.520000,     19.630000,          2.979054,                    32.775259,      0.937000
                1697039340,           2023-10-11 15:49:00,           2023-10-11 11:49:00,      3.520000,     19.638000,          2.866919,                    31.546590,      0.937000
                1697039640,           2023-10-11 15:54:00,           2023-10-11 11:54:00,      3.520000,     19.630000,          2.719056,                    29.914793,      0.937000
                1697039940,           2023-10-11 15:59:00,           2023-10-11 11:59:00,      3.520000,     19.655000,          2.571199,                    28.302176,      0.937000
                1697040240,           2023-10-11 16:04:00,           2023-10-11 12:04:00,      3.520000,     19.630000,          2.442189,                    26.868725,      0.937000
                1697040540,           2023-10-11 16:09:00,           2023-10-11 12:09:00,      3.520000,     19.638000,          2.370740,                    26.086814,      0.937000
                1697040840,           2023-10-11 16:14:00,           2023-10-11 12:14:00,      3.520000,     19.630000,          2.319137,                    25.514917,      0.937000
                1697041140,           2023-10-11 16:19:00,           2023-10-11 12:19:00,      3.520000,     19.646000,          2.283414,                    25.129910,      0.937000
                1697041440,           2023-10-11 16:24:00,           2023-10-11 12:24:00,      3.520000,     19.638000,          2.273489,                    25.016697,      0.937000
                1697041740,           2023-10-11 16:29:00,           2023-10-11 12:29:00,      3.520000,     19.621000,          2.275472,                    25.030030,      0.937000
                1697042040,           2023-10-11 16:34:00,           2023-10-11 12:34:00,      3.520000,     19.638000,          2.303260,                    25.344284,      0.937000
                1697042340,           2023-10-11 16:39:00,           2023-10-11 12:39:00,      3.520000,     19.655000,          2.407460,                    26.499837,      0.937000
                1697042640,           2023-10-11 16:44:00,           2023-10-11 12:44:00,      3.520000,     19.638000,          2.511655,                    27.637390,      0.937000
                1697042940,           2023-10-11 16:49:00,           2023-10-11 12:49:00,      3.510000,     19.646000,          2.635701,                    29.006971,      0.937000
                1697043240,           2023-10-11 16:54:00,           2023-10-11 12:54:00,      3.520000,     19.655000,          2.839136,                    31.251457,      0.937000
                1697043540,           2023-10-11 16:59:00,           2023-10-11 12:59:00,      3.520000,     19.646000,          2.987988,                    32.884033,      0.937000
                1697043840,           2023-10-11 17:04:00,           2023-10-11 13:04:00,      3.520000,     19.672000,          3.106083,                    34.201428,      0.937000
                1697044140,           2023-10-11 17:09:00,           2023-10-11 13:09:00,      3.510000,     19.680000,          3.181504,                    35.037476,      0.937000
                1697044440,           2023-10-11 17:14:00,           2023-10-11 13:14:00,      3.510000,     19.680000,          3.219213,                    35.452767,      0.937000
                1697044740,           2023-10-11 17:19:00,           2023-10-11 13:19:00,      3.510000,     19.680000,          3.248984,                    35.780629,      0.937000
                1697045040,           2023-10-11 17:24:00,           2023-10-11 13:24:00,      3.510000,     19.688000,          3.263871,                    35.950302,      0.937000
                1697045340,           2023-10-11 17:29:00,           2023-10-11 13:29:00,      3.510000,     19.688000,          3.292649,                    36.267286,      0.937000
                1697045640,           2023-10-11 17:34:00,           2023-10-11 13:34:00,      3.510000,     19.705000,          3.338301,                    36.782570,      0.937000
