MiniDOT Logger Concatenated Data File
Sensor:             7450-334927
Concatenation Date: 2023Oct12 17:50:51 EDT

DO concentration compensated for salinity: 1.5 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1697019540,           2023-10-11 10:19:00,           2023-10-11 06:19:00,      3.540000,     20.574000,          8.708112,                    97.726004,      0.944000
                1697019840,           2023-10-11 10:24:00,           2023-10-11 06:24:00,      3.540000,     20.583000,          8.714065,                    97.810079,      0.943000
                1697020140,           2023-10-11 10:29:00,           2023-10-11 06:29:00,      3.540000,     20.549000,          8.717019,                    97.777971,      0.943000
                1697020440,           2023-10-11 10:34:00,           2023-10-11 06:34:00,      3.540000,     20.474000,          8.736801,                    97.855590,      0.943000
                1697020740,           2023-10-11 10:39:00,           2023-10-11 06:39:00,      3.540000,     20.273000,          8.775342,                    97.899131,      0.943000
                1697021040,           2023-10-11 10:44:00,           2023-10-11 06:44:00,      3.530000,     20.005000,          8.841596,                    98.117326,      0.944000
                1697021340,           2023-10-11 10:49:00,           2023-10-11 06:49:00,      3.530000,     19.695000,          8.896919,                    98.125576,      0.944000
                1697021640,           2023-10-11 10:54:00,           2023-10-11 06:54:00,      3.540000,     19.377000,          8.963137,                    98.230729,      0.944000
                1697021940,           2023-10-11 10:59:00,           2023-10-11 06:59:00,      3.540000,     19.109000,          9.010549,                    98.221285,      0.944000
                1697022240,           2023-10-11 11:04:00,           2023-10-11 07:04:00,      3.530000,     18.848000,          9.054990,                    98.188478,      0.944000
                1697022540,           2023-10-11 11:09:00,           2023-10-11 07:09:00,      3.540000,     18.596000,          9.089523,                    98.062131,      0.943000
                1697022840,           2023-10-11 11:14:00,           2023-10-11 07:14:00,      3.540000,     18.268000,          9.156711,                    98.131089,      0.945000
                1697023140,           2023-10-11 11:19:00,           2023-10-11 07:19:00,      3.540000,     17.839000,          9.239688,                    98.155984,      0.945000
                1697023440,           2023-10-11 11:24:00,           2023-10-11 07:24:00,      3.540000,     17.324000,          9.320619,                    97.971000,      0.944000
                1697023740,           2023-10-11 11:29:00,           2023-10-11 07:29:00,      3.540000,     16.782000,          9.420351,                    97.910412,      0.944000
                1697024040,           2023-10-11 11:34:00,           2023-10-11 07:34:00,      3.540000,     16.315000,          9.501295,                    97.790040,      0.944000
                1697024340,           2023-10-11 11:39:00,           2023-10-11 07:39:00,      3.540000,     15.820000,          9.615902,                    97.940063,      0.945000
                1697024640,           2023-10-11 11:44:00,           2023-10-11 07:44:00,      3.540000,     15.341000,          9.695828,                    97.751650,      0.945000
                1697024940,           2023-10-11 11:49:00,           2023-10-11 07:49:00,      3.540000,     14.912000,          9.788663,                    97.782932,      0.944000
                1697025240,           2023-10-11 11:54:00,           2023-10-11 07:54:00,      3.540000,     14.662000,          9.872703,                    98.091514,      0.945000
                1697025540,           2023-10-11 11:59:00,           2023-10-11 07:59:00,      3.540000,     14.576000,          9.855795,                    97.741339,      0.945000
                1697025840,           2023-10-11 12:04:00,           2023-10-11 08:04:00,      3.540000,     14.446000,          9.882452,                    97.729680,      0.945000
                1697026140,           2023-10-11 12:09:00,           2023-10-11 08:09:00,      3.540000,     14.334000,          9.904167,                    97.706234,      0.944000
                1697026440,           2023-10-11 12:14:00,           2023-10-11 08:14:00,      3.540000,     14.412000,          9.915124,                    97.980379,      0.944000
                1697026740,           2023-10-11 12:19:00,           2023-10-11 08:19:00,      3.540000,     14.369000,          9.933918,                    98.074372,      0.944000
                1697027040,           2023-10-11 12:24:00,           2023-10-11 08:24:00,      3.540000,     15.615000,          9.686113,                    98.226322,      0.944000
                1697027340,           2023-10-11 12:29:00,           2023-10-11 08:29:00,      3.540000,     16.536000,          9.519283,                    98.430898,      0.943000
                1697027640,           2023-10-11 12:34:00,           2023-10-11 08:34:00,      3.540000,     16.536000,          9.520274,                    98.441145,      0.943000
                1697027940,           2023-10-11 12:39:00,           2023-10-11 08:39:00,      3.540000,     16.434000,          9.538042,                    98.414068,      0.943000
                1697028240,           2023-10-11 12:44:00,           2023-10-11 08:44:00,      3.540000,     17.188000,          9.429541,                    98.837160,      0.943000
                1697028540,           2023-10-11 12:49:00,           2023-10-11 08:49:00,      3.540000,     18.378000,          9.248953,                    99.341721,      0.943000
                1697028840,           2023-10-11 12:54:00,           2023-10-11 08:54:00,      3.530000,     20.507000,          8.930112,                   100.085633,      0.944000
                1697029140,           2023-10-11 12:59:00,           2023-10-11 08:59:00,      3.530000,     22.455000,          8.649692,                   100.666572,      0.944000
                1697029440,           2023-10-11 13:04:00,           2023-10-11 09:04:00,      3.530000,     22.765000,          8.559646,                   100.207616,      0.943000
                1697029740,           2023-10-11 13:09:00,           2023-10-11 09:09:00,      3.530000,     21.519000,          6.816242,                    77.915798,      0.940000
                1697030040,           2023-10-11 13:14:00,           2023-10-11 09:14:00,      3.540000,     19.335000,          6.851929,                    75.030045,      0.942000
                1697030340,           2023-10-11 13:19:00,           2023-10-11 09:19:00,      3.530000,     18.890000,          6.865597,                    74.510711,      0.943000
                1697030640,           2023-10-11 13:24:00,           2023-10-11 09:24:00,      3.530000,     18.890000,          8.936080,                    96.981171,      0.943000
                1697030940,           2023-10-11 13:29:00,           2023-10-11 09:29:00,      3.530000,     18.899000,          6.767479,                    73.459182,      0.943000
                1697031240,           2023-10-11 13:34:00,           2023-10-11 09:34:00,      3.530000,     18.983000,          6.766526,                    73.573223,      0.943000
                1697031540,           2023-10-11 13:39:00,           2023-10-11 09:39:00,      3.540000,     19.134000,          6.890490,                    75.148880,      0.943000
                1697031840,           2023-10-11 13:44:00,           2023-10-11 09:44:00,      3.540000,     19.176000,          6.884563,                    75.147563,      0.943000
                1697032140,           2023-10-11 13:49:00,           2023-10-11 09:49:00,      3.540000,     19.218000,          6.791414,                    74.193286,      0.943000
                1697032440,           2023-10-11 13:54:00,           2023-10-11 09:54:00,      3.540000,     19.209000,          6.805286,                    74.331415,      0.943000
                1697032740,           2023-10-11 13:59:00,           2023-10-11 09:59:00,      3.530000,     19.243000,          6.834045,                    74.696445,      0.943000
                1697033040,           2023-10-11 14:04:00,           2023-10-11 10:04:00,      3.530000,     19.276000,          6.744856,                    73.770369,      0.944000
                1697033340,           2023-10-11 14:09:00,           2023-10-11 10:09:00,      3.530000,     19.318000,          6.775601,                    74.168999,      0.943000
                1697033640,           2023-10-11 14:14:00,           2023-10-11 10:14:00,      3.530000,     19.285000,          6.829109,                    74.705334,      0.943000
                1697033940,           2023-10-11 14:19:00,           2023-10-11 10:19:00,      3.530000,     19.276000,          6.819193,                    74.583415,      0.943000
                1697034240,           2023-10-11 14:24:00,           2023-10-11 10:24:00,      3.530000,     19.293000,          6.843980,                    74.880011,      0.943000
                1697034540,           2023-10-11 14:29:00,           2023-10-11 10:29:00,      3.530000,     19.310000,          6.812270,                    74.558456,      0.943000
                1697034840,           2023-10-11 14:34:00,           2023-10-11 10:34:00,      3.530000,     19.310000,          6.842005,                    74.883897,      0.943000
                1697035140,           2023-10-11 14:39:00,           2023-10-11 10:39:00,      3.530000,     19.276000,          6.855866,                    74.984518,      0.943000
                1697035440,           2023-10-11 14:44:00,           2023-10-11 10:44:00,      3.530000,     19.243000,          6.827107,                    74.620611,      0.943000
                1697035740,           2023-10-11 14:49:00,           2023-10-11 10:49:00,      3.530000,     19.226000,          6.799346,                    74.291866,      0.943000
                1697036040,           2023-10-11 14:54:00,           2023-10-11 10:54:00,      3.530000,     19.192000,          6.783472,                    74.067897,      0.943000
                1697036340,           2023-10-11 14:59:00,           2023-10-11 10:59:00,      3.530000,     19.176000,          6.765624,                    73.849304,      0.943000
                1697036640,           2023-10-11 15:04:00,           2023-10-11 11:04:00,      3.530000,     19.167000,          6.751744,                    73.684487,      0.943000
                1697036940,           2023-10-11 15:09:00,           2023-10-11 11:09:00,      3.530000,     19.176000,          6.730934,                    73.470645,      0.943000
                1697037240,           2023-10-11 15:14:00,           2023-10-11 11:14:00,      3.530000,     19.150000,          6.723984,                    73.356495,      0.943000
                1697037540,           2023-10-11 15:19:00,           2023-10-11 11:19:00,      3.530000,     19.159000,          6.708129,                    73.196751,      0.943000
                1697037840,           2023-10-11 15:24:00,           2023-10-11 11:24:00,      3.530000,     19.142000,          6.718033,                    73.279806,      0.943000
                1697038140,           2023-10-11 15:29:00,           2023-10-11 11:29:00,      3.530000,     19.134000,          6.743799,                    73.549048,      0.943000
                1697038440,           2023-10-11 15:34:00,           2023-10-11 11:34:00,      3.530000,     19.109000,          6.833983,                    74.495189,      0.943000
                1697038740,           2023-10-11 15:39:00,           2023-10-11 11:39:00,      3.530000,     19.117000,          6.850836,                    74.690903,      0.943000
                1697039040,           2023-10-11 15:44:00,           2023-10-11 11:44:00,      3.530000,     19.125000,          6.852822,                    74.724560,      0.943000
                1697039340,           2023-10-11 15:49:00,           2023-10-11 11:49:00,      3.530000,     19.125000,          6.881565,                    75.037984,      0.943000
                1697039640,           2023-10-11 15:54:00,           2023-10-11 11:54:00,      3.530000,     19.134000,          6.903375,                    75.289406,      0.943000
                1697039940,           2023-10-11 15:59:00,           2023-10-11 11:59:00,      3.530000,     19.125000,          6.897424,                    75.210908,      0.942000
                1697040240,           2023-10-11 16:04:00,           2023-10-11 12:04:00,      3.530000,     19.117000,          6.912287,                    75.360873,      0.943000
                1697040540,           2023-10-11 16:09:00,           2023-10-11 12:09:00,      3.530000,     19.125000,          6.913282,                    75.383831,      0.943000
                1697040840,           2023-10-11 16:14:00,           2023-10-11 12:14:00,      3.530000,     19.092000,          6.926152,                    75.474113,      0.943000
                1697041140,           2023-10-11 16:19:00,           2023-10-11 12:19:00,      3.530000,     19.100000,          6.922191,                    75.443078,      0.942000
                1697041440,           2023-10-11 16:24:00,           2023-10-11 12:24:00,      3.530000,     19.109000,          6.945983,                    75.716067,      0.943000
                1697041740,           2023-10-11 16:29:00,           2023-10-11 12:29:00,      3.530000,     19.109000,          6.984638,                    76.137432,      0.944000
                1697042040,           2023-10-11 16:34:00,           2023-10-11 12:34:00,      3.530000,     19.117000,          6.879579,                    75.004276,      0.943000
                1697042340,           2023-10-11 16:39:00,           2023-10-11 12:39:00,      3.530000,     19.109000,          6.884531,                    75.046205,      0.943000
                1697042640,           2023-10-11 16:44:00,           2023-10-11 12:44:00,      3.530000,     19.117000,          6.923190,                    75.479739,      0.943000
                1697042940,           2023-10-11 16:49:00,           2023-10-11 12:49:00,      3.530000,     19.142000,          6.939060,                    75.690752,      0.943000
                1697043240,           2023-10-11 16:54:00,           2023-10-11 12:54:00,      3.530000,     19.125000,          6.984645,                    76.161987,      0.943000
                1697043540,           2023-10-11 16:59:00,           2023-10-11 12:59:00,      3.530000,     19.125000,          7.006451,                    76.399756,      0.943000
                1697043840,           2023-10-11 17:04:00,           2023-10-11 13:04:00,      3.530000,     19.142000,          7.004476,                    76.404306,      0.943000
                1697044140,           2023-10-11 17:09:00,           2023-10-11 13:09:00,      3.530000,     19.142000,          6.985644,                    76.198889,      0.943000
                1697044440,           2023-10-11 17:14:00,           2023-10-11 13:14:00,      3.530000,     19.184000,          6.902407,                    75.354438,      0.943000
                1697044740,           2023-10-11 17:19:00,           2023-10-11 13:19:00,      3.530000,     19.176000,          6.702190,                    73.156900,      0.943000
                1697045040,           2023-10-11 17:24:00,           2023-10-11 13:24:00,      3.530000,     19.243000,          6.613016,                    72.280592,      0.943000
                1697045340,           2023-10-11 17:29:00,           2023-10-11 13:29:00,      3.530000,     19.268000,          6.615010,                    72.338614,      0.942000
                1697045640,           2023-10-11 17:34:00,           2023-10-11 13:34:00,      3.530000,     19.251000,          6.640772,                    72.595606,      0.943000
                1697045940,           2023-10-11 17:39:00,           2023-10-11 13:39:00,      3.530000,     19.276000,          6.653669,                    72.773033,      0.943000
                1697046240,           2023-10-11 17:44:00,           2023-10-11 13:44:00,      3.530000,     19.293000,          6.658632,                    72.852124,      0.943000
                1697046540,           2023-10-11 17:49:00,           2023-10-11 13:49:00,      3.530000,     19.310000,          6.666569,                    72.963797,      0.943000
                1697046840,           2023-10-11 17:54:00,           2023-10-11 13:54:00,      3.530000,     19.301000,          6.700265,                    73.319371,      0.943000
                1697047140,           2023-10-11 17:59:00,           2023-10-11 13:59:00,      3.530000,     19.251000,          6.709162,                    73.343233,      0.943000
                1697047440,           2023-10-11 18:04:00,           2023-10-11 14:04:00,      3.530000,     19.243000,          6.683389,                    73.049765,      0.943000
                1697047740,           2023-10-11 18:09:00,           2023-10-11 14:09:00,      3.530000,     19.218000,          6.662563,                    72.785649,      0.943000
                1697048040,           2023-10-11 18:14:00,           2023-10-11 14:14:00,      3.530000,     19.201000,          6.653635,                    72.663336,      0.942000
                1697048340,           2023-10-11 18:19:00,           2023-10-11 14:19:00,      3.530000,     19.167000,          6.661549,                    72.700152,      0.943000
                1697048640,           2023-10-11 18:24:00,           2023-10-11 14:24:00,      3.530000,     19.192000,          6.680392,                    72.942376,      0.943000
                1697048940,           2023-10-11 18:29:00,           2023-10-11 14:29:00,      3.530000,     19.192000,          6.769596,                    73.916384,      0.943000
                1697049240,           2023-10-11 18:34:00,           2023-10-11 14:34:00,      3.530000,     19.209000,          6.855835,                    74.883542,      0.943000
                1697049540,           2023-10-11 18:39:00,           2023-10-11 14:39:00,      3.530000,     19.234000,          6.793403,                    74.238834,      0.943000
                1697049840,           2023-10-11 18:44:00,           2023-10-11 14:44:00,      3.530000,     19.243000,          6.647707,                    72.659761,      0.943000
