MiniDOT Logger Concatenated Data File
Sensor:             7530-815399
Concatenation Date: 2023Oct12 17:24:20 EDT


            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,           PAR,  Acceleration X,  Acceleration Y,  Acceleration Z
                  (Second),                        (none),                        (none),        (Volt),       (deg C), (umol/(s m^2),             (g),             (g),             (g)
                1697019660,           2023-10-11 10:21:00,           2023-10-11 06:21:00,      3.080000,     22.132000,      0.004410,     -376.000000,     1172.000000,     -556.000000
                1697019960,           2023-10-11 10:26:00,           2023-10-11 06:26:00,      3.520000,     20.203000,      0.056820,     -370.000000,     1168.000000,     -568.000000
                1697020260,           2023-10-11 10:31:00,           2023-10-11 06:31:00,      3.520000,     20.229000,     -0.056270,     -344.000000,     1180.000000,     -552.000000
                1697020560,           2023-10-11 10:36:00,           2023-10-11 06:36:00,      3.520000,     20.195000,      0.062340,     -301.000000,     1201.000000,     -528.000000
                1697020860,           2023-10-11 10:41:00,           2023-10-11 06:41:00,      3.520000,     20.103000,     -0.036960,     -328.000000,     1177.000000,     -392.000000
                1697021160,           2023-10-11 10:46:00,           2023-10-11 06:46:00,      3.520000,     19.960000,     -0.031440,     -328.000000,     1190.000000,     -400.000000
                1697021460,           2023-10-11 10:51:00,           2023-10-11 06:51:00,      3.520000,     19.783000,      0.062340,     -308.000000,     1223.000000,     -506.000000
                1697021760,           2023-10-11 10:56:00,           2023-10-11 06:56:00,      3.520000,     19.573000,     -0.003860,     -256.000000,     1279.000000,     -442.000000
                1697022060,           2023-10-11 11:01:00,           2023-10-11 07:01:00,      3.520000,     19.405000,      0.180940,     -394.000000,     1239.000000,     -296.000000
                1697022360,           2023-10-11 11:06:00,           2023-10-11 07:06:00,      3.520000,     19.211000,      0.031990,     -340.000000,     1156.000000,     -482.000000
                1697022660,           2023-10-11 11:11:00,           2023-10-11 07:11:00,      3.520000,     18.975000,      0.106470,     -360.000000,     1144.000000,     -498.000000
                1697022960,           2023-10-11 11:16:00,           2023-10-11 07:16:00,      3.520000,     18.646000,      0.103710,     -384.000000,     1142.000000,     -700.000000
                1697023260,           2023-10-11 11:21:00,           2023-10-11 07:21:00,      3.520000,     18.224000,      0.291260,     -320.000000,     1319.000000,     -628.000000
                1697023560,           2023-10-11 11:26:00,           2023-10-11 07:26:00,      3.520000,     17.674000,      0.310570,     -265.000000,     1183.000000,     -561.000000
                1697023860,           2023-10-11 11:31:00,           2023-10-11 07:31:00,      3.520000,     17.200000,      0.150600,     -461.000000,      908.000000,     -496.000000
                1697024160,           2023-10-11 11:36:00,           2023-10-11 07:36:00,      3.510000,     16.690000,      0.379530,     -424.000000,     1224.000000,     -544.000000
                1697024460,           2023-10-11 11:41:00,           2023-10-11 07:41:00,      3.520000,     16.094000,      0.522950,     -392.000000,     1086.000000,     -434.000000
                1697024760,           2023-10-11 11:46:00,           2023-10-11 07:46:00,      3.510000,     15.556000,      0.362980,     -448.000000,     1295.000000,     -500.000000
                1697025060,           2023-10-11 11:51:00,           2023-10-11 07:51:00,      3.510000,     15.067000,      0.059580,     -730.000000,     1040.000000,     -196.000000
                1697025360,           2023-10-11 11:56:00,           2023-10-11 07:56:00,      3.510000,     14.766000,     -0.014890,    -1104.000000,      879.000000,     -296.000000
                1697025660,           2023-10-11 12:01:00,           2023-10-11 08:01:00,      3.510000,     14.533000,      0.227830,    -1128.000000,      988.000000,     -288.000000
                1697025960,           2023-10-11 12:06:00,           2023-10-11 08:06:00,      3.510000,     14.386000,      0.227830,    -1178.000000,      960.000000,     -344.000000
                1697026260,           2023-10-11 12:11:00,           2023-10-11 08:11:00,      3.510000,     14.187000,     -0.202450,    -1352.000000,      913.000000,     -224.000000
                1697026560,           2023-10-11 12:16:00,           2023-10-11 08:16:00,      3.510000,     13.988000,      0.078880,    -1192.000000,      800.000000,     -200.000000
                1697026860,           2023-10-11 12:21:00,           2023-10-11 08:21:00,      3.510000,     13.892000,      1.422120,     -272.000000,     1264.000000,     -392.000000
                1697027160,           2023-10-11 12:26:00,           2023-10-11 08:26:00,      3.510000,     14.005000,      3.195640,     -268.000000,     1240.000000,     -328.000000
                1697027460,           2023-10-11 12:31:00,           2023-10-11 08:31:00,      3.510000,     14.135000,      3.518340,     -232.000000,     1159.000000,     -352.000000
                1697027760,           2023-10-11 12:36:00,           2023-10-11 08:36:00,      3.510000,     14.256000,      1.766900,     -239.000000,     1257.000000,     -512.000000
                1697028060,           2023-10-11 12:41:00,           2023-10-11 08:41:00,      3.510000,     14.256000,     24.767420,     -272.000000,     1216.000000,     -536.000000
                1697028360,           2023-10-11 12:46:00,           2023-10-11 08:46:00,      3.510000,     14.343000,    563.711780,     1232.000000,        8.000000,      144.000000
                1697028660,           2023-10-11 12:51:00,           2023-10-11 08:51:00,      3.510000,     14.395000,    106.224980,     1231.000000,       -8.000000,      124.000000
                1697028960,           2023-10-11 12:56:00,           2023-10-11 08:56:00,      3.510000,     14.524000,    688.329460,     1191.000000,       15.000000,      224.000000
                1697029260,           2023-10-11 13:01:00,           2023-10-11 09:01:00,      3.510000,     15.118000,      1.772410,     1223.000000,      128.000000,      288.000000
                1697029560,           2023-10-11 13:06:00,           2023-10-11 09:06:00,      3.510000,     16.741000,      2.729500,     1123.000000,      102.000000,      398.000000
                1697029860,           2023-10-11 13:11:00,           2023-10-11 09:11:00,      3.500000,     17.683000,      3.126680,     1235.000000,      124.000000,      271.000000
                1697030160,           2023-10-11 13:16:00,           2023-10-11 09:16:00,      3.500000,     18.199000,      1.377990,     1199.000000,      128.000000,      348.000000
                1697030460,           2023-10-11 13:21:00,           2023-10-11 09:21:00,      3.500000,     18.511000,      2.224750,     1196.000000,      131.000000,      355.000000
                1697030760,           2023-10-11 13:26:00,           2023-10-11 09:26:00,      3.500000,     18.688000,      1.993070,     1191.000000,      128.000000,      359.000000
                1697031060,           2023-10-11 13:31:00,           2023-10-11 09:31:00,      3.500000,     18.790000,      2.089600,     1192.000000,      128.000000,      360.000000
                1697031360,           2023-10-11 13:36:00,           2023-10-11 09:36:00,      3.500000,     18.857000,      1.469010,     1192.000000,      131.000000,      360.000000
                1697031660,           2023-10-11 13:41:00,           2023-10-11 09:41:00,      3.500000,     18.908000,      3.052210,     1231.000000,      124.000000,      284.000000
                1697031960,           2023-10-11 13:46:00,           2023-10-11 09:46:00,      3.500000,     18.916000,      1.725520,     1192.000000,      128.000000,      360.000000
                1697032260,           2023-10-11 13:51:00,           2023-10-11 09:51:00,      3.500000,     18.916000,      1.835850,     1187.000000,      128.000000,      368.000000
                1697032560,           2023-10-11 13:56:00,           2023-10-11 09:56:00,      3.500000,     18.899000,      2.668820,     1190.000000,      128.000000,      368.000000
                1697032860,           2023-10-11 14:01:00,           2023-10-11 10:01:00,      3.500000,     18.874000,      2.746050,     1191.000000,      128.000000,      364.000000
                1697033160,           2023-10-11 14:06:00,           2023-10-11 10:06:00,      3.500000,     18.840000,      3.223220,     1191.000000,      131.000000,      359.000000
                1697033460,           2023-10-11 14:11:00,           2023-10-11 10:11:00,      3.500000,     18.815000,      2.045470,     1190.000000,      134.000000,      368.000000
                1697033760,           2023-10-11 14:16:00,           2023-10-11 10:16:00,      3.500000,     18.764000,      2.712950,     1191.000000,      131.000000,      364.000000
                1697034060,           2023-10-11 14:21:00,           2023-10-11 10:21:00,      3.500000,     18.722000,      2.754330,     1192.000000,      131.000000,      361.000000
                1697034360,           2023-10-11 14:26:00,           2023-10-11 10:26:00,      3.500000,     18.705000,      2.922580,     1191.000000,      132.000000,      360.000000
                1697034660,           2023-10-11 14:31:00,           2023-10-11 10:31:00,      3.500000,     18.680000,      2.743290,     1191.000000,      131.000000,      360.000000
                1697034960,           2023-10-11 14:36:00,           2023-10-11 10:36:00,      3.500000,     18.672000,      2.583320,     1193.000000,      134.000000,      360.000000
                1697035260,           2023-10-11 14:41:00,           2023-10-11 10:41:00,      3.500000,     18.655000,      2.815010,     1191.000000,      134.000000,      364.000000
                1697035560,           2023-10-11 14:46:00,           2023-10-11 10:46:00,      3.500000,     18.672000,      2.837070,     1192.000000,      135.000000,      360.000000
