datetime,ph
10/11/23 8:00,3.8
10/11/23 8:05,3.8
10/11/23 8:10,3.8
10/11/23 8:15,3.8
10/11/23 8:20,3.8
10/11/23 8:25,3.8
10/11/23 8:30,3.8
10/11/23 8:35,3.8
10/11/23 8:40,3.8
10/11/23 8:45,3.8
10/11/23 8:50,3.8
10/11/23 8:55,3.81
10/11/23 9:00,3.81
10/11/23 9:05,3.82
10/11/23 9:10,7.15
10/11/23 9:15,7.26
10/11/23 9:20,7.28
10/11/23 9:25,7.33
10/11/23 9:30,7.33
10/11/23 9:35,7.33
10/11/23 9:40,7.33
10/11/23 9:45,7.33
10/11/23 9:50,7.33
10/11/23 9:55,7.33
10/11/23 10:00,7.33
10/11/23 10:05,7.33
10/11/23 10:10,7.33
10/11/23 10:15,7.33
10/11/23 10:20,7.33
10/11/23 10:25,7.33
10/11/23 10:30,7.33
10/11/23 10:35,7.33
10/11/23 10:40,7.33
10/11/23 10:45,7.33
10/11/23 10:50,7.33
10/11/23 10:55,7.33
10/11/23 11:00,7.33
10/11/23 11:05,7.33
10/11/23 11:10,7.33
10/11/23 11:15,7.33
10/11/23 11:20,7.33
10/11/23 11:25,7.33
10/11/23 11:30,7.33
10/11/23 11:35,7.32
10/11/23 11:40,7.32
10/11/23 11:45,7.32
10/11/23 11:50,7.32
10/11/23 11:55,7.32
10/11/23 12:00,7.32
10/11/23 12:05,7.32
10/11/23 12:10,7.32
10/11/23 12:15,7.32
10/11/23 12:20,7.32
10/11/23 12:25,7.32
10/11/23 12:30,7.32
10/11/23 12:35,7.32
10/11/23 12:40,7.32
10/11/23 12:45,7.32
10/11/23 12:50,7.32
10/11/23 12:55,7.32
10/11/23 13:00,7.32
10/11/23 13:05,7.32
10/11/23 13:10,7.31
10/11/23 13:15,7.31
10/11/23 13:20,7.31
10/11/23 13:25,7.31
10/11/23 13:30,7.31
10/11/23 13:35,7.31
10/11/23 13:40,7.31
10/11/23 13:45,7.31
10/11/23 13:50,7.32
10/11/23 13:55,7.32
10/11/23 14:00,7.32
10/11/23 14:05,7.32
10/11/23 14:10,7.32
10/11/23 14:15,7.32
10/11/23 14:20,7.32
10/11/23 14:25,7.32
10/11/23 14:30,7.32
10/11/23 14:35,7.31
10/11/23 14:40,7.31
10/11/23 14:45,7.31
10/11/23 14:50,7.31
10/11/23 14:55,7.31
10/11/23 15:00,7.31
10/11/23 15:05,7.31
10/11/23 15:10,7.31
10/11/23 15:15,7.31
10/11/23 15:20,7.31
10/11/23 15:25,7.31
10/11/23 15:30,7.32
10/11/23 15:35,7.32
10/11/23 15:40,7.32
10/11/23 15:45,7.32
10/11/23 15:50,7.32
10/11/23 15:55,7.32
10/11/23 16:00,7.31
10/11/23 16:05,7.31
10/11/23 16:10,7.32
10/11/23 16:15,7.31
10/11/23 16:20,7.31
10/11/23 16:25,7.31
10/11/23 16:30,7.31
10/11/23 16:35,7.31
10/11/23 16:40,7.31
10/11/23 16:45,7.32
10/11/23 16:50,7.52
10/11/23 16:55,7.52
