datetime,pressure_kpa,depth_m
10/11/23 8:00,100.831,-0.007
10/11/23 8:05,100.826,-0.007
10/11/23 8:10,100.877,-0.008
10/11/23 8:15,101.229,-0.01
10/11/23 8:20,101.266,-0.008
10/11/23 8:25,101.281,-0.002
10/11/23 8:30,101.275,-0.007
10/11/23 8:35,101.28,-0.005
10/11/23 8:40,101.311,-0.004
10/11/23 8:45,101.312,-0.006
10/11/23 8:50,101.327,-0.004
10/11/23 8:55,101.346,-0.003
10/11/23 9:00,108.177,0.681
10/11/23 9:05,108.348,0.698
10/11/23 9:10,108.505,0.715
10/11/23 9:15,108.641,0.728
10/11/23 9:20,108.771,0.74
10/11/23 9:25,108.917,0.754
10/11/23 9:30,109.042,0.766
10/11/23 9:35,109.183,0.78
10/11/23 9:40,109.293,0.79
10/11/23 9:45,109.418,0.805
10/11/23 9:50,109.512,0.813
10/11/23 9:55,109.632,0.825
10/11/23 10:00,109.742,0.836
10/11/23 10:05,109.846,0.846
10/11/23 10:10,109.94,0.853
10/11/23 10:15,110.034,0.867
10/11/23 10:20,110.159,0.876
10/11/23 10:25,110.269,0.885
10/11/23 10:30,110.326,0.892
10/11/23 10:35,110.436,0.901
10/11/23 10:40,110.498,0.907
10/11/23 10:45,110.592,0.911
10/11/23 10:50,110.671,0.918
10/11/23 10:55,110.718,0.922
10/11/23 11:00,110.786,0.927
10/11/23 11:05,110.864,0.936
10/11/23 11:10,110.942,0.944
10/11/23 11:15,111.005,0.949
10/11/23 11:20,111.068,0.955
10/11/23 11:25,111.115,0.962
10/11/23 11:30,111.162,0.964
10/11/23 11:35,111.209,0.971
10/11/23 11:40,111.271,0.975
10/11/23 11:45,111.318,0.976
10/11/23 11:50,111.381,0.983
10/11/23 11:55,111.412,0.986
10/11/23 12:00,111.444,0.989
10/11/23 12:05,111.444,0.99
10/11/23 12:10,111.491,0.994
10/11/23 12:15,111.538,0.999
10/11/23 12:20,111.569,1
10/11/23 12:25,111.59,1
10/11/23 12:30,111.621,1.004
10/11/23 12:35,111.621,1
10/11/23 12:40,111.621,1.002
10/11/23 12:45,111.653,1.003
10/11/23 12:50,111.627,1.004
10/11/23 12:55,111.611,1
10/11/23 13:00,111.611,1
10/11/23 13:05,111.601,0.999
10/11/23 13:10,111.569,0.995
10/11/23 13:15,111.538,0.992
10/11/23 13:20,111.501,0.988
10/11/23 13:25,111.47,0.985
10/11/23 13:30,111.423,0.978
10/11/23 13:35,111.376,0.971
