MiniDOT Logger Concatenated Data File
Sensor:             7450-334927
Concatenation Date: 2023Oct12 17:50:19 EDT

DO concentration compensated for salinity: 24.0 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1697019540,           2023-10-11 10:19:00,           2023-10-11 06:19:00,      3.540000,     20.574000,          7.630328,                    97.726004,      0.944000
                1697019840,           2023-10-11 10:24:00,           2023-10-11 06:24:00,      3.540000,     20.583000,          7.635612,                    97.810079,      0.943000
                1697020140,           2023-10-11 10:29:00,           2023-10-11 06:29:00,      3.540000,     20.549000,          7.637943,                    97.777971,      0.943000
                1697020440,           2023-10-11 10:34:00,           2023-10-11 06:34:00,      3.540000,     20.474000,          7.654706,                    97.855590,      0.943000
                1697020740,           2023-10-11 10:39:00,           2023-10-11 06:39:00,      3.540000,     20.273000,          7.686937,                    97.899131,      0.943000
                1697021040,           2023-10-11 10:44:00,           2023-10-11 06:44:00,      3.530000,     20.005000,          7.742899,                    98.117326,      0.944000
                1697021340,           2023-10-11 10:49:00,           2023-10-11 06:49:00,      3.530000,     19.695000,          7.788920,                    98.125576,      0.944000
                1697021640,           2023-10-11 10:54:00,           2023-10-11 06:54:00,      3.540000,     19.377000,          7.844367,                    98.230729,      0.944000
                1697021940,           2023-10-11 10:59:00,           2023-10-11 06:59:00,      3.540000,     19.109000,          7.883712,                    98.221285,      0.944000
                1697022240,           2023-10-11 11:04:00,           2023-10-11 07:04:00,      3.530000,     18.848000,          7.920481,                    98.188478,      0.944000
                1697022540,           2023-10-11 11:09:00,           2023-10-11 07:09:00,      3.540000,     18.596000,          7.948628,                    98.062131,      0.943000
                1697022840,           2023-10-11 11:14:00,           2023-10-11 07:14:00,      3.540000,     18.268000,          8.004668,                    98.131089,      0.945000
                1697023140,           2023-10-11 11:19:00,           2023-10-11 07:19:00,      3.540000,     17.839000,          8.073597,                    98.155984,      0.945000
                1697023440,           2023-10-11 11:24:00,           2023-10-11 07:24:00,      3.540000,     17.324000,          8.139906,                    97.971000,      0.944000
                1697023740,           2023-10-11 11:29:00,           2023-10-11 07:29:00,      3.540000,     16.782000,          8.222269,                    97.910412,      0.944000
                1697024040,           2023-10-11 11:34:00,           2023-10-11 07:34:00,      3.540000,     16.315000,          8.288764,                    97.790040,      0.944000
                1697024340,           2023-10-11 11:39:00,           2023-10-11 07:39:00,      3.540000,     15.820000,          8.384248,                    97.940063,      0.945000
                1697024640,           2023-10-11 11:44:00,           2023-10-11 07:44:00,      3.540000,     15.341000,          8.449509,                    97.751650,      0.945000
                1697024940,           2023-10-11 11:49:00,           2023-10-11 07:49:00,      3.540000,     14.912000,          8.526373,                    97.782932,      0.944000
                1697025240,           2023-10-11 11:54:00,           2023-10-11 07:54:00,      3.540000,     14.662000,          8.597188,                    98.091514,      0.945000
                1697025540,           2023-10-11 11:59:00,           2023-10-11 07:59:00,      3.540000,     14.576000,          8.581643,                    97.741339,      0.945000
                1697025840,           2023-10-11 12:04:00,           2023-10-11 08:04:00,      3.540000,     14.446000,          8.603604,                    97.729680,      0.945000
                1697026140,           2023-10-11 12:09:00,           2023-10-11 08:09:00,      3.540000,     14.334000,          8.621428,                    97.706234,      0.944000
                1697026440,           2023-10-11 12:14:00,           2023-10-11 08:14:00,      3.540000,     14.412000,          8.631720,                    97.980379,      0.944000
                1697026740,           2023-10-11 12:19:00,           2023-10-11 08:19:00,      3.540000,     14.369000,          8.647664,                    98.074372,      0.944000
                1697027040,           2023-10-11 12:24:00,           2023-10-11 08:24:00,      3.540000,     15.615000,          8.443578,                    98.226322,      0.944000
                1697027340,           2023-10-11 12:29:00,           2023-10-11 08:29:00,      3.540000,     16.536000,          8.306430,                    98.430898,      0.943000
                1697027640,           2023-10-11 12:34:00,           2023-10-11 08:34:00,      3.540000,     16.536000,          8.307295,                    98.441145,      0.943000
                1697027940,           2023-10-11 12:39:00,           2023-10-11 08:39:00,      3.540000,     16.434000,          8.321887,                    98.414068,      0.943000
                1697028240,           2023-10-11 12:44:00,           2023-10-11 08:44:00,      3.540000,     17.188000,          8.233846,                    98.837160,      0.943000
                1697028540,           2023-10-11 12:49:00,           2023-10-11 08:49:00,      3.540000,     18.378000,          8.086227,                    99.341721,      0.943000
                1697028840,           2023-10-11 12:54:00,           2023-10-11 08:54:00,      3.530000,     20.507000,          7.824331,                   100.085633,      0.944000
                1697029140,           2023-10-11 12:59:00,           2023-10-11 08:59:00,      3.530000,     22.455000,          7.593018,                   100.666572,      0.944000
                1697029440,           2023-10-11 13:04:00,           2023-10-11 09:04:00,      3.530000,     22.765000,          7.516190,                   100.207616,      0.943000
