datetime,ph
10/11/23 8:00,3.63
10/11/23 8:05,3.63
10/11/23 8:10,3.63
10/11/23 8:15,3.63
10/11/23 8:20,3.63
10/11/23 8:25,3.62
10/11/23 8:30,3.62
10/11/23 8:35,3.62
10/11/23 8:40,3.62
10/11/23 8:45,3.62
10/11/23 8:50,3.62
10/11/23 8:55,3.63
10/11/23 9:00,3.63
10/11/23 9:05,3.63
10/11/23 9:10,3.63
10/11/23 9:15,3.64
10/11/23 9:20,3.64
10/11/23 9:25,3.63
10/11/23 9:30,3.63
10/11/23 9:35,3.63
10/11/23 9:40,3.63
10/11/23 9:45,3.64
10/11/23 9:50,3.64
10/11/23 9:55,3.64
10/11/23 10:00,3.64
10/11/23 10:05,3.64
10/11/23 10:10,3.64
10/11/23 10:15,3.64
10/11/23 10:20,3.64
10/11/23 10:25,3.65
10/11/23 10:30,3.65
10/11/23 10:35,3.65
10/11/23 10:40,3.65
10/11/23 10:45,3.65
10/11/23 10:50,3.65
10/11/23 10:55,3.66
10/11/23 11:00,3.66
10/11/23 11:05,3.66
10/11/23 11:10,3.82
10/11/23 11:15,7.13
10/11/23 11:20,7.14
10/11/23 11:25,7.14
10/11/23 11:30,7.12
10/11/23 11:35,7.11
10/11/23 11:40,7.11
10/11/23 11:45,7.1
10/11/23 11:50,7.1
10/11/23 11:55,7.1
10/11/23 12:00,7.1
10/11/23 12:05,7.1
10/11/23 12:10,7.11
10/11/23 12:15,7.11
10/11/23 12:20,7.11
10/11/23 12:25,7.11
10/11/23 12:30,7.12
10/11/23 12:35,7.12
10/11/23 12:40,7.12
10/11/23 12:45,7.12
10/11/23 12:50,7.12
10/11/23 12:55,7.12
10/11/23 13:00,7.12
10/11/23 13:05,7.13
10/11/23 13:10,7.13
10/11/23 13:15,7.13
10/11/23 13:20,7.13
10/11/23 13:25,7.13
10/11/23 13:30,7.13
10/11/23 13:35,7.13
10/11/23 13:40,7.13
10/11/23 13:45,7.13
10/11/23 13:50,7.13
10/11/23 13:55,7.13
10/11/23 14:00,7.13
10/11/23 14:05,7.13
10/11/23 14:10,7.14
10/11/23 14:15,7.14
10/11/23 14:20,7.13
10/11/23 14:25,7.13
10/11/23 14:30,7.14
10/11/23 14:35,7.14
10/11/23 14:40,7.14
10/11/23 14:45,7.14
10/11/23 14:50,7.14
10/11/23 14:55,7.17
10/11/23 15:00,7.13
10/11/23 15:05,7.12
10/11/23 15:10,7.12
10/11/23 15:15,7.12
10/11/23 15:20,7.12
10/11/23 15:25,6.23
10/11/23 15:30,6.14
10/11/23 15:35,6.11
10/11/23 15:40,6.14
10/11/23 15:45,6.17
10/11/23 15:50,6.11
10/11/23 15:55,6.12
10/11/23 16:00,6.14
10/11/23 16:05,6.16
10/11/23 16:10,6.15
10/11/23 16:15,6.15
10/11/23 16:20,6.15
10/11/23 16:25,6.13
10/11/23 16:30,6.13
10/11/23 16:35,6.11
10/11/23 16:40,6.09
10/11/23 16:45,6.07
10/11/23 16:50,6.07
10/11/23 16:55,6.04
10/11/23 17:00,6.04
10/11/23 17:05,6.04
10/11/23 17:10,6.05
10/11/23 17:15,6.06
10/11/23 17:20,6.05
10/11/23 17:25,5.9
10/11/23 17:30,5.85
10/11/23 17:35,5.81
10/11/23 17:40,5.82
10/11/23 17:45,5.83
10/11/23 17:50,5.84
10/11/23 17:55,5.82
10/11/23 18:00,5.82
10/11/23 18:05,5.82
10/11/23 18:10,5.81
10/11/23 18:15,5.8
10/11/23 18:20,5.8
10/11/23 18:25,5.81
10/11/23 18:30,5.81
10/11/23 18:35,5.81
10/11/23 18:40,5.81
10/11/23 18:45,5.81
10/11/23 18:50,5.82
10/11/23 18:55,5.82
10/11/23 19:00,5.81
10/11/23 19:05,5.82
10/11/23 19:10,5.82
10/11/23 19:15,5.83
10/11/23 19:20,5.84
10/11/23 19:25,5.84
10/11/23 19:30,5.85
10/11/23 19:35,5.85
10/11/23 19:40,5.85
10/11/23 19:45,5.86
10/11/23 19:50,5.86
10/11/23 19:55,5.87
10/11/23 20:00,5.87
10/11/23 20:05,5.87
10/11/23 20:10,5.87
10/11/23 20:15,5.87
10/11/23 20:20,5.87
10/11/23 20:25,5.87
10/11/23 20:30,5.87
10/11/23 20:35,5.87
10/11/23 20:40,5.87
10/11/23 20:45,5.87
10/11/23 20:50,5.87
10/11/23 20:55,5.87
10/11/23 21:00,5.87
10/11/23 21:05,5.87
10/11/23 21:10,5.87
10/11/23 21:15,5.86
10/11/23 21:20,5.86
10/11/23 21:25,5.86
10/11/23 21:30,5.86
10/11/23 21:35,5.86
10/11/23 21:40,5.86
10/11/23 21:45,5.86
10/11/23 21:50,5.86
10/11/23 21:55,5.86
10/11/23 22:00,5.86
10/11/23 22:05,5.86
10/11/23 22:10,5.86
10/11/23 22:15,5.85
10/11/23 22:20,5.85
10/11/23 22:25,5.85
10/11/23 22:30,5.85
10/11/23 22:35,5.85
10/11/23 22:40,5.85
10/11/23 22:45,5.85
10/11/23 22:50,5.85
10/11/23 22:55,5.85
10/11/23 23:00,5.84
10/11/23 23:05,5.84
10/11/23 23:10,5.84
10/11/23 23:15,5.84
10/11/23 23:20,5.84
10/11/23 23:25,5.84
10/11/23 23:30,5.84
10/11/23 23:35,5.84
10/11/23 23:40,5.84
10/11/23 23:45,5.84
10/11/23 23:50,5.83
10/11/23 23:55,5.83
10/12/23 0:00,5.83
10/12/23 0:05,5.83
10/12/23 0:10,5.83
10/12/23 0:15,5.83
10/12/23 0:20,5.83
10/12/23 0:25,5.83
10/12/23 0:30,5.83
10/12/23 0:35,5.83
10/12/23 0:40,5.83
10/12/23 0:45,5.83
10/12/23 0:50,5.83
10/12/23 0:55,5.83
10/12/23 1:00,5.83
10/12/23 1:05,5.83
10/12/23 1:10,5.83
10/12/23 1:15,5.83
10/12/23 1:20,5.83
10/12/23 1:25,5.83
10/12/23 1:30,5.82
10/12/23 1:35,5.82
10/12/23 1:40,5.82
10/12/23 1:45,5.82
10/12/23 1:50,5.82
10/12/23 1:55,5.82
10/12/23 2:00,5.82
10/12/23 2:05,5.82
10/12/23 2:10,5.82
10/12/23 2:15,5.82
10/12/23 2:20,5.82
10/12/23 2:25,5.82
10/12/23 2:30,5.82
10/12/23 2:35,5.82
10/12/23 2:40,5.82
10/12/23 2:45,5.82
10/12/23 2:50,5.82
10/12/23 2:55,5.82
10/12/23 3:00,5.82
10/12/23 3:05,5.82
10/12/23 3:10,5.82
10/12/23 3:15,5.82
10/12/23 3:20,5.82
10/12/23 3:25,5.82
10/12/23 3:30,5.82
10/12/23 3:35,5.82
10/12/23 3:40,5.82
10/12/23 3:45,5.82
10/12/23 3:50,5.83
10/12/23 3:55,5.82
10/12/23 4:00,5.82
10/12/23 4:05,5.83
10/12/23 4:10,5.83
10/12/23 4:15,5.83
10/12/23 4:20,5.83
10/12/23 4:25,5.83
10/12/23 4:30,5.83
10/12/23 4:35,5.83
10/12/23 4:40,5.83
10/12/23 4:45,5.83
10/12/23 4:50,5.83
10/12/23 4:55,5.83
10/12/23 5:00,5.83
10/12/23 5:05,5.83
10/12/23 5:10,5.83
10/12/23 5:15,5.83
10/12/23 5:20,5.83
10/12/23 5:25,5.83
10/12/23 5:30,5.83
10/12/23 5:35,5.83
10/12/23 5:40,5.83
10/12/23 5:45,5.83
10/12/23 5:50,5.83
10/12/23 5:55,5.83
10/12/23 6:00,5.83
10/12/23 6:05,5.83
10/12/23 6:10,5.83
10/12/23 6:15,5.83
10/12/23 6:20,5.83
10/12/23 6:25,5.83
10/12/23 6:30,5.83
10/12/23 6:35,5.83
10/12/23 6:40,5.83
10/12/23 6:45,5.83
10/12/23 6:50,5.83
10/12/23 6:55,5.83
10/12/23 7:00,5.83
10/12/23 7:05,5.82
10/12/23 7:10,5.79
10/12/23 7:15,5.79
10/12/23 7:20,5.79
10/12/23 7:25,5.79
10/12/23 7:30,5.8
10/12/23 7:35,5.8
10/12/23 7:40,5.8
10/12/23 7:45,5.8
10/12/23 7:50,5.8
10/12/23 7:55,5.8
10/12/23 8:00,5.79
10/12/23 8:05,5.79
10/12/23 8:10,5.79
10/12/23 8:15,5.8
10/12/23 8:20,5.8
10/12/23 8:25,5.8
10/12/23 8:30,5.8
10/12/23 8:35,5.8
10/12/23 8:40,5.8
10/12/23 8:45,5.8
10/12/23 8:50,5.8
10/12/23 8:55,5.8
10/12/23 9:00,5.8
10/12/23 9:05,5.8
10/12/23 9:10,8.18
10/12/23 9:15,8.2
10/12/23 9:20,8.2
10/12/23 9:25,8.17
10/12/23 9:30,8.18
10/12/23 9:35,8.21
10/12/23 9:40,8.18
10/12/23 9:45,8.17
10/12/23 9:50,8.16
10/12/23 9:55,8.16
10/12/23 10:00,8.21
10/12/23 10:05,8.21
10/12/23 10:10,8.24
10/12/23 10:15,8.24
10/12/23 10:20,8.25
10/12/23 10:25,8.25
10/12/23 10:30,8.26
10/12/23 10:35,8.26
10/12/23 10:40,8.26
10/12/23 10:45,8.26
10/12/23 10:50,8.26
10/12/23 10:55,8.27
10/12/23 11:00,8.27
10/12/23 11:05,8.27
10/12/23 11:10,8.27
10/12/23 11:15,8.27
10/12/23 11:20,8.28
10/12/23 11:25,8.28
10/12/23 11:30,8.28
10/12/23 11:35,8.29
10/12/23 11:40,8.29
10/12/23 11:45,8.29
10/12/23 11:50,8.29
10/12/23 11:55,8.29
10/12/23 12:00,8.3
10/12/23 12:05,8.29
10/12/23 12:10,8.29
10/12/23 12:15,8.3
10/12/23 12:20,8.3
10/12/23 12:25,8.3
10/12/23 12:30,8.31
10/12/23 12:35,8.32
10/12/23 12:40,8.32
10/12/23 12:45,8.32
10/12/23 12:50,8.32
10/12/23 12:55,8.32
10/12/23 13:00,8.32
10/12/23 13:05,8.33
10/12/23 13:10,8.33
10/12/23 13:15,8.33
10/12/23 13:20,8.34
10/12/23 13:25,8.34
10/12/23 13:30,8.34
10/12/23 13:35,8.31
10/12/23 13:40,8.29
10/12/23 13:45,8.29
10/12/23 13:50,8.27
10/12/23 13:55,8.26
10/12/23 14:00,8.25
10/12/23 14:05,8.25
10/12/23 14:10,8.25
10/12/23 14:15,8.24
10/12/23 14:20,8.24
10/12/23 14:25,8.23
10/12/23 14:30,8.23
10/12/23 14:35,8.23
10/12/23 14:40,8.23
10/12/23 14:45,8.22
10/12/23 14:50,8.21
10/12/23 14:55,8.22
10/12/23 15:00,8.21
10/12/23 15:05,8.2
10/12/23 15:10,8.19
10/12/23 15:15,8.19
10/12/23 15:20,8.18
10/12/23 15:25,8.17
10/12/23 15:30,8.17
10/12/23 15:35,8.16
10/12/23 15:40,8.16
10/12/23 15:45,8.15
10/12/23 15:50,8.15
10/12/23 15:55,8.14
10/12/23 16:00,8.14
10/12/23 16:05,8.14
10/12/23 16:10,8.14
10/12/23 16:15,8.14
10/12/23 16:20,8.13
10/12/23 16:25,8.13
10/12/23 16:30,3.65
10/12/23 16:35,3.63
10/12/23 16:40,3.63
10/12/23 16:45,3.63
10/12/23 16:50,3.63
