datetime,ph
10/11/23 8:00,3.6
10/11/23 8:05,3.6
10/11/23 8:10,3.6
10/11/23 8:15,3.6
10/11/23 8:20,3.6
10/11/23 8:25,3.6
10/11/23 8:30,3.59
10/11/23 8:35,3.6
10/11/23 8:40,3.59
10/11/23 8:45,3.59
10/11/23 8:50,3.61
10/11/23 8:55,3.64
10/11/23 9:00,6.69
10/11/23 9:05,6.92
10/11/23 9:10,6.9
10/11/23 9:15,6.92
10/11/23 9:20,6.95
10/11/23 9:25,6.99
10/11/23 9:30,7
10/11/23 9:35,7
10/11/23 9:40,6.89
10/11/23 9:45,6.92
10/11/23 9:50,6.92
10/11/23 9:55,6.92
10/11/23 10:00,6.94
10/11/23 10:05,6.94
10/11/23 10:10,6.94
10/11/23 10:15,6.93
10/11/23 10:20,6.93
10/11/23 10:25,6.93
10/11/23 10:30,6.93
10/11/23 10:35,6.93
10/11/23 10:40,6.92
10/11/23 10:45,6.92
10/11/23 10:50,6.93
10/11/23 10:55,6.92
10/11/23 11:00,6.92
10/11/23 11:05,6.92
10/11/23 11:10,6.92
10/11/23 11:15,6.92
10/11/23 11:20,6.92
10/11/23 11:25,6.92
10/11/23 11:30,6.91
10/11/23 11:35,6.91
10/11/23 11:40,6.92
10/11/23 11:45,6.91
10/11/23 11:50,6.91
10/11/23 11:55,6.9
10/11/23 12:00,6.9
10/11/23 12:05,6.9
10/11/23 12:10,6.9
10/11/23 12:15,6.9
10/11/23 12:20,6.91
10/11/23 12:25,6.91
10/11/23 12:30,6.9
10/11/23 12:35,6.91
10/11/23 12:40,6.9
10/11/23 12:45,6.9
10/11/23 12:50,6.9
10/11/23 12:55,6.89
10/11/23 13:00,6.89
10/11/23 13:05,6.91
10/11/23 13:10,6.91
10/11/23 13:15,6.89
10/11/23 13:20,6.9
10/11/23 13:25,6.89
10/11/23 13:30,6.89
10/11/23 13:35,6.9
10/11/23 13:40,6.9
10/11/23 13:45,6.9
10/11/23 13:50,6.9
10/11/23 13:55,6.9
10/11/23 14:00,6.9
10/11/23 14:05,6.9
10/11/23 14:10,6.9
10/11/23 14:15,6.93
10/11/23 14:20,6.98
10/11/23 14:25,7.01
10/11/23 14:30,7.08
10/11/23 14:35,7.14
10/11/23 14:40,7.14
10/11/23 14:45,7.15
10/11/23 14:50,7.15
10/11/23 14:55,7.16
10/11/23 15:00,7.15
10/11/23 15:05,7.15
10/11/23 15:10,7.15
10/11/23 15:15,7.15
10/11/23 15:20,7.16
10/11/23 15:25,7.17
10/11/23 15:30,7.17
10/11/23 15:35,7.17
10/11/23 15:40,7.17
10/11/23 15:45,7.16
10/11/23 15:50,7.16
10/11/23 15:55,7.17
10/11/23 16:00,7.16
10/11/23 16:05,7.15
10/11/23 16:10,7.16
10/11/23 16:15,7.17
10/11/23 16:20,7.17
10/11/23 16:25,7.17
10/11/23 16:30,7.16
10/11/23 16:35,7.14
10/11/23 16:40,7.14
10/11/23 16:45,7.15
