datetime,pressure_kpa,depth_m
10/18/23 8:00,102.184,-0.012
10/18/23 8:05,102.156,-0.011
10/18/23 8:10,102.128,-0.011
10/18/23 8:15,101.865,-0.009
10/18/23 8:20,102.128,-0.011
10/18/23 8:25,102.179,-0.01
10/18/23 8:30,102.169,-0.011
10/18/23 8:35,102.173,-0.011
10/18/23 8:40,102.204,-0.011
10/18/23 8:45,102.204,-0.011
10/18/23 8:50,102.188,-0.011
10/18/23 8:55,102.198,-0.01
10/18/23 9:00,102.204,-0.011
10/18/23 9:05,102.188,-0.013
10/18/23 9:10,102.21,-0.01
10/18/23 9:15,102.212,-0.011
10/18/23 9:20,102.247,-0.008
10/18/23 9:25,102.277,-0.006
10/18/23 9:30,112.673,1.043
10/18/23 9:35,112.695,1.046
10/18/23 9:40,112.664,1.036
10/18/23 9:45,112.67,1.032
10/18/23 9:50,112.623,1.028
10/18/23 9:55,112.566,1.02
10/18/23 10:00,112.613,1.016
10/18/23 10:05,112.519,1.003
10/18/23 10:10,112.582,1.006
10/18/23 10:15,112.535,0.994
10/18/23 10:20,112.556,0.987
10/18/23 10:25,112.572,0.977
10/18/23 10:30,112.525,0.96
10/18/23 10:35,112.468,0.943
10/18/23 10:40,112.556,0.949
10/18/23 10:45,112.54,0.946
10/18/23 10:50,112.587,0.954
10/18/23 10:55,112.572,0.959
10/18/23 11:00,112.609,0.943
10/18/23 11:05,112.609,0.924
10/18/23 11:10,112.64,0.902
10/18/23 11:15,112.74,0.874
10/18/23 11:20,112.703,0.816
10/18/23 11:25,112.797,0.762
10/18/23 11:30,112.828,0.676
10/18/23 11:35,112.907,0.639
10/18/23 11:40,112.985,0.729
10/18/23 11:45,113.016,0.785
10/18/23 11:50,113.11,0.83
10/18/23 11:55,113.22,0.862
10/18/23 12:00,113.251,0.885
10/18/23 12:05,113.376,0.917
10/18/23 12:10,113.439,0.935
10/18/23 12:15,113.517,0.953
10/18/23 12:20,113.611,0.975
10/18/23 12:25,113.658,0.982
10/18/23 12:30,113.805,1.003
10/18/23 12:35,113.837,1.005
10/18/23 12:40,113.968,1.021
10/18/23 12:45,114.046,1.031
10/18/23 12:50,114.099,1.034
10/18/23 12:55,114.224,1.051
10/18/23 13:00,114.324,1.065
10/18/23 13:05,114.34,1.066
10/18/23 13:10,114.481,1.082
10/18/23 13:15,114.581,1.088
10/18/23 13:20,114.706,1.095
10/18/23 13:25,114.722,1.095
10/18/23 13:30,114.869,1.107
10/18/23 13:35,114.963,1.115
10/18/23 13:40,115.041,1.117
10/18/23 13:45,115.157,1.12
10/18/23 13:50,115.267,1.119
10/18/23 13:55,115.288,1.116
10/18/23 14:00,115.398,1.136
10/18/23 14:05,115.451,1.188
10/18/23 14:10,115.498,1.186
10/18/23 14:15,115.629,1.176
10/18/23 14:20,115.629,1.159
10/18/23 14:25,115.76,1.16
10/18/23 14:30,115.823,1.181
10/18/23 14:35,115.892,1.194
10/18/23 14:40,115.939,1.216
10/18/23 14:45,116.017,1.236
10/18/23 14:50,116.101,1.229
10/18/23 14:55,116.148,1.239
10/18/23 15:00,116.195,1.245
10/18/23 15:05,116.227,1.266
10/18/23 15:10,116.305,1.288
10/18/23 15:15,117.853,1.458
10/18/23 15:20,117.869,1.474
10/18/23 15:25,117.921,1.486
10/18/23 15:30,117.969,1.487
10/18/23 15:35,117.906,1.488
10/18/23 15:40,118,1.499
10/18/23 15:45,118.047,1.508
10/18/23 15:50,118.094,1.516
10/18/23 15:55,118.12,1.529
10/18/23 16:00,118.12,1.534
10/18/23 16:05,118.161,1.544
10/18/23 16:10,118.177,1.554
10/18/23 16:15,118.202,1.562
10/18/23 16:20,118.186,1.564
10/18/23 16:25,118.218,1.573
10/18/23 16:30,118.233,1.579
10/18/23 16:35,118.249,1.584
10/18/23 16:40,118.249,1.587
10/18/23 16:45,118.233,1.591
10/18/23 16:50,118.249,1.594
10/18/23 16:55,118.249,1.597
10/18/23 17:00,118.233,1.597
10/18/23 17:05,118.224,1.597
10/18/23 17:10,118.208,1.596
10/18/23 17:15,118.145,1.593
10/18/23 17:20,118.145,1.595
10/18/23 17:25,102.134,-0.021
10/18/23 17:30,102.112,-0.022
10/18/23 17:35,102.106,-0.019
10/18/23 17:40,102.109,-0.016
10/18/23 17:45,102.108,-0.015
10/18/23 17:50,102.075,-0.017
10/18/23 17:55,102.102,-0.014
10/18/23 18:00,102.108,-0.012
10/18/23 18:05,102.077,-0.012
10/18/23 18:10,102.108,-0.01
10/18/23 18:15,102.129,-0.007
10/18/23 18:20,102.114,-0.008
10/18/23 18:25,102.108,-0.008
10/18/23 18:30,102.087,-0.01
10/18/23 18:35,102.093,-0.009
10/18/23 18:40,102.108,-0.009
10/18/23 18:45,101.989,-0.008
10/18/23 18:50,101.85,-0.005
10/18/23 18:55,101.861,-0.006
10/18/23 19:00,102.148,-0.006
10/18/23 19:05,102.055,-0.007
10/18/23 19:10,102.061,-0.005
10/18/23 19:15,102.046,-0.005
10/18/23 19:20,102.077,-0.002
10/18/23 19:25,102.087,-0.003
10/18/23 19:30,102.102,-0.002
10/18/23 19:35,102.097,-0.002
10/18/23 19:40,102.122,0.001
10/18/23 19:45,102.117,-0.002
10/18/23 19:50,102.122,0
10/18/23 19:55,102.127,-0.002
10/18/23 20:00,102.105,-0.004
10/18/23 20:05,102.126,-0.002
10/18/23 20:10,102.141,-0.001
10/18/23 20:15,102.13,-0.001
10/18/23 20:20,102.146,-0.001
10/18/23 20:25,102.146,-0.001
10/18/23 20:30,102.146,-0.001
10/18/23 20:35,102.13,-0.003
10/18/23 20:40,102.13,-0.003
10/18/23 20:45,102.115,-0.004
10/18/23 20:50,102.126,-0.005
