MiniDOT Logger Concatenated Data File
Sensor:             7450-562111
Concatenation Date: 2023Oct26 17:16:03 EDT

DO concentration compensated for salinity: 19.11 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1697019480,           2023-10-11 10:18:00,           2023-10-11 06:18:00,      3.470000,     20.533000,          7.921496,                    98.502990,      0.918000
                1697019780,           2023-10-11 10:23:00,           2023-10-11 06:23:00,      3.470000,     20.558000,          7.924345,                    98.584873,      0.918000
                1697020080,           2023-10-11 10:28:00,           2023-10-11 06:28:00,      3.470000,     20.500000,          7.929321,                    98.538922,      0.918000
                1697020380,           2023-10-11 10:33:00,           2023-10-11 06:33:00,      3.470000,     20.458000,          7.948704,                    98.701519,      0.919000
                1697020680,           2023-10-11 10:38:00,           2023-10-11 06:38:00,      3.470000,     20.315000,          7.959362,                    98.567060,      0.918000
                1697020980,           2023-10-11 10:43:00,           2023-10-11 06:43:00,      3.470000,     20.081000,          8.005140,                    98.695137,      0.918000
                1697021280,           2023-10-11 10:48:00,           2023-10-11 06:48:00,      3.470000,     19.830000,          8.041842,                    98.675141,      0.919000
                1697021580,           2023-10-11 10:53:00,           2023-10-11 06:53:00,      3.470000,     19.587000,          8.078574,                    98.666706,      0.919000
                1697021880,           2023-10-11 10:58:00,           2023-10-11 06:58:00,      3.470000,     19.343000,          8.121527,                    98.728178,      0.919000
                1697022180,           2023-10-11 11:03:00,           2023-10-11 07:03:00,      3.470000,     19.133000,          8.149516,                    98.668751,      0.919000
                1697022480,           2023-10-11 11:08:00,           2023-10-11 07:08:00,      3.470000,     18.940000,          8.182073,                    98.694381,      0.919000
                1697022780,           2023-10-11 11:13:00,           2023-10-11 07:13:00,      3.470000,     18.655000,          8.218415,                    98.586543,      0.919000
                1697023080,           2023-10-11 11:18:00,           2023-10-11 07:18:00,      3.470000,     18.335000,          8.271424,                    98.605806,      0.919000
                1697023380,           2023-10-11 11:23:00,           2023-10-11 07:23:00,      3.470000,     17.871000,          8.350972,                    98.652573,      0.920000
                1697023680,           2023-10-11 11:28:00,           2023-10-11 07:28:00,      3.470000,     17.407000,          8.421507,                    98.578066,      0.920000
                1697023980,           2023-10-11 11:33:00,           2023-10-11 07:33:00,      3.470000,     17.043000,          8.475785,                    98.497700,      0.920000
                1697024280,           2023-10-11 11:38:00,           2023-10-11 07:38:00,      3.470000,     16.652000,          8.534251,                    98.404017,      0.920000
                1697024580,           2023-10-11 11:43:00,           2023-10-11 07:43:00,      3.470000,     16.227000,          8.607522,                    98.402479,      0.920000
                1697024880,           2023-10-11 11:48:00,           2023-10-11 07:48:00,      3.470000,     15.852000,          8.673986,                    98.410768,      0.920000
