MiniDOT Logger Concatenated Data File
Sensor:             7450-516531
Concatenation Date: 2023Oct26 18:05:56 EDT

DO concentration compensated for salinity: 19.11 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1697019360,           2023-10-11 10:16:00,           2023-10-11 06:16:00,      3.490000,     20.550000,          8.107538,                   100.848722,      0.890000
                1697019660,           2023-10-11 10:21:00,           2023-10-11 06:21:00,      3.490000,     20.592000,          8.104249,                   100.887646,      0.890000
                1697019960,           2023-10-11 10:26:00,           2023-10-11 06:26:00,      3.490000,     20.500000,          8.129542,                   101.027110,      0.890000
                1697020260,           2023-10-11 10:31:00,           2023-10-11 06:31:00,      3.490000,     20.449000,          8.137237,                   101.025425,      0.890000
                1697020560,           2023-10-11 10:36:00,           2023-10-11 06:36:00,      3.490000,     20.332000,          8.159670,                   101.080140,      0.890000
                1697020860,           2023-10-11 10:41:00,           2023-10-11 06:41:00,      3.500000,     20.098000,          8.200941,                   101.141819,      0.890000
                1697021160,           2023-10-11 10:46:00,           2023-10-11 06:46:00,      3.490000,     19.880000,          8.234261,                   101.132512,      0.890000
                1697021460,           2023-10-11 10:51:00,           2023-10-11 06:51:00,      3.490000,     19.662000,          8.258630,                   101.010620,      0.890000
                1697021760,           2023-10-11 10:56:00,           2023-10-11 06:56:00,      3.490000,     19.444000,          8.287447,                   100.940733,      0.890000
                1697022060,           2023-10-11 11:01:00,           2023-10-11 07:01:00,      3.500000,     19.251000,          8.328927,                   101.070420,      0.890000
                1697022360,           2023-10-11 11:06:00,           2023-10-11 07:06:00,      3.500000,     19.108000,          8.344860,                   100.985133,      0.890000
                1697022660,           2023-10-11 11:11:00,           2023-10-11 07:11:00,      3.490000,     18.932000,          8.366794,                   100.906924,      0.890000
                1697022960,           2023-10-11 11:16:00,           2023-10-11 07:16:00,      3.490000,     18.688000,          8.403391,                   100.870121,      0.890000
                1697023260,           2023-10-11 11:21:00,           2023-10-11 07:21:00,      3.500000,     18.377000,          8.457310,                   100.904518,      0.891000
                1697023560,           2023-10-11 11:26:00,           2023-10-11 07:26:00,      3.500000,     18.040000,          8.500287,                   100.750546,      0.891000
                1697023860,           2023-10-11 11:31:00,           2023-10-11 07:31:00,      3.490000,     17.744000,          8.539073,                   100.622599,      0.890000
                1697024160,           2023-10-11 11:36:00,           2023-10-11 07:36:00,      3.500000,     17.423000,          8.593680,                   100.625352,      0.891000
                1697024460,           2023-10-11 11:41:00,           2023-10-11 07:41:00,      3.500000,     17.008000,          8.681368,                   100.816350,      0.892000
                1697024760,           2023-10-11 11:46:00,           2023-10-11 07:46:00,      3.490000,     16.635000,          8.734555,                   100.679240,      0.892000
                1697025060,           2023-10-11 11:51:00,           2023-10-11 07:51:00,      3.500000,     16.328000,          8.818495,                   101.020307,      0.892000
                1697025360,           2023-10-11 11:56:00,           2023-10-11 07:56:00,      3.500000,     16.175000,          8.824381,                   100.775572,      0.892000
                1697025660,           2023-10-11 12:01:00,           2023-10-11 08:01:00,      3.500000,     16.107000,          8.826501,                   100.661058,      0.893000
                1697025960,           2023-10-11 12:06:00,           2023-10-11 08:06:00,      3.500000,     15.979000,          8.843267,                   100.590730,      0.893000
                1697026260,           2023-10-11 12:11:00,           2023-10-11 08:11:00,      3.500000,     15.825000,          8.890970,                   100.817134,      0.893000
                1697026560,           2023-10-11 12:16:00,           2023-10-11 08:16:00,      3.490000,     15.628000,          8.953428,                   101.118283,      0.894000
                1697026860,           2023-10-11 12:21:00,           2023-10-11 08:21:00,      3.490000,     15.611000,          8.942607,                   100.960998,      0.894000
                1697027160,           2023-10-11 12:26:00,           2023-10-11 08:26:00,      3.490000,     15.680000,          8.923598,                   100.888459,      0.894000
                1697027460,           2023-10-11 12:31:00,           2023-10-11 08:31:00,      3.490000,     15.662000,          8.935019,                   100.980477,      0.894000
                1697027760,           2023-10-11 12:36:00,           2023-10-11 08:36:00,      3.490000,     15.594000,          8.943355,                   100.934378,      0.894000
                1697028060,           2023-10-11 12:41:00,           2023-10-11 08:41:00,      3.490000,     15.491000,          8.960297,                   100.912715,      0.894000
                1697028360,           2023-10-11 12:46:00,           2023-10-11 08:46:00,      3.490000,     15.560000,          8.959092,                   101.041715,      0.894000
                1697028660,           2023-10-11 12:51:00,           2023-10-11 08:51:00,      3.500000,     15.714000,          8.928330,                   101.012007,      0.893000
                1697028960,           2023-10-11 12:56:00,           2023-10-11 08:56:00,      3.500000,     15.970000,          8.883257,                   101.027136,      0.893000
                1697029260,           2023-10-11 13:01:00,           2023-10-11 09:01:00,      3.500000,     16.158000,          8.865204,                   101.206933,      0.893000
