MiniDOT Logger Concatenated Data File
Sensor:             7450-233512
Concatenation Date: 2023Oct26 16:35:06 EDT

DO concentration compensated for salinity: 19.11 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1697019540,           2023-10-11 10:19:00,           2023-10-11 06:19:00,      3.520000,     20.476000,          7.907708,                    98.225840,      0.936000
                1697019840,           2023-10-11 10:24:00,           2023-10-11 06:24:00,      3.520000,     20.527000,          7.912517,                    98.380207,      0.937000
                1697020140,           2023-10-11 10:29:00,           2023-10-11 06:29:00,      3.520000,     20.493000,          7.920335,                    98.414260,      0.937000
                1697020440,           2023-10-11 10:34:00,           2023-10-11 06:34:00,      3.520000,     20.460000,          7.926372,                    98.427932,      0.937000
                1697020740,           2023-10-11 10:39:00,           2023-10-11 06:39:00,      3.520000,     20.367000,          7.939155,                    98.413589,      0.936000
                1697021040,           2023-10-11 10:44:00,           2023-10-11 06:44:00,      3.520000,     20.233000,          7.949873,                    98.296796,      0.936000
                1697021340,           2023-10-11 10:49:00,           2023-10-11 06:49:00,      3.520000,     20.099000,          7.974882,                    98.355703,      0.936000
                1697021640,           2023-10-11 10:54:00,           2023-10-11 06:54:00,      3.520000,     19.965000,          8.006137,                    98.489986,      0.937000
                1697021940,           2023-10-11 10:59:00,           2023-10-11 06:59:00,      3.520000,     19.831000,          8.015048,                    98.348256,      0.936000
                1697022240,           2023-10-11 11:04:00,           2023-10-11 07:04:00,      3.520000,     19.655000,          8.044211,                    98.374911,      0.936000
                1697022540,           2023-10-11 11:09:00,           2023-10-11 07:09:00,      3.520000,     19.470000,          8.080442,                    98.468515,      0.937000
                1697022840,           2023-10-11 11:14:00,           2023-10-11 07:14:00,      3.520000,     19.227000,          8.097499,                    98.216689,      0.936000
                1697023140,           2023-10-11 11:19:00,           2023-10-11 07:19:00,      3.520000,     18.924000,          8.146253,                    98.231908,      0.937000
                1697023440,           2023-10-11 11:24:00,           2023-10-11 07:24:00,      3.520000,     18.520000,          8.198705,                    98.092175,      0.937000
                1697023740,           2023-10-11 11:29:00,           2023-10-11 07:29:00,      3.530000,     18.107000,          8.256381,                    97.988326,      0.937000
                1697024040,           2023-10-11 11:34:00,           2023-10-11 07:34:00,      3.520000,     17.727000,          8.310668,                    97.898291,      0.937000
                1697024340,           2023-10-11 11:39:00,           2023-10-11 07:39:00,      3.530000,     17.313000,          8.411883,                    98.281898,      0.938000
                1697024640,           2023-10-11 11:44:00,           2023-10-11 07:44:00,      3.530000,     16.863000,          8.443220,                    97.767022,      0.937000
                1697024940,           2023-10-11 11:49:00,           2023-10-11 07:49:00,      3.520000,     16.506000,          8.522428,                    97.979666,      0.938000
                1697025240,           2023-10-11 11:54:00,           2023-10-11 07:54:00,      3.530000,     16.233000,          8.596883,                    98.292782,      0.938000
                1697025540,           2023-10-11 11:59:00,           2023-10-11 07:59:00,      3.530000,     16.097000,          8.585125,                    97.888462,      0.938000
                1697025840,           2023-10-11 12:04:00,           2023-10-11 08:04:00,      3.530000,     15.926000,          8.629176,                    98.049835,      0.939000
                1697026140,           2023-10-11 12:09:00,           2023-10-11 08:09:00,      3.530000,     15.738000,          8.652599,                    97.940415,      0.938000
                1697026440,           2023-10-11 12:14:00,           2023-10-11 08:14:00,      3.520000,     15.686000,          8.687784,                    98.234423,      0.938000
                1697026740,           2023-10-11 12:19:00,           2023-10-11 08:19:00,      3.520000,     15.618000,          8.713046,                    98.383357,      0.939000
                1697027040,           2023-10-11 12:24:00,           2023-10-11 08:24:00,      3.520000,     16.438000,          8.556635,                    98.238298,      0.938000
                1697027340,           2023-10-11 12:29:00,           2023-10-11 08:29:00,      3.530000,     16.863000,          8.494008,                    98.355110,      0.938000
                1697027640,           2023-10-11 12:34:00,           2023-10-11 08:34:00,      3.520000,     16.719000,          8.535662,                    98.552709,      0.938000
                1697027940,           2023-10-11 12:39:00,           2023-10-11 08:39:00,      3.520000,     16.659000,          8.546777,                    98.562302,      0.938000
                1697028240,           2023-10-11 12:44:00,           2023-10-11 08:44:00,      3.530000,     17.033000,          8.489076,                    98.632471,      0.938000
                1697028540,           2023-10-11 12:49:00,           2023-10-11 08:49:00,      3.530000,     18.057000,          8.354132,                    99.051275,      0.939000
                1697028840,           2023-10-11 12:54:00,           2023-10-11 08:54:00,      3.520000,     19.915000,          8.097816,                    99.523037,      0.939000
                1697029140,           2023-10-11 12:59:00,           2023-10-11 08:59:00,      3.520000,     21.573000,          7.880056,                    99.912946,      0.939000
                1697029440,           2023-10-11 13:04:00,           2023-10-11 09:04:00,      3.520000,     23.356000,          7.649552,                   100.209577,      0.940000
                1697029740,           2023-10-11 13:09:00,           2023-10-11 09:09:00,      3.510000,     24.002000,          7.561135,                   100.209003,      0.940000
                1697030040,           2023-10-11 13:14:00,           2023-10-11 09:14:00,      3.520000,     23.490000,          7.613630,                    99.980587,      0.938000
                1697030340,           2023-10-11 13:19:00,           2023-10-11 09:19:00,      3.510000,     22.895000,          7.676286,                    99.722664,      0.937000
                1697030640,           2023-10-11 13:24:00,           2023-10-11 09:24:00,      3.520000,     22.720000,          7.705651,                    99.785493,      0.938000
                1697030940,           2023-10-11 13:29:00,           2023-10-11 09:29:00,      3.510000,     23.214000,          7.647790,                    99.929450,      0.938000
                1697031240,           2023-10-11 13:34:00,           2023-10-11 09:34:00,      3.520000,     23.415000,          7.608696,                    99.780651,      0.937000
                1697031540,           2023-10-11 13:39:00,           2023-10-11 09:39:00,      3.510000,     23.214000,          7.645998,                    99.906039,      0.938000
                1697031840,           2023-10-11 13:44:00,           2023-10-11 09:44:00,      3.510000,     24.287000,          7.535928,                   100.384802,      0.938000
                1697032140,           2023-10-11 13:49:00,           2023-10-11 09:49:00,      3.510000,     25.381000,          7.422961,                   100.812707,      0.939000
                1697032440,           2023-10-11 13:54:00,           2023-10-11 09:54:00,      3.510000,     26.216000,          7.318121,                   100.848463,      0.939000
                1697032740,           2023-10-11 13:59:00,           2023-10-11 09:59:00,      3.510000,     27.845000,          7.131875,                   101.070730,      0.940000
                1697033040,           2023-10-11 14:04:00,           2023-10-11 10:04:00,      3.500000,     28.460000,          7.058605,                   101.079455,      0.939000
                1697033340,           2023-10-11 14:09:00,           2023-10-11 10:09:00,      3.500000,     28.391000,          7.063650,                   101.033994,      0.939000
                1697033640,           2023-10-11 14:14:00,           2023-10-11 10:14:00,      3.510000,     28.871000,          7.007607,                   101.045473,      0.939000
                1697033940,           2023-10-11 14:19:00,           2023-10-11 10:19:00,      3.500000,     29.713000,          6.918170,                   101.168340,      0.939000
                1697034240,           2023-10-11 14:24:00,           2023-10-11 10:24:00,      3.510000,     29.885000,          6.894696,                   101.113353,      0.938000
                1697034540,           2023-10-11 14:29:00,           2023-10-11 10:29:00,      3.500000,     29.403000,          6.937357,                   100.926777,      0.938000
                1697034840,           2023-10-11 14:34:00,           2023-10-11 10:34:00,      3.510000,     21.916000,          5.479473,                    69.917962,      0.933000
                1697035140,           2023-10-11 14:39:00,           2023-10-11 10:39:00,      3.520000,     20.267000,          5.031371,                    62.250840,      0.935000
                1697035440,           2023-10-11 14:44:00,           2023-10-11 10:44:00,      3.520000,     19.965000,          4.839777,                    59.538026,      0.936000
                1697035740,           2023-10-11 14:49:00,           2023-10-11 10:49:00,      3.520000,     19.915000,          3.234123,                    39.747727,      0.936000
                1697036040,           2023-10-11 14:54:00,           2023-10-11 10:54:00,      3.520000,     19.831000,          3.266945,                    40.086890,      0.937000
                1697036340,           2023-10-11 14:59:00,           2023-10-11 10:59:00,      3.520000,     19.781000,          3.069386,                    37.626841,      0.937000
                1697036640,           2023-10-11 15:04:00,           2023-10-11 11:04:00,      3.520000,     19.756000,          2.812948,                    34.466782,      0.937000
                1697036940,           2023-10-11 15:09:00,           2023-10-11 11:09:00,      3.520000,     19.730000,          2.765542,                    33.869107,      0.937000
                1697037240,           2023-10-11 15:14:00,           2023-10-11 11:14:00,      3.520000,     19.705000,          2.658294,                    32.540110,      0.938000
                1697037540,           2023-10-11 15:19:00,           2023-10-11 11:19:00,      3.520000,     19.705000,          2.522521,                    30.878115,      0.937000
                1697037840,           2023-10-11 15:24:00,           2023-10-11 11:24:00,      3.520000,     19.680000,          2.510855,                    30.720631,      0.937000
                1697038140,           2023-10-11 15:29:00,           2023-10-11 11:29:00,      3.520000,     19.655000,          2.640316,                    32.289167,      0.937000
                1697038440,           2023-10-11 15:34:00,           2023-10-11 11:34:00,      3.520000,     19.655000,          2.677831,                    32.747944,      0.937000
                1697038740,           2023-10-11 15:39:00,           2023-10-11 11:39:00,      3.520000,     19.663000,          2.718937,                    33.255729,      0.937000
                1697039040,           2023-10-11 15:44:00,           2023-10-11 11:44:00,      3.520000,     19.630000,          2.681346,                    32.775259,      0.937000
                1697039340,           2023-10-11 15:49:00,           2023-10-11 11:49:00,      3.520000,     19.638000,          2.580434,                    31.546590,      0.937000
                1697039640,           2023-10-11 15:54:00,           2023-10-11 11:54:00,      3.520000,     19.630000,          2.447331,                    29.914793,      0.937000
                1697039940,           2023-10-11 15:59:00,           2023-10-11 11:59:00,      3.520000,     19.655000,          2.314296,                    28.302176,      0.937000
                1697040240,           2023-10-11 16:04:00,           2023-10-11 12:04:00,      3.520000,     19.630000,          2.198132,                    26.868725,      0.937000
                1697040540,           2023-10-11 16:09:00,           2023-10-11 12:09:00,      3.520000,     19.638000,          2.133837,                    26.086814,      0.937000
                1697040840,           2023-10-11 16:14:00,           2023-10-11 12:14:00,      3.520000,     19.630000,          2.087377,                    25.514917,      0.937000
                1697041140,           2023-10-11 16:19:00,           2023-10-11 12:19:00,      3.520000,     19.646000,          2.055250,                    25.129910,      0.937000
                1697041440,           2023-10-11 16:24:00,           2023-10-11 12:24:00,      3.520000,     19.638000,          2.046304,                    25.016697,      0.937000
                1697041740,           2023-10-11 16:29:00,           2023-10-11 12:29:00,      3.520000,     19.621000,          2.048061,                    25.030030,      0.937000
                1697042040,           2023-10-11 16:34:00,           2023-10-11 12:34:00,      3.520000,     19.638000,          2.073100,                    25.344284,      0.937000
