MiniDOT Logger Concatenated Data File
Sensor:             7450-334927
Concatenation Date: 2023Oct26 18:00:06 EDT

DO concentration compensated for salinity: 19.11 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1697574540,           2023-10-17 20:29:00,           2023-10-17 16:29:00,      3.530000,     22.372000,          7.557557,                    97.246809,      0.943000
                1697574840,           2023-10-17 20:34:00,           2023-10-17 16:34:00,      3.530000,     22.430000,          7.555227,                    97.320233,      0.943000
                1697575140,           2023-10-17 20:39:00,           2023-10-17 16:39:00,      3.530000,     22.388000,          7.546913,                    97.138330,      0.943000
                1697575440,           2023-10-17 20:44:00,           2023-10-17 16:44:00,      3.530000,     22.355000,          7.555663,                    97.192121,      0.943000
                1697575740,           2023-10-17 20:49:00,           2023-10-17 16:49:00,      3.530000,     22.338000,          7.565405,                    97.287105,      0.943000
                1697576040,           2023-10-17 20:54:00,           2023-10-17 16:54:00,      3.530000,     22.313000,          7.572413,                    97.332560,      0.944000
                1697576340,           2023-10-17 20:59:00,           2023-10-17 16:59:00,      3.530000,     22.263000,          7.577476,                    97.308265,      0.943000
                1697576640,           2023-10-17 21:04:00,           2023-10-17 17:04:00,      3.530000,     22.238000,          7.582693,                    97.330544,      0.943000
                1697576940,           2023-10-17 21:09:00,           2023-10-17 17:09:00,      3.530000,     22.230000,          7.578168,                    97.258163,      0.943000
                1697577240,           2023-10-17 21:14:00,           2023-10-17 17:14:00,      3.530000,     22.179000,          7.607391,                    97.541719,      0.944000
                1697577540,           2023-10-17 21:19:00,           2023-10-17 17:19:00,      3.530000,     22.154000,          7.597390,                    97.368703,      0.943000
                1697577840,           2023-10-17 21:24:00,           2023-10-17 17:24:00,      3.520000,     22.121000,          7.610611,                    97.478933,      0.944000
                1697578140,           2023-10-17 21:29:00,           2023-10-17 17:29:00,      3.520000,     22.096000,          7.617616,                    97.523759,      0.944000
                1697578440,           2023-10-17 21:34:00,           2023-10-17 17:34:00,      3.520000,     22.087000,          7.601449,                    97.300663,      0.943000
                1697578740,           2023-10-17 21:39:00,           2023-10-17 17:39:00,      3.520000,     22.046000,          7.623570,                    97.510132,      0.944000
                1697579040,           2023-10-17 21:44:00,           2023-10-17 17:44:00,      3.520000,     22.029000,          7.625254,                    97.501119,      0.944000
                1697579340,           2023-10-17 21:49:00,           2023-10-17 17:49:00,      3.530000,     22.004000,          7.621518,                    97.408447,      0.943000
                1697579640,           2023-10-17 21:54:00,           2023-10-17 17:54:00,      3.530000,     21.987000,          7.624992,                    97.422297,      0.944000
                1697579940,           2023-10-17 21:59:00,           2023-10-17 17:59:00,      3.530000,     21.954000,          7.626575,                    97.383229,      0.943000
                1697580240,           2023-10-17 22:04:00,           2023-10-17 18:04:00,      3.530000,     21.954000,          7.633735,                    97.474648,      0.944000
                1697580540,           2023-10-17 22:09:00,           2023-10-17 18:09:00,      3.530000,     21.937000,          7.638103,                    97.499832,      0.944000
                1697580840,           2023-10-17 22:14:00,           2023-10-17 18:14:00,      3.530000,     21.912000,          7.631682,                    97.372921,      0.943000
                1697581140,           2023-10-17 22:19:00,           2023-10-17 18:19:00,      3.530000,     21.912000,          7.634367,                    97.407175,      0.943000
                1697581440,           2023-10-17 22:24:00,           2023-10-17 18:24:00,      3.530000,     21.887000,          7.635106,                    97.371629,      0.943000
                1697581740,           2023-10-17 22:29:00,           2023-10-17 18:29:00,      3.530000,     21.862000,          7.633159,                    97.301856,      0.942000
                1697582040,           2023-10-17 22:34:00,           2023-10-17 18:34:00,      3.530000,     21.862000,          7.657320,                    97.609845,      0.944000
                1697582340,           2023-10-17 22:39:00,           2023-10-17 18:39:00,      3.530000,     21.828000,          7.652633,                    97.488804,      0.943000
                1697582640,           2023-10-17 22:44:00,           2023-10-17 18:44:00,      3.530000,     21.820000,          7.653477,                    97.485142,      0.943000
                1697582940,           2023-10-17 22:49:00,           2023-10-17 18:49:00,      3.530000,     21.820000,          7.644529,                    97.371165,      0.943000
                1697583240,           2023-10-17 22:54:00,           2023-10-17 18:54:00,      3.530000,     21.795000,          7.658689,                    97.506434,      0.943000
                1697583540,           2023-10-17 22:59:00,           2023-10-17 18:59:00,      3.530000,     21.795000,          7.667637,                    97.620356,      0.944000
                1697583840,           2023-10-17 23:04:00,           2023-10-17 19:04:00,      3.530000,     21.761000,          7.669212,                    97.579009,      0.943000
                1697584140,           2023-10-17 23:09:00,           2023-10-17 19:09:00,      3.530000,     21.786000,          7.659527,                    97.500871,      0.943000
                1697584440,           2023-10-17 23:14:00,           2023-10-17 19:14:00,      3.530000,     21.761000,          7.662949,                    97.499316,      0.943000
                1697584740,           2023-10-17 23:19:00,           2023-10-17 19:19:00,      3.530000,     21.761000,          7.662054,                    97.487931,      0.943000
