MiniDOT Logger Concatenated Data File
Sensor:             7450-269898
Concatenation Date: 2023Oct26 17:23:43 EDT

DO concentration compensated for salinity: 19.11 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1697019480,           2023-10-11 10:18:00,           2023-10-11 06:18:00,      3.520000,     20.481000,          7.810314,                    97.025208,      0.957000
                1697019780,           2023-10-11 10:23:00,           2023-10-11 06:23:00,      3.520000,     20.506000,          7.821205,                    97.206352,      0.958000
                1697020080,           2023-10-11 10:28:00,           2023-10-11 06:28:00,      3.520000,     20.497000,          7.817570,                    97.144679,      0.957000
                1697020380,           2023-10-11 10:33:00,           2023-10-11 06:33:00,      3.520000,     20.455000,          7.836957,                    97.308412,      0.956000
                1697020680,           2023-10-11 10:38:00,           2023-10-11 06:38:00,      3.530000,     20.338000,          7.845120,                    97.194599,      0.955000
                1697020980,           2023-10-11 10:43:00,           2023-10-11 06:43:00,      3.530000,     20.112000,          7.885614,                    97.278761,      0.956000
                1697021280,           2023-10-11 10:48:00,           2023-10-11 06:48:00,      3.520000,     19.911000,          7.906601,                    97.165576,      0.956000
                1697021580,           2023-10-11 10:53:00,           2023-10-11 06:53:00,      3.520000,     19.660000,          7.946885,                    97.193984,      0.956000
                1697021880,           2023-10-11 10:58:00,           2023-10-11 06:58:00,      3.520000,     19.450000,          7.978495,                    97.188899,      0.956000
                1697022180,           2023-10-11 11:03:00,           2023-10-11 07:03:00,      3.530000,     19.283000,          8.004134,                    97.188926,      0.956000
                1697022480,           2023-10-11 11:08:00,           2023-10-11 07:08:00,      3.530000,     19.132000,          8.028088,                    97.196706,      0.956000
                1697022780,           2023-10-11 11:13:00,           2023-10-11 07:13:00,      3.520000,     18.922000,          8.056082,                    97.140820,      0.956000
                1697023080,           2023-10-11 11:18:00,           2023-10-11 07:18:00,      3.520000,     18.711000,          8.092085,                    97.176753,      0.956000
                1697023380,           2023-10-11 11:23:00,           2023-10-11 07:23:00,      3.530000,     18.493000,          8.116418,                    97.056618,      0.956000
                1697023680,           2023-10-11 11:28:00,           2023-10-11 07:28:00,      3.530000,     18.274000,          8.146973,                    97.006491,      0.956000
                1697023980,           2023-10-11 11:33:00,           2023-10-11 07:33:00,      3.530000,     18.055000,          8.173049,                    96.900449,      0.956000
                1697024280,           2023-10-11 11:38:00,           2023-10-11 07:38:00,      3.520000,     17.835000,          8.201776,                    96.821439,      0.956000
