datetime,ph
10/18/23 8:00,3.57
10/18/23 8:05,3.57
10/18/23 8:10,3.57
10/18/23 8:15,3.57
10/18/23 8:20,3.57
10/18/23 8:25,3.57
10/18/23 8:30,3.57
10/18/23 8:35,3.57
10/18/23 8:40,3.57
10/18/23 8:45,3.57
10/18/23 8:50,3.57
10/18/23 8:55,3.57
10/18/23 9:00,3.57
10/18/23 9:05,3.57
10/18/23 9:10,3.57
10/18/23 9:15,3.58
10/18/23 9:20,3.58
10/18/23 9:25,3.58
10/18/23 9:30,3.58
10/18/23 9:35,3.58
10/18/23 9:40,3.6
10/18/23 9:45,3.61
10/18/23 9:50,3.61
10/18/23 9:55,3.62
10/18/23 10:00,3.63
10/18/23 10:05,3.64
10/18/23 10:10,3.64
10/18/23 10:15,3.65
10/18/23 10:20,3.66
10/18/23 10:25,3.67
10/18/23 10:30,3.67
10/18/23 10:35,3.67
10/18/23 10:40,3.67
10/18/23 10:45,3.67
10/18/23 10:50,3.66
10/18/23 10:55,3.65
10/18/23 11:00,3.64
10/18/23 11:05,3.64
10/18/23 11:10,3.64
10/18/23 11:15,3.64
10/18/23 11:20,3.63
10/18/23 11:25,3.62
10/18/23 11:30,3.62
10/18/23 11:35,3.61
10/18/23 11:40,3.61
10/18/23 11:45,3.61
10/18/23 11:50,3.6
10/18/23 11:55,3.6
10/18/23 12:00,3.6
10/18/23 12:05,3.6
10/18/23 12:10,8.08
10/18/23 12:15,8.08
10/18/23 12:20,8.09
10/18/23 12:25,8.09
10/18/23 12:30,8.09
10/18/23 12:35,8.11
10/18/23 12:40,8.13
10/18/23 12:45,8.13
10/18/23 12:50,8.14
10/18/23 12:55,8.15
10/18/23 13:00,8.16
10/18/23 13:05,8.18
10/18/23 13:10,8.18
10/18/23 13:15,8.17
10/18/23 13:20,8.18
10/18/23 13:25,8.19
10/18/23 13:30,8.2
10/18/23 13:35,8.21
10/18/23 13:40,8.21
10/18/23 13:45,8.23
10/18/23 13:50,8.24
10/18/23 13:55,8.24
10/18/23 14:00,8.25
10/18/23 14:05,8.27
10/18/23 14:10,8.29
10/18/23 14:15,8.29
10/18/23 14:20,8.28
10/18/23 14:25,8.29
10/18/23 14:30,8.29
10/18/23 14:35,8.32
10/18/23 14:40,7.88
10/18/23 14:45,7.81
10/18/23 14:50,7.81
10/18/23 14:55,7.79
10/18/23 15:00,7.76
10/18/23 15:05,7.73
10/18/23 15:10,7.69
10/18/23 15:15,7.67
10/18/23 15:20,7.65
10/18/23 15:25,7.64
10/18/23 15:30,7.65
10/18/23 15:35,7.68
10/18/23 15:40,7.65
10/18/23 15:45,7.57
10/18/23 15:50,7.57
10/18/23 15:55,7.52
10/18/23 16:00,7.49
10/18/23 16:05,7.47
10/18/23 16:10,7.49
10/18/23 16:15,7.53
10/18/23 16:20,7.52
10/18/23 16:25,7.55
10/18/23 16:30,7.53
10/18/23 16:35,7.53
10/18/23 16:40,7.53
10/18/23 16:45,7.52
10/18/23 16:50,7.52
10/18/23 16:55,7.52
10/18/23 17:00,7.52
10/18/23 17:05,7.51
10/18/23 17:10,7.5
10/18/23 17:15,7.5
10/18/23 17:20,7.5
10/18/23 17:25,7.5
10/18/23 17:30,7.5
10/18/23 17:35,7.49
10/18/23 17:40,7.48
10/18/23 17:45,7.47
10/18/23 17:50,7.47
10/18/23 17:55,7.47
10/18/23 18:00,7.47
10/18/23 18:05,7.48
10/18/23 18:10,7.48
10/18/23 18:15,7.48
10/18/23 18:20,7.46
10/18/23 18:25,7.47
10/18/23 18:30,7.47
10/18/23 18:35,7.48
10/18/23 18:40,7.48
10/18/23 18:45,7.48
10/18/23 18:50,7.47
10/18/23 18:55,7.47
10/18/23 19:00,7.46
10/18/23 19:05,7.41
10/18/23 19:10,7.41
10/18/23 19:15,7.4
10/18/23 19:20,7.41
10/18/23 19:25,7.41
10/18/23 19:30,7.4
10/18/23 19:35,7.38
10/18/23 19:40,7.37
10/18/23 19:45,7.37
10/18/23 19:50,7.36
10/18/23 19:55,7.36
10/18/23 20:00,7.36
10/18/23 20:05,7.36
10/18/23 20:10,7.36
10/18/23 20:15,7.36
10/18/23 20:20,7.36
10/18/23 20:25,7.36
10/18/23 20:30,7.36
10/18/23 20:35,7.36
10/18/23 20:40,7.35
10/18/23 20:45,7.34
10/18/23 20:50,7.33
10/18/23 20:55,7.32
10/18/23 21:00,7.32
10/18/23 21:05,7.31
10/18/23 21:10,7.31
10/18/23 21:15,7.3
10/18/23 21:20,7.3
10/18/23 21:25,7.3
10/18/23 21:30,7.3
10/18/23 21:35,7.29
10/18/23 21:40,7.29
10/18/23 21:45,7.29
10/18/23 21:50,7.29
10/18/23 21:55,7.29
10/18/23 22:00,7.28
10/18/23 22:05,7.28
10/18/23 22:10,7.28
10/18/23 22:15,7.28
10/18/23 22:20,7.28
10/18/23 22:25,7.28
10/18/23 22:30,7.28
10/18/23 22:35,7.28
10/18/23 22:40,7.28
10/18/23 22:45,7.27
10/18/23 22:50,7.27
10/18/23 22:55,7.27
10/18/23 23:00,7.27
10/18/23 23:05,7.27
10/18/23 23:10,7.27
10/18/23 23:15,7.26
10/18/23 23:20,7.26
10/18/23 23:25,7.26
10/18/23 23:30,7.26
10/18/23 23:35,7.26
10/18/23 23:40,7.26
10/18/23 23:45,7.26
10/18/23 23:50,7.25
10/18/23 23:55,7.25
10/19/23 0:00,7.25
10/19/23 0:05,7.25
10/19/23 0:10,7.25
10/19/23 0:15,7.25
10/19/23 0:20,7.25
10/19/23 0:25,7.25
10/19/23 0:30,7.25
10/19/23 0:35,7.24
10/19/23 0:40,7.24
10/19/23 0:45,7.24
10/19/23 0:50,7.23
10/19/23 0:55,7.24
10/19/23 1:00,7.24
10/19/23 1:05,7.24
10/19/23 1:10,7.24
10/19/23 1:15,7.23
10/19/23 1:20,7.23
10/19/23 1:25,7.23
10/19/23 1:30,7.23
10/19/23 1:35,7.22
10/19/23 1:40,7.23
10/19/23 1:45,7.22
10/19/23 1:50,7.22
10/19/23 1:55,7.22
10/19/23 2:00,7.22
10/19/23 2:05,7.22
10/19/23 2:10,7.22
10/19/23 2:15,7.22
10/19/23 2:20,7.22
10/19/23 2:25,7.22
10/19/23 2:30,7.22
10/19/23 2:35,7.21
10/19/23 2:40,7.22
10/19/23 2:45,7.22
10/19/23 2:50,7.21
10/19/23 2:55,7.22
10/19/23 3:00,7.22
10/19/23 3:05,7.22
10/19/23 3:10,7.22
10/19/23 3:15,7.22
10/19/23 3:20,7.22
10/19/23 3:25,7.22
10/19/23 3:30,7.22
10/19/23 3:35,7.22
10/19/23 3:40,7.22
10/19/23 3:45,7.22
10/19/23 3:50,7.22
10/19/23 3:55,7.22
10/19/23 4:00,7.22
10/19/23 4:05,7.22
10/19/23 4:10,7.22
10/19/23 4:15,7.22
10/19/23 4:20,7.22
10/19/23 4:25,7.22
10/19/23 4:30,7.22
10/19/23 4:35,7.22
10/19/23 4:40,7.22
10/19/23 4:45,7.22
10/19/23 4:50,7.22
10/19/23 4:55,7.22
10/19/23 5:00,7.22
10/19/23 5:05,7.22
10/19/23 5:10,7.22
10/19/23 5:15,7.22
10/19/23 5:20,7.22
10/19/23 5:25,7.22
10/19/23 5:30,7.22
10/19/23 5:35,7.22
10/19/23 5:40,7.22
10/19/23 5:45,7.22
10/19/23 5:50,7.22
10/19/23 5:55,7.22
10/19/23 6:00,7.22
10/19/23 6:05,7.22
10/19/23 6:10,7.22
10/19/23 6:15,7.22
10/19/23 6:20,7.22
10/19/23 6:25,7.22
10/19/23 6:30,7.22
10/19/23 6:35,7.22
10/19/23 6:40,7.22
10/19/23 6:45,7.22
10/19/23 6:50,7.22
10/19/23 6:55,7.22
10/19/23 7:00,7.22
10/19/23 7:05,7.22
10/19/23 7:10,7.22
10/19/23 7:15,7.22
10/19/23 7:20,7.22
10/19/23 7:25,7.23
10/19/23 7:30,7.22
10/19/23 7:35,7.22
10/19/23 7:40,7.23
10/19/23 7:45,7.22
10/19/23 7:50,7.22
10/19/23 7:55,7.23
10/19/23 8:00,7.22
10/19/23 8:05,7.22
10/19/23 8:10,7.22
10/19/23 8:15,7.22
10/19/23 8:20,7.22
10/19/23 8:25,7.22
10/19/23 8:30,7.22
10/19/23 8:35,7.22
10/19/23 8:40,7.23
10/19/23 8:45,7.22
10/19/23 8:50,7.22
10/19/23 8:55,7.23
10/19/23 9:00,7.23
10/19/23 9:05,7.23
10/19/23 9:10,7.23
10/19/23 9:15,7.23
10/19/23 9:20,7.23
10/19/23 9:25,7.23
10/19/23 9:30,7.23
10/19/23 9:35,7.23
10/19/23 9:40,7.23
10/19/23 9:45,7.23
10/19/23 9:50,7.23
10/19/23 9:55,7.23
10/19/23 10:00,7.23
10/19/23 10:05,7.23
10/19/23 10:10,7.24
10/19/23 10:15,7.24
10/19/23 10:20,7.24
10/19/23 10:25,7.24
10/19/23 10:30,7.24
10/19/23 10:35,7.24
10/19/23 10:40,7.24
10/19/23 10:45,7.24
10/19/23 10:50,7.24
10/19/23 10:55,7.23
10/19/23 11:00,7.23
10/19/23 11:05,7.22
10/19/23 11:10,7.22
10/19/23 11:15,7.21
10/19/23 11:20,7.2
10/19/23 11:25,7.18
10/19/23 11:30,7.18
10/19/23 11:35,7.18
10/19/23 11:40,7.18
10/19/23 11:45,7.18
10/19/23 11:50,7.18
10/19/23 11:55,7.19
10/19/23 12:00,7.19
10/19/23 12:05,7.18
10/19/23 12:10,7.19
10/19/23 12:15,7.19
10/19/23 12:20,7.18
10/19/23 12:25,7.18
10/19/23 12:30,7.18
10/19/23 12:35,7.17
10/19/23 12:40,7.17
10/19/23 12:45,7.17
10/19/23 12:50,7.16
10/19/23 12:55,7.16
10/19/23 13:00,7.16
10/19/23 13:05,7.15
10/19/23 13:10,7.15
10/19/23 13:15,7.15
10/19/23 13:20,7.15
10/19/23 13:25,7.15
10/19/23 13:30,7.14
10/19/23 13:35,7.14
10/19/23 13:40,7.14
10/19/23 13:45,7.14
10/19/23 13:50,7.14
10/19/23 13:55,7.13
10/19/23 14:00,7.13
10/19/23 14:01,
10/19/23 14:01,
10/19/23 14:01,
