datetime,ph
10/18/23 8:00,3.61
10/18/23 8:05,3.61
10/18/23 8:10,3.61
10/18/23 8:15,3.61
10/18/23 8:20,3.6
10/18/23 8:25,3.59
10/18/23 8:30,3.6
10/18/23 8:35,3.6
10/18/23 8:40,3.6
10/18/23 8:45,3.6
10/18/23 8:50,3.6
10/18/23 8:55,3.6
10/18/23 9:00,3.6
10/18/23 9:05,3.6
10/18/23 9:10,3.6
10/18/23 9:15,3.6
10/18/23 9:20,3.6
10/18/23 9:25,3.59
10/18/23 9:30,3.6
10/18/23 9:35,3.6
10/18/23 9:40,3.61
10/18/23 9:45,3.62
10/18/23 9:50,3.63
10/18/23 9:55,3.63
10/18/23 10:00,3.64
10/18/23 10:05,3.65
10/18/23 10:10,3.65
10/18/23 10:15,3.66
10/18/23 10:20,3.66
10/18/23 10:25,3.67
10/18/23 10:30,3.68
10/18/23 10:35,3.68
10/18/23 10:40,3.68
10/18/23 10:45,3.68
10/18/23 10:50,3.67
10/18/23 10:55,3.66
10/18/23 11:00,3.66
10/18/23 11:05,3.65
10/18/23 11:10,3.64
10/18/23 11:15,3.64
10/18/23 11:20,3.65
10/18/23 11:25,3.64
10/18/23 11:30,8.02
10/18/23 11:35,8.04
10/18/23 11:40,7.98
10/18/23 11:45,8
10/18/23 11:50,7.98
10/18/23 11:55,7.98
10/18/23 12:00,7.97
10/18/23 12:05,7.98
10/18/23 12:10,7.99
10/18/23 12:15,8
10/18/23 12:20,8
10/18/23 12:25,8.01
10/18/23 12:30,8.01
10/18/23 12:35,8.01
10/18/23 12:40,8.04
10/18/23 12:45,8.03
10/18/23 12:50,8.03
10/18/23 12:55,8.03
10/18/23 13:00,8.04
10/18/23 13:05,8.04
10/18/23 13:10,8.06
10/18/23 13:15,8.05
10/18/23 13:20,8.08
10/18/23 13:25,8.07
10/18/23 13:30,8.06
10/18/23 13:35,8.06
10/18/23 13:40,8.06
10/18/23 13:45,8.06
10/18/23 13:50,8.06
10/18/23 13:55,8.06
10/18/23 14:00,8.07
10/18/23 14:05,8.07
10/18/23 14:10,8.11
10/18/23 14:15,8.09
10/18/23 14:20,8.08
10/18/23 14:25,8.08
10/18/23 14:30,8.08
10/18/23 14:35,8.08
10/18/23 14:40,8.1
10/18/23 14:45,8.09
10/18/23 14:50,8.09
10/18/23 14:55,8.09
10/18/23 15:00,8.09
10/18/23 15:05,8.08
10/18/23 15:10,8.09
10/18/23 15:15,8.09
10/18/23 15:20,8.09
10/18/23 15:25,8.08
10/18/23 15:30,8.09
10/18/23 15:35,8.1
10/18/23 15:40,8.11
10/18/23 15:45,8.1
10/18/23 15:50,8.1
10/18/23 15:55,8.1
10/18/23 16:00,8.1
10/18/23 16:05,8.09
10/18/23 16:10,8.1
10/18/23 16:15,8.1
10/18/23 16:20,8.09
10/18/23 16:25,8.09
10/18/23 16:30,8.09
10/18/23 16:35,8.09
10/18/23 16:40,8.08
10/18/23 16:45,8.08
10/18/23 16:50,8.08
10/18/23 16:55,8.08
10/18/23 17:00,8.08
10/18/23 17:05,8.08
10/18/23 17:10,8.08
10/18/23 17:15,8.14
10/18/23 17:20,7.47
10/18/23 17:25,8.2
10/18/23 17:30,8.18
10/18/23 17:35,8.15
10/18/23 17:40,8.14
10/18/23 17:45,8.14
10/18/23 17:50,8.13
10/18/23 17:55,8.11
10/18/23 18:00,8.1
10/18/23 18:05,8.09
10/18/23 18:10,8.1
10/18/23 18:15,8.09
10/18/23 18:20,8.08
10/18/23 18:25,8.07
10/18/23 18:30,8.08
10/18/23 18:35,8.07
10/18/23 18:40,8.07
10/18/23 18:45,8.07
10/18/23 18:50,8.06
10/18/23 18:55,8.06
10/18/23 19:00,8.06
10/18/23 19:05,8.06
10/18/23 19:10,8.05
10/18/23 19:15,8.04
10/18/23 19:20,8.03
10/18/23 19:25,8.02
10/18/23 19:30,8.02
10/18/23 19:35,8.01
10/18/23 19:40,7.99
10/18/23 19:45,7.99
10/18/23 19:50,7.98
10/18/23 19:55,7.97
10/18/23 20:00,7.97
10/18/23 20:05,7.97
10/18/23 20:10,7.97
10/18/23 20:15,7.96
10/18/23 20:20,7.96
10/18/23 20:25,7.96
10/18/23 20:30,7.96
10/18/23 20:35,7.96
10/18/23 20:40,7.96
10/18/23 20:45,7.96
10/18/23 20:50,7.96
10/18/23 20:55,7.96
10/18/23 21:00,7.96
10/18/23 21:05,7.95
10/18/23 21:10,7.95
10/18/23 21:15,7.95
10/18/23 21:20,7.95
10/18/23 21:25,7.95
10/18/23 21:30,7.95
10/18/23 21:35,7.94
10/18/23 21:40,7.94
10/18/23 21:45,7.94
10/18/23 21:50,7.94
10/18/23 21:55,7.94
10/18/23 22:00,7.94
10/18/23 22:05,7.93
10/18/23 22:10,7.93
10/18/23 22:15,7.93
10/18/23 22:20,7.93
10/18/23 22:25,7.93
10/18/23 22:30,7.93
10/18/23 22:35,7.92
10/18/23 22:40,7.92
10/18/23 22:45,7.92
10/18/23 22:50,7.91
10/18/23 22:55,7.91
10/18/23 23:00,7.91
10/18/23 23:05,7.91
10/18/23 23:10,7.9
10/18/23 23:15,7.9
10/18/23 23:20,7.9
10/18/23 23:25,7.9
10/18/23 23:30,7.89
10/18/23 23:35,7.89
10/18/23 23:40,7.89
10/18/23 23:45,7.89
10/18/23 23:50,7.89
10/18/23 23:55,7.89
10/19/23 0:00,7.89
10/19/23 0:05,7.89
10/19/23 0:10,7.89
10/19/23 0:15,7.89
10/19/23 0:20,7.89
10/19/23 0:25,7.88
10/19/23 0:30,7.88
10/19/23 0:35,7.88
10/19/23 0:40,7.88
10/19/23 0:45,7.88
10/19/23 0:50,7.88
10/19/23 0:55,7.87
10/19/23 1:00,7.87
10/19/23 1:05,7.87
10/19/23 1:10,7.87
10/19/23 1:15,7.87
10/19/23 1:20,7.87
10/19/23 1:25,7.87
10/19/23 1:30,7.87
10/19/23 1:35,7.87
10/19/23 1:40,7.87
10/19/23 1:45,7.87
10/19/23 1:50,7.86
10/19/23 1:55,7.86
10/19/23 2:00,7.86
10/19/23 2:05,7.86
10/19/23 2:10,7.86
10/19/23 2:15,7.86
10/19/23 2:20,7.86
10/19/23 2:25,7.86
10/19/23 2:30,7.86
10/19/23 2:35,7.86
10/19/23 2:40,7.86
10/19/23 2:45,7.86
10/19/23 2:50,7.86
10/19/23 2:55,7.86
10/19/23 3:00,7.86
10/19/23 3:05,7.86
10/19/23 3:10,7.86
10/19/23 3:15,7.86
10/19/23 3:20,7.86
10/19/23 3:25,7.85
10/19/23 3:30,7.86
10/19/23 3:35,7.85
10/19/23 3:40,7.85
10/19/23 3:45,7.86
10/19/23 3:50,7.85
10/19/23 3:55,7.85
10/19/23 4:00,7.85
10/19/23 4:05,7.85
10/19/23 4:10,7.85
10/19/23 4:15,7.85
10/19/23 4:20,7.85
10/19/23 4:25,7.85
10/19/23 4:30,7.85
10/19/23 4:35,7.85
10/19/23 4:40,7.85
10/19/23 4:45,7.85
10/19/23 4:50,7.85
10/19/23 4:55,7.85
10/19/23 5:00,7.85
10/19/23 5:05,7.85
10/19/23 5:10,7.85
10/19/23 5:15,7.85
10/19/23 5:20,7.85
10/19/23 5:25,7.85
10/19/23 5:30,7.85
10/19/23 5:35,7.85
10/19/23 5:40,7.85
10/19/23 5:45,7.85
10/19/23 5:50,7.85
10/19/23 5:55,7.85
10/19/23 6:00,7.85
10/19/23 6:05,7.85
10/19/23 6:10,7.85
10/19/23 6:15,7.85
10/19/23 6:20,7.85
10/19/23 6:25,7.85
10/19/23 6:30,7.85
10/19/23 6:35,7.85
10/19/23 6:40,7.85
10/19/23 6:45,7.85
10/19/23 6:50,7.85
10/19/23 6:55,7.85
10/19/23 7:00,7.85
10/19/23 7:05,7.85
10/19/23 7:10,7.85
10/19/23 7:15,7.85
10/19/23 7:20,7.85
10/19/23 7:25,7.85
10/19/23 7:30,7.85
10/19/23 7:35,7.85
10/19/23 7:40,7.85
10/19/23 7:45,7.85
10/19/23 7:50,7.85
10/19/23 7:55,7.85
10/19/23 8:00,7.85
10/19/23 8:05,7.85
10/19/23 8:10,7.85
10/19/23 8:15,7.85
10/19/23 8:20,7.85
10/19/23 8:25,7.85
10/19/23 8:30,7.85
10/19/23 8:35,7.84
10/19/23 8:40,7.84
10/19/23 8:45,7.85
10/19/23 8:50,7.85
10/19/23 8:55,7.85
10/19/23 9:00,7.85
10/19/23 9:05,7.85
10/19/23 9:10,7.85
10/19/23 9:15,7.86
10/19/23 9:20,7.86
10/19/23 9:25,7.86
10/19/23 9:30,7.86
10/19/23 9:35,7.86
10/19/23 9:40,7.86
10/19/23 9:45,7.86
10/19/23 9:50,7.86
10/19/23 9:55,7.86
10/19/23 10:00,7.86
10/19/23 10:05,7.85
10/19/23 10:10,7.85
10/19/23 10:15,7.84
10/19/23 10:20,7.84
10/19/23 10:25,7.84
10/19/23 10:30,7.83
10/19/23 10:35,7.83
10/19/23 10:40,7.83
10/19/23 10:45,7.83
10/19/23 10:50,7.82
10/19/23 10:55,7.82
10/19/23 11:00,7.81
10/19/23 11:05,7.81
10/19/23 11:10,7.8
10/19/23 11:15,7.8
10/19/23 11:20,7.8
10/19/23 11:25,7.8
10/19/23 11:30,7.8
10/19/23 11:35,7.79
10/19/23 11:40,7.79
10/19/23 11:45,7.79
10/19/23 11:50,7.78
10/19/23 11:55,7.78
10/19/23 12:00,7.78
10/19/23 12:05,7.77
10/19/23 12:10,7.76
10/19/23 12:15,7.76
10/19/23 12:20,7.76
10/19/23 12:25,7.75
10/19/23 12:30,7.75
10/19/23 12:35,7.74
10/19/23 12:40,7.74
10/19/23 12:45,7.74
10/19/23 12:50,7.74
10/19/23 12:55,7.74
10/19/23 13:00,7.73
10/19/23 13:05,7.73
10/19/23 13:10,7.73
10/19/23 13:15,7.73
10/19/23 13:20,7.73
10/19/23 13:25,7.72
10/19/23 13:30,7.72
10/19/23 13:35,7.72
10/19/23 13:40,7.72
10/19/23 13:45,7.71
10/19/23 13:50,7.71
10/19/23 13:53,
10/19/23 13:53,
10/19/23 13:53,
10/19/23 13:53,
