MiniDOT Logger Concatenated Data File
Sensor:             7450-471033
Concatenation Date: 2023Oct26 17:10:40 EDT

DO concentration compensated for salinity: 2.73 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1697019420,           2023-10-11 10:17:00,           2023-10-11 06:17:00,      3.540000,     20.604000,          8.651488,                    97.850518,      0.900000
                1697019720,           2023-10-11 10:22:00,           2023-10-11 06:22:00,      3.540000,     20.571000,          8.661295,                    97.898208,      0.900000
                1697020020,           2023-10-11 10:27:00,           2023-10-11 06:27:00,      3.540000,     20.512000,          8.679932,                    97.995591,      0.900000
                1697020320,           2023-10-11 10:32:00,           2023-10-11 06:32:00,      3.540000,     20.462000,          8.693657,                    98.054426,      0.901000
                1697020620,           2023-10-11 10:37:00,           2023-10-11 06:37:00,      3.540000,     20.278000,          8.741685,                    98.240597,      0.901000
                1697020920,           2023-10-11 10:42:00,           2023-10-11 06:42:00,      3.530000,     19.918000,          8.800346,                    98.200314,      0.901000
                1697021220,           2023-10-11 10:47:00,           2023-10-11 06:47:00,      3.540000,     19.600000,          8.862981,                    98.277734,      0.902000
                1697021520,           2023-10-11 10:52:00,           2023-10-11 06:52:00,      3.540000,     19.265000,          8.918702,                    98.237587,      0.901000
                1697021820,           2023-10-11 10:57:00,           2023-10-11 06:57:00,      3.540000,     18.946000,          8.975418,                    98.232525,      0.902000
                1697022120,           2023-10-11 11:02:00,           2023-10-11 07:02:00,      3.540000,     18.719000,          9.024359,                    98.318058,      0.902000
                1697022420,           2023-10-11 11:07:00,           2023-10-11 07:07:00,      3.540000,     18.560000,          9.053696,                    98.321615,      0.903000
                1697022720,           2023-10-11 11:12:00,           2023-10-11 07:12:00,      3.540000,     18.358000,          9.065274,                    98.045567,      0.902000
                1697023020,           2023-10-11 11:17:00,           2023-10-11 07:17:00,      3.540000,     18.088000,          9.139736,                    98.309983,      0.903000
                1697023320,           2023-10-11 11:22:00,           2023-10-11 07:22:00,      3.540000,     17.777000,          9.178727,                    98.104369,      0.903000
                1697023620,           2023-10-11 11:27:00,           2023-10-11 07:27:00,      3.540000,     17.388000,          9.250085,                    98.080294,      0.903000
                1697023920,           2023-10-11 11:32:00,           2023-10-11 07:32:00,      3.540000,     17.075000,          9.296930,                    97.941644,      0.903000
                1697024220,           2023-10-11 11:37:00,           2023-10-11 07:37:00,      3.540000,     16.719000,          9.364375,                    97.925247,      0.903000
                1697024520,           2023-10-11 11:42:00,           2023-10-11 07:42:00,      3.540000,     16.337000,          9.434728,                    97.876271,      0.903000
                1697024820,           2023-10-11 11:47:00,           2023-10-11 07:47:00,      3.540000,     15.928000,          9.519791,                    97.912378,      0.904000
                1697025120,           2023-10-11 11:52:00,           2023-10-11 07:52:00,      3.540000,     15.552000,          9.626519,                    98.224610,      0.904000
                1697025420,           2023-10-11 11:57:00,           2023-10-11 07:57:00,      3.540000,     15.397000,          9.667627,                    98.319233,      0.905000
                1697025720,           2023-10-11 12:02:00,           2023-10-11 08:02:00,      3.540000,     15.260000,          9.654665,                    97.900876,      0.904000
                1697026020,           2023-10-11 12:07:00,           2023-10-11 08:07:00,      3.540000,     15.063000,          9.713417,                    98.082395,      0.904000
                1697026320,           2023-10-11 12:12:00,           2023-10-11 08:12:00,      3.540000,     14.865000,          9.773147,                    98.266976,      0.904000
                1697026620,           2023-10-11 12:17:00,           2023-10-11 08:17:00,      3.540000,     14.641000,          9.844638,                    98.509274,      0.905000
                1697026920,           2023-10-11 12:22:00,           2023-10-11 08:22:00,      3.540000,     14.916000,          9.765346,                    98.296233,      0.904000
                1697027220,           2023-10-11 12:27:00,           2023-10-11 08:27:00,      3.540000,     15.355000,          9.663639,                    98.190732,      0.904000
                1697027520,           2023-10-11 12:32:00,           2023-10-11 08:32:00,      3.540000,     15.492000,          9.632343,                    98.158734,      0.903000
                1697027820,           2023-10-11 12:37:00,           2023-10-11 08:37:00,      3.540000,     15.594000,          9.607886,                    98.121996,      0.903000
                1697028120,           2023-10-11 12:42:00,           2023-10-11 08:42:00,      3.540000,     15.611000,          9.619710,                    98.278216,      0.903000
                1697028420,           2023-10-11 12:47:00,           2023-10-11 08:47:00,      3.540000,     15.876000,          9.556116,                    98.178085,      0.903000
                1697028720,           2023-10-11 12:52:00,           2023-10-11 08:52:00,      3.540000,     16.252000,          9.497573,                    98.352632,      0.903000
                1697029020,           2023-10-11 12:57:00,           2023-10-11 08:57:00,      3.540000,     16.609000,          9.422275,                    98.304947,      0.902000
                1697029320,           2023-10-11 13:02:00,           2023-10-11 09:02:00,      3.540000,     16.812000,          9.397932,                    98.466639,      0.902000
                1697029620,           2023-10-11 13:07:00,           2023-10-11 09:07:00,      3.540000,     17.075000,          9.317588,                    98.159269,      0.901000
                1697029920,           2023-10-11 13:12:00,           2023-10-11 09:12:00,      3.530000,     17.675000,          9.187462,                    97.992712,      0.900000
                1697030220,           2023-10-11 13:17:00,           2023-10-11 09:17:00,      3.540000,     18.088000,          9.112189,                    98.013677,      0.900000
                1697030520,           2023-10-11 13:22:00,           2023-10-11 09:22:00,      3.540000,     18.392000,          9.052522,                    97.975160,      0.900000
                1697030820,           2023-10-11 13:27:00,           2023-10-11 09:27:00,      3.530000,     18.669000,          9.009544,                    98.057727,      0.900000
                1697031120,           2023-10-11 13:32:00,           2023-10-11 09:32:00,      3.530000,     18.971000,          8.937072,                    97.861964,      0.899000
                1697031420,           2023-10-11 13:37:00,           2023-10-11 09:37:00,      3.540000,     19.072000,          8.940136,                    98.094059,      0.900000
                1697031720,           2023-10-11 13:42:00,           2023-10-11 09:42:00,      3.530000,     19.424000,          8.867709,                    97.986333,      0.899000
                1697032020,           2023-10-11 13:47:00,           2023-10-11 09:47:00,      3.530000,     19.860000,          8.793395,                    98.010234,      0.899000
                1697032320,           2023-10-11 13:52:00,           2023-10-11 09:52:00,      3.530000,     20.278000,          8.726923,                    98.074706,      0.899000
                1697032620,           2023-10-11 13:57:00,           2023-10-11 09:57:00,      3.530000,     20.596000,          8.667226,                    98.013177,      0.899000
                1697032920,           2023-10-11 14:02:00,           2023-10-11 10:02:00,      3.530000,     20.980000,          8.609558,                    98.092960,      0.899000
                1697033220,           2023-10-11 14:07:00,           2023-10-11 10:07:00,      3.530000,     21.306000,          8.556745,                    98.109625,      0.899000
                1697033520,           2023-10-11 14:12:00,           2023-10-11 10:12:00,      3.530000,     21.657000,          8.504934,                    98.178228,      0.899000
                1697033820,           2023-10-11 14:17:00,           2023-10-11 10:17:00,      3.530000,     22.184000,          8.406043,                    98.021682,      0.898000
                1697034120,           2023-10-11 14:22:00,           2023-10-11 10:22:00,      3.530000,     22.769000,          8.313096,                    98.021514,      0.897000
                1697034420,           2023-10-11 14:27:00,           2023-10-11 10:27:00,      3.530000,     23.011000,          8.298561,                    98.298355,      0.898000
                1697034720,           2023-10-11 14:32:00,           2023-10-11 10:32:00,      3.530000,     22.894000,          8.335857,                    98.522399,      0.899000
                1697035020,           2023-10-11 14:37:00,           2023-10-11 10:37:00,      3.530000,     22.735000,          8.365236,                    98.572856,      0.899000
                1697035320,           2023-10-11 14:42:00,           2023-10-11 10:42:00,      3.530000,     22.694000,          8.374055,                    98.600208,      0.899000
                1697035620,           2023-10-11 14:47:00,           2023-10-11 10:47:00,      3.530000,     22.685000,          8.380937,                    98.664417,      0.899000
                1697035920,           2023-10-11 14:52:00,           2023-10-11 10:52:00,      3.530000,     22.794000,          8.356433,                    98.579116,      0.899000
                1697036220,           2023-10-11 14:57:00,           2023-10-11 10:57:00,      3.530000,     22.861000,          8.364372,                    98.797826,      0.900000
                1697036520,           2023-10-11 15:02:00,           2023-10-11 11:02:00,      3.530000,     22.986000,          8.335945,                    98.694640,      0.899000
                1697036820,           2023-10-11 15:07:00,           2023-10-11 11:07:00,      3.530000,     23.195000,          8.301689,                    98.676621,      0.899000
                1697037120,           2023-10-11 15:12:00,           2023-10-11 11:12:00,      3.530000,     23.380000,          8.262486,                    98.552339,      0.898000
                1697037420,           2023-10-11 15:17:00,           2023-10-11 11:17:00,      3.530000,     23.882000,          8.196994,                    98.692274,      0.898000
                1697037720,           2023-10-11 15:22:00,           2023-10-11 11:22:00,      3.520000,     25.242000,          7.974716,                    98.452973,      0.896000
                1697038020,           2023-10-11 15:27:00,           2023-10-11 11:27:00,      3.520000,     26.482000,          7.785723,                    98.300861,      0.894000
                1697038320,           2023-10-11 15:32:00,           2023-10-11 11:32:00,      3.530000,     26.863000,          7.733844,                    98.313905,      0.894000
                1697038620,           2023-10-11 15:37:00,           2023-10-11 11:37:00,      3.520000,     26.991000,          7.733949,                    98.539942,      0.894000
                1697038920,           2023-10-11 15:42:00,           2023-10-11 11:42:00,      3.520000,     26.923000,          7.742757,                    98.532638,      0.894000
                1697039220,           2023-10-11 15:47:00,           2023-10-11 11:47:00,      3.520000,     27.279000,          7.691835,                    98.506658,      0.894000
                1697039520,           2023-10-11 15:52:00,           2023-10-11 11:52:00,      3.520000,     27.415000,          7.672247,                    98.493102,      0.893000
                1697039820,           2023-10-11 15:57:00,           2023-10-11 11:57:00,      3.530000,     27.602000,          7.643836,                    98.453682,      0.893000
                1697040120,           2023-10-11 16:02:00,           2023-10-11 12:02:00,      3.530000,     27.721000,          7.624232,                    98.407827,      0.893000
                1697040420,           2023-10-11 16:07:00,           2023-10-11 12:07:00,      3.520000,     28.028000,          7.580153,                    98.369432,      0.893000
                1697040720,           2023-10-11 16:12:00,           2023-10-11 12:12:00,      3.520000,     28.600000,          7.521501,                    98.591219,      0.893000
                1697041020,           2023-10-11 16:17:00,           2023-10-11 12:17:00,      3.520000,     29.046000,          7.472591,                    98.713467,      0.892000
                1697041320,           2023-10-11 16:22:00,           2023-10-11 12:22:00,      3.520000,     30.028000,          7.344277,                    98.676398,      0.891000
                1697041620,           2023-10-11 16:27:00,           2023-10-11 12:27:00,      3.520000,     30.278000,          7.309979,                    98.637079,      0.890000
                1697041920,           2023-10-11 16:32:00,           2023-10-11 12:32:00,      3.530000,     26.838000,          5.330853,                    67.736442,      0.889000
                1697042220,           2023-10-11 16:37:00,           2023-10-11 12:37:00,      3.530000,     21.482000,          5.668199,                    65.211604,      0.901000
                1697042520,           2023-10-11 16:42:00,           2023-10-11 12:42:00,      3.530000,     20.813000,          3.410097,                    38.726789,      0.895000
                1697042820,           2023-10-11 16:47:00,           2023-10-11 12:47:00,      3.530000,     20.479000,          2.132578,                    24.061036,      0.889000
                1697043120,           2023-10-11 16:52:00,           2023-10-11 12:52:00,      3.530000,     20.303000,          1.234054,                    13.875339,      0.889000
                1697043420,           2023-10-11 16:57:00,           2023-10-11 12:57:00,      3.530000,     20.186000,          0.639652,                     7.175526,      0.885000
                1697043720,           2023-10-11 17:02:00,           2023-10-11 13:02:00,      3.540000,     20.169000,          0.402488,                     4.513541,      0.883000
                1697044020,           2023-10-11 17:07:00,           2023-10-11 13:07:00,      3.540000,     20.119000,          0.310967,                     3.483780,      0.884000
