MiniDOT Logger Concatenated Data File
Sensor:             7450-516531
Concatenation Date: 2023Oct26 18:07:28 EDT

DO concentration compensated for salinity: 2.73 (ppt)
Saturation computed at elevation: 0.0 (meter)

            Unix Timestamp,               UTC_Date_&_Time,         Eastern Standard Time,       Battery,   Temperature,  Dissolved Oxygen,  Dissolved Oxygen Saturation,             Q
                  (Second),                        (none),                        (none),        (Volt),       (deg C),            (mg/l),                          (%),        (none)
                1697019360,           2023-10-11 10:16:00,           2023-10-11 06:16:00,      3.490000,     20.550000,          8.926003,                   100.848722,      0.890000
                1697019660,           2023-10-11 10:21:00,           2023-10-11 06:21:00,      3.490000,     20.592000,          8.922111,                   100.887646,      0.890000
                1697019960,           2023-10-11 10:26:00,           2023-10-11 06:26:00,      3.490000,     20.500000,          8.950552,                   101.027110,      0.890000
                1697020260,           2023-10-11 10:31:00,           2023-10-11 06:31:00,      3.490000,     20.449000,          8.959354,                   101.025425,      0.890000
                1697020560,           2023-10-11 10:36:00,           2023-10-11 06:36:00,      3.490000,     20.332000,          8.984814,                   101.080140,      0.890000
                1697020860,           2023-10-11 10:41:00,           2023-10-11 06:41:00,      3.500000,     20.098000,          9.031795,                   101.141819,      0.890000
                1697021160,           2023-10-11 10:46:00,           2023-10-11 06:46:00,      3.490000,     19.880000,          9.069933,                   101.132512,      0.890000
                1697021460,           2023-10-11 10:51:00,           2023-10-11 06:51:00,      3.490000,     19.662000,          9.098228,                   101.010620,      0.890000
                1697021760,           2023-10-11 10:56:00,           2023-10-11 06:56:00,      3.490000,     19.444000,          9.131441,                   100.940733,      0.890000
                1697022060,           2023-10-11 11:01:00,           2023-10-11 07:01:00,      3.500000,     19.251000,          9.178454,                   101.070420,      0.890000
                1697022360,           2023-10-11 11:06:00,           2023-10-11 07:06:00,      3.500000,     19.108000,          9.196987,                   100.985133,      0.890000
                1697022660,           2023-10-11 11:11:00,           2023-10-11 07:11:00,      3.490000,     18.932000,          9.222368,                   100.906924,      0.890000
                1697022960,           2023-10-11 11:16:00,           2023-10-11 07:16:00,      3.490000,     18.688000,          9.264396,                   100.870121,      0.890000
                1697023260,           2023-10-11 11:21:00,           2023-10-11 07:21:00,      3.500000,     18.377000,          9.326018,                   100.904518,      0.891000
                1697023560,           2023-10-11 11:26:00,           2023-10-11 07:26:00,      3.500000,     18.040000,          9.375797,                   100.750546,      0.891000
                1697023860,           2023-10-11 11:31:00,           2023-10-11 07:31:00,      3.490000,     17.744000,          9.420699,                   100.622599,      0.890000
                1697024160,           2023-10-11 11:36:00,           2023-10-11 07:36:00,      3.500000,     17.423000,          9.483273,                   100.625352,      0.891000
                1697024460,           2023-10-11 11:41:00,           2023-10-11 07:41:00,      3.500000,     17.008000,          9.583104,                   100.816350,      0.892000
                1697024760,           2023-10-11 11:46:00,           2023-10-11 07:46:00,      3.490000,     16.635000,          9.644610,                   100.679240,      0.892000
                1697025060,           2023-10-11 11:51:00,           2023-10-11 07:51:00,      3.500000,     16.328000,          9.739634,                   101.020307,      0.892000
                1697025360,           2023-10-11 11:56:00,           2023-10-11 07:56:00,      3.500000,     16.175000,          9.747307,                   100.775572,      0.892000
                1697025660,           2023-10-11 12:01:00,           2023-10-11 08:01:00,      3.500000,     16.107000,          9.750171,                   100.661058,      0.893000
                1697025960,           2023-10-11 12:06:00,           2023-10-11 08:06:00,      3.500000,     15.979000,          9.769678,                   100.590730,      0.893000
                1697026260,           2023-10-11 12:11:00,           2023-10-11 08:11:00,      3.500000,     15.825000,          9.823574,                   100.817134,      0.893000
                1697026560,           2023-10-11 12:16:00,           2023-10-11 08:16:00,      3.490000,     15.628000,          9.894131,                   101.118283,      0.894000
                1697026860,           2023-10-11 12:21:00,           2023-10-11 08:21:00,      3.490000,     15.611000,          9.882307,                   100.960998,      0.894000
                1697027160,           2023-10-11 12:26:00,           2023-10-11 08:26:00,      3.490000,     15.680000,          9.860760,                   100.888459,      0.894000
                1697027460,           2023-10-11 12:31:00,           2023-10-11 08:31:00,      3.490000,     15.662000,          9.873522,                   100.980477,      0.894000
                1697027760,           2023-10-11 12:36:00,           2023-10-11 08:36:00,      3.490000,     15.594000,          9.883268,                   100.934378,      0.894000
