datetime,ph
10/24/23 8:00,3.45
10/24/23 8:05,3.45
10/24/23 8:10,3.45
10/24/23 8:15,3.45
10/24/23 8:20,3.44
10/24/23 8:25,3.44
10/24/23 8:30,3.43
10/24/23 8:35,3.44
10/24/23 8:40,3.43
10/24/23 8:45,3.43
10/24/23 8:50,3.44
10/24/23 8:55,3.44
10/24/23 9:00,3.44
10/24/23 9:05,3.44
10/24/23 9:10,3.44
10/24/23 9:15,3.44
10/24/23 9:20,3.44
10/24/23 9:25,3.45
10/24/23 9:30,3.45
10/24/23 9:35,3.45
10/24/23 9:40,3.45
10/24/23 9:45,3.45
10/24/23 9:50,3.45
10/24/23 9:55,3.46
10/24/23 10:00,3.46
10/24/23 10:05,3.46
10/24/23 10:10,3.47
10/24/23 10:15,3.47
10/24/23 10:20,3.48
10/24/23 10:25,3.49
10/24/23 10:30,3.49
10/24/23 10:35,3.5
10/24/23 10:40,3.51
10/24/23 10:45,3.51
10/24/23 10:50,3.52
10/24/23 10:55,3.53
10/24/23 11:00,3.53
10/24/23 11:05,3.53
10/24/23 11:10,3.54
10/24/23 11:15,3.54
10/24/23 11:20,3.54
10/24/23 11:25,3.55
10/24/23 11:30,3.55
10/24/23 11:35,3.55
10/24/23 11:40,3.55
10/24/23 11:45,3.55
10/24/23 11:50,3.55
10/24/23 11:55,3.55
10/24/23 12:00,3.56
10/24/23 12:05,3.55
10/24/23 12:10,3.54
10/24/23 12:15,3.52
10/24/23 12:20,3.54
10/24/23 12:25,3.56
10/24/23 12:30,3.53
10/24/23 12:35,3.5
10/24/23 12:40,3.49
10/24/23 12:45,3.23
10/24/23 12:50,3.31
10/24/23 12:55,3.35
10/24/23 13:00,3.43
10/24/23 13:05,3.43
10/24/23 13:10,8.16
10/24/23 13:15,8.32
10/24/23 13:20,8.33
10/24/23 13:25,8.32
10/24/23 13:30,8.31
10/24/23 13:35,8.28
10/24/23 13:40,8.27
10/24/23 13:45,8.25
10/24/23 13:50,8.27
10/24/23 13:55,8.23
10/24/23 14:00,8.21
10/24/23 14:05,8.22
10/24/23 14:10,8.22
10/24/23 14:15,8.2
10/24/23 14:20,8.24
10/24/23 14:25,8.25
10/24/23 14:30,8.27
10/24/23 14:35,8.28
10/24/23 14:40,8.28
10/24/23 14:45,8.28
10/24/23 14:50,8.27
10/24/23 14:55,8.27
10/24/23 15:00,8.28
10/24/23 15:05,8.27
10/24/23 15:10,8.27
10/24/23 15:15,8.27
10/24/23 15:20,8.28
10/24/23 15:25,8.3
10/24/23 15:30,8.29
10/24/23 15:35,8.29
10/24/23 15:40,8.28
10/24/23 15:45,8.28
10/24/23 15:50,8.28
10/24/23 15:55,8.28
10/24/23 16:00,8.27
10/24/23 16:05,8.26
10/24/23 16:10,8.26
10/24/23 16:15,8.26
10/24/23 16:20,8.24
10/24/23 16:25,8.23
10/24/23 16:30,8.22
10/24/23 16:35,8.21
10/24/23 16:40,8.21
10/24/23 16:45,8.22
10/24/23 16:50,8.24
10/24/23 16:55,8.24
10/24/23 17:00,8.24
10/24/23 17:05,8.29
10/24/23 17:10,8.54
10/24/23 17:15,8.03
10/24/23 17:20,7.99
10/24/23 17:25,7.96
10/24/23 17:30,7.92
10/24/23 17:35,7.9
10/24/23 17:40,7.88
10/24/23 17:45,7.79
10/24/23 17:50,7.78
10/24/23 17:55,7.77
10/24/23 18:00,7.76
10/24/23 18:05,7.76
10/24/23 18:10,7.75
10/24/23 18:15,7.74
10/24/23 18:20,7.72
10/24/23 18:25,7.7
10/24/23 18:30,7.7
10/24/23 18:35,7.72
10/24/23 18:40,7.71
10/24/23 18:45,7.72
10/24/23 18:50,7.72
10/24/23 18:55,7.72
10/24/23 19:00,7.71
10/24/23 19:05,7.7
10/24/23 19:10,7.69
10/24/23 19:15,7.68
10/24/23 19:20,7.66
10/24/23 19:25,7.64
10/24/23 19:30,7.62
10/24/23 19:35,7.6
10/24/23 19:40,7.59
10/24/23 19:45,7.58
10/24/23 19:50,7.57
10/24/23 19:55,7.57
10/24/23 19:59,
