datetime,ph
10/24/23 8:00,3.4
10/24/23 8:05,3.4
10/24/23 8:10,3.4
10/24/23 8:15,3.39
10/24/23 8:20,3.39
10/24/23 8:25,3.39
10/24/23 8:30,3.39
10/24/23 8:35,3.39
10/24/23 8:40,3.39
10/24/23 8:45,3.39
10/24/23 8:50,3.39
10/24/23 8:55,3.38
10/24/23 9:00,3.39
10/24/23 9:05,3.39
10/24/23 9:10,3.39
10/24/23 9:15,3.39
10/24/23 9:20,3.39
10/24/23 9:25,3.39
10/24/23 9:30,3.4
10/24/23 9:35,3.4
10/24/23 9:40,3.4
10/24/23 9:45,3.4
10/24/23 9:50,3.4
10/24/23 9:55,3.41
10/24/23 10:00,3.41
10/24/23 10:05,3.42
10/24/23 10:10,3.43
10/24/23 10:15,3.44
10/24/23 10:20,3.44
10/24/23 10:25,3.46
10/24/23 10:30,3.47
10/24/23 10:35,3.47
10/24/23 10:40,3.48
10/24/23 10:45,3.49
10/24/23 10:50,3.5
10/24/23 10:55,3.5
10/24/23 11:00,3.51
10/24/23 11:05,3.51
10/24/23 11:10,3.52
10/24/23 11:15,3.52
10/24/23 11:20,3.52
10/24/23 11:25,3.52
10/24/23 11:30,3.53
10/24/23 11:35,3.53
10/24/23 11:40,3.52
10/24/23 11:45,3.52
10/24/23 11:50,3.52
10/24/23 11:55,3.52
10/24/23 12:00,3.51
10/24/23 12:05,3.5
10/24/23 12:10,3.49
10/24/23 12:15,3.48
10/24/23 12:20,3.47
10/24/23 12:25,3.47
10/24/23 12:30,3.46
10/24/23 12:35,3.46
10/24/23 12:40,3.45
10/24/23 12:45,3.45
10/24/23 12:50,3.45
10/24/23 12:55,3.44
10/24/23 13:00,8.26
10/24/23 13:05,8.12
10/24/23 13:10,8.15
10/24/23 13:15,8.05
10/24/23 13:20,8.02
10/24/23 13:25,7.97
10/24/23 13:30,7.95
10/24/23 13:35,7.89
10/24/23 13:40,7.9
10/24/23 13:45,7.89
10/24/23 13:50,7.87
10/24/23 13:55,7.86
10/24/23 14:00,7.83
10/24/23 14:05,7.83
10/24/23 14:10,7.84
10/24/23 14:15,7.86
10/24/23 14:20,7.87
10/24/23 14:25,7.86
10/24/23 14:30,7.86
10/24/23 14:35,7.87
10/24/23 14:40,7.88
10/24/23 14:45,7.9
10/24/23 14:50,7.89
10/24/23 14:55,7.9
10/24/23 15:00,7.91
10/24/23 15:05,7.91
10/24/23 15:10,7.92
10/24/23 15:15,7.88
10/24/23 15:20,7.89
10/24/23 15:25,7.87
10/24/23 15:30,7.87
10/24/23 15:35,7.84
10/24/23 15:40,7.84
10/24/23 15:45,7.85
10/24/23 15:50,7.89
10/24/23 15:55,7.87
10/24/23 16:00,7.86
10/24/23 16:05,7.86
10/24/23 16:10,7.86
10/24/23 16:15,7.89
10/24/23 16:20,7.88
10/24/23 16:25,7.85
10/24/23 16:30,7.83
10/24/23 16:35,7.82
10/24/23 16:40,7.83
10/24/23 16:45,7.99
10/24/23 16:50,7.92
10/24/23 16:55,8.08
10/24/23 17:00,8.03
10/24/23 17:05,8
10/24/23 17:10,7.96
10/24/23 17:15,7.91
10/24/23 17:20,7.89
10/24/23 17:25,7.87
10/24/23 17:30,7.85
10/24/23 17:35,7.84
10/24/23 17:40,7.82
10/24/23 17:45,7.74
10/24/23 17:50,7.7
10/24/23 17:55,7.68
10/24/23 18:00,7.66
10/24/23 18:05,7.64
10/24/23 18:10,7.63
10/24/23 18:15,7.63
10/24/23 18:20,7.63
10/24/23 18:25,7.64
10/24/23 18:30,7.64
10/24/23 18:35,7.63
10/24/23 18:40,7.63
10/24/23 18:45,7.64
10/24/23 18:50,7.63
10/24/23 18:55,7.63
10/24/23 19:00,7.62
10/24/23 19:05,7.61
10/24/23 19:10,7.6
10/24/23 19:15,7.59
10/24/23 19:20,7.59
10/24/23 19:25,7.58
10/24/23 19:30,7.57
10/24/23 19:35,7.56
10/24/23 19:40,7.55
10/24/23 19:45,7.54
10/24/23 19:50,7.53
10/24/23 19:55,7.53
10/24/23 19:59,
