datetime,ph
10/24/23 8:00,3.39
10/24/23 8:05,3.38
10/24/23 8:10,3.38
10/24/23 8:15,3.39
10/24/23 8:20,3.38
10/24/23 8:25,3.38
10/24/23 8:30,3.39
10/24/23 8:35,3.39
10/24/23 8:40,3.39
10/24/23 8:45,3.39
10/24/23 8:50,3.39
10/24/23 8:55,3.39
10/24/23 9:00,3.39
10/24/23 9:05,3.39
10/24/23 9:10,3.4
10/24/23 9:15,3.41
10/24/23 9:20,3.41
10/24/23 9:25,3.41
10/24/23 9:30,3.41
10/24/23 9:35,3.41
10/24/23 9:40,3.4
10/24/23 9:45,3.41
10/24/23 9:50,3.41
10/24/23 9:55,3.45
10/24/23 10:00,3.48
10/24/23 10:05,3.49
10/24/23 10:10,3.5
10/24/23 10:15,3.51
10/24/23 10:20,3.5
10/24/23 10:25,3.5
10/24/23 10:30,3.5
10/24/23 10:35,3.5
10/24/23 10:40,3.5
10/24/23 10:45,3.51
10/24/23 10:50,3.51
10/24/23 10:55,3.51
10/24/23 11:00,3.51
10/24/23 11:05,3.52
10/24/23 11:10,3.52
10/24/23 11:15,3.52
10/24/23 11:20,3.53
10/24/23 11:25,3.53
10/24/23 11:30,3.54
10/24/23 11:35,3.54
10/24/23 11:40,3.55
10/24/23 11:45,3.55
10/24/23 11:50,3.55
10/24/23 11:55,3.54
10/24/23 12:00,3.54
10/24/23 12:05,3.52
10/24/23 12:10,3.51
10/24/23 12:15,3.51
10/24/23 12:20,3.5
10/24/23 12:25,3.52
10/24/23 12:30,3.51
10/24/23 12:35,3.47
10/24/23 12:40,3.46
10/24/23 12:45,8.18
10/24/23 12:50,8.14
10/24/23 12:55,8.11
10/24/23 13:00,8.08
10/24/23 13:05,8.02
10/24/23 13:10,7.99
10/24/23 13:15,7.99
10/24/23 13:20,7.97
10/24/23 13:25,7.95
10/24/23 13:30,7.93
10/24/23 13:35,7.92
10/24/23 13:40,7.9
10/24/23 13:45,7.91
10/24/23 13:50,7.93
10/24/23 13:55,7.89
10/24/23 14:00,7.84
10/24/23 14:05,7.82
10/24/23 14:10,7.81
10/24/23 14:15,7.81
10/24/23 14:20,7.84
10/24/23 14:25,7.84
10/24/23 14:30,7.86
10/24/23 14:35,7.88
10/24/23 14:40,7.89
10/24/23 14:45,7.91
10/24/23 14:50,7.9
10/24/23 14:55,7.9
10/24/23 15:00,7.91
10/24/23 15:05,7.89
10/24/23 15:10,7.87
10/24/23 15:15,7.86
10/24/23 15:20,7.87
10/24/23 15:25,7.86
10/24/23 15:30,7.87
10/24/23 15:35,7.87
10/24/23 15:40,7.86
10/24/23 15:45,7.86
10/24/23 15:50,7.87
10/24/23 15:55,7.86
10/24/23 16:00,7.85
10/24/23 16:05,7.84
10/24/23 16:10,7.85
10/24/23 16:15,7.87
10/24/23 16:20,7.85
10/24/23 16:25,7.85
10/24/23 16:30,8.01
10/24/23 16:35,8.42
10/24/23 16:40,6.73
10/24/23 16:45,6.72
10/24/23 16:50,6.72
10/24/23 16:55,6.72
10/24/23 17:00,6.7
10/24/23 17:05,6.7
10/24/23 17:10,6.64
10/24/23 17:15,6.63
10/24/23 17:20,6.61
10/24/23 17:25,6.62
10/24/23 17:30,6.63
10/24/23 17:35,6.63
10/24/23 17:40,6.63
10/24/23 17:45,6.49
10/24/23 17:50,6.49
10/24/23 17:55,6.5
10/24/23 18:00,6.5
10/24/23 18:05,6.5
10/24/23 18:10,6.51
10/24/23 18:15,6.51
10/24/23 18:20,6.5
10/24/23 18:25,6.5
10/24/23 18:30,6.5
10/24/23 18:35,6.48
10/24/23 18:40,6.46
10/24/23 18:45,6.47
10/24/23 18:50,6.46
10/24/23 18:55,6.45
10/24/23 19:00,6.45
10/24/23 19:05,6.44
10/24/23 19:10,6.45
10/24/23 19:15,6.44
10/24/23 19:20,6.44
10/24/23 19:25,6.44
10/24/23 19:30,6.44
10/24/23 19:35,6.44
10/24/23 19:40,6.44
10/24/23 19:45,6.44
10/24/23 19:50,6.44
10/24/23 19:55,6.44
10/24/23 19:59,
