datetime,ph
10/24/23 8:00,3.43
10/24/23 8:05,3.43
10/24/23 8:10,3.43
10/24/23 8:15,3.42
10/24/23 8:20,3.42
10/24/23 8:25,3.42
10/24/23 8:30,3.42
10/24/23 8:35,3.42
10/24/23 8:40,3.42
10/24/23 8:45,3.42
10/24/23 8:50,3.42
10/24/23 8:55,3.42
10/24/23 9:00,3.42
10/24/23 9:05,3.42
10/24/23 9:10,3.42
10/24/23 9:15,3.42
10/24/23 9:20,3.42
10/24/23 9:25,3.43
10/24/23 9:30,3.43
10/24/23 9:35,3.43
10/24/23 9:40,3.43
10/24/23 9:45,3.43
10/24/23 9:50,3.44
10/24/23 9:55,3.45
10/24/23 10:00,3.45
10/24/23 10:05,3.45
10/24/23 10:10,3.46
10/24/23 10:15,3.46
10/24/23 10:20,3.47
10/24/23 10:25,3.47
10/24/23 10:30,3.47
10/24/23 10:35,3.48
10/24/23 10:40,3.48
10/24/23 10:45,3.49
10/24/23 10:50,3.49
10/24/23 10:55,3.5
10/24/23 11:00,3.5
10/24/23 11:05,3.5
10/24/23 11:10,3.51
10/24/23 11:15,3.51
10/24/23 11:20,3.51
10/24/23 11:25,3.52
10/24/23 11:30,3.52
10/24/23 11:35,3.52
10/24/23 11:40,3.53
10/24/23 11:45,3.53
10/24/23 11:50,3.53
10/24/23 11:55,3.53
10/24/23 12:00,3.53
10/24/23 12:05,3.53
10/24/23 12:10,3.52
10/24/23 12:15,3.52
10/24/23 12:20,3.51
10/24/23 12:25,3.51
10/24/23 12:30,3.5
10/24/23 12:35,8.26
10/24/23 12:40,8.29
10/24/23 12:45,8.27
10/24/23 12:50,8.24
10/24/23 12:55,8.22
10/24/23 13:00,8.2
10/24/23 13:05,8.21
10/24/23 13:10,8.18
10/24/23 13:15,8.18
10/24/23 13:20,8.19
10/24/23 13:25,8.23
10/24/23 13:30,8.24
10/24/23 13:35,8.28
10/24/23 13:40,8.33
10/24/23 13:45,8.36
10/24/23 13:50,8.42
10/24/23 13:55,8.48
10/24/23 14:00,8.47
10/24/23 14:05,8.47
10/24/23 14:10,8.52
10/24/23 14:15,8.59
10/24/23 14:20,8.65
10/24/23 14:25,8.69
10/24/23 14:30,8.74
10/24/23 14:35,8.8
10/24/23 14:40,8.84
10/24/23 14:45,8.88
10/24/23 14:50,8.92
10/24/23 14:55,8.98
10/24/23 15:00,8.98
10/24/23 15:05,8.99
10/24/23 15:10,9.02
10/24/23 15:15,9.03
10/24/23 15:20,9.07
10/24/23 15:25,9.11
10/24/23 15:30,9.12
10/24/23 15:35,9.12
10/24/23 15:40,9.13
10/24/23 15:45,9.16
10/24/23 15:50,9.15
10/24/23 15:55,9.14
10/24/23 16:00,9.11
10/24/23 16:05,9.1
10/24/23 16:10,9.21
10/24/23 16:15,8.65
10/24/23 16:20,7.34
10/24/23 16:25,7.25
10/24/23 16:30,7.23
10/24/23 16:35,7.22
10/24/23 16:40,7.24
10/24/23 16:45,7.23
10/24/23 16:50,7.17
10/24/23 16:55,7.19
10/24/23 17:00,7.2
10/24/23 17:05,7.21
10/24/23 17:10,7.22
10/24/23 17:15,7.22
10/24/23 17:20,7.21
10/24/23 17:25,7.21
10/24/23 17:30,7.22
10/24/23 17:35,7.22
10/24/23 17:40,7.22
10/24/23 17:45,7
10/24/23 17:50,7
10/24/23 17:55,7.01
10/24/23 18:00,7.01
10/24/23 18:05,7.01
10/24/23 18:10,7.01
10/24/23 18:15,7.02
10/24/23 18:20,7.02
10/24/23 18:25,7.01
10/24/23 18:30,7
10/24/23 18:35,6.97
10/24/23 18:40,6.96
10/24/23 18:45,6.95
10/24/23 18:50,6.95
10/24/23 18:55,6.92
10/24/23 19:00,6.92
10/24/23 19:05,6.91
10/24/23 19:10,6.91
10/24/23 19:15,6.88
10/24/23 19:20,6.87
10/24/23 19:25,6.87
10/24/23 19:30,6.86
10/24/23 19:35,6.86
10/24/23 19:40,6.85
10/24/23 19:45,6.85
10/24/23 19:50,6.84
10/24/23 19:55,6.84
10/24/23 19:59,
