datetime,ph
10/24/23 8:00,3.42
10/24/23 8:05,3.42
10/24/23 8:10,3.41
10/24/23 8:15,3.42
10/24/23 8:20,3.41
10/24/23 8:25,3.41
10/24/23 8:30,3.42
10/24/23 8:35,3.41
10/24/23 8:40,3.41
10/24/23 8:45,3.41
10/24/23 8:50,3.41
10/24/23 8:55,3.4
10/24/23 9:00,3.41
10/24/23 9:05,3.41
10/24/23 9:10,3.42
10/24/23 9:15,3.42
10/24/23 9:20,3.42
10/24/23 9:25,3.43
10/24/23 9:30,3.43
10/24/23 9:35,3.43
10/24/23 9:40,3.43
10/24/23 9:45,3.44
10/24/23 9:50,3.45
10/24/23 9:55,3.49
10/24/23 10:00,3.52
10/24/23 10:05,3.54
10/24/23 10:10,3.56
10/24/23 10:15,3.57
10/24/23 10:20,3.57
10/24/23 10:25,3.55
10/24/23 10:30,3.53
10/24/23 10:35,3.52
10/24/23 10:40,3.52
10/24/23 10:45,3.52
10/24/23 10:50,3.52
10/24/23 10:55,3.52
10/24/23 11:00,3.52
10/24/23 11:05,3.52
10/24/23 11:10,3.53
10/24/23 11:15,3.53
10/24/23 11:20,3.53
10/24/23 11:25,3.53
10/24/23 11:30,3.54
10/24/23 11:35,3.54
10/24/23 11:40,3.54
10/24/23 11:45,3.55
10/24/23 11:50,3.55
10/24/23 11:55,3.54
10/24/23 12:00,3.5
10/24/23 12:05,3.49
10/24/23 12:10,3.47
10/24/23 12:15,8.21
10/24/23 12:20,8.17
10/24/23 12:25,8.1
10/24/23 12:30,8.05
10/24/23 12:35,8.04
10/24/23 12:40,8.01
10/24/23 12:45,7.98
10/24/23 12:50,7.97
10/24/23 12:55,7.96
10/24/23 13:00,7.94
10/24/23 13:05,7.93
10/24/23 13:10,7.92
10/24/23 13:15,7.91
10/24/23 13:20,7.9
10/24/23 13:25,7.89
10/24/23 13:30,7.88
10/24/23 13:35,7.88
10/24/23 13:40,7.88
10/24/23 13:45,7.88
10/24/23 13:50,7.87
10/24/23 13:55,7.87
10/24/23 14:00,7.87
10/24/23 14:05,7.86
10/24/23 14:10,7.86
10/24/23 14:15,7.87
10/24/23 14:20,7.87
10/24/23 14:25,7.87
10/24/23 14:30,7.88
10/24/23 14:35,7.9
10/24/23 14:40,7.9
10/24/23 14:45,7.91
10/24/23 14:50,7.92
10/24/23 14:55,7.93
10/24/23 15:00,7.93
10/24/23 15:05,7.93
10/24/23 15:10,7.93
10/24/23 15:15,7.93
10/24/23 15:20,7.93
10/24/23 15:25,7.94
10/24/23 15:30,7.95
10/24/23 15:35,7.95
10/24/23 15:40,7.96
10/24/23 15:45,7.97
10/24/23 15:50,8.1
10/24/23 15:55,8.49
10/24/23 16:00,8.15
10/24/23 16:05,8.12
10/24/23 16:10,8.08
10/24/23 16:15,8.02
10/24/23 16:20,7.99
10/24/23 16:25,7.92
10/24/23 16:30,7.85
10/24/23 16:35,7.84
10/24/23 16:40,7.88
10/24/23 16:45,7.9
10/24/23 16:50,7.79
10/24/23 16:55,7.82
10/24/23 17:00,7.78
10/24/23 17:05,7.76
10/24/23 17:10,7.73
10/24/23 17:15,7.73
10/24/23 17:20,7.7
10/24/23 17:25,7.68
10/24/23 17:30,7.68
10/24/23 17:35,7.68
10/24/23 17:40,7.68
10/24/23 17:45,7.7
10/24/23 17:50,7.66
10/24/23 17:55,7.65
10/24/23 18:00,7.64
10/24/23 18:05,7.63
10/24/23 18:10,7.62
10/24/23 18:15,7.59
10/24/23 18:20,7.58
10/24/23 18:25,7.57
10/24/23 18:30,7.58
10/24/23 18:35,7.59
10/24/23 18:40,7.59
10/24/23 18:45,7.59
10/24/23 18:50,7.58
10/24/23 18:55,7.6
10/24/23 19:00,7.6
10/24/23 19:05,7.59
10/24/23 19:10,7.59
10/24/23 19:15,7.59
10/24/23 19:20,7.58
10/24/23 19:25,7.58
10/24/23 19:30,7.58
10/24/23 19:35,7.56
10/24/23 19:40,7.56
10/24/23 19:45,7.56
10/24/23 19:50,7.55
10/24/23 19:55,7.55
10/24/23 19:59,
