datetime,ph
10/24/23 8:00,3.41
10/24/23 8:05,3.4
10/24/23 8:10,3.39
10/24/23 8:15,3.4
10/24/23 8:20,3.4
10/24/23 8:25,3.39
10/24/23 8:30,3.4
10/24/23 8:35,3.4
10/24/23 8:40,3.4
10/24/23 8:45,3.41
10/24/23 8:50,3.41
10/24/23 8:55,3.41
10/24/23 9:00,3.41
10/24/23 9:05,3.35
10/24/23 9:10,3.36
10/24/23 9:15,3.35
10/24/23 9:20,3.35
10/24/23 9:25,3.4
10/24/23 9:30,3.41
10/24/23 9:35,3.41
10/24/23 9:40,3.42
10/24/23 9:45,3.42
10/24/23 9:50,3.42
10/24/23 9:55,3.43
10/24/23 10:00,3.43
10/24/23 10:05,3.43
10/24/23 10:10,3.44
10/24/23 10:15,3.44
10/24/23 10:20,3.45
10/24/23 10:25,3.45
10/24/23 10:30,3.45
10/24/23 10:35,3.46
10/24/23 10:40,3.46
10/24/23 10:45,3.47
10/24/23 10:50,3.51
10/24/23 10:55,7.83
10/24/23 11:00,7.86
10/24/23 11:05,7.85
10/24/23 11:10,7.87
10/24/23 11:15,7.86
10/24/23 11:20,7.85
10/24/23 11:25,7.85
10/24/23 11:30,7.86
10/24/23 11:35,7.86
10/24/23 11:40,7.86
10/24/23 11:45,7.86
10/24/23 11:50,7.86
10/24/23 11:55,7.86
10/24/23 12:00,7.86
10/24/23 12:05,7.86
10/24/23 12:10,7.86
10/24/23 12:15,7.86
10/24/23 12:20,7.86
10/24/23 12:25,7.86
10/24/23 12:30,7.85
10/24/23 12:35,7.86
10/24/23 12:40,7.85
10/24/23 12:45,7.85
10/24/23 12:50,7.85
10/24/23 12:55,7.84
10/24/23 13:00,7.85
10/24/23 13:05,7.84
10/24/23 13:10,7.84
10/24/23 13:15,7.84
10/24/23 13:20,7.85
10/24/23 13:25,7.84
10/24/23 13:30,7.84
10/24/23 13:35,7.85
10/24/23 13:40,7.84
10/24/23 13:45,7.83
10/24/23 13:50,7.83
10/24/23 13:55,7.82
10/24/23 14:00,7.81
10/24/23 14:05,7.81
10/24/23 14:10,7.81
10/24/23 14:15,7.82
10/24/23 14:20,7.81
10/24/23 14:25,7.81
10/24/23 14:30,7.84
10/24/23 14:35,7.89
10/24/23 14:40,7.76
10/24/23 14:45,7.73
10/24/23 14:50,7.75
10/24/23 14:55,7.75
10/24/23 15:00,7.75
10/24/23 15:05,7.73
10/24/23 15:10,7.68
10/24/23 15:15,7.64
10/24/23 15:20,7.63
10/24/23 15:25,7.61
10/24/23 15:30,7.5
10/24/23 15:35,7.46
10/24/23 15:40,7.45
10/24/23 15:45,7.45
10/24/23 15:50,7.45
10/24/23 15:55,7.42
10/24/23 16:00,7.41
10/24/23 16:05,7.4
10/24/23 16:10,7.38
10/24/23 16:15,7.37
10/24/23 16:20,7.36
10/24/23 16:25,7.34
10/24/23 16:30,7.35
10/24/23 16:35,7.34
10/24/23 16:40,7.33
10/24/23 16:45,7.33
10/24/23 16:50,7.33
10/24/23 16:55,7.33
10/24/23 17:00,7.31
10/24/23 17:05,7.31
10/24/23 17:10,7.3
10/24/23 17:15,7.29
10/24/23 17:20,7.28
10/24/23 17:25,7.28
10/24/23 17:30,7.26
10/24/23 17:35,7.26
10/24/23 17:40,7.25
10/24/23 17:45,7.23
10/24/23 17:50,7.22
10/24/23 17:55,7.22
10/24/23 18:00,7.22
10/24/23 18:05,7.2
10/24/23 18:10,7.19
10/24/23 18:15,7.19
10/24/23 18:20,7.18
10/24/23 18:25,7.17
10/24/23 18:30,7.17
10/24/23 18:35,7.17
10/24/23 18:40,7.17
10/24/23 18:45,7.17
10/24/23 18:50,7.17
10/24/23 18:55,7.17
10/24/23 19:00,7.18
10/24/23 19:05,7.18
10/24/23 19:10,7.17
10/24/23 19:15,7.17
10/24/23 19:20,7.17
10/24/23 19:25,7.16
10/24/23 19:30,7.16
10/24/23 19:35,7.15
10/24/23 19:40,7.15
10/24/23 19:45,7.14
10/24/23 19:50,7.14
10/24/23 19:55,7.13
10/24/23 19:59,
