datetime,ph
10/24/23 8:00,3.37
10/24/23 8:05,3.37
10/24/23 8:10,3.37
10/24/23 8:15,3.37
10/24/23 8:20,3.37
10/24/23 8:25,3.37
10/24/23 8:30,3.37
10/24/23 8:35,3.37
10/24/23 8:40,3.37
10/24/23 8:45,3.37
10/24/23 8:50,3.37
10/24/23 8:55,3.37
10/24/23 9:00,3.37
10/24/23 9:05,3.37
10/24/23 9:10,3.37
10/24/23 9:15,3.37
10/24/23 9:20,3.37
10/24/23 9:25,3.37
10/24/23 9:30,3.37
10/24/23 9:35,3.38
10/24/23 9:40,3.38
10/24/23 9:45,7.24
10/24/23 9:50,7.86
10/24/23 9:55,7.94
10/24/23 10:00,7.98
10/24/23 10:05,8.01
10/24/23 10:10,8.04
10/24/23 10:15,8.05
10/24/23 10:20,8.06
10/24/23 10:25,8.07
10/24/23 10:30,8.13
10/24/23 10:35,8.13
10/24/23 10:40,8.14
10/24/23 10:45,8.16
10/24/23 10:50,8.2
10/24/23 10:55,8.2
10/24/23 11:00,8.21
10/24/23 11:05,8.23
10/24/23 11:10,8.25
10/24/23 11:15,8.24
10/24/23 11:20,8.28
10/24/23 11:25,8.36
10/24/23 11:30,8.4
10/24/23 11:35,8.36
10/24/23 11:40,8.33
10/24/23 11:45,8.3
10/24/23 11:50,8.3
10/24/23 11:55,8.32
10/24/23 12:00,8.35
10/24/23 12:05,8.36
10/24/23 12:10,8.35
10/24/23 12:15,8.37
10/24/23 12:20,8.4
10/24/23 12:25,8.4
10/24/23 12:30,8.43
10/24/23 12:35,8.43
10/24/23 12:40,8.44
10/24/23 12:45,8.46
10/24/23 12:50,8.5
10/24/23 12:55,8.51
10/24/23 13:00,8.54
10/24/23 13:05,8.57
10/24/23 13:10,8.57
10/24/23 13:15,8.53
10/24/23 13:20,8.54
10/24/23 13:25,8.55
10/24/23 13:30,8.58
10/24/23 13:35,8.57
10/24/23 13:40,8.58
10/24/23 13:45,8.49
10/24/23 13:50,8.49
10/24/23 13:55,8.52
10/24/23 14:00,8.52
10/24/23 14:05,8.49
10/24/23 14:10,8.43
10/24/23 14:15,8.41
10/24/23 14:20,8.46
10/24/23 14:25,8.32
10/24/23 14:30,8.37
10/24/23 14:35,8.38
10/24/23 14:40,8.39
10/24/23 14:45,8.35
10/24/23 14:50,8.3
10/24/23 14:55,8.29
10/24/23 15:00,8.33
10/24/23 15:05,8.37
10/24/23 15:10,8.35
10/24/23 15:15,8.33
10/24/23 15:20,8.36
10/24/23 15:25,8.38
10/24/23 15:30,8.34
10/24/23 15:35,8.35
10/24/23 15:40,8.35
10/24/23 15:45,8.31
10/24/23 15:50,8.3
10/24/23 15:55,8.31
10/24/23 16:00,8.33
10/24/23 16:05,8.33
10/24/23 16:10,8.31
10/24/23 16:15,8.33
10/24/23 16:20,8.33
10/24/23 16:25,8.4
10/24/23 16:30,8.42
10/24/23 16:35,8.32
10/24/23 16:40,8.15
10/24/23 16:45,8.06
10/24/23 16:50,8.01
10/24/23 16:55,7.95
10/24/23 17:00,7.95
10/24/23 17:05,7.91
10/24/23 17:10,7.87
10/24/23 17:15,7.86
10/24/23 17:20,7.85
10/24/23 17:25,8.78
10/24/23 17:30,8.53
10/24/23 17:35,8.49
10/24/23 17:40,8.46
10/24/23 17:45,7.48
10/24/23 17:50,7.31
10/24/23 17:55,7.28
10/24/23 18:00,7.27
10/24/23 18:05,7.26
10/24/23 18:10,7.27
10/24/23 18:15,7.26
10/24/23 18:20,7.25
10/24/23 18:25,7.24
10/24/23 18:30,7.24
10/24/23 18:35,7.24
10/24/23 18:40,7.24
10/24/23 18:45,7.26
10/24/23 18:50,7.29
10/24/23 18:55,7.31
10/24/23 19:00,7.31
10/24/23 19:05,7.3
10/24/23 19:10,7.29
10/24/23 19:15,7.26
10/24/23 19:20,7.23
10/24/23 19:25,7.2
10/24/23 19:30,7.18
10/24/23 19:35,7.18
10/24/23 19:40,7.17
10/24/23 19:45,7.17
10/24/23 19:50,7.17
10/24/23 19:55,7.17
10/24/23 19:59,
