7450-137738
OS REV: 1.05 Sensor Cal: 1679088645
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1690884000,+3.54,+20.396, +8.833,+0.924
1690884300,+3.54,+20.730, +8.776,+0.924
1690884600,+3.54,+20.755, +8.773,+0.924
1690884900,+3.54,+20.747, +8.774,+0.924
1690885200,+3.54,+20.672, +8.799,+0.925
1690885500,+3.54,+20.647, +8.796,+0.924
1690885800,+3.54,+20.622, +8.802,+0.924
1690886100,+3.54,+20.563, +8.813,+0.924
1690886400,+3.54,+20.463, +8.838,+0.925
1690886700,+3.54,+20.320, +8.855,+0.924
1690887000,+3.54,+20.253, +8.870,+0.924
1690887300,+3.54,+20.178, +8.901,+0.924
1690887600,+3.54,+20.128, +8.913,+0.925
1690887900,+3.54,+20.119, +8.928,+0.924
1690888200,+3.54,+20.102, +8.937,+0.925
1690888500,+3.54,+20.094, +8.932,+0.924
1690888800,+3.54,+20.463, +8.879,+0.925
1690889100,+3.54,+20.722, +8.834,+0.924
1690889400,+3.53,+20.764, +8.828,+0.924
1690889700,+3.53,+20.806, +8.839,+0.925
1690890000,+3.53,+20.873, +8.817,+0.925
1690890300,+3.53,+20.948, +8.808,+0.924
1690890600,+3.54,+21.157, +8.768,+0.924
1690890900,+3.54,+21.483, +8.715,+0.924
1690891200,+3.53,+21.843, +8.641,+0.923
1690891500,+3.53,+22.144, +8.603,+0.924
1690891800,+3.54,+22.445, +8.562,+0.924
1690892100,+3.53,+22.830, +8.489,+0.924
1690892400,+3.53,+23.224, +8.440,+0.924
1690892700,+3.53,+23.709, +8.356,+0.924
1690893000,+3.53,+24.213, +8.279,+0.924
1690893300,+3.53,+24.683, +8.205,+0.923
1690893600,+3.53,+25.196, +8.128,+0.923
1690893900,+3.53,+25.600, +8.077,+0.923
1690894200,+3.53,+25.997, +8.023,+0.923
1690894500,+3.53,+26.411, +7.978,+0.924
1690894800,+3.53,+26.800, +7.916,+0.923
1690895100,+3.53,+27.165, +7.880,+0.924
1690895400,+3.53,+27.369, +7.860,+0.924
1690895700,+3.53,+26.995, +5.267,+0.924
1690896000,+3.53,+27.020, +5.268,+0.925
1690896300,+3.53,+27.037, +5.282,+0.924
1690896600,+3.53,+27.012, +5.274,+0.924
1690896900,+3.53,+27.063, +5.254,+0.924
1690897200,+3.53,+27.097, +5.242,+0.924
1690897500,+3.53,+27.131, +5.233,+0.924
1690897800,+3.53,+27.182, +5.209,+0.925
1690898100,+3.53,+27.199, +5.140,+0.925
1690898400,+3.53,+27.250, +5.121,+0.925
1690898700,+3.53,+27.292, +5.091,+0.925
1690899000,+3.53,+27.318, +5.071,+0.925
1690899300,+3.53,+27.343, +5.068,+0.925
1690899600,+3.53,+27.343, +5.039,+0.925
1690899900,+3.53,+27.369, +5.034,+0.925
1690900200,+3.53,+27.420, +5.026,+0.925
1690900500,+3.53,+27.428, +5.017,+0.925
1690900800,+3.53,+27.454, +5.011,+0.925
1690901100,+3.53,+27.479, +4.997,+0.925
1690901400,+3.53,+27.488, +4.977,+0.925
1690901700,+3.53,+27.488, +4.959,+0.925
1690902000,+3.53,+27.522, +4.943,+0.925
1690902300,+3.53,+27.530, +4.929,+0.925
1690902600,+3.53,+27.539, +4.921,+0.926
1690902900,+3.53,+27.556, +4.880,+0.925
1690903200,+3.53,+27.564, +4.866,+0.924
1690903500,+3.53,+27.590, +4.843,+0.925
1690903800,+3.53,+27.607, +4.821,+0.924
1690904100,+3.53,+27.615, +4.822,+0.926
1690904400,+3.53,+27.624, +4.809,+0.925
1690904700,+3.53,+27.649, +4.795,+0.925
1690905000,+3.53,+27.675, +4.786,+0.925
1690905300,+3.53,+27.700, +4.776,+0.926
1690905600,+3.53,+27.700, +4.763,+0.925
1690905900,+3.53,+27.726, +4.757,+0.925
1690906200,+3.53,+27.760, +4.745,+0.925
1690906500,+3.53,+27.785, +4.742,+0.926
1690906800,+3.53,+27.853, +4.847,+0.925
1690907100,+3.53,+27.896, +7.872,+0.926
1690907400,+3.53,+27.956, +7.763,+0.927
1690907700,+3.53,+28.434, +7.715,+0.927
1690908000,+3.53,+28.716, +7.668,+0.926
1690908300,+3.53,+29.119, +7.615,+0.927
1690908600,+3.53,+29.368, +7.574,+0.926
1690908900,+3.53,+29.557, +7.538,+0.926
1690909200,+3.53,+29.600, +7.565,+0.927
1690909500,+3.53,+29.445, +7.582,+0.927
1690909800,+3.53,+29.222, +7.587,+0.927
1690910100,+3.53,+28.939, +7.621,+0.927
1690910400,+3.53,+28.562, +7.676,+0.927
1690910700,+3.53,+28.246, +7.716,+0.927
1690911000,+3.53,+28.041, +7.747,+0.927
1690911300,+3.53,+27.871, +7.757,+0.927
1690911600,+3.53,+27.726, +7.777,+0.927
1690911900,+3.53,+27.581, +7.802,+0.927
1690912200,+3.53,+27.488, +7.815,+0.927
1690912500,+3.53,+27.454, +7.820,+0.927
1690912800,+3.53,+27.420, +7.827,+0.928
1690913100,+3.53,+27.420, +7.820,+0.927
1690913400,+3.53,+27.454, +7.810,+0.927
1690913700,+3.53,+27.454, +7.816,+0.927
1690914000,+3.53,+27.471, +7.808,+0.927
1690914300,+3.53,+27.479, +7.811,+0.928
1690914600,+3.53,+27.479, +7.809,+0.927
1690914900,+3.53,+27.590, +7.790,+0.927
1690915200,+3.53,+27.726, +7.776,+0.928
1690915500,+3.53,+27.862, +7.744,+0.927
1690915800,+3.53,+27.981, +7.739,+0.928
1690916100,+3.53,+28.041, +7.732,+0.928
1690916400,+3.53,+28.169, +7.714,+0.928
1690916700,+3.53,+28.288, +7.684,+0.926
1690917000,+3.53,+28.391, +7.677,+0.927
1690917300,+3.53,+28.391, +7.677,+0.927
1690917600,+3.53,+28.391, +7.683,+0.927
1690917900,+3.53,+28.476, +7.668,+0.927
1690918200,+3.53,+28.571, +7.653,+0.927
1690918500,+3.53,+28.673, +7.638,+0.928
1690918800,+3.53,+28.759, +7.610,+0.926
1690919100,+3.53,+28.827, +7.603,+0.927
1690919400,+3.53,+28.862, +7.593,+0.927
1690919700,+3.53,+28.930, +7.584,+0.927
1690920000,+3.53,+29.042, +7.546,+0.927
1690920300,+3.53,+29.119, +7.557,+0.927
1690920600,+3.53,+29.170, +7.543,+0.926
1690920900,+3.53,+29.230, +7.531,+0.926
1690921200,+3.53,+29.325, +7.535,+0.927
1690921500,+3.53,+29.428, +7.510,+0.926
1690921800,+3.53,+29.514, +7.501,+0.926
1690922100,+3.53,+29.600, +7.498,+0.927
1690922400,+3.53,+29.686, +7.474,+0.926
1690922700,+3.53,+29.790, +7.460,+0.926
1690923000,+3.53,+29.884, +7.441,+0.926
1690923300,+3.53,+29.962, +7.437,+0.926
1690923600,+3.53,+30.040, +7.440,+0.927
1690923900,+3.53,+30.126, +7.412,+0.926
1690924200,+3.53,+30.195, +7.386,+0.926
1690924500,+3.53,+30.204, +7.384,+0.926
1690924800,+3.53,+30.169, +7.387,+0.926
1690925100,+3.53,+30.135, +7.384,+0.926
1690925400,+3.53,+30.109, +7.383,+0.926
1690925700,+3.53,+30.074, +7.386,+0.926
1690926000,+3.53,+30.031, +7.410,+0.927
1690926300,+3.53,+30.022, +7.392,+0.926
1690926600,+3.53,+30.014, +7.396,+0.926
1690926900,+3.53,+29.988, +7.401,+0.927
1690927200,+3.53,+29.945, +7.406,+0.927
1690927500,+3.53,+28.999, +7.360,+0.927
1690927800,+3.54,+27.794, +7.531,+0.928
1690928100,+3.54,+27.114, +7.616,+0.928
1690928400,+3.54,+26.631, +7.673,+0.928
1690928700,+3.53,+26.233, +7.727,+0.928
1690929000,+3.54,+25.929, +7.767,+0.929
1690929300,+3.54,+25.676, +7.795,+0.929
1690929600,+3.54,+25.389, +7.840,+0.929
1690929900,+3.54,+25.103, +7.865,+0.928
1690930200,+3.54,+24.876, +7.898,+0.929
1690930500,+3.54,+24.607, +7.936,+0.928
1690930800,+3.54,+24.372, +7.968,+0.929
1690931100,+3.54,+24.154, +8.007,+0.929
1690931400,+3.54,+23.953, +8.034,+0.929
1690931700,+3.54,+23.751, +8.059,+0.928
1690932000,+3.54,+23.592, +8.074,+0.928
1690932300,+3.54,+23.441, +8.107,+0.929
1690932600,+3.54,+23.299, +8.120,+0.929
1690932900,+3.54,+23.157, +8.140,+0.929
1690933200,+3.54,+23.031, +8.153,+0.929
1690933500,+3.54,+22.914, +8.178,+0.929
1690933800,+3.54,+22.813, +8.190,+0.929
1690934100,+3.54,+22.713, +8.191,+0.928
