7450-458163
OS REV: 1.05 Sensor Cal: 1679088563
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1690883880,+3.55,+20.465, +8.961,+0.959
1690884180,+3.54,+20.850, +8.902,+0.959
1690884480,+3.55,+20.833, +8.904,+0.959
1690884780,+3.55,+20.816, +8.916,+0.960
1690885080,+3.55,+20.758, +8.919,+0.960
1690885380,+3.55,+20.716, +8.935,+0.960
1690885680,+3.55,+20.716, +8.933,+0.959
1690885980,+3.55,+20.649, +8.945,+0.959
1690886280,+3.55,+20.557, +8.955,+0.959
1690886580,+3.55,+20.465, +8.965,+0.959
1690886880,+3.55,+20.381, +8.992,+0.959
1690887180,+3.55,+20.331, +9.007,+0.959
1690887480,+3.55,+20.289, +9.008,+0.959
1690887780,+3.55,+20.239, +9.050,+0.960
1690888080,+3.55,+20.230, +9.057,+0.959
1690888380,+3.55,+20.205, +9.063,+0.960
1690888680,+3.55,+20.548, +9.003,+0.960
1690888980,+3.54,+20.774, +8.967,+0.959
1690889280,+3.54,+20.816, +8.970,+0.959
1690889580,+3.54,+20.816, +8.968,+0.959
1690889880,+3.54,+20.850, +8.967,+0.959
1690890180,+3.54,+20.900, +8.979,+0.960
1690890480,+3.54,+21.051, +8.949,+0.960
1690890780,+3.55,+21.318, +8.910,+0.959
1690891080,+3.54,+21.653, +8.861,+0.960
1690891380,+3.54,+21.929, +8.821,+0.960
1690891680,+3.54,+22.180, +8.777,+0.959
1690891980,+3.54,+22.439, +8.739,+0.959
1690892280,+3.54,+22.707, +8.706,+0.960
1690892580,+3.54,+22.983, +8.666,+0.959
1690892880,+3.54,+23.326, +8.623,+0.960
1690893180,+3.54,+23.703, +8.562,+0.959
1690893480,+3.54,+24.097, +8.507,+0.960
1690893780,+3.54,+24.474, +8.463,+0.960
1690894080,+3.54,+24.810, +8.402,+0.960
1690894380,+3.53,+25.348, +8.332,+0.960
1690894680,+3.54,+25.913, +8.252,+0.960
1690894980,+3.53,+26.437, +8.181,+0.960
1690895280,+3.54,+26.809, +8.132,+0.960
1690895580,+3.54,+26.547, +8.152,+0.960
1690895880,+3.53,+26.394, +8.187,+0.960
1690896180,+3.54,+26.682, +8.311,+0.962
1690896480,+3.54,+26.944, +5.532,+0.960
1690896780,+3.54,+27.038, +5.522,+0.960
1690897080,+3.54,+27.046, +5.489,+0.960
1690897380,+3.54,+27.072, +5.471,+0.960
1690897680,+3.54,+27.123, +5.408,+0.960
1690897980,+3.54,+27.156, +5.342,+0.960
1690898280,+3.54,+27.207, +5.302,+0.960
1690898580,+3.54,+27.216, +5.270,+0.960
1690898880,+3.53,+27.275, +5.208,+0.960
1690899180,+3.53,+27.292, +5.156,+0.960
1690899480,+3.53,+27.326, +5.125,+0.960
1690899780,+3.53,+27.352, +5.091,+0.960
1690900080,+3.53,+27.377, +5.050,+0.960
1690900380,+3.53,+27.411, +5.016,+0.959
1690900680,+3.53,+27.394, +5.000,+0.960
1690900980,+3.53,+27.445, +4.966,+0.960
1690901280,+3.53,+27.471, +4.923,+0.959
1690901580,+3.53,+27.471, +4.891,+0.960
1690901880,+3.53,+27.496, +4.864,+0.960
1690902180,+3.53,+27.522, +4.827,+0.960
1690902480,+3.53,+27.530, +4.792,+0.960
1690902780,+3.53,+27.564, +4.729,+0.959
1690903080,+3.53,+27.590, +4.706,+0.960
1690903380,+3.53,+27.590, +4.668,+0.960
1690903680,+3.53,+27.590, +4.636,+0.960
1690903980,+3.54,+27.615, +4.607,+0.960
1690904280,+3.54,+27.632, +4.578,+0.959
1690904580,+3.54,+27.649, +4.563,+0.959
1690904880,+3.54,+27.658, +4.546,+0.960
