7450-471033
OS REV: 1.05 Sensor Cal: 1679088763
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1690883940,+3.54,+20.537, +8.748,+0.926
1690884240,+3.54,+20.822, +8.701,+0.926
1690884540,+3.54,+20.830, +8.703,+0.926
1690884840,+3.54,+20.788, +8.714,+0.927
1690885140,+3.54,+20.730, +8.718,+0.926
1690885440,+3.54,+20.713, +8.727,+0.927
1690885740,+3.54,+20.713, +8.732,+0.926
1690886040,+3.54,+20.638, +8.736,+0.926
1690886340,+3.54,+20.521, +8.759,+0.926
1690886640,+3.54,+20.395, +8.780,+0.926
1690886940,+3.54,+20.295, +8.816,+0.927
1690887240,+3.54,+20.245, +8.846,+0.927
1690887540,+3.54,+20.211, +8.823,+0.927
1690887840,+3.54,+20.203, +8.853,+0.927
1690888140,+3.54,+20.194, +8.858,+0.927
1690888440,+3.54,+20.211, +8.848,+0.926
1690888740,+3.54,+20.604, +8.795,+0.927
1690889040,+3.54,+20.746, +8.781,+0.927
1690889340,+3.54,+20.830, +8.738,+0.925
1690889640,+3.54,+20.838, +8.760,+0.926
1690889940,+3.54,+20.872, +8.760,+0.926
1690890240,+3.54,+20.980, +8.745,+0.927
1690890540,+3.54,+21.256, +8.695,+0.926
1690890840,+3.54,+21.657, +8.621,+0.925
1690891140,+3.54,+22.083, +8.544,+0.925
1690891440,+3.54,+22.359, +8.497,+0.924
1690891740,+3.54,+22.577, +8.469,+0.924
1690892040,+3.54,+22.869, +8.426,+0.925
1690892340,+3.53,+23.204, +8.360,+0.923
1690892640,+3.54,+23.606, +8.313,+0.924
1690892940,+3.53,+23.999, +8.244,+0.923
1690893240,+3.54,+24.436, +8.180,+0.923
1690893540,+3.53,+24.872, +8.119,+0.923
1690893840,+3.53,+25.234, +8.064,+0.923
1690894140,+3.53,+25.672, +8.002,+0.922
1690894440,+3.53,+26.364, +7.921,+0.923
1690894740,+3.53,+27.033, +7.821,+0.922
1690895040,+3.53,+27.602, +7.751,+0.921
1690895340,+3.53,+27.611, +7.769,+0.922
1690895640,+3.53,+27.177, +7.836,+0.923
1690895940,+3.53,+27.390, +7.778,+0.921
1690896240,+3.53,+27.892, +7.699,+0.922
1690896540,+3.53,+28.045, +7.740,+0.923
1690896840,+3.53,+28.506, +7.728,+0.922
1690897140,+3.53,+29.055, +7.663,+0.921
1690897440,+3.53,+29.605, +7.606,+0.920
1690897740,+3.53,+30.174, +7.537,+0.919
1690898040,+3.53,+30.555, +7.678,+0.919
1690898340,+3.53,+27.883, +6.219,+0.922
1690898640,+3.53,+27.500, +6.287,+0.924
1690898940,+3.53,+27.407, +6.286,+0.924
1690899240,+3.53,+27.373, +6.283,+0.924
1690899540,+3.53,+27.390, +6.259,+0.924
1690899840,+3.53,+27.407, +6.245,+0.924
1690900140,+3.53,+27.398, +6.242,+0.924
1690900440,+3.53,+27.415, +6.227,+0.924
1690900740,+3.53,+27.449, +6.212,+0.924
1690901040,+3.53,+27.449, +6.198,+0.923
1690901340,+3.53,+27.466, +6.179,+0.924
1690901640,+3.53,+27.466, +6.186,+0.924
1690901940,+3.53,+27.500, +6.162,+0.924
