7450-566774
OS REV: 1.05 Sensor Cal: 1679419749
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1690884000,+3.48,+20.359, +8.899,+0.905
1690884300,+3.48,+20.434, +8.888,+0.905
1690884600,+3.48,+20.451, +8.896,+0.905
1690884900,+3.48,+20.434, +8.898,+0.905
1690885200,+3.48,+20.442, +8.900,+0.906
1690885500,+3.48,+20.459, +8.888,+0.905
1690885800,+3.48,+20.442, +8.915,+0.905
1690886100,+3.48,+20.392, +8.916,+0.905
1690886400,+3.48,+20.317, +8.940,+0.906
1690886700,+3.48,+20.250, +8.932,+0.905
1690887000,+3.48,+20.174, +8.961,+0.905
1690887300,+3.48,+20.149, +8.984,+0.905
1690887600,+3.48,+20.132, +8.971,+0.905
1690887900,+3.48,+20.124, +8.991,+0.905
1690888200,+3.48,+20.107, +9.012,+0.906
1690888500,+3.48,+20.116, +9.000,+0.905
1690888800,+3.48,+20.585, +8.944,+0.905
1690889100,+3.48,+20.702, +8.936,+0.905
1690889400,+3.48,+20.702, +8.941,+0.906
1690889700,+3.47,+20.710, +8.930,+0.905
1690890000,+3.48,+20.710, +8.924,+0.905
1690890300,+3.47,+20.769, +8.926,+0.905
1690890600,+3.47,+20.961, +8.887,+0.905
1690890900,+3.48,+21.179, +8.857,+0.905
1690891200,+3.48,+21.463, +8.807,+0.905
1690891500,+3.47,+21.681, +8.776,+0.905
1690891800,+3.47,+21.940, +8.747,+0.905
1690892100,+3.47,+22.149, +8.708,+0.905
1690892400,+3.48,+22.367, +8.678,+0.905
1690892700,+3.47,+22.651, +8.633,+0.905
1690893000,+3.47,+22.928, +8.580,+0.904
1690893300,+3.47,+23.246, +8.537,+0.905
1690893600,+3.48,+23.581, +8.483,+0.904
1690893900,+3.47,+23.900, +8.446,+0.905
1690894200,+3.47,+24.286, +8.383,+0.904
1690894500,+3.47,+24.774, +8.315,+0.904
1690894800,+3.47,+25.245, +8.239,+0.904
1690895100,+3.47,+25.709, +8.187,+0.904
1690895400,+3.47,+25.852, +8.172,+0.904
1690895700,+3.47,+25.878, +8.176,+0.904
1690896000,+3.47,+26.173, +8.160,+0.906
1690896300,+3.47,+26.613, +8.107,+0.906
1690896600,+3.47,+27.156, +8.037,+0.905
1690896900,+3.47,+27.599, +7.991,+0.905
1690897200,+3.47,+28.033, +7.932,+0.904
1690897500,+3.47,+28.478, +7.883,+0.905
1690897800,+3.47,+28.957, +7.822,+0.904
1690898100,+3.47,+29.602, +7.745,+0.903
1690898400,+3.47,+30.180, +7.670,+0.903
1690898700,+3.48,+30.968, +7.725,+0.902
1690899000,+3.48,+28.366, +6.591,+0.903
1690899300,+3.48,+27.888, +6.669,+0.903
1690899600,+3.48,+27.735, +6.735,+0.904
1690899900,+3.48,+27.675, +6.780,+0.905
1690900200,+3.48,+27.667, +6.800,+0.905
1690900500,+3.48,+27.650, +6.842,+0.905
1690900800,+3.48,+27.641, +6.856,+0.904
1690901100,+3.48,+27.650, +6.881,+0.904
1690901400,+3.48,+27.650, +6.930,+0.905
1690901700,+3.48,+27.650, +6.942,+0.905
1690902000,+3.48,+27.667, +6.981,+0.904
1690902300,+3.48,+27.684, +7.017,+0.904
1690902600,+3.48,+27.684, +7.047,+0.904
1690902900,+3.48,+27.701, +7.065,+0.905
1690903200,+3.48,+27.709, +7.123,+0.905
1690903500,+3.48,+27.735, +7.130,+0.905
1690903800,+3.48,+27.743, +7.155,+0.905
1690904100,+3.48,+27.812, +7.213,+0.905
1690904400,+3.48,+27.829, +7.239,+0.905
1690904700,+3.48,+27.846, +7.264,+0.905
1690905000,+3.48,+27.846, +7.277,+0.905
1690905300,+3.48,+27.880, +7.334,+0.906
1690905600,+3.48,+27.880, +7.368,+0.906
1690905900,+3.48,+27.982, +7.412,+0.906
1690906200,+3.48,+27.982, +7.405,+0.905
1690906500,+3.48,+28.042, +7.490,+0.906
1690906800,+3.48,+28.067, +7.505,+0.905
1690907100,+3.48,+28.076, +7.527,+0.905
1690907400,+3.48,+28.067, +7.554,+0.906
1690907700,+3.48,+28.102, +7.557,+0.906
1690908000,+3.48,+28.144, +7.630,+0.906
1690908300,+3.48,+28.153, +7.636,+0.906
1690908600,+3.48,+28.067, +7.695,+0.905
1690908900,+3.48,+28.640, +7.652,+0.905
1690909200,+3.48,+29.283, +7.533,+0.903
1690909500,+3.47,+29.447, +7.524,+0.903
1690909800,+3.48,+29.869, +7.477,+0.903
1690910100,+3.48,+29.912, +7.447,+0.903
1690910400,+3.47,+29.559, +7.510,+0.904
1690910700,+3.48,+29.301, +7.557,+0.905
1690911000,+3.48,+29.129, +7.566,+0.904
1690911300,+3.48,+29.034, +7.591,+0.905
1690911600,+3.48,+28.966, +7.602,+0.905
1690911900,+3.48,+28.914, +7.602,+0.905
1690912200,+3.48,+28.966, +7.602,+0.905
1690912500,+3.48,+29.095, +7.577,+0.904
1690912800,+3.47,+29.378, +7.542,+0.905
1690913100,+3.47,+29.671, +7.509,+0.904
1690913400,+3.48,+29.947, +7.481,+0.905
1690913700,+3.48,+29.947, +7.454,+0.903
1690914000,+3.48,+29.903, +7.460,+0.904
1690914300,+3.48,+29.886, +7.471,+0.904
1690914600,+3.48,+29.990, +7.463,+0.904
1690914900,+3.48,+30.258, +7.429,+0.905
1690915200,+3.47,+30.595, +7.372,+0.903
1690915500,+3.48,+30.942, +7.324,+0.902
1690915800,+3.48,+31.168, +7.374,+0.903
1690916100,+3.48,+31.394, +7.347,+0.903
1690916400,+3.47,+31.525, +7.323,+0.902
1690916700,+3.48,+31.455, +7.334,+0.903
1690917000,+3.48,+31.220, +7.362,+0.903
1690917300,+3.48,+30.968, +7.425,+0.904
1690917600,+3.47,+30.682, +7.454,+0.904
1690917900,+3.48,+30.405, +7.492,+0.905
1690918200,+3.48,+30.431, +7.488,+0.905
1690918500,+3.48,+30.621, +7.457,+0.904
1690918800,+3.47,+30.777, +7.439,+0.904
1690919100,+3.47,+30.803, +7.426,+0.904
1690919400,+3.48,+30.855, +7.387,+0.904
1690919700,+3.48,+30.951, +7.388,+0.904
1690920000,+3.48,+31.090, +7.355,+0.904
1690920300,+3.48,+31.133, +7.372,+0.903
1690920600,+3.48,+31.151, +7.362,+0.903
1690920900,+3.48,+31.159, +7.361,+0.903
1690921200,+3.48,+31.185, +7.358,+0.903
1690921500,+3.48,+31.229, +7.367,+0.904
1690921800,+3.48,+31.281, +7.357,+0.903
1690922100,+3.48,+31.342, +7.334,+0.903
1690922400,+3.48,+31.412, +7.324,+0.902
1690922700,+3.48,+31.455, +7.323,+0.903
1690923000,+3.48,+31.490, +7.331,+0.904
1690923300,+3.48,+31.542, +7.313,+0.903
1690923600,+3.48,+31.603, +7.303,+0.903
1690923900,+3.48,+31.638, +7.296,+0.902
1690924200,+3.48,+31.638, +7.282,+0.903
1690924500,+3.48,+31.473, +7.306,+0.903
1690924800,+3.48,+31.281, +7.331,+0.903
1690925100,+3.48,+31.038, +7.358,+0.904
1690925400,+3.48,+30.890, +7.376,+0.904
1690925700,+3.48,+30.760, +7.380,+0.903
1690926000,+3.48,+30.638, +7.405,+0.904
1690926300,+3.48,+30.578, +7.416,+0.904
1690926600,+3.48,+30.526, +7.429,+0.905
1690926900,+3.48,+30.396, +7.441,+0.904
1690927200,+3.48,+30.085, +7.468,+0.904
1690927500,+3.48,+28.623, +7.634,+0.906
1690927800,+3.48,+27.539, +7.766,+0.906
1690928100,+3.49,+26.817, +7.846,+0.905
1690928400,+3.48,+26.224, +7.926,+0.906
1690928700,+3.49,+25.709, +7.998,+0.906
1690929000,+3.48,+25.279, +8.061,+0.906
1690929300,+3.49,+24.908, +8.115,+0.907
1690929600,+3.49,+24.530, +8.162,+0.907
1690929900,+3.49,+24.219, +8.205,+0.907
1690930200,+3.49,+23.950, +8.245,+0.907
1690930500,+3.49,+23.724, +8.265,+0.906
1690930800,+3.49,+23.514, +8.297,+0.906
1690931100,+3.49,+23.296, +8.341,+0.907
1690931400,+3.48,+23.129, +8.362,+0.907
1690931700,+3.49,+22.995, +8.379,+0.907
1690932000,+3.49,+22.903, +8.398,+0.907
1690932300,+3.49,+22.785, +8.420,+0.907
1690932600,+3.49,+22.685, +8.420,+0.906
1690932900,+3.49,+22.584, +8.437,+0.907
1690933200,+3.49,+22.501, +8.445,+0.906
1690933500,+3.49,+22.442, +8.456,+0.906
1690933800,+3.49,+22.392, +8.466,+0.907
1690934100,+3.49,+22.300, +8.476,+0.907
1690934400,+3.49,+22.241, +8.495,+0.907
1690934700,+3.49,+22.174, +8.497,+0.907
1690935000,+3.48,+22.141, +8.504,+0.907
1690935300,+3.48,+22.099, +8.502,+0.906
1690935600,+3.48,+22.049, +8.516,+0.907
1690935900,+3.48,+21.982, +8.520,+0.906
1690936200,+3.48,+21.957, +8.533,+0.907
1690936500,+3.48,+21.923, +8.544,+0.907
1690936800,+3.48,+21.881, +8.549,+0.907
1690937100,+3.48,+21.831, +8.550,+0.907
1690937400,+3.48,+21.806, +8.552,+0.907
1690937700,+3.48,+21.789, +8.551,+0.907
1690938000,+3.48,+21.756, +8.549,+0.907
1690938300,+3.48,+21.731, +8.557,+0.907
1690938600,+3.48,+21.706, +8.554,+0.906
1690938900,+3.48,+21.681, +8.555,+0.906
1690939200,+3.48,+21.639, +8.574,+0.907
1690939500,+3.48,+21.631, +8.561,+0.906
1690939800,+3.48,+21.580, +8.587,+0.908
1690940100,+3.48,+21.564, +8.587,+0.907
1690940400,+3.48,+21.530, +8.580,+0.906
1690940700,+3.48,+21.555, +8.581,+0.907
1690941000,+3.48,+21.538, +8.583,+0.907
1690941300,+3.48,+21.505, +8.581,+0.907
1690941600,+3.48,+21.505, +8.576,+0.907
1690941900,+3.48,+21.472, +8.585,+0.907
1690942200,+3.48,+21.480, +8.576,+0.906
1690942500,+3.48,+21.455, +8.595,+0.907
1690942800,+3.48,+21.438, +8.597,+0.907
1690943100,+3.48,+21.421, +8.604,+0.907
1690943400,+3.48,+21.413, +8.600,+0.907
1690943700,+3.48,+21.388, +8.605,+0.907
1690944000,+3.48,+21.388, +8.582,+0.906
1690944300,+3.48,+21.371, +8.606,+0.907
1690944600,+3.48,+21.363, +8.607,+0.907
1690944900,+3.48,+21.346, +8.610,+0.907
1690945200,+3.48,+21.329, +8.597,+0.907
1690945500,+3.48,+21.304, +8.619,+0.908
1690945800,+3.48,+21.288, +8.597,+0.906
1690946100,+3.48,+21.279, +8.592,+0.906
1690946400,+3.48,+21.246, +8.616,+0.907
1690946700,+3.48,+21.254, +8.614,+0.907
1690947000,+3.48,+21.246, +8.611,+0.907
1690947300,+3.48,+21.221, +8.610,+0.907
1690947600,+3.48,+21.212, +8.611,+0.907
1690947900,+3.48,+21.212, +8.599,+0.906
1690948200,+3.48,+21.204, +8.618,+0.907
1690948500,+3.48,+21.204, +8.618,+0.907
1690948800,+3.48,+21.204, +8.612,+0.907
1690949100,+3.48,+21.195, +8.613,+0.907
1690949400,+3.48,+21.204, +8.594,+0.906
1690949700,+3.48,+21.204, +8.601,+0.907
1690950000,+3.48,+21.195, +8.602,+0.907
1690950300,+3.48,+21.204, +8.595,+0.906
1690950600,+3.48,+21.187, +8.609,+0.907
1690950900,+3.48,+21.204, +8.597,+0.907
1690951200,+3.48,+21.195, +8.602,+0.907
1690951500,+3.48,+21.179, +8.608,+0.907
1690951800,+3.48,+21.179, +8.592,+0.906
1690952100,+3.48,+21.179, +8.602,+0.907
1690952400,+3.48,+21.187, +8.595,+0.907
1690952700,+3.48,+21.195, +8.593,+0.907
1690953000,+3.48,+21.195, +8.583,+0.907
1690953300,+3.48,+21.179, +8.595,+0.907
1690953600,+3.48,+21.204, +8.586,+0.906
1690953900,+3.48,+21.179, +8.591,+0.906
1690954200,+3.48,+21.187, +8.590,+0.907
1690954500,+3.48,+21.179, +8.595,+0.907
1690954800,+3.48,+21.187, +8.602,+0.907
1690955100,+3.48,+21.187, +8.588,+0.907
1690955400,+3.48,+21.195, +8.587,+0.907
1690955700,+3.48,+21.179, +8.584,+0.907
1690956000,+3.48,+21.204, +8.581,+0.907
1690956300,+3.48,+21.195, +8.585,+0.907
1690956600,+3.48,+21.195, +8.566,+0.906
1690956900,+3.48,+21.204, +8.580,+0.907
1690957200,+3.48,+21.221, +8.576,+0.907
1690957500,+3.48,+21.221, +8.574,+0.907
1690957800,+3.48,+21.212, +8.569,+0.907
1690958100,+3.48,+21.195, +8.587,+0.907
1690958400,+3.48,+21.195, +8.571,+0.907
1690958700,+3.48,+21.187, +8.567,+0.906
1690959000,+3.48,+21.204, +8.558,+0.906
1690959300,+3.48,+21.204, +8.564,+0.907
1690959600,+3.48,+21.204, +8.570,+0.907
1690959900,+3.48,+21.204, +8.575,+0.907
1690960200,+3.48,+21.204, +8.565,+0.907
1690960500,+3.48,+21.229, +8.560,+0.907
1690960800,+3.48,+21.229, +8.570,+0.907
1690961100,+3.48,+21.229, +8.554,+0.907
1690961400,+3.48,+21.221, +8.566,+0.907
1690961700,+3.48,+21.221, +8.554,+0.907
1690962000,+3.48,+21.229, +8.555,+0.907
1690962300,+3.48,+21.212, +8.553,+0.907
1690962600,+3.48,+21.204, +8.559,+0.907
1690962900,+3.48,+21.221, +8.553,+0.907
1690963200,+3.48,+21.212, +8.556,+0.907
1690963500,+3.48,+21.204, +8.557,+0.907
1690963800,+3.48,+21.212, +8.552,+0.907
1690964100,+3.48,+21.221, +8.542,+0.907
1690964400,+3.48,+21.204, +8.548,+0.907
1690964700,+3.48,+21.195, +8.546,+0.906
1690965000,+3.48,+21.204, +8.552,+0.907
1690965300,+3.48,+21.187, +8.555,+0.907
1690965600,+3.48,+21.195, +8.554,+0.907
1690965900,+3.48,+21.212, +8.526,+0.906
1690966200,+3.48,+21.212, +8.534,+0.907
1690966500,+3.48,+21.187, +8.548,+0.907
1690966800,+3.48,+21.212, +8.533,+0.906
1690967100,+3.48,+21.195, +8.539,+0.907
1690967400,+3.48,+21.187, +8.540,+0.907
1690967700,+3.48,+21.195, +8.539,+0.907
1690968000,+3.48,+21.187, +8.548,+0.907
1690968300,+3.48,+21.187, +8.545,+0.907
1690968600,+3.48,+21.204, +8.543,+0.907
1690968900,+3.48,+21.195, +8.539,+0.907
1690969200,+3.47,+21.020, +8.565,+0.907
1690969500,+3.47,+20.777, +8.597,+0.907
1690969800,+3.48,+20.501, +8.639,+0.907
1690970100,+3.48,+20.225, +8.681,+0.907
1690970400,+3.47,+19.948, +8.709,+0.907
