7450-562111
OS REV: 1.05 Sensor Cal: 1679419969
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1690884000,+3.48,+20.332, +8.851,+0.935
1690884300,+3.48,+20.407, +8.847,+0.935
1690884600,+3.48,+20.424, +8.844,+0.935
1690884900,+3.47,+20.424, +8.844,+0.935
1690885200,+3.47,+20.407, +8.849,+0.935
1690885500,+3.47,+20.399, +8.858,+0.935
1690885800,+3.47,+20.399, +8.866,+0.935
1690886100,+3.48,+20.307, +8.878,+0.936
1690886400,+3.48,+20.215, +8.890,+0.935
1690886700,+3.48,+20.106, +8.911,+0.935
1690887000,+3.47,+20.056, +8.919,+0.935
1690887300,+3.47,+19.989, +8.962,+0.936
1690887600,+3.47,+19.964, +8.957,+0.936
1690887900,+3.47,+19.930, +8.966,+0.935
1690888200,+3.47,+19.922, +8.984,+0.936
1690888500,+3.47,+19.964, +8.970,+0.935
1690888800,+3.47,+20.558, +8.891,+0.935
1690889100,+3.47,+20.784, +8.859,+0.935
1690889400,+3.47,+20.851, +8.847,+0.935
1690889700,+3.47,+20.893, +8.852,+0.936
1690890000,+3.47,+20.935, +8.830,+0.935
1690890300,+3.47,+21.085, +8.822,+0.936
1690890600,+3.47,+21.386, +8.778,+0.935
1690890900,+3.47,+21.729, +8.717,+0.935
1690891200,+3.47,+22.097, +8.645,+0.935
1690891500,+3.47,+22.382, +8.619,+0.935
1690891800,+3.47,+22.708, +8.548,+0.934
1690892100,+3.47,+23.051, +8.506,+0.935
1690892400,+3.47,+23.411, +8.450,+0.935
1690892700,+3.47,+23.864, +8.383,+0.935
1690893000,+3.47,+24.326, +8.304,+0.934
1690893300,+3.47,+24.754, +8.237,+0.934
1690893600,+3.46,+25.217, +8.173,+0.934
1690893900,+3.47,+25.655, +8.118,+0.935
1690894200,+3.46,+26.111, +8.040,+0.934
1690894500,+3.47,+26.517, +7.982,+0.934
1690894800,+3.47,+26.881, +7.937,+0.935
1690895100,+3.46,+27.203, +7.895,+0.935
1690895400,+3.46,+27.127, +7.906,+0.935
1690895700,+3.47,+26.864, +7.930,+0.934
1690896000,+3.47,+26.813, +7.944,+0.935
1690896300,+3.47,+26.957, +7.902,+0.934
1690896600,+3.46,+27.288, +7.848,+0.934
1690896900,+3.47,+27.935, +7.729,+0.934
1690897200,+3.46,+28.430, +7.652,+0.933
1690897500,+3.46,+28.978, +7.569,+0.933
1690897800,+3.46,+29.450, +7.508,+0.933
1690898100,+3.46,+29.708, +7.472,+0.932
1690898400,+3.46,+30.174, +7.404,+0.931
1690898700,+3.46,+30.962, +7.291,+0.931
1690899000,+3.47,+30.971, +7.308,+0.931
1690899300,+3.46,+30.797, +7.337,+0.930
1690899600,+3.46,+29.553, +6.540,+0.931
1690899900,+3.47,+28.234, +6.842,+0.935
1690900200,+3.47,+27.952, +6.961,+0.937
1690900500,+3.47,+27.824, +7.020,+0.937
1690900800,+3.47,+27.773, +7.081,+0.937
