7450-516531
OS REV: 1.05 Sensor Cal: 1679419607
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1690883700,+3.50,+20.282, +8.999,+0.909
1690884000,+3.50,+20.374, +8.988,+0.909
1690884300,+3.50,+20.441, +8.980,+0.909
1690884600,+3.50,+20.458, +8.974,+0.909
1690884900,+3.50,+20.475, +8.970,+0.909
1690885200,+3.50,+20.483, +8.964,+0.908
1690885500,+3.50,+20.491, +8.972,+0.909
1690885800,+3.50,+20.500, +8.971,+0.909
1690886100,+3.50,+20.458, +8.980,+0.909
1690886400,+3.50,+20.374, +8.988,+0.908
1690886700,+3.50,+20.316, +9.007,+0.909
1690887000,+3.50,+20.265, +9.019,+0.909
1690887300,+3.50,+20.240, +9.038,+0.908
1690887600,+3.50,+20.207, +9.059,+0.909
1690887900,+3.50,+20.190, +9.069,+0.909
1690888200,+3.50,+20.182, +9.068,+0.909
1690888500,+3.50,+20.198, +9.068,+0.909
1690888800,+3.50,+20.600, +9.012,+0.909
1690889100,+3.50,+20.692, +8.999,+0.909
1690889400,+3.50,+20.675, +9.022,+0.909
1690889700,+3.50,+20.675, +9.021,+0.910
1690890000,+3.49,+20.709, +9.006,+0.909
1690890300,+3.49,+20.776, +8.995,+0.908
1690890600,+3.49,+20.960, +8.970,+0.908
1690890900,+3.50,+21.228, +8.925,+0.908
1690891200,+3.50,+21.453, +8.890,+0.907
1690891500,+3.49,+21.671, +8.859,+0.908
1690891800,+3.49,+21.913, +8.832,+0.908
1690892100,+3.49,+22.114, +8.787,+0.907
1690892400,+3.50,+22.340, +8.748,+0.907
1690892700,+3.49,+22.591, +8.714,+0.906
1690893000,+3.49,+22.858, +8.683,+0.907
1690893300,+3.49,+23.168, +8.636,+0.907
1690893600,+3.49,+23.453, +8.588,+0.906
1690893900,+3.49,+23.738, +8.540,+0.905
1690894200,+3.49,+24.157, +8.480,+0.905
1690894500,+3.49,+24.728, +8.404,+0.906
1690894800,+3.49,+25.249, +8.322,+0.905
1690895100,+3.49,+25.763, +8.260,+0.905
1690895400,+3.49,+25.898, +8.236,+0.905
1690895700,+3.49,+25.780, +8.261,+0.905
1690896000,+3.49,+25.873, +8.236,+0.904
1690896300,+3.49,+25.974, +8.227,+0.905
1690896600,+3.49,+26.168, +8.190,+0.904
1690896900,+3.49,+26.362, +8.159,+0.904
1690897200,+3.49,+26.498, +8.143,+0.904
1690897500,+3.49,+26.667, +8.120,+0.904
1690897800,+3.49,+26.845, +8.097,+0.905
1690898100,+3.49,+27.048, +8.068,+0.904
1690898400,+3.49,+27.405, +8.014,+0.904
1690898700,+3.49,+27.830, +7.944,+0.903
1690899000,+3.49,+27.856, +7.959,+0.904
1690899300,+3.49,+27.856, +7.953,+0.902
1690899600,+3.49,+28.009, +7.934,+0.903
1690899900,+3.49,+28.350, +7.869,+0.902
1690900200,+3.49,+27.941, +7.101,+0.903
1690900500,+3.49,+27.753, +7.164,+0.904
1690900800,+3.49,+27.745, +7.225,+0.905
1690901100,+3.49,+27.719, +7.273,+0.906
1690901400,+3.49,+27.719, +7.294,+0.905
1690901700,+3.49,+27.719, +7.356,+0.906
1690902000,+3.49,+27.711, +7.365,+0.905
1690902300,+3.49,+27.719, +7.375,+0.906
1690902600,+3.49,+27.719, +7.419,+0.906
1690902900,+3.49,+27.753, +7.436,+0.906
1690903200,+3.49,+27.745, +7.472,+0.906
1690903500,+3.49,+27.779, +7.514,+0.907
1690903800,+3.49,+27.787, +7.491,+0.906
1690904100,+3.49,+27.813, +7.582,+0.906
1690904400,+3.49,+27.838, +7.614,+0.906
1690904700,+3.49,+27.864, +7.670,+0.907
1690905000,+3.49,+27.881, +7.714,+0.907
1690905300,+3.49,+27.915, +7.732,+0.907
1690905600,+3.49,+27.932, +7.746,+0.906
1690905900,+3.49,+27.975, +7.832,+0.907
1690906200,+3.49,+28.000, +7.859,+0.907
1690906500,+3.49,+28.017, +7.914,+0.907
1690906800,+3.49,+28.034, +7.865,+0.906
1690907100,+3.49,+28.051, +7.922,+0.907
1690907400,+3.49,+28.077, +7.947,+0.906
1690907700,+3.49,+28.077, +7.949,+0.907
1690908000,+3.49,+28.128, +8.051,+0.907
1690908300,+3.49,+28.154, +8.069,+0.908
1690908600,+3.49,+28.137, +8.077,+0.907
1690908900,+3.49,+28.214, +8.151,+0.908
1690909200,+3.49,+28.205, +8.117,+0.908
1690909500,+3.49,+28.205, +8.108,+0.907
1690909800,+3.49,+28.265, +8.114,+0.906
1690910100,+3.49,+28.461, +7.870,+0.907
1690910400,+3.49,+28.282, +7.854,+0.905
1690910700,+3.49,+28.086, +7.855,+0.905
1690911000,+3.50,+27.924, +7.862,+0.905
1690911300,+3.50,+27.770, +7.878,+0.905
1690911600,+3.50,+27.651, +7.891,+0.906
1690911900,+3.50,+27.558, +7.881,+0.905
1690912200,+3.49,+27.473, +7.902,+0.906
1690912500,+3.49,+27.405, +7.895,+0.905
1690912800,+3.49,+27.413, +7.910,+0.907
1690913100,+3.49,+27.413, +7.884,+0.906
1690913400,+3.49,+27.413, +7.883,+0.906
1690913700,+3.49,+27.388, +7.884,+0.906
1690914000,+3.49,+27.354, +7.895,+0.906
1690914300,+3.49,+27.303, +7.905,+0.906
1690914600,+3.49,+27.311, +7.894,+0.905
1690914900,+3.49,+27.337, +7.884,+0.906
1690915200,+3.49,+27.379, +7.880,+0.906
1690915500,+3.49,+27.405, +7.870,+0.906
1690915800,+3.49,+27.422, +7.991,+0.905
1690916100,+3.49,+27.515, +7.965,+0.906
1690916400,+3.50,+27.634, +7.940,+0.906
1690916700,+3.50,+27.787, +7.956,+0.906
1690917000,+3.50,+27.915, +7.914,+0.906
1690917300,+3.50,+27.975, +7.911,+0.906
1690917600,+3.50,+28.128, +7.882,+0.906
1690917900,+3.50,+28.324, +7.865,+0.907
1690918200,+3.49,+28.572, +7.828,+0.906
1690918500,+3.50,+28.820, +7.795,+0.906
1690918800,+3.50,+28.940, +7.767,+0.906
1690919100,+3.50,+28.974, +7.747,+0.906
1690919400,+3.50,+29.043, +7.714,+0.906
1690919700,+3.50,+29.120, +7.722,+0.907
1690920000,+3.50,+29.197, +7.694,+0.906
1690920300,+3.50,+29.266, +7.699,+0.906
1690920600,+3.49,+29.309, +7.692,+0.906
1690920900,+3.49,+29.395, +7.685,+0.906
1690921200,+3.49,+29.498, +7.659,+0.906
1690921500,+3.49,+29.601, +7.648,+0.906
1690921800,+3.49,+29.739, +7.628,+0.906
1690922100,+3.50,+29.842, +7.616,+0.906
1690922400,+3.50,+29.971, +7.589,+0.905
1690922700,+3.50,+30.101, +7.585,+0.906
1690923000,+3.50,+30.213, +7.549,+0.905
1690923300,+3.50,+30.325, +7.530,+0.905
1690923600,+3.49,+30.429, +7.516,+0.905
1690923900,+3.49,+30.533, +7.503,+0.905
1690924200,+3.49,+30.602, +7.474,+0.905
1690924500,+3.49,+30.611, +7.468,+0.906
1690924800,+3.49,+30.576, +7.466,+0.906
1690925100,+3.50,+30.481, +7.449,+0.904
1690925400,+3.50,+30.377, +7.469,+0.905
1690925700,+3.50,+30.265, +7.470,+0.905
1690926000,+3.50,+30.170, +7.469,+0.905
1690926300,+3.50,+30.023, +7.506,+0.907
1690926600,+3.50,+29.859, +7.514,+0.906
1690926900,+3.50,+29.773, +7.554,+0.906
1690927200,+3.49,+29.636, +7.540,+0.906
1690927500,+3.50,+28.376, +7.791,+0.907
1690927800,+3.50,+27.388, +7.908,+0.907
1690928100,+3.51,+26.667, +7.990,+0.906
1690928400,+3.50,+26.101, +8.093,+0.908
1690928700,+3.51,+25.637, +8.135,+0.907
1690929000,+3.50,+25.283, +8.169,+0.907
1690929300,+3.50,+24.938, +8.231,+0.908
1690929600,+3.51,+24.661, +8.263,+0.908
1690929900,+3.51,+24.400, +8.294,+0.908
1690930200,+3.50,+24.190, +8.324,+0.909
1690930500,+3.50,+23.981, +8.344,+0.909
1690930800,+3.51,+23.780, +8.373,+0.909
1690931100,+3.51,+23.595, +8.395,+0.909
1690931400,+3.51,+23.428, +8.423,+0.910
1690931700,+3.51,+23.285, +8.428,+0.909
1690932000,+3.50,+23.168, +8.444,+0.909
1690932300,+3.50,+23.059, +8.459,+0.909
1690932600,+3.50,+22.934, +8.487,+0.910
1690932900,+3.50,+22.842, +8.499,+0.910
1690933200,+3.51,+22.725, +8.513,+0.910
1690933500,+3.51,+22.649, +8.519,+0.910
1690933800,+3.51,+22.582, +8.523,+0.910
1690934100,+3.51,+22.499, +8.539,+0.910
1690934400,+3.51,+22.432, +8.542,+0.910
1690934700,+3.51,+22.340, +8.551,+0.910
1690935000,+3.51,+22.290, +8.552,+0.909
1690935300,+3.51,+22.231, +8.566,+0.910
1690935600,+3.50,+22.164, +8.577,+0.910
1690935900,+3.50,+22.106, +8.585,+0.910
1690936200,+3.50,+22.030, +8.604,+0.911
1690936500,+3.50,+21.997, +8.599,+0.910
1690936800,+3.50,+21.938, +8.611,+0.910
