7450-325834
OS REV: 1.05 Sensor Cal: 1678992891
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1690883880,+3.53,+20.443, +8.993,+0.967
1690884180,+3.53,+20.686, +8.945,+0.967
1690884480,+3.53,+20.711, +8.937,+0.967
1690884780,+3.53,+20.661, +8.951,+0.967
1690885080,+3.53,+20.627, +8.957,+0.967
1690885380,+3.53,+20.611, +8.957,+0.967
1690885680,+3.53,+20.577, +8.963,+0.967
1690885980,+3.53,+20.493, +8.979,+0.967
1690886280,+3.53,+20.376, +9.007,+0.967
1690886580,+3.54,+20.267, +9.029,+0.968
1690886880,+3.54,+20.167, +9.043,+0.967
1690887180,+3.53,+20.133, +9.055,+0.967
1690887480,+3.53,+20.116, +9.070,+0.968
1690887780,+3.53,+20.091, +9.088,+0.967
1690888080,+3.53,+20.074, +9.103,+0.968
1690888380,+3.53,+20.083, +9.092,+0.967
1690888680,+3.53,+20.435, +9.033,+0.967
1690888980,+3.53,+20.736, +8.983,+0.967
1690889280,+3.53,+20.778, +8.992,+0.967
1690889580,+3.53,+20.803, +8.980,+0.967
1690889880,+3.53,+20.845, +8.974,+0.967
1690890180,+3.53,+20.929, +8.957,+0.967
1690890480,+3.53,+21.205, +8.923,+0.967
1690890780,+3.53,+21.883, +8.815,+0.966
1690891080,+3.53,+22.620, +8.705,+0.966
1690891380,+3.53,+23.047, +8.629,+0.965
1690891680,+3.53,+23.131, +8.621,+0.965
1690891980,+3.53,+23.600, +8.540,+0.965
1690892280,+3.52,+24.163, +8.467,+0.965
1690892580,+3.53,+24.759, +8.377,+0.964
1690892880,+3.52,+25.366, +8.276,+0.963
1690893180,+3.53,+25.906, +8.205,+0.963
1690893480,+3.52,+26.388, +8.137,+0.963
1690893780,+3.53,+26.871, +8.062,+0.962
1690894080,+3.52,+27.313, +8.004,+0.962
1690894380,+3.52,+27.935, +7.922,+0.961
1690894680,+3.52,+28.567, +7.855,+0.962
1690894980,+3.52,+29.090, +7.776,+0.960
1690895280,+3.52,+29.874, +7.673,+0.960
1690895580,+3.52,+30.540, +7.586,+0.959
1690895880,+3.52,+31.409, +7.468,+0.958
1690896180,+3.52,+32.204, +7.351,+0.956
1690896480,+3.52,+32.643, +7.293,+0.955
1690896780,+3.51,+32.925, +7.254,+0.954
1690897080,+3.51,+32.995, +7.246,+0.954
1690897380,+3.52,+33.180, +7.217,+0.953
1690897680,+3.52,+33.436, +7.183,+0.952
1690897980,+3.52,+33.781, +7.120,+0.950
1690898280,+3.51,+34.145, +7.073,+0.950
1690898580,+3.52,+34.350, +7.049,+0.949
1690898880,+3.52,+34.474, +7.029,+0.948
1690899180,+3.52,+34.510, +7.041,+0.949
1690899480,+3.52,+34.867, +6.958,+0.947
1690899780,+3.51,+35.197, +6.895,+0.945
1690900080,+3.52,+35.565, +6.824,+0.943
1690900380,+3.52,+35.951, +6.755,+0.941
1690900680,+3.52,+36.167, +6.727,+0.939
1690900980,+3.52,+35.090, +6.934,+0.946
1690901280,+3.52,+33.870, +7.133,+0.951
1690901580,+3.52,+33.145, +7.250,+0.953
1690901880,+3.52,+32.757, +7.335,+0.955
1690902180,+3.53,+28.473, +7.074,+0.960
1690902480,+3.53,+27.952, +7.183,+0.962
1690902780,+3.53,+27.798, +7.244,+0.962
1690903080,+3.53,+27.756, +7.284,+0.963
1690903380,+3.53,+27.713, +7.304,+0.962
1690903680,+3.53,+27.730, +7.329,+0.963
1690903980,+3.53,+27.730, +7.354,+0.962
1690904280,+3.53,+27.764, +7.380,+0.963
1690904580,+3.53,+27.764, +7.402,+0.963
1690904880,+3.53,+27.798, +7.427,+0.963
1690905180,+3.53,+27.815, +7.428,+0.962
1690905480,+3.53,+27.841, +7.457,+0.962
1690905780,+3.53,+27.875, +7.491,+0.963
1690906080,+3.53,+27.918, +7.516,+0.963
1690906380,+3.53,+27.926, +7.534,+0.962
1690906680,+3.53,+27.952, +7.557,+0.963
1690906980,+3.53,+27.978, +7.587,+0.963
1690907280,+3.53,+27.969, +7.618,+0.963
1690907580,+3.53,+28.020, +7.641,+0.962
1690907880,+3.53,+28.046, +7.663,+0.963
1690908180,+3.53,+28.071, +7.668,+0.962
1690908480,+3.53,+28.089, +7.709,+0.962
1690908780,+3.53,+28.148, +7.735,+0.963
1690909080,+3.53,+28.174, +7.762,+0.963
1690909380,+3.53,+28.200, +7.785,+0.962
1690909680,+3.53,+28.242, +7.795,+0.962
1690909980,+3.53,+28.268, +7.827,+0.962
1690910280,+3.53,+28.259, +7.827,+0.963
1690910580,+3.53,+28.328, +7.865,+0.962
1690910880,+3.53,+28.362, +7.910,+0.962
1690911180,+3.53,+28.396, +7.928,+0.962
1690911480,+3.53,+28.413, +7.957,+0.963
1690911780,+3.53,+28.456, +7.959,+0.963
1690912080,+3.53,+28.345, +7.870,+0.962
1690912380,+3.53,+28.927, +7.756,+0.962
1690912680,+3.53,+30.635, +7.528,+0.960
1690912980,+3.53,+31.566, +7.392,+0.958
1690913280,+3.52,+31.941, +7.351,+0.958
1690913580,+3.53,+32.038, +7.316,+0.957
1690913880,+3.53,+32.248, +7.274,+0.956
1690914180,+3.53,+32.362, +7.255,+0.956
1690914480,+3.53,+32.652, +7.211,+0.955
1690914780,+3.53,+33.295, +7.121,+0.953
1690915080,+3.52,+34.030, +7.026,+0.952
1690915380,+3.53,+34.670, +6.941,+0.950
1690915680,+3.52,+35.001, +6.872,+0.948
