7450-334927
OS REV: 1.05 Sensor Cal: 1679088857
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1690883820,+3.55,+20.407, +8.840,+0.954
1690884120,+3.54,+20.825, +8.750,+0.954
1690884420,+3.54,+20.850, +8.758,+0.954
1690884720,+3.54,+20.800, +8.769,+0.954
1690885020,+3.54,+20.741, +8.795,+0.954
1690885320,+3.54,+20.683, +8.805,+0.954
1690885620,+3.54,+20.641, +8.819,+0.954
1690885920,+3.54,+20.591, +8.820,+0.954
1690886220,+3.54,+20.474, +8.859,+0.954
1690886520,+3.54,+20.365, +8.867,+0.954
1690886820,+3.55,+20.214, +8.888,+0.954
1690887120,+3.55,+20.139, +8.912,+0.954
1690887420,+3.55,+20.080, +8.940,+0.954
1690887720,+3.54,+20.039, +8.959,+0.954
1690888020,+3.54,+20.014, +8.977,+0.954
1690888320,+3.54,+20.030, +8.962,+0.954
1690888620,+3.55,+20.147, +8.952,+0.955
1690888920,+3.54,+20.557, +8.880,+0.954
1690889220,+3.54,+20.758, +8.857,+0.954
1690889520,+3.54,+20.917, +8.829,+0.954
1690889820,+3.54,+21.017, +8.819,+0.954
1690890120,+3.54,+21.168, +8.806,+0.955
1690890420,+3.54,+21.703, +8.698,+0.955
1690890720,+3.54,+23.225, +8.413,+0.954
1690891020,+3.54,+24.752, +8.164,+0.953
1690891320,+3.54,+25.577, +8.079,+0.954
1690891620,+3.53,+25.417, +8.129,+0.955
1690891920,+3.53,+26.032, +8.025,+0.955
1690892220,+3.53,+27.235, +7.861,+0.955
1690892520,+3.53,+28.275, +7.716,+0.956
1690892820,+3.53,+29.286, +7.581,+0.955
1690893120,+3.53,+30.035, +7.487,+0.954
1690893420,+3.53,+30.650, +7.416,+0.954
1690893720,+3.53,+31.301, +7.335,+0.954
1690894020,+3.52,+31.886, +7.254,+0.953
1690894320,+3.53,+32.578, +7.169,+0.952
1690894620,+3.53,+33.221, +7.083,+0.951
1690894920,+3.53,+33.779, +7.011,+0.950
1690895220,+3.52,+34.240, +6.961,+0.949
1690895520,+3.53,+34.320, +6.985,+0.950
1690895820,+3.53,+34.605, +6.961,+0.949
1690896120,+3.52,+34.900, +6.933,+0.947
1690896420,+3.52,+34.918, +6.948,+0.948
1690896720,+3.53,+34.864, +6.954,+0.948
1690897020,+3.53,+34.641, +7.003,+0.950
1690897320,+3.53,+34.356, +7.031,+0.950
1690897620,+3.52,+34.169, +7.052,+0.950
1690897920,+3.52,+34.125, +7.066,+0.950
1690898220,+3.52,+34.142, +7.057,+0.950
1690898520,+3.52,+34.125, +7.068,+0.950
1690898820,+3.53,+34.107, +7.061,+0.950
1690899120,+3.53,+33.991, +7.054,+0.949
1690899420,+3.53,+29.354, +5.374,+0.947
1690899720,+3.54,+27.797, +5.141,+0.953
1690900020,+3.54,+27.524, +5.087,+0.955
1690900320,+3.54,+27.439, +5.047,+0.956
1690900620,+3.53,+27.414, +4.961,+0.955
1690900920,+3.54,+27.422, +4.935,+0.956
1690901220,+3.54,+27.439, +4.916,+0.956
1690901520,+3.54,+27.456, +4.905,+0.956
1690901820,+3.53,+27.490, +4.908,+0.956
1690902120,+3.53,+27.490, +4.908,+0.956
1690902420,+3.53,+27.516, +4.905,+0.956
1690902720,+3.54,+27.516, +4.904,+0.956
1690903020,+3.54,+27.550, +4.922,+0.956
1690903320,+3.54,+27.541, +4.904,+0.956
1690903620,+3.54,+27.567, +4.906,+0.956
1690903920,+3.54,+27.575, +4.909,+0.956
1690904220,+3.54,+27.601, +4.905,+0.956
1690904520,+3.54,+27.618, +4.905,+0.955
1690904820,+3.54,+27.643, +4.914,+0.956
1690905120,+3.54,+27.643, +4.900,+0.956
1690905420,+3.54,+27.677, +4.900,+0.956
1690905720,+3.54,+27.695, +4.888,+0.956
1690906020,+3.54,+27.703, +4.885,+0.956
1690906320,+3.54,+27.737, +4.854,+0.956
1690906620,+3.54,+27.788, +4.855,+0.956
1690906920,+3.54,+27.822, +4.863,+0.956
1690907220,+3.54,+27.533, +7.730,+0.957
1690907520,+3.54,+28.728, +7.550,+0.957
1690907820,+3.53,+30.598, +7.301,+0.957
1690908120,+3.53,+32.570, +7.010,+0.954
1690908420,+3.53,+33.708, +6.840,+0.951
1690908720,+3.53,+34.623, +6.714,+0.949
1690909020,+3.53,+35.168, +6.631,+0.948
1690909320,+3.53,+35.383, +6.590,+0.946
1690909620,+3.53,+35.491, +6.561,+0.946
