7450-269898
OS REV: 1.05 Sensor Cal: 1678994772
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1690883760,+3.53,+20.347, +8.793,+0.965
1690884060,+3.53,+20.757, +8.713,+0.966
1690884360,+3.53,+20.849, +8.692,+0.965
1690884660,+3.53,+20.832, +8.719,+0.966
1690884960,+3.53,+20.782, +8.715,+0.965
1690885260,+3.53,+20.732, +8.741,+0.966
1690885560,+3.53,+20.698, +8.745,+0.966
1690885860,+3.53,+20.673, +8.752,+0.966
1690886160,+3.53,+20.564, +8.787,+0.966
1690886460,+3.53,+20.455, +8.798,+0.966
1690886760,+3.53,+20.363, +8.819,+0.965
1690887060,+3.53,+20.305, +8.827,+0.965
1690887360,+3.53,+20.238, +8.850,+0.965
1690887660,+3.53,+20.221, +8.868,+0.965
1690887960,+3.53,+20.204, +8.889,+0.966
1690888260,+3.53,+20.196, +8.890,+0.966
1690888560,+3.53,+20.230, +8.877,+0.966
1690888860,+3.53,+20.589, +8.824,+0.965
1690889160,+3.53,+20.715, +8.812,+0.966
1690889460,+3.53,+20.782, +8.796,+0.965
1690889760,+3.53,+20.832, +8.797,+0.966
1690890060,+3.53,+20.924, +8.778,+0.965
1690890360,+3.53,+21.125, +8.738,+0.965
1690890660,+3.53,+21.626, +8.675,+0.966
1690890960,+3.53,+22.236, +8.574,+0.966
1690891260,+3.52,+22.838, +8.491,+0.966
1690891560,+3.52,+23.089, +8.464,+0.967
1690891860,+3.53,+23.382, +8.413,+0.967
1690892160,+3.52,+23.943, +8.331,+0.967
1690892460,+3.53,+24.480, +8.256,+0.967
1690892760,+3.52,+25.102, +8.163,+0.967
1690893060,+3.52,+25.641, +8.107,+0.968
1690893360,+3.52,+26.214, +8.024,+0.968
1690893660,+3.52,+26.781, +7.941,+0.967
1690893960,+3.52,+27.341, +7.864,+0.967
1690894260,+3.52,+27.953, +7.794,+0.968
1690894560,+3.52,+28.637, +7.701,+0.968
1690894860,+3.52,+29.254, +7.626,+0.968
1690895160,+3.52,+29.857, +7.538,+0.965
1690895460,+3.51,+30.722, +7.461,+0.971
1690895760,+3.51,+31.706, +7.335,+0.970
1690896060,+3.51,+32.548, +7.227,+0.969
1690896360,+3.51,+32.926, +7.178,+0.968
1690896660,+3.51,+33.165, +7.147,+0.967
1690896960,+3.52,+33.236, +7.119,+0.961
1690897260,+3.52,+33.253, +7.118,+0.961
1690897560,+3.52,+33.359, +7.092,+0.961
1690897860,+3.51,+33.519, +7.076,+0.961
1690898160,+3.51,+33.723, +7.050,+0.960
1690898460,+3.51,+33.909, +7.027,+0.960
1690898760,+3.51,+34.025, +7.008,+0.959
1690899060,+3.51,+34.052, +6.998,+0.958
1690899360,+3.52,+33.395, +7.101,+0.960
1690899660,+3.51,+32.970, +7.146,+0.961
1690899960,+3.52,+28.876, +6.147,+0.950
1690900260,+3.53,+27.792, +6.361,+0.949
1690900560,+3.52,+27.587, +6.572,+0.949
1690900860,+3.52,+27.553, +6.581,+0.948
1690901160,+3.52,+27.553, +6.559,+0.950
1690901460,+3.52,+27.536, +6.707,+0.945
1690901760,+3.52,+27.553, +6.623,+0.945
1690902060,+3.52,+27.545, +6.578,+0.946
1690902360,+3.52,+27.536, +6.564,+0.946
1690902660,+3.52,+27.545, +6.544,+0.946
1690902960,+3.52,+27.562, +6.534,+0.947
1690903260,+3.53,+27.587, +6.535,+0.947
1690903560,+3.52,+27.604, +6.539,+0.946
1690903860,+3.53,+27.613, +6.560,+0.947
1690904160,+3.53,+27.630, +6.553,+0.947
1690904460,+3.53,+27.664, +6.566,+0.947
1690904760,+3.53,+27.681, +6.588,+0.947
1690905060,+3.53,+27.715, +6.602,+0.947
1690905360,+3.53,+27.707, +6.625,+0.947
1690905660,+3.53,+27.749, +6.651,+0.947
1690905960,+3.53,+27.775, +6.662,+0.947
1690906260,+3.53,+27.792, +6.687,+0.947
1690906560,+3.53,+27.834, +6.688,+0.946
