7530-815399
OS REV: 1.05 Sensor Cal: 1620284400
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (g), Ay (g), Az (g)
1690884240, +3.08, +22.191,  -0.00110, -112.000, +1198.000, +860.000
1690884540, +3.52, +20.296,  -0.00938, -109.000, +1198.000, +864.000
1690884840, +3.52, +20.296,  +0.07337, -109.000, +1200.000, +865.000
1690885140, +3.52, +20.279,  +0.03475, -288.000, +752.000, +1276.000
1690885440, +3.52, +20.279,  +0.12302, -292.000, +748.000, +1273.000
1690885740, +3.52, +20.279,  +0.06509, -272.000, +408.000, +1438.000
1690886040, +3.52, +20.220,  +0.00717, -314.000, +455.000, +1344.000
1690886340, +3.52, +20.119,  +0.00717, -296.000, +376.000, +1407.000
1690886640, +3.52, +20.019,  +2.23027, -276.000, +376.000, +1376.000
1690886940, +3.52, +19.918,  +0.03475, -509.000, +463.000, +1388.000
1690887240, +3.52, +19.859,  +0.13681, -256.000, +416.000, +1320.000
1690887540, +3.52, +19.842,  +0.04027, -154.000, +328.000, +1289.000
1690887840, +3.52, +19.792,  +0.03199, -292.000, +310.000, +1369.000
1690888140, +3.52, +19.783,  +0.06785, -256.000, +376.000, +1395.000
1690888440, +3.52, +19.817, +15.92743, -248.000, +376.000, +1376.000
1690888740, +3.51, +19.985,  +4.71264, -240.000, +460.000, +1356.000
1690889040, +3.52, +20.170,  +7.92317, -170.000, +504.000, +1368.000
1690889340, +3.51, +20.321,  +1.27318, -306.000, +504.000, +1384.000
1690889640, +3.51, +20.464,  +1.63174, -272.000, +388.000, +1345.000
1690889940, +3.51, +20.615,  +9.03748, -272.000, +499.000, +1308.000
1690890240, +3.51, +20.816, +259.90568, -316.000, +444.000, +1420.000
1690890540, +3.51, +21.160, +72.40408, -272.000, +401.000, +1411.000
1690890840, +3.51, +21.554, +132.00852, -268.000, +428.000, +1376.000
1690891140, +3.51, +21.998, +22.74843, -153.000, -669.000, +1264.000
1690891440, +3.51, +22.400, +662.30044, +1219.000,  +7.000, +270.000
1690891740, +3.51, +23.604, +121.80047, +1151.000, +20.000, +280.000
1690892040, +3.51, +25.171, +176.36293, +1235.000, +40.000, +179.000
1690892340, +3.51, +26.027, +184.25963, +1240.000, +35.000, +168.000
1690892640, +3.51, +26.466, +184.35065, +1168.000, +24.000, +272.000
1690892940, +3.51, +26.723, +191.99910, +1167.000, +24.000, +272.000
1690893240, +3.51, +26.847, +137.84760, +1240.000, +38.000, +172.000
1690893540, +3.51, +26.871, +214.64658, +1240.000, +38.000, +176.000
1690893840, +3.51, +26.838, +209.42809, +1231.000, +44.000, +192.000
1690894140, +3.51, +26.847, +183.99208, +1232.000, +40.000, +192.000
1690894440, +3.51, +26.805, +254.27622, +1244.000, +32.000, +158.000
1690894740, +3.51, +26.789, +263.96573, +1240.000, +32.000, +163.000
1690895040, +3.51, +26.789, +267.44933, +1246.000, +32.000, +152.000
1690895340, +3.50, +26.789, +249.15427, +1243.000, +33.000, +163.000
1690895640, +3.50, +26.797, +266.89769, +1240.000, +38.000, +172.000
1690895940, +3.50, +26.814, +252.86679, +1244.000, +32.000, +156.000
1690896240, +3.50, +26.847, +268.29609, +1232.000, +44.000, +184.000
1690896540, +3.50, +26.880, +269.68622, +1239.000, +40.000, +177.000
1690896840, +3.50, +26.929, +254.34793, +1235.000, +40.000, +176.000
1690897140, +3.50, +26.962, +269.16216, +1240.000, +38.000, +168.000
1690897440, +3.50, +27.004, +283.72539, +1233.000, +44.000, +184.000
1690897740, +3.50, +27.061, +290.22644, +1231.000, +44.000, +188.000
1690898040, +3.50, +27.103, +244.02404, +1231.000, +44.000, +184.000
1690898340, +3.50, +27.144, +280.05148, +1228.000, +40.000, +195.000
1690898640, +3.50, +27.161, +288.95216, +1203.000, +33.000, +240.000
1690898940, +3.50, +27.194, +252.35652, +1215.000, +38.000, +224.000
1690899240, +3.50, +27.218, +293.21356, +1196.000, +32.000, +248.000
1690899540, +3.50, +27.243, +276.39689, +1193.000, +30.000, +248.000
1690899840, +3.50, +27.251, +298.30517, +1169.000, +24.000, +268.000
1690900140, +3.50, +27.276, +303.68640, +1169.000, +24.000, +268.000
1690900440, +3.50, +27.284, +308.12708, +1200.000, +35.000, +243.000
1690900740, +3.50, +27.301, +275.27430, +1155.000, +19.000, +271.000
1690901040, +3.50, +27.326, +338.20236, +1166.000, +24.000, +270.000
1690901340, +3.50, +27.342, +335.44968, +1148.000, +19.000, +270.000
1690901640, +3.50, +27.350, +283.87985, +1199.000, +32.000, +248.000
1690901940, +3.50, +27.367, +322.57722, +1191.000, +30.000, +252.000
1690902240, +3.50, +27.375, +348.26147, +1176.000, +28.000, +264.000
1690902540, +3.50, +27.375, +330.01054, +1199.000, +33.000, +240.000
