7450-249209
OS REV: 1.05 Sensor Cal: 1678994209
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1690883700,+3.55,+20.370, +9.053,+0.955
1690884000,+3.55,+20.429, +9.072,+0.956
1690884300,+3.54,+20.454, +9.070,+0.956
1690884600,+3.54,+20.479, +9.062,+0.955
1690884900,+3.54,+20.496, +9.056,+0.955
1690885200,+3.54,+20.487, +9.069,+0.955
1690885500,+3.54,+20.496, +9.073,+0.955
1690885800,+3.54,+20.537, +9.057,+0.954
1690886100,+3.54,+20.462, +9.083,+0.955
1690886400,+3.55,+20.387, +9.093,+0.955
1690886700,+3.55,+20.295, +9.109,+0.955
1690887000,+3.55,+20.253, +9.136,+0.956
1690887300,+3.55,+20.211, +9.166,+0.955
1690887600,+3.55,+20.186, +9.164,+0.955
1690887900,+3.55,+20.178, +9.172,+0.955
1690888200,+3.55,+20.169, +9.178,+0.955
1690888500,+3.55,+20.203, +9.177,+0.955
1690888800,+3.54,+20.504, +9.139,+0.955
1690889100,+3.54,+20.655, +9.108,+0.955
1690889400,+3.54,+20.721, +9.091,+0.955
1690889700,+3.54,+20.763, +9.088,+0.955
1690890000,+3.54,+20.830, +9.083,+0.955
1690890300,+3.54,+20.930, +9.070,+0.955
1690890600,+3.54,+21.306, +9.007,+0.955
1690890900,+3.54,+21.716, +8.932,+0.955
1690891200,+3.54,+22.501, +8.775,+0.957
1690891500,+3.54,+24.847, +8.585,+0.960
1690891800,+3.54,+26.541, +5.600,+0.958
1690892100,+3.53,+26.956, +5.558,+0.957
1690892400,+3.53,+27.092, +5.420,+0.955
1690892700,+3.53,+27.092, +5.236,+0.955
1690893000,+3.53,+27.134, +5.241,+0.955
1690893300,+3.53,+27.109, +5.039,+0.955
1690893600,+3.53,+26.981, +4.858,+0.953
1690893900,+3.53,+26.981, +4.832,+0.954
1690894200,+3.53,+26.922, +4.934,+0.954
1690894500,+3.53,+26.897, +4.990,+0.954
1690894800,+3.53,+26.922, +5.067,+0.954
1690895100,+3.53,+26.922, +5.142,+0.954
1690895400,+3.53,+26.930, +5.216,+0.954
1690895700,+3.53,+26.956, +5.312,+0.954
1690896000,+3.53,+26.973, +5.408,+0.954
1690896300,+3.53,+27.024, +5.522,+0.954
1690896600,+3.53,+27.083, +5.692,+0.955
1690896900,+3.53,+27.109, +5.761,+0.955
1690897200,+3.53,+27.168, +5.936,+0.955
1690897500,+3.53,+27.236, +6.159,+0.955
1690897800,+3.53,+27.270, +6.378,+0.955
1690898100,+3.53,+27.304, +6.559,+0.955
1690898400,+3.53,+27.338, +6.717,+0.956
1690898700,+3.53,+27.355, +6.748,+0.955
1690899000,+3.53,+27.380, +6.883,+0.955
1690899300,+3.53,+27.380, +6.976,+0.956
1690899600,+3.53,+27.397, +7.061,+0.956
1690899900,+3.53,+27.431, +7.110,+0.956
1690900200,+3.53,+27.440, +7.136,+0.956
1690900500,+3.53,+27.465, +7.142,+0.955
1690900800,+3.53,+27.465, +7.155,+0.955
1690901100,+3.53,+27.499, +7.164,+0.956
1690901400,+3.53,+27.499, +7.179,+0.955
1690901700,+3.53,+27.499, +7.171,+0.955
1690902000,+3.53,+27.533, +7.189,+0.955
1690902300,+3.53,+27.542, +7.246,+0.956
1690902600,+3.53,+27.576, +7.295,+0.955
1690902900,+3.53,+27.576, +7.309,+0.956
1690903200,+3.54,+27.584, +7.418,+0.956
1690903500,+3.54,+27.601, +7.582,+0.956
1690903800,+3.54,+27.610, +7.718,+0.956
1690904100,+3.54,+27.635, +7.833,+0.957
1690904400,+3.54,+27.669, +7.885,+0.956
1690904700,+3.54,+27.695, +7.944,+0.957
1690905000,+3.54,+27.720, +7.970,+0.956
1690905300,+3.54,+27.729, +7.992,+0.957
1690905600,+3.54,+27.763, +8.011,+0.956
1690905900,+3.54,+27.797, +8.041,+0.957
1690906200,+3.54,+27.823, +8.036,+0.956
1690906500,+3.54,+27.848, +8.058,+0.957
1690906800,+3.54,+27.857, +8.049,+0.957
1690907100,+3.54,+27.891, +8.052,+0.956
1690907400,+3.54,+27.891, +8.065,+0.956
1690907700,+3.54,+27.925, +8.057,+0.956
1690908000,+3.54,+27.942, +8.100,+0.957
1690908300,+3.54,+27.976, +8.108,+0.956
1690908600,+3.53,+28.019, +8.128,+0.956
1690908900,+3.54,+28.036, +8.175,+0.957
1690909200,+3.53,+28.070, +8.172,+0.956
1690909500,+3.53,+28.095, +8.204,+0.957
1690909800,+3.53,+28.112, +8.220,+0.957
1690910100,+3.53,+28.138, +8.243,+0.956
1690910400,+3.53,+28.181, +8.252,+0.957
1690910700,+3.53,+28.198, +8.289,+0.957
1690911000,+3.53,+28.232, +8.314,+0.957
1690911300,+3.53,+28.240, +8.330,+0.958
1690911600,+3.53,+28.266, +8.341,+0.957
1690911900,+3.53,+28.292, +8.344,+0.957
1690912200,+3.53,+28.317, +8.355,+0.957
1690912500,+3.53,+28.351, +8.393,+0.956
1690912800,+3.53,+28.369, +8.440,+0.957
1690913100,+3.53,+28.386, +8.441,+0.957
1690913400,+3.53,+28.420, +8.445,+0.957
1690913700,+3.53,+28.445, +8.485,+0.957
1690914000,+3.53,+28.437, +8.512,+0.958
1690914300,+3.53,+28.454, +8.536,+0.957
1690914600,+3.53,+28.471, +8.576,+0.958
1690914900,+3.53,+28.505, +8.579,+0.957
1690915200,+3.53,+28.522, +8.593,+0.957
1690915500,+3.53,+28.557, +8.585,+0.958
1690915800,+3.53,+28.531, +7.859,+0.956
1690916100,+3.54,+28.968, +7.787,+0.957
1690916400,+3.53,+29.234, +7.732,+0.956
1690916700,+3.53,+29.475, +7.706,+0.956
1690917000,+3.53,+29.612, +7.683,+0.957
1690917300,+3.53,+29.716, +7.653,+0.957
1690917600,+3.54,+29.888, +7.645,+0.958
1690917900,+3.54,+30.043, +7.613,+0.957
1690918200,+3.54,+30.208, +7.616,+0.957
1690918500,+3.53,+30.268, +7.611,+0.957
1690918800,+3.53,+30.415, +7.594,+0.957
1690919100,+3.53,+30.493, +7.577,+0.957
1690919400,+3.53,+30.580, +7.546,+0.957
1690919700,+3.53,+30.641, +7.556,+0.956
1690920000,+3.53,+30.762, +7.537,+0.957
1690920300,+3.53,+30.849, +7.537,+0.957
1690920600,+3.54,+30.884, +7.534,+0.957
1690920900,+3.54,+30.962, +7.521,+0.957
1690921200,+3.54,+31.014, +7.508,+0.957
1690921500,+3.54,+31.084, +7.505,+0.957
1690921800,+3.54,+31.153, +7.495,+0.957
1690922100,+3.54,+31.232, +7.486,+0.957
1690922400,+3.54,+31.319, +7.470,+0.957
1690922700,+3.54,+31.389, +7.461,+0.957
1690923000,+3.53,+31.476, +7.439,+0.956
1690923300,+3.53,+31.554, +7.427,+0.955
1690923600,+3.53,+31.607, +7.434,+0.957
1690923900,+3.53,+31.659, +7.421,+0.956
1690924200,+3.53,+31.712, +7.391,+0.956
1690924500,+3.53,+31.694, +7.402,+0.956
1690924800,+3.53,+31.642, +7.407,+0.956
1690925100,+3.53,+31.563, +7.411,+0.957
1690925400,+3.54,+31.458, +7.405,+0.957
1690925700,+3.54,+31.362, +7.425,+0.957
1690926000,+3.54,+31.301, +7.416,+0.957
1690926300,+3.54,+31.214, +7.427,+0.957
1690926600,+3.54,+31.127, +7.433,+0.957
1690926900,+3.54,+31.005, +7.444,+0.958
1690927200,+3.54,+30.814, +7.454,+0.957
1690927500,+3.54,+30.493, +7.509,+0.957
1690927800,+3.54,+26.964, +7.900,+0.956
1690928100,+3.55,+25.756, +8.072,+0.955
1690928400,+3.54,+25.334, +8.134,+0.956
1690928700,+3.54,+25.099, +8.173,+0.956
1690929000,+3.55,+24.931, +8.198,+0.957
1690929300,+3.55,+24.754, +8.228,+0.957
1690929600,+3.55,+24.612, +8.248,+0.957
1690929900,+3.55,+24.502, +8.247,+0.956
1690930200,+3.55,+24.402, +8.275,+0.957
1690930500,+3.55,+24.309, +8.273,+0.957
1690930800,+3.55,+24.200, +8.291,+0.957
1690931100,+3.55,+24.083, +8.306,+0.957
1690931400,+3.55,+23.957, +8.331,+0.958
1690931700,+3.55,+23.840, +8.351,+0.958
1690932000,+3.55,+23.731, +8.362,+0.957
1690932300,+3.55,+23.622, +8.378,+0.957
1690932600,+3.55,+23.513, +8.388,+0.957
1690932900,+3.55,+23.413, +8.399,+0.957
1690933200,+3.55,+23.321, +8.411,+0.957
1690933500,+3.55,+23.246, +8.422,+0.957
1690933800,+3.55,+23.170, +8.428,+0.957
1690934100,+3.55,+23.103, +8.442,+0.957
1690934400,+3.55,+23.003, +8.458,+0.957
1690934700,+3.55,+22.936, +8.461,+0.957
1690935000,+3.55,+22.844, +8.481,+0.957
1690935300,+3.55,+22.777, +8.491,+0.957
1690935600,+3.55,+22.710, +8.508,+0.958
1690935900,+3.55,+22.627, +8.509,+0.957
1690936200,+3.55,+22.560, +8.517,+0.957
1690936500,+3.55,+22.510, +8.532,+0.957
1690936800,+3.55,+22.451, +8.534,+0.957
1690937100,+3.55,+22.401, +8.538,+0.957
1690937400,+3.55,+22.368, +8.545,+0.957
1690937700,+3.55,+22.326, +8.557,+0.957
1690938000,+3.55,+22.267, +8.569,+0.958
1690938300,+3.55,+22.234, +8.561,+0.957
1690938600,+3.55,+22.175, +8.568,+0.957
1690938900,+3.55,+22.125, +8.593,+0.958
1690939200,+3.55,+22.075, +8.587,+0.957
1690939500,+3.55,+22.017, +8.598,+0.957
1690939800,+3.55,+21.967, +8.608,+0.957
1690940100,+3.55,+21.908, +8.611,+0.957
1690940400,+3.55,+21.908, +8.628,+0.958
1690940700,+3.55,+21.866, +8.624,+0.957
1690941000,+3.55,+21.858, +8.610,+0.956
1690941300,+3.55,+21.816, +8.621,+0.957
1690941600,+3.55,+21.758, +8.639,+0.957
1690941900,+3.55,+21.716, +8.641,+0.957
1690942200,+3.55,+21.716, +8.641,+0.957
1690942500,+3.55,+21.699, +8.643,+0.957
1690942800,+3.55,+21.666, +8.644,+0.957
1690943100,+3.55,+21.624, +8.661,+0.957
1690943400,+3.55,+21.582, +8.662,+0.957
1690943700,+3.55,+21.582, +8.669,+0.958
1690944000,+3.55,+21.549, +8.661,+0.957
1690944300,+3.55,+21.540, +8.660,+0.957
1690944600,+3.55,+21.515, +8.671,+0.957
1690944900,+3.55,+21.474, +8.678,+0.957
1690945200,+3.55,+21.465, +8.669,+0.957
1690945500,+3.55,+21.457, +8.672,+0.957
1690945800,+3.55,+21.432, +8.675,+0.957
1690946100,+3.55,+21.449, +8.679,+0.958
1690946400,+3.55,+21.407, +8.674,+0.956
1690946700,+3.55,+21.415, +8.671,+0.957
1690947000,+3.55,+21.382, +8.682,+0.957
