7450-137738
OS REV: 1.05 Sensor Cal: 1679088645
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1690970700,+3.53,+20.303, +8.327,+0.926
1690971000,+3.53,+20.161, +8.359,+0.927
1690971300,+3.53,+20.010, +8.365,+0.926
1690971600,+3.53,+19.926, +8.375,+0.926
1690971900,+3.53,+19.851, +8.375,+0.926
1690972200,+3.53,+19.801, +8.371,+0.926
1690972500,+3.53,+19.776, +8.370,+0.926
1690972800,+3.53,+19.742, +8.375,+0.926
1690973100,+3.53,+19.717, +8.384,+0.927
1690973400,+3.53,+19.683, +8.389,+0.926
1690973700,+3.53,+19.633, +8.397,+0.926
1690974000,+3.53,+19.608, +8.391,+0.926
1690974300,+3.53,+19.591, +8.418,+0.927
1690974600,+3.53,+19.583, +8.418,+0.926
1690974900,+3.53,+19.574, +8.413,+0.926
1690975200,+3.53,+19.574, +8.421,+0.927
1690975500,+3.53,+19.608, +8.425,+0.927
1690975800,+3.53,+19.633, +8.439,+0.927
1690976100,+3.53,+19.868, +8.396,+0.926
1690976400,+3.53,+19.910, +8.392,+0.926
1690976700,+3.53,+20.027, +8.397,+0.927
1690977000,+3.53,+20.864, +8.267,+0.927
1690977300,+3.53,+21.408, +8.168,+0.926
1690977600,+3.53,+21.500, +8.132,+0.926
1690977900,+3.53,+21.391, +8.151,+0.926
1690978200,+3.53,+21.358, +8.151,+0.925
1690978500,+3.53,+21.642, +8.147,+0.927
1690978800,+3.53,+21.968, +8.071,+0.926
1690979100,+3.53,+22.069, +8.057,+0.926
1690979400,+3.53,+22.428, +8.000,+0.926
1690979700,+3.53,+22.621, +7.966,+0.926
1690980000,+3.53,+22.914, +7.933,+0.926
1690980300,+3.53,+23.257, +7.883,+0.927
1690980600,+3.52,+24.053, +7.764,+0.926
1690980900,+3.52,+25.028, +7.655,+0.927
1690981200,+3.52,+26.174, +7.507,+0.927
1690981500,+3.52,+25.819, +7.517,+0.927
1690981800,+3.53,+25.533, +7.992,+0.927
1690982100,+3.52,+26.749, +7.827,+0.927
1690982400,+3.52,+28.596, +7.608,+0.928
1690982700,+3.52,+30.290, +7.380,+0.927
1690983000,+3.52,+30.940, +7.279,+0.927
1690983300,+3.52,+32.091, +7.141,+0.925
1690983600,+3.51,+33.632, +6.934,+0.923
1690983900,+3.51,+33.942, +6.866,+0.922
1690984200,+3.52,+33.137, +6.957,+0.924
1690984500,+3.52,+32.442, +7.021,+0.924
1690984800,+3.52,+33.234, +6.967,+0.924
1690985100,+3.51,+34.005, +6.853,+0.923
1690985400,+3.51,+33.738, +6.860,+0.923
1690985700,+3.51,+33.128, +6.926,+0.923
1690986000,+3.51,+33.128, +6.952,+0.924
1690986300,+3.51,+34.093, +6.836,+0.922
1690986600,+3.52,+34.396, +6.785,+0.921
1690986900,+3.52,+34.351, +6.785,+0.922
1690987200,+3.51,+34.173, +6.781,+0.921
1690987500,+3.51,+33.916, +6.816,+0.922
1690987800,+3.51,+33.765, +6.837,+0.923
1690988100,+3.52,+33.455, +6.878,+0.924
1690988400,+3.52,+33.508, +6.863,+0.923
1690988700,+3.52,+33.261, +6.885,+0.923
1690989000,+3.51,+33.005, +6.916,+0.924
1690989300,+3.51,+32.793, +6.948,+0.925
1690989600,+3.52,+32.873, +6.939,+0.925
1690989900,+3.51,+32.855, +6.937,+0.925
1690990200,+3.52,+32.706, +6.942,+0.925
1690990500,+3.52,+32.372, +6.958,+0.924
1690990800,+3.52,+31.820, +7.036,+0.926
1690991100,+3.52,+31.384, +7.081,+0.926
1690991400,+3.52,+31.175, +7.140,+0.927
1690991700,+3.52,+31.375, +7.114,+0.927
1690992000,+3.52,+31.846, +7.010,+0.925
1690992300,+3.52,+31.881, +7.029,+0.926
1690992600,+3.52,+32.056, +7.006,+0.925
1690992900,+3.52,+32.459, +6.942,+0.925
1690993200,+3.52,+32.811, +6.885,+0.924
1690993500,+3.52,+30.524, +9.952,+0.926
1690993800,+3.53,+29.145,+10.323,+0.929
1690994100,+3.53,+29.076,+10.236,+0.930
1690994400,+3.53,+28.836, +9.659,+0.929
1690994700,+3.53,+28.767, +9.562,+0.930
1690995000,+3.53,+28.750, +9.258,+0.930
1690995300,+3.53,+28.733, +8.718,+0.929
1690995600,+3.53,+28.725, +8.276,+0.928
