7450-458163
OS REV: 1.05 Sensor Cal: 1679088563
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1690970580,+3.55,+20.373, +8.820,+0.960
1690970880,+3.55,+20.247, +8.838,+0.959
1690971180,+3.54,+20.113, +8.847,+0.959
1690971480,+3.54,+19.996, +8.872,+0.959
1690971780,+3.54,+19.904, +8.878,+0.959
1690972080,+3.54,+19.836, +8.881,+0.959
1690972380,+3.54,+19.778, +8.894,+0.959
1690972680,+3.54,+19.744, +8.915,+0.960
1690972980,+3.54,+19.744, +8.898,+0.959
1690973280,+3.54,+19.686, +8.908,+0.959
1690973580,+3.54,+19.635, +8.933,+0.960
1690973880,+3.54,+19.593, +8.938,+0.960
1690974180,+3.54,+19.568, +8.947,+0.959
1690974480,+3.54,+19.568, +8.958,+0.959
1690974780,+3.54,+19.560, +8.962,+0.960
1690975080,+3.54,+19.543, +8.971,+0.960
1690975380,+3.54,+19.543, +8.974,+0.959
1690975680,+3.54,+19.543, +9.011,+0.960
1690975980,+3.54,+19.719, +8.987,+0.959
1690976280,+3.54,+19.845, +8.976,+0.960
1690976580,+3.54,+19.904, +8.976,+0.960
1690976880,+3.54,+20.615, +8.882,+0.961
1690977180,+3.54,+21.059, +8.791,+0.960
1690977480,+3.54,+21.201, +8.763,+0.960
1690977780,+3.54,+21.159, +8.769,+0.960
1690978080,+3.54,+21.109, +8.789,+0.960
1690978380,+3.54,+21.302, +8.773,+0.960
1690978680,+3.54,+21.670, +8.712,+0.960
1690978980,+3.54,+21.770, +8.706,+0.960
1690979280,+3.54,+21.987, +8.679,+0.960
1690979580,+3.53,+22.180, +8.642,+0.960
1690979880,+3.54,+22.439, +8.613,+0.960
1690980180,+3.54,+22.773, +8.568,+0.960
1690980480,+3.54,+23.359, +8.523,+0.961
1690980780,+3.53,+23.988, +8.450,+0.961
1690981080,+3.54,+24.709, +8.364,+0.962
1690981380,+3.53,+24.903, +8.303,+0.961
1690981680,+3.53,+24.894, +8.312,+0.961
1690981980,+3.53,+25.829, +8.217,+0.962
1690982280,+3.53,+27.258, +8.037,+0.962
1690982580,+3.53,+28.493, +7.870,+0.962
1690982880,+3.53,+28.870, +7.795,+0.963
1690983180,+3.53,+29.599, +7.743,+0.963
1690983480,+3.53,+31.052, +7.553,+0.963
1690983780,+3.53,+31.347, +7.479,+0.963
1690984080,+3.53,+30.956, +7.501,+0.961
1690984380,+3.53,+30.540, +7.547,+0.960
1690984680,+3.52,+30.895, +7.540,+0.961
1690984980,+3.53,+31.295, +7.459,+0.960
1690985280,+3.53,+31.191, +7.467,+0.961
1690985580,+3.53,+30.904, +7.499,+0.960
1690985880,+3.53,+31.000, +7.512,+0.961
1690986180,+3.52,+31.687, +7.411,+0.960
1690986480,+3.52,+31.862, +7.381,+0.960
1690986780,+3.52,+31.862, +7.377,+0.960
1690987080,+3.52,+31.731, +7.402,+0.960
1690987380,+3.53,+31.565, +7.424,+0.960
1690987680,+3.53,+31.435, +7.438,+0.960
1690987980,+3.53,+31.208, +7.477,+0.960
1690988280,+3.53,+31.330, +7.478,+0.961
1690988580,+3.53,+31.095, +7.506,+0.961
1690988880,+3.53,+30.904, +7.529,+0.960
1690989180,+3.53,+30.731, +7.559,+0.960
1690989480,+3.53,+30.826, +7.558,+0.961
1690989780,+3.53,+30.861, +7.536,+0.960
1690990080,+3.53,+30.904, +7.524,+0.960
1690990380,+3.53,+30.809, +7.527,+0.960
1690990680,+3.53,+30.592, +7.561,+0.960
1690990980,+3.53,+30.427, +7.587,+0.960
1690991280,+3.53,+30.393, +7.592,+0.960
1690991580,+3.53,+30.549, +7.559,+0.959
1690991880,+3.53,+31.095, +7.482,+0.959
1690992180,+3.53,+31.932, +7.389,+0.958
1690992480,+3.53,+29.875,+10.182,+0.958
1690992780,+3.54,+29.007,+10.355,+0.960
1690993080,+3.54,+28.921,+10.395,+0.960
1690993380,+3.54,+28.835,+10.460,+0.961
1690993680,+3.53,+28.775, +9.991,+0.960
1690993980,+3.53,+28.733, +9.643,+0.960
1690994280,+3.53,+28.724, +9.414,+0.961
1690994580,+3.53,+28.715, +9.351,+0.960
1690994880,+3.53,+28.750, +9.737,+0.961
1690995180,+3.53,+28.758, +9.409,+0.961
1690995480,+3.53,+28.758, +9.180,+0.961
1690995780,+3.53,+28.758, +9.064,+0.961
1690996080,+3.54,+28.775, +9.005,+0.961
1690996380,+3.54,+28.775, +8.996,+0.960
1690996680,+3.54,+28.810, +8.978,+0.960
1690996980,+3.54,+28.810, +8.875,+0.962
1690997280,+3.54,+28.844, +8.724,+0.960
1690997580,+3.54,+28.844, +8.585,+0.961
1690997880,+3.54,+28.870, +8.457,+0.960
1690998180,+3.54,+28.878, +8.366,+0.960
1690998480,+3.54,+28.921, +8.264,+0.961
1690998780,+3.54,+28.947, +8.187,+0.960
1690999080,+3.54,+28.981, +8.169,+0.960
1690999380,+3.54,+29.007, +8.181,+0.961
1690999680,+3.54,+29.058, +8.172,+0.960
1690999980,+3.54,+29.092, +8.096,+0.960
1691000280,+3.54,+29.110, +8.011,+0.960
1691000580,+3.54,+29.144, +7.898,+0.961
1691000880,+3.54,+29.161, +7.780,+0.960
1691001180,+3.54,+29.187, +7.704,+0.960
1691001480,+3.54,+29.247, +7.589,+0.960
1691001780,+3.54,+29.410, +8.342,+0.961
1691002080,+3.53,+29.771,+12.976,+0.964
1691002380,+3.53,+30.722, +7.580,+0.960
1691002680,+3.54,+31.313, +7.497,+0.959
1691002980,+3.53,+31.696, +7.464,+0.959
1691003280,+3.53,+32.055, +7.382,+0.958
1691003580,+3.53,+32.002, +7.391,+0.959
1691003880,+3.53,+31.853, +7.404,+0.959
1691004180,+3.53,+31.618, +7.433,+0.959
1691004480,+3.54,+31.382, +7.464,+0.959
1691004780,+3.54,+31.400, +7.478,+0.959
1691005080,+3.53,+31.888, +7.411,+0.958
1691005380,+3.53,+32.783, +7.277,+0.957
1691005680,+3.53,+33.843, +7.117,+0.955
1691005980,+3.54,+34.510, +7.011,+0.954
1691006280,+3.53,+35.172, +6.898,+0.951
1691006580,+3.53,+35.801, +6.802,+0.949
1691006880,+3.53,+36.360, +6.708,+0.946
1691007180,+3.53,+36.541, +6.705,+0.945
