7450-471033
OS REV: 1.05 Sensor Cal: 1679088763
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1690970640,+3.54,+19.860, +8.812,+0.930
1690970940,+3.54,+19.634, +8.849,+0.930
1690971240,+3.54,+19.458, +8.853,+0.929
1690971540,+3.54,+19.340, +8.881,+0.930
1690971840,+3.54,+19.256, +8.893,+0.929
1690972140,+3.54,+19.231, +8.898,+0.930
1690972440,+3.54,+19.240, +8.885,+0.930
1690972740,+3.54,+19.273, +8.880,+0.930
1690973040,+3.54,+19.282, +8.877,+0.929
1690973340,+3.54,+19.315, +8.862,+0.929
1690973640,+3.54,+19.307, +8.873,+0.929
1690973940,+3.54,+19.307, +8.860,+0.929
1690974240,+3.54,+19.357, +8.855,+0.929
1690974540,+3.54,+19.365, +8.875,+0.929
1690974840,+3.54,+19.449, +8.857,+0.929
1690975140,+3.54,+19.466, +8.851,+0.929
1690975440,+3.54,+19.558, +8.860,+0.929
1690975740,+3.54,+19.667, +8.843,+0.928
1690976040,+3.53,+19.969, +8.796,+0.928
1690976340,+3.54,+20.102, +8.757,+0.928
1690976640,+3.53,+20.755, +8.664,+0.928
1690976940,+3.54,+21.507, +8.550,+0.927
1690977240,+3.53,+21.866, +8.501,+0.927
1690977540,+3.53,+21.833, +8.495,+0.926
1690977840,+3.53,+21.783, +8.503,+0.927
1690978140,+3.53,+21.749, +8.492,+0.926
1690978440,+3.53,+22.000, +8.452,+0.926
1690978740,+3.53,+22.083, +8.449,+0.927
1690979040,+3.53,+22.175, +8.430,+0.926
1690979340,+3.53,+22.526, +8.385,+0.926
1690979640,+3.53,+22.894, +8.339,+0.927
1690979940,+3.53,+23.338, +8.265,+0.926
1690980240,+3.53,+23.790, +8.188,+0.925
1690980540,+3.53,+24.385, +8.112,+0.925
1690980840,+3.53,+25.630, +7.955,+0.923
1690981140,+3.53,+26.897, +7.803,+0.922
1690981440,+3.53,+26.957, +7.766,+0.922
1690981740,+3.53,+27.177, +7.743,+0.921
1690982040,+3.53,+28.935, +7.577,+0.921
1690982340,+3.52,+31.076, +7.309,+0.917
1690982640,+3.52,+32.687, +7.109,+0.913
1690982940,+3.51,+34.095, +6.913,+0.908
1690983240,+3.52,+35.599, +6.701,+0.902
1690983540,+3.51,+36.476, +6.609,+0.898
1690983840,+3.51,+36.458, +6.653,+0.899
1690984140,+3.51,+36.467, +6.622,+0.898
1690984440,+3.51,+36.476, +6.584,+0.899
1690984740,+3.51,+36.467, +6.684,+0.900
1690985040,+3.51,+36.476, +6.748,+0.901
1690985340,+3.51,+36.467, +6.726,+0.901
1690985640,+3.51,+36.458, +6.625,+0.900
1690985940,+3.51,+36.458, +6.675,+0.901
1690986240,+3.51,+36.467, +6.772,+0.903
1690986540,+3.51,+36.476, +6.798,+0.903
1690986840,+3.51,+36.467, +6.783,+0.903
1690987140,+3.51,+36.467, +6.707,+0.902
1690987440,+3.51,+36.458, +6.709,+0.904
1690987740,+3.51,+36.467, +6.656,+0.902
1690988040,+3.51,+36.458, +6.628,+0.902
1690988340,+3.51,+36.467, +6.617,+0.903
1690988640,+3.52,+36.467, +6.544,+0.902
1690988940,+3.52,+36.476, +6.488,+0.901
1690989240,+3.52,+36.476, +6.465,+0.901
1690989540,+3.52,+36.476, +6.469,+0.901
1690989840,+3.52,+36.458, +6.441,+0.900
1690990140,+3.52,+35.626, +6.548,+0.905
1690990440,+3.53,+31.643, +7.415,+0.916
1690990740,+3.53,+28.952, +7.474,+0.923
1690991040,+3.53,+28.592, +5.322,+0.917
1690991340,+3.53,+28.421, +6.368,+0.925
1690991640,+3.53,+28.301, +8.180,+0.926
1690991940,+3.53,+28.293, +7.595,+0.925
1690992240,+3.53,+28.241, +7.001,+0.924
1690992540,+3.53,+28.224, +6.570,+0.922
1690992840,+3.53,+28.224, +6.319,+0.921
1690993140,+3.53,+28.199, +6.022,+0.921
1690993440,+3.53,+28.216, +5.593,+0.919
1690993740,+3.53,+28.216, +5.205,+0.918
1690994040,+3.53,+28.216, +4.881,+0.916
1690994340,+3.53,+28.216, +5.481,+0.920
1690994640,+3.53,+28.276, +6.391,+0.921
1690994940,+3.53,+28.335, +6.090,+0.920
1690995240,+3.53,+28.361, +5.638,+0.917
1690995540,+3.53,+28.378, +5.193,+0.913
1690995840,+3.53,+28.429, +4.833,+0.912
1690996140,+3.53,+28.429, +4.542,+0.910
1690996440,+3.53,+28.472, +4.345,+0.910
1690996740,+3.53,+28.481, +4.199,+0.908
1690997040,+3.53,+28.523, +4.066,+0.907
1690997340,+3.53,+28.549, +4.082,+0.907
1690997640,+3.53,+28.583, +4.150,+0.907
1690997940,+3.53,+28.618, +4.267,+0.908
1690998240,+3.53,+28.677, +4.492,+0.909
1690998540,+3.54,+28.720, +4.713,+0.911
1690998840,+3.54,+28.780, +4.821,+0.911
1690999140,+3.54,+28.840, +4.846,+0.911
1690999440,+3.54,+28.892, +4.836,+0.912
1690999740,+3.54,+28.943, +4.785,+0.912
1691000040,+3.54,+29.003, +4.747,+0.913
1691000340,+3.54,+29.037, +4.688,+0.911
1691000640,+3.54,+29.072, +4.344,+0.908
1691000940,+3.54,+29.132, +4.150,+0.909
1691001240,+3.53,+29.166, +4.038,+0.909
1691001540,+3.53,+29.209, +3.999,+0.908
1691001840,+3.53,+29.244, +4.052,+0.909
1691002140,+3.53,+29.295, +4.033,+0.908
1691002440,+3.53,+29.338, +4.050,+0.908
1691002740,+3.53,+29.364, +4.598,+0.909
1691003040,+3.53,+29.390, +5.014,+0.911
1691003340,+3.53,+29.416, +5.070,+0.913
1691003640,+3.53,+29.760, +7.364,+0.922
1691003940,+3.54,+29.803, +7.654,+0.922
1691004240,+3.53,+29.545, +7.477,+0.922
1691004540,+3.53,+30.166, +7.488,+0.921
1691004840,+3.54,+30.989, +7.395,+0.920
1691005140,+3.53,+31.713, +7.246,+0.919
1691005440,+3.53,+32.943, +7.086,+0.915
1691005740,+3.53,+34.264, +6.871,+0.910
1691006040,+3.53,+34.746, +6.782,+0.907
1691006340,+3.53,+35.069, +6.710,+0.906
1691006640,+3.53,+35.257, +6.682,+0.906
1691006940,+3.53,+35.356, +6.650,+0.904
1691007240,+3.53,+35.491, +6.636,+0.904
1691007540,+3.53,+35.527, +6.630,+0.904
1691007840,+3.53,+35.473, +6.630,+0.904
1691008140,+3.53,+35.464, +6.642,+0.906
1691008440,+3.53,+35.509, +6.632,+0.905
1691008740,+3.53,+35.581, +6.605,+0.905
1691009040,+3.53,+35.590, +6.608,+0.905
1691009340,+3.53,+35.527, +6.614,+0.905
1691009640,+3.53,+35.374, +6.654,+0.907
1691009940,+3.53,+34.943, +6.702,+0.908
1691010240,+3.54,+34.567, +6.741,+0.909
1691010540,+3.53,+34.166, +6.815,+0.913
1691010840,+3.53,+33.872, +6.853,+0.914
