7450-566774
OS REV: 1.05 Sensor Cal: 1679419749
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1690970700,+3.47,+19.697, +8.756,+0.907
1690971000,+3.48,+19.462, +8.786,+0.907
1690971300,+3.48,+19.286, +8.817,+0.908
1690971600,+3.48,+19.160, +8.828,+0.907
1690971900,+3.48,+19.093, +8.842,+0.907
1690972200,+3.48,+19.067, +8.866,+0.908
1690972500,+3.48,+19.084, +8.886,+0.908
1690972800,+3.48,+19.109, +8.845,+0.908
1690973100,+3.48,+19.143, +8.837,+0.908
1690973400,+3.48,+19.151, +8.835,+0.908
1690973700,+3.48,+19.177, +8.851,+0.907
1690974000,+3.48,+19.202, +8.829,+0.907
1690974300,+3.48,+19.244, +8.835,+0.907
1690974600,+3.48,+19.286, +8.831,+0.907
1690974900,+3.48,+19.344, +8.841,+0.908
1690975200,+3.48,+19.395, +8.821,+0.908
1690975500,+3.48,+19.479, +8.814,+0.907
1690975800,+3.47,+19.571, +8.820,+0.908
1690976100,+3.47,+19.881, +8.765,+0.907
1690976400,+3.48,+20.099, +8.753,+0.908
1690976700,+3.47,+20.668, +8.670,+0.907
1690977000,+3.47,+21.204, +8.592,+0.908
1690977300,+3.47,+21.647, +8.507,+0.906
1690977600,+3.47,+21.781, +8.462,+0.906
1690977900,+3.47,+21.815, +8.458,+0.905
1690978200,+3.47,+21.907, +8.459,+0.907
1690978500,+3.47,+22.643, +8.374,+0.906
1690978800,+3.47,+22.861, +8.321,+0.906
1690979100,+3.47,+22.986, +8.291,+0.906
1690979400,+3.47,+23.397, +8.249,+0.906
1690979700,+3.47,+24.244, +8.137,+0.906
1690980000,+3.47,+25.743, +7.968,+0.906
1690980300,+3.46,+27.437, +7.748,+0.905
1690980600,+3.46,+28.392, +7.604,+0.905
1690980900,+3.46,+28.597, +7.562,+0.906
1690981200,+3.46,+28.614, +7.525,+0.905
1690981500,+3.47,+28.187, +7.557,+0.905
1690981800,+3.47,+27.905, +7.599,+0.906
1690982100,+3.47,+28.059, +7.564,+0.905
1690982400,+3.47,+28.247, +7.534,+0.905
1690982700,+3.46,+28.332, +7.519,+0.905
1690983000,+3.46,+28.597, +7.456,+0.904
1690983300,+3.47,+28.760, +7.458,+0.905
1690983600,+3.47,+28.992, +7.428,+0.905
1690983900,+3.47,+29.086, +7.403,+0.904
1690984200,+3.47,+28.863, +7.431,+0.904
1690984500,+3.47,+28.692, +7.462,+0.905
1690984800,+3.47,+29.266, +7.380,+0.904
1690985100,+3.47,+29.473, +7.344,+0.904
1690985400,+3.47,+29.344, +7.360,+0.904
1690985700,+3.47,+29.095, +7.403,+0.905
1690986000,+3.47,+29.387, +7.365,+0.904
1690986300,+3.47,+29.731, +7.313,+0.904
1690986600,+3.47,+29.748, +7.305,+0.904
1690986900,+3.46,+29.550, +7.333,+0.904
1690987200,+3.47,+29.283, +7.369,+0.905
1690987500,+3.47,+29.034, +7.392,+0.904
1690987800,+3.47,+28.803, +7.423,+0.905
1690988100,+3.47,+28.623, +7.442,+0.904
1690988400,+3.47,+28.495, +7.451,+0.904
1690988700,+3.47,+28.366, +7.477,+0.906
1690989000,+3.47,+28.247, +7.489,+0.905
1690989300,+3.47,+28.170, +7.493,+0.905
1690989600,+3.47,+28.110, +7.512,+0.905
1690989900,+3.47,+28.332, +7.497,+0.905
1690990200,+3.47,+28.923, +7.454,+0.905
1690990500,+3.47,+28.144, +8.457,+0.906
1690990800,+3.47,+28.144, +8.672,+0.907
1690991100,+3.47,+28.187, +9.229,+0.907
1690991400,+3.47,+28.187, +9.992,+0.908
1690991700,+3.47,+28.153,+10.335,+0.909
1690992000,+3.47,+28.204,+10.707,+0.909
1690992300,+3.47,+28.238,+11.070,+0.908
1690992600,+3.47,+28.238,+10.846,+0.908
1690992900,+3.47,+28.307,+11.570,+0.909
1690993200,+3.47,+28.358,+11.866,+0.908
1690993500,+3.47,+28.401,+12.285,+0.908
1690993800,+3.47,+28.426,+12.608,+0.909
1690994100,+3.47,+28.478,+12.681,+0.908
1690994400,+3.47,+28.520,+12.626,+0.911
1690994700,+3.47,+28.589,+12.487,+0.911
1690995000,+3.48,+28.709,+12.802,+0.910
1690995300,+3.48,+28.751,+13.144,+0.913
1690995600,+3.48,+28.829,+13.273,+0.912
1690995900,+3.48,+28.880,+13.553,+0.910
1690996200,+3.48,+28.940,+13.825,+0.914
1690996500,+3.48,+28.992,+14.092,+0.912
1690996800,+3.47,+29.052,+14.456,+0.912
1690997100,+3.47,+29.112,+14.222,+0.914
1690997400,+3.47,+29.155,+14.285,+0.912
1690997700,+3.47,+29.241,+14.577,+0.912
1690998000,+3.47,+29.301,+15.457,+0.914
1690998300,+3.47,+29.335,+16.041,+0.913
1690998600,+3.47,+29.352,+16.543,+0.913
1690998900,+3.47,+29.421,+16.989,+0.916
1690999200,+3.47,+29.490,+17.204,+0.916
1690999500,+3.47,+29.542,+17.204,+0.914
1690999800,+3.47,+29.593,+17.476,+0.915
1691000100,+3.47,+29.653,+18.001,+0.914
1691000400,+3.47,+29.731,+18.369,+0.915
1691000700,+3.47,+29.757,+18.898,+0.916
1691001000,+3.48,+29.817,+18.878,+0.915
1691001300,+3.48,+29.843,+18.673,+0.915
1691001600,+3.48,+29.903,+18.371,+0.916
1691001900,+3.48,+29.929,+18.474,+0.915
1691002200,+3.48,+29.955,+18.824,+0.916
1691002500,+3.48,+29.947,+18.911,+0.915
1691002800,+3.48,+29.964,+19.086,+0.912
1691003100,+3.48,+29.964,+19.235,+0.916
1691003400,+3.48,+29.929,+19.263,+0.914
1691003700,+3.48,+29.912,+19.604,+0.914
1691004000,+3.48,+29.886,+19.515,+0.917
1691004300,+3.48,+29.886,+19.477,+0.915
1691004600,+3.48,+29.774,+12.671,+0.911
1691004900,+3.48,+29.921,+10.057,+0.903
1691005200,+3.47,+31.621, +8.379,+0.902
1691005500,+3.47,+33.977, +7.936,+0.897
1691005800,+3.47,+36.030, +7.449,+0.887
1691006100,+3.46,+36.462, +7.020,+0.887
1691006400,+3.46,+36.453, +6.991,+0.889
1691006700,+3.47,+36.453, +6.890,+0.888
1691007000,+3.47,+36.462, +6.887,+0.888
1691007300,+3.47,+36.462, +6.862,+0.888
1691007600,+3.47,+36.462, +6.890,+0.889
1691007900,+3.47,+36.453, +6.926,+0.891
