7450-562111
OS REV: 1.05 Sensor Cal: 1679419969
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1690970700,+3.47,+20.173, +8.872,+0.936
1690971000,+3.47,+20.031, +8.895,+0.936
1690971300,+3.47,+19.888, +8.920,+0.937
1690971600,+3.47,+19.779, +8.931,+0.937
1690971900,+3.47,+19.662, +8.954,+0.937
1690972200,+3.47,+19.620, +8.967,+0.937
1690972500,+3.47,+19.578, +8.993,+0.936
1690972800,+3.47,+19.536, +8.976,+0.937
1690973100,+3.47,+19.503, +8.979,+0.937
1690973400,+3.47,+19.469, +8.989,+0.937
1690973700,+3.47,+19.452, +9.019,+0.936
1690974000,+3.47,+19.410, +8.990,+0.937
1690974300,+3.47,+19.402, +9.012,+0.937
1690974600,+3.47,+19.385, +9.011,+0.936
1690974900,+3.47,+19.377, +9.017,+0.937
1690975200,+3.47,+19.368, +9.013,+0.937
1690975500,+3.47,+19.360, +9.050,+0.936
1690975800,+3.47,+19.394, +9.059,+0.937
1690976100,+3.47,+19.662, +9.007,+0.936
1690976400,+3.47,+19.779, +8.992,+0.937
1690976700,+3.47,+20.190, +8.946,+0.937
1690977000,+3.47,+20.633, +8.874,+0.937
1690977300,+3.47,+21.018, +8.780,+0.936
1690977600,+3.47,+21.060, +8.772,+0.936
1690977900,+3.47,+21.035, +8.781,+0.936
1690978200,+3.47,+21.094, +8.764,+0.936
1690978500,+3.47,+21.520, +8.702,+0.936
1690978800,+3.47,+21.729, +8.671,+0.936
1690979100,+3.47,+21.846, +8.648,+0.936
1690979400,+3.47,+22.231, +8.576,+0.935
1690979700,+3.47,+22.532, +8.545,+0.936
1690980000,+3.47,+22.984, +8.464,+0.936
1690980300,+3.47,+23.470, +8.398,+0.936
1690980600,+3.46,+24.065, +8.325,+0.936
1690980900,+3.47,+24.645, +8.230,+0.935
1690981200,+3.46,+25.065, +8.181,+0.935
1690981500,+3.46,+25.107, +8.172,+0.935
1690981800,+3.46,+25.276, +8.157,+0.936
1690982100,+3.46,+26.204, +8.075,+0.936
1690982400,+3.46,+26.966, +7.965,+0.936
1690982700,+3.46,+27.620, +7.879,+0.937
1690983000,+3.46,+27.705, +7.862,+0.936
1690983300,+3.46,+28.610, +7.767,+0.936
1690983600,+3.46,+29.493, +7.666,+0.936
1690983900,+3.46,+29.674, +7.611,+0.936
1690984200,+3.46,+29.545, +7.611,+0.936
1690984500,+3.46,+29.356, +7.629,+0.936
1690984800,+3.46,+29.485, +7.609,+0.935
1690985100,+3.46,+29.708, +7.585,+0.935
1690985400,+3.46,+29.743, +7.570,+0.935
1690985700,+3.46,+29.622, +7.587,+0.936
1690986000,+3.46,+29.864, +7.565,+0.935
1690986300,+3.46,+30.312, +7.515,+0.935
1690986600,+3.46,+30.589, +7.476,+0.935
1690986900,+3.46,+30.650, +7.460,+0.935
1690987200,+3.46,+30.511, +7.458,+0.934
1690987500,+3.46,+30.503, +7.467,+0.935
1690987800,+3.46,+30.243, +7.493,+0.935
1690988100,+3.47,+30.174, +7.510,+0.935
1690988400,+3.47,+30.166, +7.502,+0.935
1690988700,+3.47,+29.889, +7.534,+0.935
1690989000,+3.46,+29.777, +7.551,+0.936
1690989300,+3.46,+29.700, +7.552,+0.935
1690989600,+3.46,+29.657, +7.569,+0.936
1690989900,+3.47,+29.734, +7.546,+0.935
1690990200,+3.47,+29.933, +7.525,+0.935
1690990500,+3.47,+30.027, +7.508,+0.935
1690990800,+3.46,+30.511, +7.420,+0.934
1690991100,+3.47,+31.206, +7.320,+0.933
1690991400,+3.47,+31.449, +7.435,+0.933
1690991700,+3.47,+29.201, +9.353,+0.935
1690992000,+3.47,+28.789, +9.236,+0.936
1690992300,+3.47,+28.704, +9.313,+0.936
1690992600,+3.47,+28.644, +9.014,+0.936
1690992900,+3.47,+28.704, +9.134,+0.936
1690993200,+3.47,+28.772, +9.601,+0.937
1690993500,+3.47,+28.875,+10.253,+0.936
1690993800,+3.47,+28.987,+10.830,+0.937
1690994100,+3.47,+28.995,+11.111,+0.936
1690994400,+3.47,+29.098,+11.237,+0.937
1690994700,+3.47,+29.141,+11.926,+0.937
1690995000,+3.47,+29.313,+13.237,+0.936
1690995300,+3.47,+29.467,+14.029,+0.936
1690995600,+3.47,+29.562,+15.029,+0.938
1690995900,+3.47,+29.519,+16.253,+0.937
1690996200,+3.47,+29.528,+16.814,+0.938
1690996500,+3.47,+29.579,+16.880,+0.939
1690996800,+3.47,+29.614,+16.326,+0.936
