7450-516531
OS REV: 1.05 Sensor Cal: 1679419607
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1690970400,+3.50,+20.198, +8.755,+0.910
1690970700,+3.49,+20.039, +8.790,+0.911
1690971000,+3.49,+19.855, +8.801,+0.910
1690971300,+3.49,+19.704, +8.839,+0.911
1690971600,+3.49,+19.595, +8.838,+0.911
1690971900,+3.50,+19.528, +8.845,+0.911
1690972200,+3.50,+19.469, +8.874,+0.911
1690972500,+3.50,+19.410, +8.889,+0.911
1690972800,+3.50,+19.394, +8.871,+0.911
1690973100,+3.50,+19.360, +8.856,+0.911
1690973400,+3.50,+19.343, +8.870,+0.911
1690973700,+3.50,+19.327, +8.904,+0.911
1690974000,+3.50,+19.310, +8.874,+0.911
1690974300,+3.50,+19.293, +8.891,+0.912
1690974600,+3.50,+19.293, +8.887,+0.911
1690974900,+3.50,+19.301, +8.889,+0.912
1690975200,+3.50,+19.285, +8.885,+0.911
1690975500,+3.50,+19.310, +8.918,+0.912
1690975800,+3.50,+19.410, +8.896,+0.911
1690976100,+3.49,+19.704, +8.841,+0.911
1690976400,+3.49,+19.838, +8.830,+0.912
1690976700,+3.50,+20.374, +8.754,+0.912
1690977000,+3.49,+20.726, +8.696,+0.912
1690977300,+3.49,+21.044, +8.660,+0.912
1690977600,+3.49,+21.144, +8.626,+0.911
1690977900,+3.49,+21.152, +8.614,+0.911
1690978200,+3.49,+21.211, +8.618,+0.912
1690978500,+3.49,+21.729, +8.538,+0.911
1690978800,+3.49,+21.930, +8.518,+0.912
1690979100,+3.49,+22.097, +8.476,+0.911
1690979400,+3.49,+22.541, +8.410,+0.911
1690979700,+3.49,+23.043, +8.331,+0.910
1690980000,+3.49,+23.729, +8.223,+0.910
1690980300,+3.49,+24.467, +8.124,+0.910
1690980600,+3.48,+25.199, +7.998,+0.909
1690980900,+3.49,+25.780, +7.913,+0.907
1690981200,+3.48,+26.295, +7.842,+0.908
1690981500,+3.48,+26.312, +7.828,+0.907
1690981800,+3.48,+26.430, +7.802,+0.906
1690982100,+3.49,+26.794, +7.756,+0.906
1690982400,+3.48,+27.286, +7.694,+0.906
1690982700,+3.49,+27.736, +7.635,+0.906
1690983000,+3.48,+28.282, +7.586,+0.907
1690983300,+3.49,+28.726, +7.514,+0.906
1690983600,+3.48,+29.283, +7.449,+0.906
1690983900,+3.48,+29.610, +7.399,+0.906
1690984200,+3.48,+29.584, +7.400,+0.906
1690984500,+3.48,+29.550, +7.395,+0.906
1690984800,+3.49,+30.040, +7.349,+0.906
1690985100,+3.48,+30.369, +7.286,+0.905
1690985400,+3.48,+30.420, +7.283,+0.906
1690985700,+3.49,+30.308, +7.295,+0.906
1690986000,+3.49,+30.360, +7.291,+0.906
1690986300,+3.48,+30.593, +7.251,+0.905
1690986600,+3.48,+30.645, +7.255,+0.906
1690986900,+3.49,+30.542, +7.261,+0.906
1690987200,+3.49,+30.334, +7.286,+0.906
1690987500,+3.49,+30.118, +7.312,+0.906
1690987800,+3.49,+29.920, +7.334,+0.906
1690988100,+3.49,+29.782, +7.345,+0.906
1690988400,+3.49,+29.653, +7.348,+0.906
1690988700,+3.49,+29.464, +7.371,+0.906
1690989000,+3.49,+29.352, +7.384,+0.906
1690989300,+3.49,+29.232, +7.402,+0.906
1690989600,+3.49,+29.180, +7.402,+0.906
1690989900,+3.49,+29.369, +7.487,+0.905
1690990200,+3.49,+29.851, +7.376,+0.906
1690990500,+3.49,+30.213, +7.328,+0.905
1690990800,+3.49,+30.619, +7.280,+0.905
1690991100,+3.49,+31.288, +7.182,+0.905
1690991400,+3.49,+31.392, +7.172,+0.904
1690991700,+3.49,+31.418, +7.160,+0.904
1690992000,+3.49,+29.369, +5.974,+0.901
1690992300,+3.50,+28.837, +7.992,+0.906
1690992600,+3.50,+28.743, +3.327,+0.885
1690992900,+3.50,+28.786, +2.509,+0.884
1690993200,+3.50,+28.983, +2.431,+0.886
1690993500,+3.50,+29.052, +2.743,+0.886
1690993800,+3.50,+29.077, +3.699,+0.886
1690994100,+3.50,+29.086, +4.442,+0.886
1690994400,+3.50,+29.103, +5.398,+0.889
1690994700,+3.50,+29.043, +6.346,+0.892
1690995000,+3.50,+29.155, +7.181,+0.894
1690995300,+3.50,+29.206, +8.134,+0.897
