7450-233512
OS REV: 1.05 Sensor Cal: 1678992849
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1690970520,+3.53,+19.873, +8.906,+0.948
1690970820,+3.53,+19.680, +8.937,+0.948
1690971120,+3.53,+19.504, +8.954,+0.948
1690971420,+3.53,+19.344, +8.983,+0.948
1690971720,+3.53,+19.244, +8.989,+0.948
1690972020,+3.53,+19.218, +8.983,+0.948
1690972320,+3.53,+19.193, +8.984,+0.948
1690972620,+3.53,+19.227, +8.975,+0.948
1690972920,+3.53,+19.260, +8.966,+0.948
1690973220,+3.53,+19.269, +8.961,+0.947
1690973520,+3.53,+19.286, +8.969,+0.948
1690973820,+3.53,+19.286, +9.010,+0.948
1690974120,+3.53,+19.311, +8.993,+0.948
1690974420,+3.53,+19.336, +8.977,+0.948
1690974720,+3.53,+19.369, +8.964,+0.948
1690975020,+3.53,+19.411, +8.958,+0.948
1690975320,+3.53,+19.462, +8.945,+0.948
1690975620,+3.53,+19.546, +8.963,+0.948
1690975920,+3.53,+19.655, +8.959,+0.948
1690976220,+3.53,+19.705, +8.948,+0.948
1690976520,+3.53,+19.714, +8.943,+0.948
1690976820,+3.53,+19.747, +8.948,+0.948
1690977120,+3.53,+19.789, +8.942,+0.948
1690977420,+3.53,+20.024, +8.901,+0.949
1690977720,+3.53,+20.133, +8.885,+0.948
1690978020,+3.53,+20.208, +8.862,+0.948
1690978320,+3.53,+20.284, +8.858,+0.948
1690978620,+3.53,+20.426, +8.844,+0.949
1690978920,+3.53,+20.711, +8.795,+0.949
1690979220,+3.52,+20.979, +8.738,+0.948
1690979520,+3.52,+22.000, +8.556,+0.948
1690979820,+3.52,+23.591, +8.281,+0.947
1690980120,+3.52,+25.583, +7.987,+0.947
1690980420,+3.51,+28.332, +7.645,+0.949
1690980720,+3.52,+30.992, +7.322,+0.948
1690981020,+3.51,+32.608, +7.118,+0.947
1690981320,+3.51,+32.494, +7.121,+0.946
1690981620,+3.51,+32.222, +7.160,+0.946
1690981920,+3.51,+31.514, +7.252,+0.947
1690982220,+3.51,+30.914, +7.322,+0.947
1690982520,+3.51,+30.446, +7.358,+0.946
1690982820,+3.52,+30.006, +7.413,+0.947
1690983120,+3.51,+29.704, +7.464,+0.948
1690983420,+3.52,+30.152, +7.383,+0.947
1690983720,+3.51,+30.438, +7.323,+0.946
1690984020,+3.52,+30.075, +7.402,+0.947
1690984320,+3.51,+29.687, +7.469,+0.948
1690984620,+3.52,+29.799, +7.448,+0.947
1690984920,+3.51,+30.611, +7.309,+0.946
1690985220,+3.52,+28.682, +6.455,+0.946
1690985520,+3.52,+28.016, +6.444,+0.946
1690985820,+3.52,+27.794, +6.546,+0.947
1690986120,+3.52,+27.709, +6.322,+0.947
1690986420,+3.52,+27.675, +6.241,+0.947
1690986720,+3.52,+27.675, +6.140,+0.946
1690987020,+3.52,+27.666, +6.068,+0.947
1690987320,+3.52,+27.675, +5.994,+0.946
1690987620,+3.52,+27.658, +5.956,+0.946
1690987920,+3.52,+27.701, +5.912,+0.946
1690988220,+3.52,+27.692, +5.905,+0.946
1690988520,+3.52,+27.709, +5.911,+0.946
1690988820,+3.52,+27.701, +5.942,+0.946
1690989120,+3.52,+27.752, +5.960,+0.946
1690989420,+3.52,+27.743, +5.940,+0.946
1690989720,+3.52,+27.735, +5.921,+0.947
1690990020,+3.52,+27.786, +5.898,+0.947
1690990320,+3.52,+27.803, +5.888,+0.947
1690990620,+3.52,+27.803, +5.839,+0.946
1690990920,+3.52,+27.820, +5.820,+0.946
1690991220,+3.52,+27.845, +5.882,+0.947
1690991520,+3.52,+27.854, +5.829,+0.946
1690991820,+3.52,+27.862, +5.818,+0.946
1690992120,+3.52,+27.896, +5.781,+0.946
1690992420,+3.52,+27.905, +5.745,+0.947
1690992720,+3.52,+27.922, +5.698,+0.947
1690993020,+3.52,+27.939, +5.680,+0.946
1690993320,+3.52,+27.965, +5.678,+0.947
1690993620,+3.52,+27.999, +5.669,+0.946
1690993920,+3.52,+28.024, +5.681,+0.946
1690994220,+3.52,+28.033, +5.744,+0.946
1690994520,+3.52,+28.093, +6.029,+0.946
1690994820,+3.52,+28.186, +6.292,+0.947
1690995120,+3.52,+28.238, +6.161,+0.947
1690995420,+3.52,+28.272, +6.061,+0.947
1690995720,+3.52,+28.323, +5.985,+0.946
1690996020,+3.52,+28.323, +5.920,+0.946
1690996320,+3.52,+28.357, +5.860,+0.947
1690996620,+3.52,+28.391, +5.827,+0.946
1690996920,+3.52,+28.434, +5.803,+0.946
1690997220,+3.52,+28.460, +5.833,+0.947
1690997520,+3.52,+28.537, +6.014,+0.947
1690997820,+3.52,+28.828, +8.829,+0.947
1690998120,+3.52,+30.204, +7.508,+0.948
1690998420,+3.52,+30.645, +7.456,+0.947
1690998720,+3.52,+30.992, +7.393,+0.946
1690999020,+3.52,+31.227, +7.369,+0.946
1690999320,+3.52,+31.480, +7.338,+0.945
1690999620,+3.52,+31.759, +7.310,+0.946
1690999920,+3.51,+31.863, +7.291,+0.945
1691000220,+3.52,+31.925, +7.302,+0.946
1691000520,+3.52,+32.213, +7.267,+0.945
1691000820,+3.52,+32.740, +7.208,+0.944
1691001120,+3.51,+33.834, +7.051,+0.943
1691001420,+3.51,+35.986, +6.714,+0.936
1691001720,+3.51,+36.481, +6.724,+0.935
1691002020,+3.51,+36.490, +6.861,+0.936
1691002320,+3.51,+36.499, +6.996,+0.938
1691002620,+3.51,+36.490, +7.088,+0.937
1691002920,+3.51,+36.490, +7.167,+0.938
1691003220,+3.51,+36.490, +7.247,+0.939
1691003520,+3.51,+36.490, +7.325,+0.940
1691003820,+3.51,+36.490, +7.397,+0.940
1691004120,+3.51,+36.481, +7.462,+0.941
1691004420,+3.51,+36.481, +7.494,+0.941
1691004720,+3.52,+36.472, +7.537,+0.941
1691005020,+3.52,+36.490, +7.547,+0.941
1691005320,+3.52,+36.499, +7.466,+0.941
1691005620,+3.52,+36.490, +7.376,+0.940
1691005920,+3.52,+36.490, +7.267,+0.938
1691006220,+3.52,+36.499, +7.169,+0.939
1691006520,+3.52,+36.499, +7.087,+0.938
1691006820,+3.52,+36.490, +7.008,+0.935
1691007120,+3.52,+36.490, +6.984,+0.936
1691007420,+3.52,+36.490, +6.952,+0.935
1691007720,+3.52,+36.490, +6.922,+0.935
1691008020,+3.52,+36.481, +6.894,+0.935
1691008320,+3.53,+36.481, +6.868,+0.935
1691008620,+3.53,+36.499, +6.856,+0.934
1691008920,+3.53,+36.490, +6.838,+0.934
1691009220,+3.53,+36.481, +6.824,+0.934
1691009520,+3.53,+36.490, +6.798,+0.934
1691009820,+3.53,+36.490, +6.739,+0.934
1691010120,+3.53,+36.490, +6.682,+0.934
1691010420,+3.53,+36.499, +6.632,+0.933
1691010720,+3.53,+36.490, +6.620,+0.933
1691011020,+3.53,+36.481, +6.604,+0.934
1691011320,+3.53,+35.977, +6.665,+0.935
1691011620,+3.53,+35.312, +6.768,+0.938
1691011920,+3.54,+34.812, +6.832,+0.940
1691012220,+3.54,+34.438, +6.885,+0.941
1691012520,+3.53,+34.144, +6.926,+0.942
1691012820,+3.54,+33.887, +6.952,+0.942
1691013120,+3.54,+33.701, +6.984,+0.944
1691013420,+3.54,+33.542, +6.993,+0.944
1691013720,+3.54,+33.427, +6.979,+0.944
1691014020,+3.54,+33.312, +6.966,+0.944
1691014320,+3.54,+33.215, +7.013,+0.944
1691014620,+3.54,+33.092, +7.002,+0.944
1691014920,+3.54,+32.933, +7.047,+0.945
1691015220,+3.54,+32.793, +7.067,+0.946
1691015520,+3.54,+32.643, +7.061,+0.946
1691015820,+3.54,+32.494, +7.093,+0.946
1691016120,+3.54,+32.389, +7.090,+0.946
1691016420,+3.54,+32.231, +7.133,+0.947
1691016720,+3.54,+32.073, +7.140,+0.946
1691017020,+3.54,+31.846, +7.175,+0.946
1691017320,+3.54,+31.610, +7.216,+0.948
1691017620,+3.54,+31.314, +7.255,+0.948
1691017920,+3.55,+30.949, +7.312,+0.948
1691018220,+3.54,+30.619, +7.345,+0.948
1691018520,+3.54,+30.256, +7.395,+0.948
1691018820,+3.55,+29.937, +7.438,+0.948
1691019120,+3.54,+28.614, +7.678,+0.948
1691019420,+3.55,+27.156, +7.880,+0.948
1691019720,+3.55,+26.343, +8.002,+0.949
1691020020,+3.55,+25.802, +8.086,+0.949
1691020320,+3.55,+25.372, +8.163,+0.949
1691020620,+3.55,+25.044, +8.210,+0.949
1691020920,+3.55,+24.741, +8.251,+0.949
1691021220,+3.55,+24.455, +8.290,+0.949
1691021520,+3.55,+24.228, +8.318,+0.949
1691021820,+3.55,+24.002, +8.348,+0.949
