7450-325834
OS REV: 1.05 Sensor Cal: 1678992891
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1690970580,+3.53,+20.141, +8.953,+0.969
1690970880,+3.53,+20.033, +8.969,+0.968
1690971180,+3.53,+19.898, +8.982,+0.969
1690971480,+3.53,+19.789, +9.004,+0.969
1690971780,+3.53,+19.739, +8.995,+0.969
1690972080,+3.53,+19.672, +9.004,+0.969
1690972380,+3.53,+19.613, +9.021,+0.969
1690972680,+3.53,+19.580, +9.026,+0.969
1690972980,+3.53,+19.580, +9.029,+0.969
1690973280,+3.53,+19.538, +9.038,+0.969
1690973580,+3.53,+19.521, +9.051,+0.969
1690973880,+3.53,+19.496, +9.052,+0.970
1690974180,+3.53,+19.487, +9.055,+0.969
1690974480,+3.53,+19.479, +9.064,+0.969
1690974780,+3.53,+19.471, +9.071,+0.970
1690975080,+3.53,+19.487, +9.055,+0.969
1690975380,+3.53,+19.504, +9.072,+0.969
1690975680,+3.53,+19.513, +9.094,+0.969
1690975980,+3.53,+19.630, +9.071,+0.969
1690976280,+3.53,+19.647, +9.068,+0.969
1690976580,+3.53,+19.672, +9.067,+0.969
1690976880,+3.53,+19.722, +9.058,+0.969
1690977180,+3.53,+19.781, +9.058,+0.969
1690977480,+3.53,+19.924, +9.033,+0.969
1690977780,+3.53,+20.033, +9.020,+0.969
1690978080,+3.53,+20.100, +9.000,+0.969
1690978380,+3.53,+20.192, +8.980,+0.968
1690978680,+3.53,+20.359, +8.951,+0.968
1690978980,+3.53,+20.627, +8.916,+0.969
1690979280,+3.53,+20.895, +8.873,+0.969
1690979580,+3.53,+21.364, +8.802,+0.968
1690979880,+3.53,+21.917, +8.717,+0.967
1690980180,+3.52,+22.846, +8.598,+0.967
1690980480,+3.52,+24.751, +8.373,+0.965
1690980780,+3.52,+25.636, +8.242,+0.965
1690981080,+3.52,+26.397, +8.142,+0.964
1690981380,+3.52,+26.905, +8.068,+0.963
1690981680,+3.52,+27.135, +8.040,+0.963
1690981980,+3.52,+28.362, +7.934,+0.963
1690982280,+3.52,+30.237, +7.702,+0.961
1690982580,+3.52,+31.400, +7.547,+0.959
1690982880,+3.52,+32.143, +7.450,+0.958
1690983180,+3.52,+33.260, +7.294,+0.955
1690983480,+3.51,+34.483, +7.127,+0.951
1690983780,+3.51,+35.341, +6.985,+0.948
1690984080,+3.51,+35.251, +6.963,+0.948
1690984380,+3.51,+34.652, +7.038,+0.950
1690984680,+3.51,+35.126, +6.999,+0.948
1690984980,+3.51,+35.520, +6.913,+0.947
1690985280,+3.52,+34.554, +7.026,+0.950
1690985580,+3.52,+34.430, +7.023,+0.949
1690985880,+3.52,+34.590, +6.995,+0.949
1690986180,+3.52,+34.742, +6.962,+0.948
1690986480,+3.52,+34.608, +6.971,+0.949
1690986780,+3.51,+34.234, +7.019,+0.950
1690987080,+3.51,+33.977, +7.064,+0.951
1690987380,+3.52,+33.835, +7.078,+0.951
1690987680,+3.52,+33.790, +7.084,+0.951
1690987980,+3.52,+33.861, +7.081,+0.951
1690988280,+3.52,+33.914, +7.064,+0.950
1690988580,+3.52,+33.959, +7.069,+0.951
1690988880,+3.52,+34.314, +7.007,+0.949
1690989180,+3.53,+29.202, +7.774,+0.958
1690989480,+3.53,+28.439, +6.809,+0.941
1690989780,+3.53,+28.234, +7.886,+0.962
1690990080,+3.53,+28.268, +7.901,+0.963
1690990380,+3.53,+28.259, +7.998,+0.963
1690990680,+3.53,+28.268, +8.069,+0.963
1690990980,+3.53,+28.285, +8.121,+0.962
1690991280,+3.53,+28.294, +8.204,+0.963
1690991580,+3.53,+28.311, +8.259,+0.963
1690991880,+3.53,+28.345, +8.289,+0.963
1690992180,+3.53,+28.388, +8.336,+0.963
1690992480,+3.53,+28.396, +8.392,+0.963
1690992780,+3.53,+28.439, +8.445,+0.963
1690993080,+3.53,+28.430, +8.505,+0.963
1690993380,+3.53,+28.482, +8.566,+0.963
1690993680,+3.53,+28.533, +8.623,+0.963
1690993980,+3.53,+28.542, +8.673,+0.963
1690994280,+3.53,+28.567, +8.630,+0.963
1690994580,+3.53,+28.576, +8.624,+0.963
1690994880,+3.53,+28.644, +8.648,+0.963
1690995180,+3.53,+28.679, +8.769,+0.962
1690995480,+3.53,+28.722, +8.820,+0.963
1690995780,+3.53,+28.773, +8.888,+0.962
1690996080,+3.53,+28.824, +8.963,+0.962
1690996380,+3.53,+28.850, +8.961,+0.962
1690996680,+3.53,+28.919, +9.026,+0.962
1690996980,+3.53,+28.970, +9.027,+0.963
1690997280,+3.53,+28.996, +9.099,+0.963
1690997580,+3.53,+29.073, +9.102,+0.962
1690997880,+3.53,+29.108, +9.104,+0.963
1690998180,+3.53,+29.151, +9.102,+0.963
