7450-334927
OS REV: 1.05 Sensor Cal: 1679088857
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1690970520,+3.54,+20.432, +8.635,+0.956
1690970820,+3.54,+20.332, +8.635,+0.956
1690971120,+3.55,+20.189, +8.664,+0.956
1690971420,+3.54,+20.064, +8.677,+0.956
1690971720,+3.54,+19.955, +8.690,+0.956
1690972020,+3.54,+19.905, +8.699,+0.956
1690972320,+3.54,+19.871, +8.694,+0.956
1690972620,+3.54,+19.846, +8.710,+0.956
1690972920,+3.54,+19.796, +8.725,+0.957
1690973220,+3.54,+19.779, +8.720,+0.956
1690973520,+3.54,+19.720, +8.732,+0.956
1690973820,+3.54,+19.670, +8.774,+0.956
1690974120,+3.54,+19.679, +8.766,+0.957
1690974420,+3.54,+19.679, +8.755,+0.956
1690974720,+3.54,+19.679, +8.752,+0.956
1690975020,+3.54,+19.687, +8.751,+0.956
1690975320,+3.54,+19.720, +8.740,+0.956
1690975620,+3.54,+19.746, +8.776,+0.956
1690975920,+3.54,+19.804, +8.774,+0.956
1690976220,+3.54,+19.813, +8.769,+0.956
1690976520,+3.54,+19.804, +8.771,+0.956
1690976820,+3.54,+19.821, +8.773,+0.956
1690977120,+3.54,+19.880, +8.768,+0.957
1690977420,+3.54,+20.064, +8.725,+0.956
1690977720,+3.54,+20.231, +8.699,+0.956
1690978020,+3.54,+20.306, +8.693,+0.956
1690978320,+3.54,+20.348, +8.683,+0.956
1690978620,+3.54,+20.566, +8.666,+0.957
1690978920,+3.54,+20.967, +8.588,+0.956
1690979220,+3.54,+21.435, +8.517,+0.956
1690979520,+3.54,+21.786, +8.477,+0.957
1690979820,+3.54,+22.154, +8.419,+0.956
1690980120,+3.54,+22.664, +8.366,+0.958
1690980420,+3.54,+24.685, +8.106,+0.958
1690980720,+3.53,+27.176, +7.790,+0.958
1690981020,+3.53,+29.114, +7.543,+0.958
1690981320,+3.53,+30.520, +7.403,+0.960
1690981620,+3.53,+32.114, +7.152,+0.957
1690981920,+3.52,+31.772, +7.187,+0.958
1690982220,+3.53,+30.104, +6.301,+0.955
1690982520,+3.53,+28.129, +5.992,+0.956
1690982820,+3.53,+27.873, +6.022,+0.956
1690983120,+3.53,+27.839, +6.034,+0.957
1690983420,+3.53,+27.839, +6.026,+0.956
1690983720,+3.53,+27.848, +6.040,+0.957
1690984020,+3.53,+27.873, +6.052,+0.957
1690984320,+3.53,+27.916, +6.047,+0.957
1690984620,+3.53,+27.899, +6.016,+0.956
1690984920,+3.53,+27.882, +6.022,+0.956
1690985220,+3.53,+27.908, +6.031,+0.956
1690985520,+3.53,+27.925, +6.033,+0.956
1690985820,+3.53,+27.899, +5.996,+0.956
1690986120,+3.53,+27.891, +5.998,+0.957
1690986420,+3.53,+27.865, +5.992,+0.956
1690986720,+3.53,+27.882, +5.993,+0.957
1690987020,+3.53,+27.873, +6.000,+0.956
1690987320,+3.53,+27.873, +6.029,+0.956
1690987620,+3.53,+27.899, +6.030,+0.957
1690987920,+3.53,+27.916, +6.014,+0.956
1690988220,+3.53,+27.908, +6.022,+0.957
1690988520,+3.53,+27.942, +6.014,+0.957
1690988820,+3.53,+27.950, +6.005,+0.957
1690989120,+3.53,+27.967, +5.993,+0.957
1690989420,+3.53,+27.976, +5.989,+0.957
1690989720,+3.53,+27.976, +5.979,+0.956
1690990020,+3.53,+27.984, +5.978,+0.957
1690990320,+3.53,+27.993, +5.974,+0.957
1690990620,+3.53,+28.001, +5.969,+0.957
1690990920,+3.53,+28.018, +5.980,+0.957
1690991220,+3.53,+28.010, +5.975,+0.957
1690991520,+3.53,+28.027, +5.955,+0.957
1690991820,+3.53,+28.053, +5.949,+0.957
1690992120,+3.53,+28.061, +5.956,+0.957
1690992420,+3.53,+28.070, +5.958,+0.957
1690992720,+3.53,+28.112, +5.953,+0.957
1690993020,+3.53,+28.121, +5.946,+0.956
1690993320,+3.53,+28.172, +5.936,+0.956
1690993620,+3.53,+28.189, +5.945,+0.957
1690993920,+3.53,+28.223, +5.955,+0.957
1690994220,+3.53,+28.283, +5.946,+0.956
1690994520,+3.53,+28.351, +5.948,+0.956
1690994820,+3.53,+28.386, +5.935,+0.956
1690995120,+3.53,+28.386, +5.935,+0.956
1690995420,+3.53,+28.428, +5.931,+0.956
1690995720,+3.53,+28.488, +5.931,+0.957
1690996020,+3.53,+28.514, +5.925,+0.957
1690996320,+3.53,+28.574, +5.920,+0.956
1690996620,+3.53,+28.634, +5.923,+0.956
1690996920,+3.53,+28.677, +5.922,+0.956
1690997220,+3.54,+28.745, +5.912,+0.956
1690997520,+3.54,+28.839, +5.955,+0.957
1690997820,+3.53,+29.028, +5.952,+0.957
1690998120,+3.54,+29.122, +7.503,+0.957
1690998420,+3.53,+31.423, +7.271,+0.957
1690998720,+3.53,+32.561, +7.107,+0.955
1690999020,+3.53,+33.416, +6.976,+0.953
1690999320,+3.53,+34.187, +6.862,+0.951
1690999620,+3.53,+35.070, +6.727,+0.948
1690999920,+3.53,+35.940, +6.578,+0.944
1691000220,+3.52,+36.454, +6.513,+0.941
1691000520,+3.52,+36.454, +6.580,+0.943
1691000820,+3.52,+36.454, +6.612,+0.943
1691001120,+3.52,+36.454, +6.623,+0.942
1691001420,+3.53,+36.454, +6.646,+0.942
1691001720,+3.53,+36.454, +6.664,+0.942
1691002020,+3.53,+36.463, +6.681,+0.943
1691002320,+3.53,+36.454, +6.685,+0.943
1691002620,+3.53,+36.445, +6.687,+0.943
1691002920,+3.53,+36.463, +6.680,+0.942
1691003220,+3.53,+36.463, +6.688,+0.942
1691003520,+3.53,+36.454, +6.704,+0.943
1691003820,+3.53,+36.436, +6.716,+0.942
1691004120,+3.53,+36.454, +6.711,+0.942
1691004420,+3.53,+36.463, +6.714,+0.943
1691004720,+3.53,+36.463, +6.714,+0.943
1691005020,+3.53,+36.472, +6.707,+0.943
