7450-269898
OS REV: 1.05 Sensor Cal: 1678994772
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1690970460,+3.53,+20.104, +8.632,+0.965
1690970760,+3.53,+19.911, +8.666,+0.965
1690971060,+3.53,+19.719, +8.695,+0.965
1690971360,+3.53,+19.559, +8.726,+0.965
1690971660,+3.53,+19.459, +8.735,+0.965
1690971960,+3.53,+19.392, +8.738,+0.965
1690972260,+3.53,+19.333, +8.789,+0.965
1690972560,+3.53,+19.350, +8.786,+0.965
1690972860,+3.53,+19.350, +8.769,+0.966
1690973160,+3.53,+19.375, +8.753,+0.965
1690973460,+3.53,+19.392, +8.742,+0.964
1690973760,+3.53,+19.417, +8.779,+0.965
1690974060,+3.53,+19.408, +8.745,+0.965
1690974360,+3.53,+19.467, +8.758,+0.966
1690974660,+3.53,+19.517, +8.748,+0.965
1690974960,+3.53,+19.559, +8.752,+0.966
1690975260,+3.53,+19.635, +8.726,+0.966
1690975560,+3.53,+19.727, +8.746,+0.965
1690975860,+3.53,+19.836, +8.742,+0.966
1690976160,+3.53,+19.911, +8.727,+0.966
1690976460,+3.52,+19.928, +8.731,+0.966
1690976760,+3.53,+20.045, +8.685,+0.965
1690977060,+3.53,+20.096, +8.695,+0.966
1690977360,+3.53,+20.221, +8.669,+0.966
1690977660,+3.53,+20.430, +8.630,+0.966
1690977960,+3.53,+20.481, +8.625,+0.966
1690978260,+3.53,+20.573, +8.615,+0.966
1690978560,+3.52,+20.782, +8.587,+0.966
1690978860,+3.53,+21.367, +8.531,+0.967
1690979160,+3.52,+21.927, +8.418,+0.966
1690979460,+3.52,+22.186, +8.394,+0.967
1690979760,+3.53,+22.521, +8.344,+0.967
1690980060,+3.52,+22.989, +8.256,+0.966
1690980360,+3.52,+24.505, +8.303,+0.312
1690980660,+3.52,+25.801, +7.971,+0.970
1690980960,+3.52,+27.188, +7.749,+0.958
1690981260,+3.51,+28.525, +7.582,+0.959
1690981560,+3.52,+28.757, +7.540,+0.959
1690981860,+3.52,+29.882, +7.409,+0.958
1690982160,+3.51,+32.126, +7.134,+0.957
1690982460,+3.51,+33.679, +6.898,+0.955
1690982760,+3.51,+34.811, +6.726,+0.952
1690983060,+3.51,+35.620, +6.595,+0.948
1690983360,+3.50,+36.507, +6.486,+0.945
1690983660,+3.50,+36.488, +6.560,+0.945
1690983960,+3.50,+36.488, +6.577,+0.945
1690984260,+3.50,+36.479, +6.601,+0.945
1690984560,+3.50,+36.488, +6.633,+0.944
1690984860,+3.50,+36.497, +6.682,+0.944
1690985160,+3.50,+36.488, +6.670,+0.944
1690985460,+3.50,+36.507, +6.647,+0.944
1690985760,+3.51,+36.225, +5.339,+0.947
1690986060,+3.52,+28.996, +6.710,+0.697
1690986360,+3.52,+28.081, +6.692,+0.968
1690986660,+3.52,+27.971, +6.744,+0.969
1690986960,+3.52,+27.877, +6.759,+0.969
1690987260,+3.52,+27.851, +6.790,+0.970
1690987560,+3.52,+27.868, +6.790,+0.970
1690987860,+3.52,+27.911, +6.814,+0.938
1690988160,+3.52,+27.936, +6.820,+0.937
1690988460,+3.52,+27.928, +6.830,+0.948
1690988760,+3.52,+27.953, +6.859,+0.948
1690989060,+3.52,+27.945, +6.867,+0.947
1690989360,+3.52,+27.971, +6.865,+0.948
1690989660,+3.52,+28.013, +6.868,+0.948
1690989960,+3.52,+28.039, +6.872,+0.947
1690990260,+3.52,+28.056, +6.886,+0.947
1690990560,+3.52,+28.081, +6.900,+0.947
1690990860,+3.52,+28.116, +6.912,+0.948
1690991160,+3.52,+28.133, +6.922,+0.948
1690991460,+3.52,+28.175, +6.898,+0.947
1690991760,+3.52,+28.158, +6.882,+0.947
1690992060,+3.52,+28.184, +6.906,+0.947
1690992360,+3.52,+28.218, +6.942,+0.947
1690992660,+3.52,+28.244, +6.989,+0.947
1690992960,+3.52,+28.252, +7.074,+0.948
1690993260,+3.52,+28.261, +7.098,+0.948
1690993560,+3.52,+28.286, +7.101,+0.947
1690993860,+3.52,+28.320, +7.124,+0.948
1690994160,+3.52,+28.337, +7.223,+0.947
1690994460,+3.52,+28.389, +7.305,+0.947
1690994760,+3.52,+28.414, +7.321,+0.948
1690995060,+3.52,+28.466, +7.306,+0.948
1690995360,+3.52,+28.483, +7.300,+0.948
1690995660,+3.52,+28.525, +7.305,+0.948
1690995960,+3.52,+28.560, +7.314,+0.947
1690996260,+3.52,+28.594, +7.342,+0.947
1690996560,+3.52,+28.637, +7.367,+0.947
1690996860,+3.52,+28.697, +7.408,+0.947
1690997160,+3.53,+28.739, +7.466,+0.948
1690997460,+3.53,+28.782, +7.500,+0.947
1690997760,+3.52,+28.971, +7.731,+0.945
1690998060,+3.52,+29.005, +7.709,+0.946
1690998360,+3.52,+29.048, +7.725,+0.944
1690998660,+3.52,+29.057, +7.718,+0.945
1690998960,+3.52,+29.039, +7.707,+0.945
1690999260,+3.52,+29.048, +7.684,+0.945
1690999560,+3.52,+29.065, +7.656,+0.945
1690999860,+3.52,+29.099, +7.631,+0.944
1691000160,+3.52,+29.117, +7.660,+0.945
1691000460,+3.52,+29.615, +7.935,+0.945
1691000760,+3.52,+30.410, +7.596,+0.372
1691001060,+3.52,+31.898, +7.419,+0.372
1691001360,+3.52,+32.715, +7.329,+0.371
1691001660,+3.52,+33.359, +7.192,+0.370
1691001960,+3.52,+33.856, +7.138,+0.370
1691002260,+3.52,+34.292, +7.079,+0.369
1691002560,+3.52,+34.721, +7.011,+0.369
1691002860,+3.52,+35.071, +6.943,+0.368
1691003160,+3.52,+35.403, +6.909,+0.368
1691003460,+3.52,+35.764, +6.851,+0.367
1691003760,+3.52,+36.108, +6.774,+0.366
1691004060,+3.51,+36.407, +6.727,+0.366
1691004360,+3.51,+36.488, +6.725,+0.365
1691004660,+3.51,+36.497, +6.749,+0.366
1691004960,+3.51,+36.497, +6.739,+0.365
1691005260,+3.52,+36.488, +6.771,+0.366
1691005560,+3.52,+36.497, +6.788,+0.366
1691005860,+3.52,+36.488, +6.574,+0.906
1691006160,+3.52,+36.507, +6.592,+0.906
1691006460,+3.52,+36.488, +6.617,+0.907
1691006760,+3.52,+36.488, +6.618,+0.906
1691007060,+3.52,+36.488, +6.623,+0.907
1691007360,+3.52,+36.488, +6.629,+0.907
1691007660,+3.52,+36.497, +6.616,+0.907
1691007960,+3.52,+36.507, +6.601,+0.907
1691008260,+3.52,+36.497, +6.595,+0.907
1691008560,+3.52,+36.488, +6.635,+0.907
1691008860,+3.52,+36.497, +6.715,+0.909
1691009160,+3.52,+36.488, +6.818,+0.910
1691009460,+3.52,+36.488, +6.844,+0.909
1691009760,+3.52,+36.488, +6.737,+0.893
1691010060,+3.53,+36.497, +6.621,+0.892
1691010360,+3.53,+36.488, +6.548,+0.910
1691010660,+3.53,+36.325, +6.494,+0.909
1691010960,+3.53,+35.521, +6.606,+0.913
1691011260,+3.53,+34.668, +6.721,+0.915
1691011560,+3.53,+33.838, +6.849,+0.918
1691011860,+3.54,+33.129, +6.930,+0.919
1691012160,+3.54,+32.609, +7.002,+0.921
1691012460,+3.54,+32.205, +7.052,+0.921
1691012760,+3.53,+31.863, +7.099,+0.923
1691013060,+3.54,+31.767, +7.105,+0.922
1691013360,+3.54,+31.819, +7.104,+0.923
1691013660,+3.54,+31.793, +7.073,+0.922
1691013960,+3.54,+31.697, +7.096,+0.923
1691014260,+3.54,+31.575, +7.115,+0.922
1691014560,+3.54,+31.418, +7.109,+0.923
1691014860,+3.54,+31.296, +7.129,+0.924
1691015160,+3.54,+31.174, +7.139,+0.923
1691015460,+3.54,+31.069, +7.137,+0.923
1691015760,+3.54,+30.956, +7.158,+0.923
1691016060,+3.54,+30.800, +7.180,+0.923
1691016360,+3.54,+30.687, +7.191,+0.923
1691016660,+3.54,+30.548, +7.215,+0.923
1691016960,+3.54,+30.410, +7.246,+0.925
1691017260,+3.54,+30.185, +7.260,+0.924
1691017560,+3.54,+29.882, +7.299,+0.924
1691017860,+3.54,+29.392, +7.377,+0.925
1691018160,+3.54,+28.902, +7.437,+0.925
1691018460,+3.54,+28.440, +7.499,+0.925
1691018760,+3.54,+28.005, +7.546,+0.925
1691019060,+3.55,+27.604, +7.611,+0.926
1691019360,+3.54,+26.290, +7.854,+0.925
1691019660,+3.55,+25.447, +7.969,+0.925
1691019960,+3.55,+24.951, +8.032,+0.925
1691020260,+3.55,+24.573, +8.074,+0.924
1691020560,+3.55,+24.287, +8.119,+0.925
1691020860,+3.55,+24.044, +8.146,+0.924
1691021160,+3.55,+23.809, +8.179,+0.924
1691021460,+3.55,+23.583, +8.210,+0.924
1691021760,+3.55,+23.374, +8.242,+0.924
1691022060,+3.55,+23.190, +8.266,+0.924
1691022360,+3.55,+23.056, +8.276,+0.924
1691022660,+3.55,+22.914, +8.303,+0.924
1691022960,+3.55,+22.772, +8.327,+0.924
1691023260,+3.55,+22.646, +8.354,+0.925
1691023560,+3.55,+22.554, +8.359,+0.925
1691023860,+3.55,+22.437, +8.371,+0.924
1691024160,+3.55,+22.378, +8.380,+0.924
1691024460,+3.55,+22.328, +8.387,+0.924
1691024760,+3.55,+22.236, +8.405,+0.924
1691025060,+3.55,+22.195, +8.401,+0.924
1691025360,+3.55,+22.136, +8.406,+0.924
1691025660,+3.55,+22.103, +8.416,+0.924
1691025960,+3.55,+22.061, +8.418,+0.924
1691026260,+3.55,+22.036, +8.428,+0.924
1691026560,+3.55,+22.002, +8.428,+0.924
1691026860,+3.55,+21.961, +8.437,+0.924
1691027160,+3.55,+21.919, +8.439,+0.924
1691027460,+3.55,+21.902, +8.445,+0.924
1691027760,+3.55,+21.877, +8.453,+0.925
1691028060,+3.55,+21.860, +8.445,+0.924
1691028360,+3.55,+21.843, +8.437,+0.923
1691028660,+3.55,+21.793, +8.441,+0.923
1691028960,+3.55,+21.768, +8.446,+0.924
1691029260,+3.55,+21.735, +8.458,+0.924
1691029560,+3.55,+21.710, +8.463,+0.924
1691029860,+3.55,+21.676, +8.461,+0.924
1691030160,+3.55,+21.635, +8.465,+0.923
1691030460,+3.55,+21.609, +8.466,+0.923
1691030760,+3.55,+21.576, +8.474,+0.924
1691031060,+3.55,+21.551, +8.476,+0.924
1691031360,+3.55,+21.534, +8.491,+0.925
1691031660,+3.55,+21.543, +8.467,+0.923
1691031960,+3.55,+21.501, +8.481,+0.924
1691032260,+3.55,+21.467, +8.483,+0.924
1691032560,+3.55,+21.459, +8.481,+0.924
1691032860,+3.55,+21.451, +8.479,+0.924
1691033160,+3.55,+21.442, +8.477,+0.924
1691033460,+3.55,+21.451, +8.471,+0.923
1691033760,+3.55,+21.434, +8.473,+0.923
1691034060,+3.55,+21.442, +8.483,+0.924
1691034360,+3.55,+21.434, +8.473,+0.924
1691034660,+3.55,+21.417, +8.470,+0.923
1691034960,+3.55,+21.392, +8.478,+0.924
1691035260,+3.55,+21.400, +8.475,+0.924
1691035560,+3.55,+21.392, +8.474,+0.924
1691035860,+3.55,+21.375, +8.472,+0.923
1691036160,+3.55,+21.400, +8.464,+0.923
1691036460,+3.55,+21.392, +8.476,+0.924
1691036760,+3.55,+21.375, +8.481,+0.924
1691037060,+3.55,+21.375, +8.473,+0.924
1691037360,+3.55,+21.375, +8.456,+0.923
1691037660,+3.55,+21.384, +8.463,+0.923
1691037960,+3.55,+21.375, +8.462,+0.923
1691038260,+3.55,+21.384, +8.454,+0.923
1691038560,+3.55,+21.375, +8.466,+0.924
1691038860,+3.55,+21.384, +8.456,+0.923
1691039160,+3.55,+21.392, +8.455,+0.924
1691039460,+3.55,+21.375, +8.460,+0.924
1691039760,+3.55,+21.367, +8.457,+0.924
1691040060,+3.54,+21.350, +8.455,+0.924
1691040360,+3.54,+21.334, +8.459,+0.923
1691040660,+3.54,+21.334, +8.456,+0.924
1691040960,+3.54,+21.317, +8.449,+0.923
1691041260,+3.54,+21.334, +8.461,+0.924
1691041560,+3.54,+21.342, +8.456,+0.924
1691041860,+3.54,+21.325, +8.454,+0.924
1691042160,+3.54,+21.334, +8.445,+0.923
1691042460,+3.54,+21.317, +8.445,+0.923
1691042760,+3.54,+21.317, +8.444,+0.923
1691043060,+3.54,+21.325, +8.445,+0.924
1691043360,+3.54,+21.342, +8.436,+0.923
1691043660,+3.54,+21.350, +8.435,+0.923
1691043960,+3.54,+21.334, +8.446,+0.924
1691044260,+3.54,+21.350, +8.425,+0.923
1691044560,+3.54,+21.342, +8.431,+0.923
1691044860,+3.54,+21.350, +8.423,+0.923
1691045160,+3.54,+21.350, +8.425,+0.923
1691045460,+3.54,+21.325, +8.418,+0.923
1691045760,+3.54,+21.325, +8.422,+0.923
