7530-815399
OS REV: 1.05 Sensor Cal: 1620284400
Time (sec),  Bat (Volts),   T (deg C),  PAR (umol/(s m^2))  Ax (g), Ay (g), Az (g)
1690970940, +3.46, +20.363,  -0.02593, -160.000, -1236.000, +726.000
1690971240, +3.46, +20.220,  +0.00441, -256.000, -1122.000, +720.000
1690971540, +3.46, +20.094,  +0.10095, -284.000, -1246.000, +671.000
1690971840, +3.46, +20.019,  +0.02372, -250.000, -1360.000, +736.000
1690972140, +3.46, +19.951,  +0.00993, -184.000, -1416.000, +579.000
1690972440, +3.46, +19.951,  +0.04854, -154.000, -1396.000, +671.000
1690972740, +3.46, +19.960,  +0.09819, -148.000, -1420.000, +678.000
1690973040, +3.46, +19.951,  +0.14508, -136.000, -1328.000, +620.000
1690973340, +3.46, +19.968,  +0.20852, -134.000, -1330.000, +608.000
1690973640, +3.46, +19.960,  +0.03751, -122.000, -1600.000, +764.000
1690973940, +3.46, +19.951,  -0.00386, -104.000, -1536.000, +776.000
1690974240, +3.46, +19.960,  +0.04579, -568.000, -1160.000, +764.000
1690974540, +3.46, +19.977,  +0.18921, -184.000, -1328.000, +624.000
1690974840, +3.46, +20.002,  +0.17266, -191.000, -1316.000, +662.000
1690975140, +3.46, +20.035,  +0.15336, -136.000, -1357.000, +769.000
1690975440, +3.46, +20.103,  +0.02096, -157.000, -1230.000, +704.000
1690975740, +3.46, +20.153, +16.81833, -112.000, -1320.000, +672.000
1690976040, +3.46, +20.170,  +1.22905, -15.000, -1308.000, +720.000
1690976340, +3.46, +20.161,  +1.38902,  +1.000, -1306.000, +673.000
1690976640, +3.46, +20.170,  +1.03598,  +4.000, -1312.000, +684.000
1690976940, +3.46, +20.187,  +2.21648,  +4.000, -1328.000, +632.000
1690977240, +3.46, +20.187, +28.02208, +28.000, -1364.000, +638.000
1690977540, +3.46, +20.237,  +7.82939,  +3.000, -1304.000, +696.000
1690977840, +3.46, +20.296,  +6.21309, +84.000, -1296.000, +720.000
1690978140, +3.46, +20.321,  +4.51681, +88.000, -1373.000, +752.000
1690978440, +3.46, +20.346, +12.61761, +40.000, -1264.000, +745.000
1690978740, +3.46, +20.439, +67.18007,  +0.000, -1316.000, +696.000
1690979040, +3.46, +20.607, +38.04810,  +1.000, -1296.000, +668.000
1690979340, +3.46, +20.800, +38.93899, -122.000, -1332.000, +608.000
1690979640, +3.46, +21.076, +39.90436, -160.000, -1332.000, +616.000
1690979940, +3.46, +21.429, +53.36431, -196.000, -1304.000, +696.000
1690980240, +3.46, +22.015, +129.05174, +1016.000, +312.000, -212.000
1690980540, +3.46, +22.768, +28.52407, -400.000, +588.000, -752.000
1690980840, +3.46, +23.687, +177.68135, +1190.000, -32.000, +224.000
1690981140, +3.46, +24.046, +70.67746, +1222.000, +240.000, +240.000
1690981440, +3.46, +24.205, +95.56734, +1228.000, +216.000, +252.000
1690981740, +3.46, +24.263, +1162.94185, +1244.000,  +0.000, +206.000
1690982040, +3.46, +24.288, +929.72329, +1120.000, -200.000, +176.000
1690982340, +3.46, +25.537, +92.09203, +1161.000, -100.000, +88.000
1690982640, +3.46, +26.491, +86.37982, +1155.000, -106.000, +92.000
1690982940, +3.46, +27.020, +84.72491, +1223.000, -93.000,  +0.000
1690983240, +3.46, +27.326, +114.54919, +1167.000, -104.000, +80.000
1690983540, +3.46, +27.523, +128.34840, +1132.000, -112.000, +96.000
1690983840, +3.46, +27.639, +177.60964, +1224.000, -100.000, -16.000
1690984140, +3.46, +27.704, +182.89708, +1219.000, -96.000,  +0.000
1690984440, +3.46, +27.762, +194.72971, +1223.000, -98.000, -15.000
1690984740, +3.46, +27.803, +209.75355, +1231.000, -108.000, -32.000
1690985040, +3.46, +27.828, +217.10413, +1223.000, -98.000, -16.000
1690985340, +3.46, +27.853, +234.20765, +1225.000, -104.000, -16.000
1690985640, +3.46, +27.861, +95.80730, +1228.000, -104.000, -28.000
1690985940, +3.46, +27.869, +245.67619, +1228.000, -104.000, -24.000
1690986240, +3.47, +27.885, +219.39618, +1222.000, -98.000, -16.000
1690986540, +3.47, +27.894, +217.42683, +1223.000, -100.000, -16.000
