7450-249209
OS REV: 1.05 Sensor Cal: 1678994209
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1690970400,+3.54,+20.613, +8.745,+0.956
1690970700,+3.54,+20.479, +8.776,+0.957
1690971000,+3.54,+20.370, +8.778,+0.957
1690971300,+3.54,+20.220, +8.816,+0.957
1690971600,+3.54,+20.128, +8.823,+0.957
1690971900,+3.54,+20.052, +8.824,+0.956
1690972200,+3.54,+20.002, +8.849,+0.957
1690972500,+3.54,+20.019, +8.863,+0.957
1690972800,+3.54,+20.027, +8.830,+0.957
1690973100,+3.54,+20.044, +8.822,+0.957
1690973400,+3.54,+20.044, +8.821,+0.957
1690973700,+3.54,+20.027, +8.858,+0.957
1690974000,+3.54,+20.010, +8.834,+0.957
1690974300,+3.54,+20.027, +8.845,+0.958
1690974600,+3.54,+20.052, +8.840,+0.957
1690974900,+3.54,+20.077, +8.836,+0.957
1690975200,+3.54,+20.119, +8.830,+0.958
1690975500,+3.54,+20.178, +8.849,+0.958
1690975800,+3.54,+20.236, +8.841,+0.957
1690976100,+3.54,+20.287, +8.827,+0.958
1690976400,+3.54,+20.278, +8.822,+0.957
1690976700,+3.54,+20.295, +8.825,+0.957
1690977000,+3.54,+20.312, +8.843,+0.958
1690977300,+3.54,+20.404, +8.818,+0.958
1690977600,+3.54,+20.663, +8.761,+0.956
1690977900,+3.54,+20.730, +8.750,+0.955
1690978200,+3.54,+20.788, +8.754,+0.956
1690978500,+3.53,+20.905, +8.736,+0.957
1690978800,+3.54,+21.357, +8.662,+0.957
1690979100,+3.53,+22.142, +8.546,+0.956
1690979400,+3.53,+22.602, +8.474,+0.959
1690979700,+3.53,+23.011, +8.414,+0.958
1690980000,+3.53,+23.513, +8.344,+0.959
1690980300,+3.53,+24.125, +8.169,+0.961
1690980600,+3.53,+24.460, +8.403,+0.963
1690980900,+3.53,+25.225, +8.232,+0.963
1690981200,+3.53,+26.009, +8.133,+0.963
1690981500,+3.53,+25.874, +8.143,+0.962
1690981800,+3.53,+24.721, +8.319,+0.960
1690982100,+3.53,+25.461, +6.542,+0.963
1690982400,+3.53,+27.338, +5.979,+0.961
1690982700,+3.53,+27.686, +5.255,+0.958
1690983000,+3.53,+27.814, +5.056,+0.956
1690983300,+3.53,+27.899, +5.323,+0.957
1690983600,+3.53,+27.950, +5.715,+0.958
1690983900,+3.53,+28.002, +5.859,+0.958
1690984200,+3.53,+28.053, +6.072,+0.959
1690984500,+3.53,+28.053, +6.298,+0.959
1690984800,+3.53,+28.087, +6.421,+0.958
1690985100,+3.53,+28.112, +6.569,+0.958
1690985400,+3.53,+28.121, +6.763,+0.959
1690985700,+3.53,+28.087, +6.733,+0.959
1690986000,+3.53,+28.121, +7.133,+0.959
1690986300,+3.53,+28.129, +7.433,+0.959
