7450-458163
OS REV: 1.05 Sensor Cal: 1679088563
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1692181560,+3.55,+21.435, +8.773,+0.953
1692181860,+3.55,+21.410, +8.780,+0.953
1692182160,+3.55,+21.343, +8.784,+0.953
1692182460,+3.55,+21.352, +8.797,+0.953
1692182760,+3.55,+21.377, +8.793,+0.953
1692183060,+3.55,+21.444, +8.788,+0.953
1692183360,+3.55,+21.561, +8.781,+0.954
1692183660,+3.55,+21.678, +8.765,+0.954
1692183960,+3.55,+21.778, +8.739,+0.953
1692184260,+3.55,+21.879, +8.731,+0.953
1692184560,+3.55,+22.079, +8.700,+0.954
1692184860,+3.55,+22.280, +8.669,+0.953
1692185160,+3.55,+22.472, +8.642,+0.953
1692185460,+3.55,+22.648, +8.618,+0.954
1692185760,+3.55,+22.782, +8.597,+0.954
1692186060,+3.55,+23.041, +8.554,+0.953
1692186360,+3.55,+23.343, +8.510,+0.954
1692186660,+3.55,+23.619, +8.470,+0.954
1692186960,+3.55,+23.837, +8.434,+0.953
1692187260,+3.54,+24.030, +8.407,+0.954
1692187560,+3.54,+24.256, +8.374,+0.953
1692187860,+3.55,+24.449, +8.347,+0.954
1692188160,+3.55,+24.634, +8.326,+0.954
1692188460,+3.54,+25.222, +8.262,+0.955
1692188760,+3.55,+25.829, +8.167,+0.955
1692189060,+3.54,+26.082, +8.126,+0.955
1692189360,+3.54,+26.276, +8.100,+0.954
1692189660,+3.54,+26.327, +8.087,+0.954
1692189960,+3.54,+26.352, +8.085,+0.954
1692190260,+3.54,+26.377, +8.088,+0.954
1692190560,+3.54,+27.173, +8.012,+0.955
1692190860,+3.54,+27.964, +7.892,+0.955
1692191160,+3.54,+28.135, +7.857,+0.955
1692191460,+3.54,+27.990, +7.864,+0.954
1692191760,+3.54,+27.819, +7.883,+0.953
1692192060,+3.54,+27.819, +7.893,+0.954
1692192360,+3.54,+28.092, +7.852,+0.954
1692192660,+3.54,+28.177, +7.843,+0.954
1692192960,+3.54,+28.553, +7.813,+0.954
1692193260,+3.53,+30.722, +7.593,+0.955
1692193560,+3.53,+33.056, +7.305,+0.954
1692193860,+3.53,+34.930, +7.050,+0.951
1692194160,+3.53,+36.550, +6.797,+0.944
1692194460,+3.53,+36.541, +6.882,+0.945
1692194760,+3.53,+36.550, +6.954,+0.945
1692195060,+3.53,+36.541, +6.998,+0.946
1692195360,+3.53,+36.550, +7.052,+0.946
1692195660,+3.53,+36.541, +7.048,+0.945
1692195960,+3.53,+36.541, +6.848,+0.942
1692196260,+3.53,+36.469, +6.714,+0.941
1692196560,+3.54,+30.255, +5.128,+0.950
1692196860,+3.54,+28.485, +5.500,+0.952
1692197160,+3.54,+28.083, +5.527,+0.954
1692197460,+3.54,+27.930, +5.532,+0.954
1692197760,+3.55,+27.853, +5.447,+0.954
1692198060,+3.55,+27.811, +5.372,+0.955
1692198360,+3.55,+27.768, +5.297,+0.955
