7450-471033
OS REV: 1.05 Sensor Cal: 1679088763
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1692181560,+3.54,+21.540, +8.587,+0.915
1692181860,+3.54,+21.524, +8.583,+0.914
1692182160,+3.54,+21.465, +8.600,+0.915
1692182460,+3.54,+21.448, +8.601,+0.915
1692182760,+3.54,+21.448, +8.596,+0.914
1692183060,+3.54,+21.482, +8.599,+0.914
1692183360,+3.54,+21.549, +8.596,+0.915
1692183660,+3.54,+21.590, +8.590,+0.914
1692183960,+3.54,+21.624, +8.574,+0.914
1692184260,+3.54,+21.699, +8.570,+0.914
1692184560,+3.54,+21.824, +8.561,+0.915
1692184860,+3.54,+21.975, +8.524,+0.914
1692185160,+3.54,+22.125, +8.503,+0.914
1692185460,+3.54,+22.259, +8.474,+0.913
1692185760,+3.54,+22.317, +8.476,+0.913
1692186060,+3.54,+22.602, +8.428,+0.914
1692186360,+3.54,+22.928, +8.379,+0.913
1692186660,+3.54,+23.271, +8.315,+0.913
1692186960,+3.54,+23.455, +8.301,+0.913
1692187260,+3.54,+23.606, +8.286,+0.913
1692187560,+3.54,+23.815, +8.244,+0.912
1692187860,+3.53,+24.025, +8.215,+0.912
1692188160,+3.53,+24.201, +8.191,+0.913
1692188460,+3.54,+24.587, +8.126,+0.912
1692188760,+3.53,+25.124, +8.028,+0.911
1692189060,+3.53,+25.394, +8.006,+0.911
1692189360,+3.54,+25.571, +7.976,+0.911
1692189660,+3.54,+25.739, +7.959,+0.911
1692189960,+3.53,+25.807, +7.946,+0.911
1692190260,+3.53,+25.950, +7.942,+0.911
1692190560,+3.53,+27.526, +7.809,+0.911
1692190860,+3.53,+29.510, +7.574,+0.908
1692191160,+3.53,+29.933, +7.538,+0.908
1692191460,+3.53,+30.226, +7.497,+0.907
1692191760,+3.53,+30.685, +7.434,+0.907
1692192060,+3.53,+31.390, +7.344,+0.905
1692192360,+3.53,+32.388, +7.201,+0.903
1692192660,+3.52,+33.075, +7.109,+0.901
1692192960,+3.52,+33.704, +7.005,+0.899
1692193260,+3.52,+34.871, +6.815,+0.894
1692193560,+3.52,+36.150, +6.604,+0.888
1692193860,+3.52,+36.467, +6.596,+0.887
1692194160,+3.52,+36.476, +6.651,+0.888
1692194460,+3.52,+36.476, +6.686,+0.889
1692194760,+3.52,+36.476, +6.734,+0.891
1692195060,+3.52,+36.458, +6.750,+0.891
1692195360,+3.52,+36.458, +6.784,+0.892
1692195660,+3.52,+36.458, +6.772,+0.891
1692195960,+3.52,+36.467, +6.673,+0.891
1692196260,+3.52,+36.231, +6.592,+0.891
1692196560,+3.53,+34.541, +6.878,+0.901
1692196860,+3.53,+32.810, +7.074,+0.907
1692197160,+3.53,+29.003, +5.628,+0.914
1692197460,+3.53,+28.165, +5.709,+0.915
1692197760,+3.53,+27.968, +5.726,+0.916
1692198060,+3.54,+27.841, +5.703,+0.915
1692198360,+3.54,+27.815, +5.647,+0.915
1692198660,+3.54,+27.781, +5.590,+0.916
1692198960,+3.54,+27.747, +5.502,+0.915
1692199260,+3.54,+27.747, +5.428,+0.915
1692199560,+3.54,+27.747, +5.421,+0.915
1692199860,+3.54,+27.772, +5.425,+0.914
1692200160,+3.54,+27.815, +5.358,+0.914
1692200460,+3.54,+27.823, +5.282,+0.914
1692200760,+3.54,+27.858, +5.272,+0.914
1692201060,+3.54,+27.866, +5.288,+0.914
1692201360,+3.54,+27.892, +5.239,+0.914
1692201660,+3.54,+27.909, +5.186,+0.914
1692201960,+3.54,+27.909, +5.143,+0.914
1692202260,+3.54,+27.951, +5.123,+0.914
1692202560,+3.54,+27.977, +5.110,+0.913
1692202860,+3.53,+28.011, +5.092,+0.913
1692203160,+3.53,+28.045, +5.039,+0.913
1692203460,+3.53,+28.071, +5.027,+0.913
1692203760,+3.53,+28.113, +4.999,+0.913
1692204060,+3.53,+28.139, +4.982,+0.913
1692204360,+3.53,+28.165, +4.958,+0.912
1692204660,+3.53,+28.199, +4.934,+0.913
1692204960,+3.53,+28.241, +4.892,+0.913
1692205260,+3.53,+28.267, +4.867,+0.913
1692205560,+3.53,+28.293, +4.823,+0.913
1692205860,+3.53,+28.361, +4.771,+0.913
1692206160,+3.53,+28.387, +4.745,+0.912
1692206460,+3.53,+28.429, +4.714,+0.912
1692206760,+3.53,+28.438, +4.723,+0.913
1692207060,+3.53,+28.515, +4.711,+0.912
1692207360,+3.53,+28.549, +4.730,+0.912
1692207660,+3.54,+28.712, +7.585,+0.913
1692207960,+3.54,+28.729, +7.596,+0.914
1692208260,+3.54,+28.900, +7.582,+0.913
1692208560,+3.53,+29.235, +7.559,+0.913
1692208860,+3.53,+29.209, +7.560,+0.913
1692209160,+3.53,+29.287, +7.542,+0.913
1692209460,+3.53,+29.769, +7.468,+0.913
1692209760,+3.53,+30.425, +7.364,+0.911
1692210060,+3.53,+31.094, +7.259,+0.909
1692210360,+3.53,+31.634, +7.176,+0.907
1692210660,+3.53,+32.089, +7.118,+0.907
1692210960,+3.53,+32.449, +7.059,+0.905
1692211260,+3.53,+32.722, +7.023,+0.905
1692211560,+3.53,+32.995, +6.969,+0.904
1692211860,+3.53,+33.207, +6.935,+0.903
1692212160,+3.53,+33.384, +6.904,+0.902
1692212460,+3.53,+33.544, +6.880,+0.902
1692212760,+3.53,+33.579, +6.849,+0.902
1692213060,+3.53,+32.643, +6.981,+0.905
1692213360,+3.53,+32.423, +7.049,+0.907
1692213660,+3.53,+32.951, +6.975,+0.906
1692213960,+3.53,+32.916, +6.947,+0.906
1692214260,+3.53,+32.485, +6.993,+0.907
1692214560,+3.53,+32.063, +7.043,+0.908
1692214860,+3.53,+31.722, +7.081,+0.908
1692215160,+3.53,+32.766, +7.000,+0.906
1692215460,+3.53,+34.237, +6.800,+0.901
1692215760,+3.53,+35.572, +6.611,+0.895
1692216060,+3.52,+36.476, +6.488,+0.891
1692216360,+3.52,+36.467, +6.557,+0.891
1692216660,+3.52,+36.449, +6.602,+0.893
1692216960,+3.52,+36.467, +6.544,+0.893
1692217260,+3.52,+36.476, +6.489,+0.893
1692217560,+3.53,+36.467, +6.454,+0.894
1692217860,+3.53,+36.467, +6.402,+0.893
1692218160,+3.53,+36.467, +6.366,+0.894
1692218460,+3.53,+35.743, +6.353,+0.897
1692218760,+3.54,+33.438, +6.667,+0.908
1692219060,+3.54,+32.335, +6.795,+0.913
1692219360,+3.54,+31.766, +6.846,+0.914
1692219660,+3.54,+31.303, +6.885,+0.914
1692219960,+3.54,+30.876, +6.921,+0.915
1692220260,+3.54,+30.417, +6.973,+0.916
1692220560,+3.54,+29.984, +7.011,+0.917
1692220860,+3.54,+29.588, +7.060,+0.918
1692221160,+3.54,+29.244, +7.088,+0.918
1692221460,+3.54,+28.952, +7.107,+0.918
1692221760,+3.54,+28.660, +7.153,+0.920
1692222060,+3.54,+28.361, +7.153,+0.918
