7450-566774
OS REV: 1.05 Sensor Cal: 1679419749
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1692181500,+3.48,+21.555, +8.678,+0.904
1692181800,+3.48,+21.589, +8.666,+0.904
1692182100,+3.48,+21.530, +8.671,+0.903
1692182400,+3.48,+21.497, +8.670,+0.903
1692182700,+3.48,+21.497, +8.700,+0.904
1692183000,+3.48,+21.505, +8.691,+0.904
1692183300,+3.48,+21.530, +8.680,+0.903
1692183600,+3.48,+21.564, +8.687,+0.904
1692183900,+3.48,+21.605, +8.679,+0.904
1692184200,+3.48,+21.647, +8.672,+0.904
1692184500,+3.48,+21.739, +8.658,+0.904
1692184800,+3.47,+21.856, +8.629,+0.903
1692185100,+3.47,+21.965, +8.619,+0.903
1692185400,+3.47,+22.082, +8.606,+0.904
1692185700,+3.48,+22.183, +8.573,+0.903
1692186000,+3.48,+22.367, +8.565,+0.904
1692186300,+3.48,+22.668, +8.505,+0.903
1692186600,+3.47,+22.953, +8.468,+0.903
1692186900,+3.47,+23.154, +8.432,+0.903
1692187200,+3.48,+23.313, +8.404,+0.903
1692187500,+3.48,+23.481, +8.383,+0.903
1692187800,+3.47,+23.623, +8.368,+0.903
1692188100,+3.47,+23.766, +8.336,+0.902
1692188400,+3.47,+23.975, +8.308,+0.903
1692188700,+3.47,+24.303, +8.256,+0.903
1692189000,+3.47,+24.605, +8.212,+0.903
1692189300,+3.47,+24.824, +8.171,+0.902
1692189600,+3.47,+25.026, +8.153,+0.902
1692189900,+3.47,+25.186, +8.135,+0.903
1692190200,+3.47,+25.270, +8.131,+0.903
1692190500,+3.47,+25.473, +8.089,+0.902
1692190800,+3.47,+25.937, +8.019,+0.902
1692191100,+3.47,+26.571, +7.948,+0.903
1692191400,+3.47,+27.114, +7.866,+0.902
1692191700,+3.47,+27.539, +7.805,+0.902
1692192000,+3.47,+27.888, +7.764,+0.901
1692192300,+3.47,+28.289, +7.707,+0.901
1692192600,+3.47,+28.640, +7.681,+0.903
1692192900,+3.47,+28.949, +7.634,+0.902
1692193200,+3.47,+29.921, +7.523,+0.902
1692193500,+3.46,+31.595, +7.285,+0.898
1692193800,+3.46,+32.926, +7.120,+0.897
1692194100,+3.46,+34.199, +6.943,+0.894
1692194400,+3.46,+35.223, +6.786,+0.891
1692194700,+3.46,+36.039, +6.671,+0.888
1692195000,+3.46,+36.453, +6.604,+0.885
1692195300,+3.46,+36.453, +6.653,+0.887
1692195600,+3.46,+36.462, +6.685,+0.886
1692195900,+3.46,+36.462, +6.670,+0.884
1692196200,+3.46,+36.336, +6.608,+0.884
1692196500,+3.47,+35.590, +6.736,+0.888
1692196800,+3.47,+34.537, +6.924,+0.893
1692197100,+3.46,+34.119, +6.950,+0.894
1692197400,+3.47,+33.411, +7.058,+0.896
1692197700,+3.47,+32.654, +6.470,+0.892
1692198000,+3.48,+28.880, +5.886,+0.901
1692198300,+3.47,+28.341, +5.966,+0.902
1692198600,+3.47,+28.315, +6.116,+0.902
1692198900,+3.47,+28.349, +6.273,+0.903
1692199200,+3.47,+28.349, +6.476,+0.903
1692199500,+3.47,+28.383, +6.648,+0.903
1692199800,+3.47,+28.409, +6.845,+0.904
1692200100,+3.47,+28.418, +7.115,+0.903
1692200400,+3.47,+28.478, +7.304,+0.904
1692200700,+3.47,+28.486, +7.480,+0.904
1692201000,+3.47,+28.512, +7.637,+0.904
1692201300,+3.47,+28.572, +7.865,+0.904
1692201600,+3.48,+28.640, +8.069,+0.905
1692201900,+3.48,+28.666, +8.215,+0.905
1692202200,+3.48,+28.692, +8.452,+0.906
1692202500,+3.48,+28.777, +8.656,+0.906
1692202800,+3.48,+28.794, +8.842,+0.906
1692203100,+3.48,+28.829, +9.023,+0.906
1692203400,+3.48,+28.897, +9.182,+0.906
1692203700,+3.48,+28.949, +9.349,+0.905
1692204000,+3.48,+29.034, +9.586,+0.906
1692204300,+3.48,+29.077, +9.742,+0.906
1692204600,+3.48,+29.120, +9.964,+0.907
1692204900,+3.48,+29.189,+10.115,+0.906
1692205200,+3.47,+29.249,+10.316,+0.907
1692205500,+3.47,+29.326,+10.522,+0.907
1692205800,+3.47,+29.361,+10.709,+0.908
1692206100,+3.47,+29.430,+10.824,+0.908
1692206400,+3.47,+29.464,+11.020,+0.907
1692206700,+3.47,+29.542,+11.182,+0.907
1692207000,+3.47,+29.576,+11.296,+0.908
1692207300,+3.47,+29.550,+11.394,+0.907
1692207600,+3.47,+29.516,+11.609,+0.909
1692207900,+3.47,+29.473,+11.810,+0.909
1692208200,+3.48,+28.983, +7.871,+0.903
1692208500,+3.47,+29.653, +7.705,+0.902
1692208800,+3.47,+29.705, +7.609,+0.902
1692209100,+3.47,+29.593, +7.538,+0.904
1692209400,+3.47,+29.653, +7.520,+0.904
1692209700,+3.48,+29.834, +7.424,+0.903
1692210000,+3.48,+29.921, +7.399,+0.903
1692210300,+3.48,+29.938, +7.371,+0.902
1692210600,+3.48,+29.929, +7.355,+0.902
1692210900,+3.48,+29.929, +7.343,+0.903
1692211200,+3.48,+29.947, +7.325,+0.903
1692211500,+3.48,+29.964, +7.304,+0.903
1692211800,+3.48,+30.016, +7.292,+0.904
1692212100,+3.48,+30.059, +7.263,+0.903
1692212400,+3.48,+30.119, +7.222,+0.902
1692212700,+3.48,+30.154, +7.226,+0.903
1692213000,+3.48,+30.050, +6.936,+0.901
1692213300,+3.48,+31.003, +7.047,+0.901
1692213600,+3.47,+31.586, +6.976,+0.900
1692213900,+3.47,+31.743, +6.791,+0.899
1692214200,+3.47,+31.621, +7.077,+0.900
1692214500,+3.48,+31.464, +7.177,+0.901
1692214800,+3.48,+31.377, +7.254,+0.901
1692215100,+3.47,+31.447, +7.225,+0.901
1692215400,+3.47,+31.830, +7.199,+0.901
1692215700,+3.48,+32.276, +7.148,+0.901
1692216000,+3.47,+32.689, +7.080,+0.899
1692216300,+3.47,+33.076, +7.025,+0.899
1692216600,+3.48,+33.491, +6.956,+0.898
1692216900,+3.47,+33.889, +6.900,+0.897
1692217200,+3.47,+34.181, +6.849,+0.896
1692217500,+3.48,+34.421, +6.805,+0.895
1692217800,+3.48,+34.599, +6.771,+0.894
1692218100,+3.48,+34.724, +6.746,+0.894
1692218400,+3.48,+34.795, +6.682,+0.893
1692218700,+3.48,+32.522, +7.122,+0.900
1692219000,+3.48,+31.298, +7.291,+0.902
1692219300,+3.48,+30.560, +7.366,+0.902
1692219600,+3.48,+30.024, +7.448,+0.903
1692219900,+3.48,+29.516, +7.523,+0.905
1692220200,+3.49,+29.034, +7.576,+0.904
1692220500,+3.48,+28.580, +7.628,+0.904
1692220800,+3.48,+28.187, +7.668,+0.904
1692221100,+3.49,+27.854, +7.711,+0.905
1692221400,+3.49,+27.599, +7.739,+0.905
1692221700,+3.48,+27.301, +7.774,+0.905
1692222000,+3.49,+27.021, +7.814,+0.905
1692222300,+3.49,+26.749, +7.845,+0.906
1692222600,+3.49,+26.503, +7.870,+0.905
1692222900,+3.48,+26.300, +7.874,+0.904
1692223200,+3.48,+26.140, +7.898,+0.905
1692223500,+3.49,+25.945, +7.922,+0.905
