7450-562111
OS REV: 1.05 Sensor Cal: 1679419969
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1692181500,+3.47,+21.554, +8.615,+0.929
1692181800,+3.47,+21.562, +8.596,+0.929
1692182100,+3.47,+21.503, +8.615,+0.929
1692182400,+3.47,+21.537, +8.608,+0.930
1692182700,+3.47,+21.545, +8.602,+0.929
1692183000,+3.47,+21.562, +8.597,+0.929
1692183300,+3.47,+21.629, +8.597,+0.930
1692183600,+3.47,+21.679, +8.588,+0.930
1692183900,+3.47,+21.746, +8.583,+0.930
1692184200,+3.47,+21.821, +8.569,+0.930
1692184500,+3.47,+21.913, +8.548,+0.929
1692184800,+3.47,+22.014, +8.539,+0.930
1692185100,+3.47,+22.189, +8.511,+0.929
1692185400,+3.47,+22.323, +8.491,+0.930
1692185700,+3.47,+22.440, +8.467,+0.929
1692186000,+3.47,+22.649, +8.454,+0.930
1692186300,+3.47,+22.984, +8.391,+0.929
1692186600,+3.47,+23.344, +8.327,+0.928
1692186900,+3.47,+23.604, +8.296,+0.929
1692187200,+3.47,+23.864, +8.262,+0.929
1692187500,+3.46,+24.141, +8.218,+0.929
1692187800,+3.47,+24.409, +8.184,+0.929
1692188100,+3.47,+24.620, +8.135,+0.928
1692188400,+3.46,+25.124, +8.103,+0.930
1692188700,+3.46,+26.094, +7.974,+0.930
1692189000,+3.47,+26.601, +7.886,+0.929
1692189300,+3.46,+26.906, +7.840,+0.929
1692189600,+3.46,+27.059, +7.809,+0.929
1692189900,+3.46,+27.110, +7.805,+0.929
1692190200,+3.46,+27.101, +7.797,+0.929
1692190500,+3.46,+27.637, +7.788,+0.930
1692190800,+3.46,+29.124, +7.595,+0.929
1692191100,+3.46,+29.175, +7.577,+0.929
1692191400,+3.46,+28.944, +7.598,+0.929
1692191700,+3.46,+28.575, +7.627,+0.929
1692192000,+3.46,+28.516, +7.644,+0.929
1692192300,+3.46,+28.738, +7.612,+0.929
1692192600,+3.46,+28.832, +7.592,+0.928
1692192900,+3.46,+29.029, +7.594,+0.930
1692193200,+3.46,+30.468, +7.413,+0.929
1692193500,+3.46,+32.209, +7.170,+0.926
1692193800,+3.46,+33.440, +7.008,+0.924
1692194100,+3.46,+34.637, +6.825,+0.920
1692194400,+3.46,+35.522, +6.677,+0.917
1692194700,+3.45,+36.205, +6.563,+0.914
1692195000,+3.45,+36.466, +6.532,+0.912
1692195300,+3.45,+36.466, +6.570,+0.913
1692195600,+3.45,+36.466, +6.604,+0.914
1692195900,+3.45,+36.448, +6.519,+0.913
1692196200,+3.45,+36.466, +6.437,+0.912
1692196500,+3.46,+35.836, +6.532,+0.915
1692196800,+3.46,+34.513, +6.754,+0.922
1692197100,+3.47,+33.449, +6.889,+0.924
1692197400,+3.46,+32.779, +7.006,+0.926
1692197700,+3.46,+31.859, +7.169,+0.928
1692198000,+3.47,+31.040, +7.294,+0.928
1692198300,+3.47,+29.958, +5.777,+0.928
1692198600,+3.47,+28.627, +5.851,+0.932
1692198900,+3.47,+28.413, +6.000,+0.933
1692199200,+3.47,+28.422, +6.117,+0.932
1692199500,+3.47,+28.422, +6.232,+0.933
1692199800,+3.47,+28.456, +6.372,+0.932
1692200100,+3.47,+28.498, +6.506,+0.932
1692200400,+3.47,+28.524, +6.685,+0.932
1692200700,+3.47,+28.516, +6.798,+0.932
1692201000,+3.47,+28.558, +6.942,+0.932
1692201300,+3.47,+28.593, +7.046,+0.933
1692201600,+3.47,+28.627, +7.118,+0.932
1692201900,+3.47,+28.670, +7.216,+0.932
1692202200,+3.47,+28.695, +7.320,+0.933
1692202500,+3.47,+28.747, +7.389,+0.931
1692202800,+3.47,+28.789, +7.537,+0.932
1692203100,+3.47,+28.858, +7.653,+0.932
1692203400,+3.47,+28.884, +7.783,+0.932
1692203700,+3.47,+28.935, +7.877,+0.932
1692204000,+3.47,+28.978, +7.982,+0.932
1692204300,+3.47,+29.029, +8.101,+0.932
1692204600,+3.47,+29.098, +8.183,+0.932
1692204900,+3.47,+29.141, +8.308,+0.933
1692205200,+3.47,+29.210, +8.418,+0.933
1692205500,+3.47,+29.244, +8.564,+0.933
1692205800,+3.47,+29.321, +8.683,+0.932
1692206100,+3.47,+29.364, +8.762,+0.932
1692206400,+3.47,+29.433, +8.911,+0.932
1692206700,+3.47,+29.502, +9.076,+0.932
1692207000,+3.47,+29.528, +9.223,+0.932
1692207300,+3.47,+29.493, +9.360,+0.931
1692207600,+3.47,+29.519, +9.539,+0.932
1692207900,+3.47,+29.562, +9.562,+0.932
1692208200,+3.47,+29.605, +9.614,+0.933
1692208500,+3.47,+29.631, +9.631,+0.932
1692208800,+3.47,+29.502, +8.017,+0.930
1692209100,+3.47,+29.184, +7.562,+0.931
1692209400,+3.47,+29.390, +7.555,+0.932
1692209700,+3.47,+30.131, +7.432,+0.930
1692210000,+3.47,+30.607, +7.365,+0.930
1692210300,+3.47,+30.875, +7.316,+0.930
1692210600,+3.47,+31.075, +7.278,+0.929
1692210900,+3.47,+31.240, +7.264,+0.929
1692211200,+3.47,+31.414, +7.235,+0.929
1692211500,+3.47,+31.571, +7.217,+0.929
1692211800,+3.46,+31.728, +7.177,+0.928
1692212100,+3.46,+31.851, +7.160,+0.928
1692212400,+3.46,+31.938, +7.147,+0.928
1692212700,+3.47,+32.052, +7.129,+0.928
1692213000,+3.46,+31.763, +7.138,+0.928
1692213300,+3.46,+31.929, +7.146,+0.928
1692213600,+3.47,+32.253, +7.081,+0.926
1692213900,+3.47,+32.428, +7.042,+0.927
1692214200,+3.47,+32.419, +7.040,+0.927
1692214500,+3.47,+32.384, +7.049,+0.928
1692214800,+3.47,+32.630, +6.995,+0.927
1692215100,+3.46,+33.034, +6.925,+0.926
1692215400,+3.47,+33.546, +6.826,+0.924
1692215700,+3.47,+34.299, +6.700,+0.922
1692216000,+3.46,+35.101, +6.560,+0.918
1692216300,+3.46,+35.836, +6.428,+0.914
1692216600,+3.46,+36.448, +6.324,+0.911
1692216900,+3.46,+36.457, +6.337,+0.912
1692217200,+3.46,+36.439, +6.336,+0.913
1692217500,+3.46,+36.268, +6.363,+0.914
1692217800,+3.46,+36.214, +6.376,+0.914
1692218100,+3.47,+35.971, +6.402,+0.915
1692218400,+3.47,+35.450, +6.476,+0.917
1692218700,+3.47,+32.999, +6.949,+0.926
1692219000,+3.47,+31.711, +7.128,+0.930
1692219300,+3.47,+30.858, +7.232,+0.931
1692219600,+3.48,+30.183, +7.310,+0.931
1692219900,+3.47,+29.622, +7.385,+0.932
1692220200,+3.48,+29.098, +7.453,+0.933
1692220500,+3.47,+28.593, +7.507,+0.933
1692220800,+3.48,+28.165, +7.579,+0.934
1692221100,+3.48,+27.773, +7.610,+0.933
1692221400,+3.48,+27.441, +7.656,+0.934
1692221700,+3.48,+27.110, +7.701,+0.934
1692222000,+3.48,+26.822, +7.736,+0.934
1692222300,+3.48,+26.542, +7.768,+0.934
1692222600,+3.48,+26.305, +7.798,+0.935
1692222900,+3.48,+26.068, +7.820,+0.934
1692223200,+3.48,+25.874, +7.845,+0.934
1692223500,+3.48,+25.680, +7.871,+0.934
1692223800,+3.48,+25.469, +7.893,+0.934
1692224100,+3.48,+25.284, +7.921,+0.934
1692224400,+3.48,+25.124, +7.934,+0.934
1692224700,+3.48,+24.964, +7.960,+0.934
1692225000,+3.48,+24.796, +7.973,+0.934
1692225300,+3.48,+24.662, +7.979,+0.933
1692225600,+3.48,+24.493, +8.009,+0.934
1692225900,+3.48,+24.368, +8.026,+0.934
1692226200,+3.48,+24.233, +8.040,+0.934
1692226500,+3.48,+24.116, +8.052,+0.934
1692226800,+3.48,+23.998, +8.069,+0.934
1692227100,+3.48,+23.872, +8.076,+0.933
1692227400,+3.48,+23.789, +8.087,+0.934
1692227700,+3.48,+23.688, +8.097,+0.934
1692228000,+3.48,+23.596, +8.115,+0.934
1692228300,+3.48,+23.495, +8.125,+0.934
1692228600,+3.48,+23.428, +8.124,+0.934
1692228900,+3.48,+23.328, +8.124,+0.933
1692229200,+3.48,+23.244, +8.151,+0.934
1692229500,+3.48,+23.152, +8.157,+0.934
1692229800,+3.48,+23.101, +8.158,+0.933
1692230100,+3.48,+23.035, +8.156,+0.933
1692230400,+3.48,+22.968, +8.179,+0.934
1692230700,+3.48,+22.917, +8.183,+0.934
1692231000,+3.48,+22.842, +8.184,+0.934
1692231300,+3.48,+22.775, +8.190,+0.934
1692231600,+3.48,+22.700, +8.187,+0.933
1692231900,+3.48,+22.658, +8.202,+0.934
1692232200,+3.48,+22.583, +8.204,+0.933
1692232500,+3.48,+22.557, +8.203,+0.933
1692232800,+3.48,+22.532, +8.206,+0.934
1692233100,+3.48,+22.474, +8.209,+0.933
1692233400,+3.48,+22.424, +8.225,+0.934
1692233700,+3.48,+22.398, +8.214,+0.933
1692234000,+3.48,+22.340, +8.224,+0.934
1692234300,+3.48,+22.323, +8.220,+0.933
1692234600,+3.48,+22.298, +8.211,+0.933
1692234900,+3.48,+22.273, +8.223,+0.934
1692235200,+3.48,+22.206, +8.225,+0.933
1692235500,+3.48,+22.181, +8.234,+0.934
1692235800,+3.48,+22.164, +8.219,+0.933
1692236100,+3.47,+22.139, +8.228,+0.934
1692236400,+3.47,+22.122, +8.213,+0.933
1692236700,+3.47,+22.097, +8.223,+0.933
1692237000,+3.47,+22.064, +8.220,+0.933
1692237300,+3.47,+22.039, +8.228,+0.933
1692237600,+3.47,+22.005, +8.225,+0.933
1692237900,+3.47,+21.989, +8.229,+0.933
1692238200,+3.47,+21.980, +8.226,+0.933
1692238500,+3.47,+21.955, +8.220,+0.933
1692238800,+3.47,+21.938, +8.221,+0.933
1692239100,+3.47,+21.913, +8.212,+0.933
1692239400,+3.47,+21.905, +8.216,+0.933
1692239700,+3.47,+21.880, +8.219,+0.933
1692240000,+3.47,+21.855, +8.223,+0.934
1692240300,+3.47,+21.855, +8.217,+0.933
1692240600,+3.47,+21.838, +8.212,+0.933
1692240900,+3.47,+21.830, +8.208,+0.933
1692241200,+3.47,+21.805, +8.205,+0.933
1692241500,+3.47,+21.788, +8.209,+0.933
1692241800,+3.47,+21.779, +8.214,+0.934
1692242100,+3.47,+21.746, +8.221,+0.934
1692242400,+3.47,+21.754, +8.207,+0.934
1692242700,+3.47,+21.746, +8.197,+0.933
1692243000,+3.47,+21.729, +8.206,+0.933
1692243300,+3.47,+21.746, +8.188,+0.933
1692243600,+3.47,+21.738, +8.192,+0.933
1692243900,+3.47,+21.729, +8.181,+0.933
1692244200,+3.47,+21.713, +8.185,+0.933
1692244500,+3.47,+21.696, +8.187,+0.933
1692244800,+3.47,+21.687, +8.183,+0.933
1692245100,+3.47,+21.671, +8.189,+0.934
1692245400,+3.47,+21.679, +8.174,+0.933
1692245700,+3.47,+21.654, +8.176,+0.933
1692246000,+3.47,+21.637, +8.180,+0.933
1692246300,+3.47,+21.637, +8.174,+0.934
1692246600,+3.47,+21.612, +8.164,+0.933
1692246900,+3.47,+21.579, +8.171,+0.933
1692247200,+3.47,+21.545, +8.168,+0.933
