7450-516531
OS REV: 1.05 Sensor Cal: 1679419607
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1692181440,+3.50,+21.462, +8.844,+0.905
1692181740,+3.50,+21.462, +8.837,+0.905
1692182040,+3.50,+21.437, +8.843,+0.905
1692182340,+3.50,+21.420, +8.838,+0.904
1692182640,+3.50,+21.428, +8.849,+0.905
1692182940,+3.50,+21.478, +8.839,+0.905
1692183240,+3.50,+21.504, +8.840,+0.905
1692183540,+3.50,+21.621, +8.832,+0.905
1692183840,+3.50,+21.679, +8.814,+0.904
1692184140,+3.50,+21.805, +8.794,+0.904
1692184440,+3.50,+21.922, +8.778,+0.905
1692184740,+3.50,+22.147, +8.731,+0.904
1692185040,+3.50,+22.373, +8.690,+0.904
1692185340,+3.50,+22.515, +8.670,+0.904
1692185640,+3.50,+22.641, +8.655,+0.904
1692185940,+3.50,+22.733, +8.653,+0.904
1692186240,+3.50,+22.750, +8.656,+0.904
1692186540,+3.49,+22.875, +8.634,+0.904
1692186840,+3.49,+23.009, +8.620,+0.904
1692187140,+3.49,+23.177, +8.604,+0.904
1692187440,+3.50,+23.436, +8.572,+0.905
1692187740,+3.50,+23.687, +8.533,+0.904
1692188040,+3.49,+23.914, +8.487,+0.904
1692188340,+3.49,+24.308, +8.444,+0.904
1692188640,+3.49,+25.207, +8.319,+0.904
1692188940,+3.49,+25.628, +8.272,+0.905
1692189240,+3.49,+25.957, +8.216,+0.903
1692189540,+3.49,+26.160, +8.187,+0.904
1692189840,+3.49,+26.261, +8.163,+0.903
1692190140,+3.49,+26.354, +8.156,+0.903
1692190440,+3.49,+27.082, +8.088,+0.904
1692190740,+3.49,+28.914, +7.886,+0.904
1692191040,+3.48,+29.532, +7.828,+0.903
1692191340,+3.48,+29.627, +7.802,+0.903
1692191640,+3.49,+29.894, +7.761,+0.902
1692191940,+3.49,+30.187, +7.725,+0.901
1692192240,+3.48,+30.871, +7.634,+0.900
1692192540,+3.49,+31.375, +7.579,+0.901
1692192840,+3.49,+32.169, +7.472,+0.901
1692193140,+3.48,+32.572, +7.390,+0.899
1692193440,+3.49,+33.231, +7.265,+0.898
1692193740,+3.48,+33.726, +7.191,+0.897
1692194040,+3.49,+34.355, +7.092,+0.896
1692194340,+3.48,+34.827, +7.010,+0.893
1692194640,+3.48,+35.176, +6.957,+0.893
1692194940,+3.48,+35.462, +6.929,+0.893
1692195240,+3.49,+35.677, +6.892,+0.891
1692195540,+3.48,+36.028, +6.841,+0.890
1692195840,+3.48,+36.046, +6.855,+0.888
1692196140,+3.49,+34.801, +7.056,+0.893
1692196440,+3.49,+33.717, +7.223,+0.896
1692196740,+3.49,+32.624, +7.353,+0.898
1692197040,+3.49,+32.247, +7.369,+0.898
1692197340,+3.49,+31.767, +7.456,+0.900
1692197640,+3.49,+31.436, +7.477,+0.900
1692197940,+3.50,+31.036, +7.559,+0.901
1692198240,+3.49,+30.446, +7.626,+0.901
1692198540,+3.50,+30.144, +7.658,+0.901
1692198840,+3.50,+28.855, +6.288,+0.899
1692199140,+3.50,+28.418, +6.513,+0.900
1692199440,+3.50,+28.487, +6.618,+0.901
1692199740,+3.50,+28.504, +6.802,+0.901
1692200040,+3.50,+28.538, +7.030,+0.901
1692200340,+3.50,+28.547, +7.256,+0.902
1692200640,+3.50,+28.564, +7.457,+0.902
1692200940,+3.50,+28.581, +7.546,+0.902
1692201240,+3.50,+28.615, +7.653,+0.902
1692201540,+3.50,+28.683, +7.822,+0.903
1692201840,+3.50,+28.683, +7.985,+0.902
1692202140,+3.50,+28.735, +8.097,+0.903
1692202440,+3.50,+28.795, +8.319,+0.903
1692202740,+3.50,+28.846, +8.507,+0.904
1692203040,+3.50,+28.880, +8.651,+0.904
1692203340,+3.50,+28.932, +8.806,+0.904
1692203640,+3.50,+28.992, +8.907,+0.905
1692203940,+3.50,+29.043, +9.020,+0.905
1692204240,+3.50,+29.094, +9.126,+0.904
1692204540,+3.50,+29.163, +9.377,+0.905
1692204840,+3.50,+29.189, +9.504,+0.905
1692205140,+3.50,+29.266, +9.705,+0.907
1692205440,+3.50,+29.300, +9.775,+0.906
1692205740,+3.50,+29.361, +9.844,+0.905
1692206040,+3.49,+29.429, +9.931,+0.906
1692206340,+3.49,+29.464, +9.999,+0.907
1692206640,+3.49,+29.532,+10.230,+0.906
1692206940,+3.49,+29.575,+10.239,+0.906
1692207240,+3.49,+29.601,+10.572,+0.908
1692207540,+3.49,+29.644,+10.619,+0.907
1692207840,+3.49,+29.653,+10.751,+0.906
1692208140,+3.49,+29.704,+10.959,+0.909
1692208440,+3.50,+29.215, +7.614,+0.900
1692208740,+3.50,+29.911, +7.513,+0.898
1692209040,+3.49,+30.325, +7.451,+0.898
1692209340,+3.49,+30.412, +7.466,+0.900
1692209640,+3.49,+30.593, +7.469,+0.901
1692209940,+3.49,+30.697, +7.440,+0.900
1692210240,+3.49,+30.775, +7.450,+0.901
1692210540,+3.49,+30.845, +7.437,+0.900
1692210840,+3.49,+30.897, +7.436,+0.901
1692211140,+3.50,+30.949, +7.435,+0.901
1692211440,+3.50,+31.018, +7.422,+0.901
1692211740,+3.50,+31.105, +7.406,+0.901
1692212040,+3.50,+31.209, +7.393,+0.901
1692212340,+3.49,+31.296, +7.383,+0.901
1692212640,+3.49,+31.366, +7.373,+0.901
1692212940,+3.49,+31.357, +7.360,+0.900
1692213240,+3.49,+32.361, +7.212,+0.898
1692213540,+3.49,+32.554, +7.187,+0.899
1692213840,+3.49,+32.300, +7.215,+0.899
1692214140,+3.49,+32.195, +7.318,+0.900
1692214440,+3.49,+32.020, +7.327,+0.900
1692214740,+3.49,+32.756, +7.234,+0.900
1692215040,+3.49,+33.814, +7.083,+0.898
1692215340,+3.49,+34.080, +7.025,+0.897
1692215640,+3.49,+34.489, +6.971,+0.896
1692215940,+3.49,+34.934, +6.916,+0.896
1692216240,+3.49,+35.283, +6.845,+0.893
1692216540,+3.49,+35.641, +6.794,+0.893
1692216840,+3.49,+35.623, +6.782,+0.892
1692217140,+3.49,+35.444, +6.806,+0.893
