7450-233512
OS REV: 1.05 Sensor Cal: 1678992849
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1692181440,+3.53,+21.096, +8.719,+0.948
1692181740,+3.53,+21.088, +8.718,+0.947
1692182040,+3.53,+21.071, +8.711,+0.947
1692182340,+3.53,+21.079, +8.726,+0.948
1692182640,+3.53,+21.154, +8.716,+0.948
1692182940,+3.53,+21.221, +8.712,+0.947
1692183240,+3.53,+21.330, +8.690,+0.947
1692183540,+3.53,+21.464, +8.688,+0.948
1692183840,+3.53,+21.556, +8.663,+0.947
1692184140,+3.53,+21.682, +8.660,+0.948
1692184440,+3.53,+21.824, +8.623,+0.947
1692184740,+3.52,+22.000, +8.598,+0.947
1692185040,+3.53,+22.192, +8.572,+0.948
1692185340,+3.53,+22.360, +8.543,+0.948
1692185640,+3.53,+22.443, +8.533,+0.948
1692185940,+3.53,+22.577, +8.514,+0.948
1692186240,+3.53,+22.795, +8.483,+0.948
1692186540,+3.52,+23.029, +8.444,+0.948
1692186840,+3.52,+23.172, +8.424,+0.948
1692187140,+3.53,+23.323, +8.406,+0.948
1692187440,+3.53,+23.566, +8.363,+0.947
1692187740,+3.53,+23.758, +8.348,+0.948
1692188040,+3.52,+23.926, +8.308,+0.947
1692188340,+3.52,+24.262, +8.281,+0.948
1692188640,+3.52,+25.069, +8.172,+0.949
1692188940,+3.52,+25.448, +8.115,+0.948
1692189240,+3.52,+25.684, +8.081,+0.948
1692189540,+3.52,+25.861, +8.040,+0.948
1692189840,+3.52,+25.937, +8.025,+0.947
1692190140,+3.52,+25.980, +8.030,+0.948
1692190440,+3.52,+26.368, +7.989,+0.948
1692190740,+3.52,+28.007, +7.753,+0.948
1692191040,+3.52,+28.033, +7.737,+0.948
1692191340,+3.52,+27.845, +7.769,+0.948
1692191640,+3.51,+27.505, +7.795,+0.947
1692191940,+3.52,+27.403, +7.809,+0.947
1692192240,+3.52,+27.607, +7.795,+0.948
1692192540,+3.52,+27.769, +7.755,+0.947
1692192840,+3.52,+27.794, +7.760,+0.947
1692193140,+3.51,+27.496, +5.642,+0.944
1692193440,+3.52,+27.241, +3.646,+0.945
1692193740,+3.52,+27.173, +3.694,+0.945
1692194040,+3.52,+27.148, +3.703,+0.945
1692194340,+3.52,+27.131, +3.691,+0.945
1692194640,+3.52,+27.156, +3.658,+0.945
1692194940,+3.52,+27.173, +3.644,+0.945
1692195240,+3.52,+27.207, +3.660,+0.945
