7450-325834
OS REV: 1.05 Sensor Cal: 1678992891
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1692181380,+3.53,+21.306, +8.778,+0.959
1692181680,+3.53,+21.264, +8.779,+0.958
1692181980,+3.53,+21.230, +8.786,+0.958
1692182280,+3.53,+21.222, +8.789,+0.958
1692182580,+3.53,+21.322, +8.776,+0.958
1692182880,+3.53,+21.431, +8.750,+0.958
1692183180,+3.53,+21.490, +8.758,+0.959
1692183480,+3.53,+21.649, +8.719,+0.958
1692183780,+3.53,+21.741, +8.705,+0.958
1692184080,+3.53,+21.824, +8.697,+0.958
1692184380,+3.53,+21.933, +8.679,+0.958
1692184680,+3.53,+22.117, +8.650,+0.957
1692184980,+3.53,+22.276, +8.614,+0.957
1692185280,+3.53,+22.427, +8.609,+0.958
1692185580,+3.53,+22.544, +8.580,+0.957
1692185880,+3.53,+22.637, +8.575,+0.957
1692186180,+3.53,+22.804, +8.543,+0.957
1692186480,+3.53,+23.013, +8.507,+0.956
1692186780,+3.52,+23.223, +8.483,+0.957
1692187080,+3.53,+23.391, +8.463,+0.957
1692187380,+3.53,+23.625, +8.424,+0.956
1692187680,+3.52,+23.877, +8.384,+0.956
1692187980,+3.52,+24.070, +8.350,+0.956
1692188280,+3.52,+24.314, +8.321,+0.956
1692188580,+3.52,+25.088, +8.205,+0.956
1692188880,+3.53,+25.551, +8.140,+0.955
1692189180,+3.52,+25.847, +8.104,+0.955
1692189480,+3.52,+26.058, +8.069,+0.955
1692189780,+3.52,+26.134, +8.051,+0.954
1692190080,+3.52,+26.194, +8.055,+0.955
1692190380,+3.52,+26.498, +8.019,+0.954
1692190680,+3.52,+28.063, +7.829,+0.953
1692190980,+3.52,+28.353, +7.780,+0.953
1692191280,+3.52,+28.191, +7.809,+0.954
1692191580,+3.52,+27.995, +7.836,+0.954
1692191880,+3.52,+27.884, +7.855,+0.954
1692192180,+3.52,+28.242, +7.797,+0.953
1692192480,+3.52,+28.584, +7.757,+0.954
1692192780,+3.52,+28.842, +7.723,+0.954
1692193080,+3.52,+28.679, +7.735,+0.953
1692193380,+3.52,+28.482, +7.733,+0.952
1692193680,+3.52,+28.396, +7.737,+0.953
1692193980,+3.52,+28.225, +7.765,+0.953
1692194280,+3.52,+28.165, +7.764,+0.953
1692194580,+3.52,+27.969, +7.795,+0.954
1692194880,+3.52,+27.747, +4.454,+0.951
1692195180,+3.52,+27.756, +4.495,+0.951
1692195480,+3.52,+27.841, +4.590,+0.951
1692195780,+3.52,+27.892, +4.595,+0.950
1692196080,+3.52,+27.892, +4.566,+0.950
1692196380,+3.52,+27.926, +4.645,+0.950
1692196680,+3.52,+27.960, +4.692,+0.951
1692196980,+3.52,+28.003, +4.725,+0.951
1692197280,+3.52,+28.012, +4.780,+0.951
1692197580,+3.52,+28.037, +4.818,+0.950
1692197880,+3.52,+28.131, +4.901,+0.951
1692198180,+3.52,+28.165, +4.968,+0.951
1692198480,+3.52,+28.242, +5.053,+0.951
1692198780,+3.52,+28.259, +5.065,+0.950
1692199080,+3.52,+28.328, +5.081,+0.950
1692199380,+3.52,+28.362, +5.144,+0.951
1692199680,+3.52,+28.379, +5.211,+0.950
1692199980,+3.52,+28.422, +5.295,+0.951
1692200280,+3.52,+28.482, +5.340,+0.951
1692200580,+3.52,+28.490, +5.410,+0.951
1692200880,+3.52,+28.507, +5.456,+0.951
1692201180,+3.52,+28.507, +5.577,+0.951
1692201480,+3.52,+28.559, +5.687,+0.951
1692201780,+3.52,+28.619, +5.877,+0.951
1692202080,+3.52,+28.619, +5.894,+0.951
