7450-334927
OS REV: 1.05 Sensor Cal: 1679088857
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1692181380,+3.53,+21.302, +8.601,+0.952
1692181680,+3.53,+21.327, +8.604,+0.953
1692181980,+3.53,+21.293, +8.612,+0.953
1692182280,+3.53,+21.293, +8.612,+0.952
1692182580,+3.53,+21.352, +8.597,+0.952
1692182880,+3.53,+21.394, +8.617,+0.953
1692183180,+3.53,+21.469, +8.599,+0.953
1692183480,+3.53,+21.586, +8.586,+0.953
1692183780,+3.53,+21.669, +8.572,+0.952
1692184080,+3.53,+21.753, +8.568,+0.953
1692184380,+3.53,+21.845, +8.551,+0.953
1692184680,+3.53,+21.995, +8.520,+0.953
1692184980,+3.53,+22.154, +8.511,+0.953
1692185280,+3.53,+22.296, +8.487,+0.953
1692185580,+3.53,+22.380, +8.466,+0.953
1692185880,+3.53,+22.514, +8.446,+0.953
1692186180,+3.53,+22.648, +8.431,+0.953
1692186480,+3.53,+22.807, +8.404,+0.953
1692186780,+3.53,+22.982, +8.390,+0.953
1692187080,+3.53,+23.116, +8.367,+0.953
1692187380,+3.53,+23.292, +8.349,+0.953
1692187680,+3.53,+23.502, +8.310,+0.953
1692187980,+3.53,+23.703, +8.286,+0.953
1692188280,+3.53,+23.929, +8.257,+0.954
1692188580,+3.53,+24.769, +8.140,+0.954
1692188880,+3.52,+25.223, +8.065,+0.954
1692189180,+3.53,+25.492, +8.029,+0.954
1692189480,+3.53,+25.678, +7.994,+0.953
1692189780,+3.53,+25.745, +7.990,+0.954
1692190080,+3.53,+25.788, +7.984,+0.954
1692190380,+3.53,+25.796, +8.007,+0.954
1692190680,+3.53,+26.514, +2.921,+0.953
1692190980,+3.53,+26.667, +2.916,+0.953
1692191280,+3.53,+26.692, +3.008,+0.953
1692191580,+3.53,+26.718, +2.951,+0.953
1692191880,+3.53,+26.777, +2.925,+0.953
1692192180,+3.53,+26.769, +2.968,+0.953
1692192480,+3.53,+26.819, +2.987,+0.953
1692192780,+3.53,+26.811, +3.019,+0.953
1692193080,+3.53,+26.853, +3.078,+0.953
1692193380,+3.53,+26.879, +3.031,+0.953
1692193680,+3.52,+26.921, +3.002,+0.953
1692193980,+3.52,+26.972, +3.058,+0.953
1692194280,+3.52,+27.014, +3.061,+0.953
1692194580,+3.52,+27.074, +3.047,+0.954
1692194880,+3.52,+27.108, +2.997,+0.953
1692195180,+3.52,+27.184, +3.046,+0.953
1692195480,+3.52,+27.227, +3.008,+0.953
1692195780,+3.52,+27.295, +3.029,+0.953
1692196080,+3.52,+27.329, +3.035,+0.953
1692196380,+3.52,+27.397, +2.969,+0.953
1692196680,+3.52,+27.431, +2.952,+0.954
1692196980,+3.52,+27.448, +2.903,+0.953
1692197280,+3.52,+27.490, +2.901,+0.953
1692197580,+3.52,+27.524, +2.896,+0.954
1692197880,+3.52,+27.567, +2.872,+0.953
1692198180,+3.52,+27.575, +2.869,+0.953
1692198480,+3.53,+27.609, +2.852,+0.954
1692198780,+3.53,+27.652, +2.846,+0.954
1692199080,+3.53,+27.686, +2.851,+0.953
1692199380,+3.53,+27.703, +2.873,+0.953
1692199680,+3.53,+27.729, +2.896,+0.953
1692199980,+3.53,+27.780, +2.862,+0.954
1692200280,+3.53,+27.814, +2.838,+0.953
1692200580,+3.53,+27.831, +2.837,+0.953
1692200880,+3.53,+27.856, +2.825,+0.953
1692201180,+3.53,+27.873, +2.818,+0.954
1692201480,+3.53,+27.891, +2.814,+0.953
1692201780,+3.53,+27.908, +2.804,+0.953
1692202080,+3.53,+27.942, +2.795,+0.953
1692202380,+3.53,+27.950, +2.796,+0.954
1692202680,+3.52,+27.976, +2.798,+0.954
1692202980,+3.52,+28.112, +2.853,+0.953
1692203280,+3.52,+29.828, +7.371,+0.955
1692203580,+3.52,+31.851, +7.082,+0.953
1692203880,+3.52,+33.116, +6.876,+0.950
1692204180,+3.51,+35.088, +6.580,+0.946
1692204480,+3.52,+34.810, +6.633,+0.946
1692204780,+3.52,+34.864, +6.628,+0.947
1692205080,+3.52,+34.587, +6.731,+0.947
1692205380,+3.51,+34.160, +6.798,+0.949
1692205680,+3.52,+33.770, +6.857,+0.950
1692205980,+3.52,+33.486, +6.896,+0.951
1692206280,+3.52,+33.266, +6.892,+0.950
1692206580,+3.52,+33.089, +6.921,+0.951
1692206880,+3.52,+32.913, +6.944,+0.951
1692207180,+3.52,+32.869, +6.909,+0.950
1692207480,+3.52,+33.345, +6.849,+0.950
1692207780,+3.52,+33.956, +6.751,+0.948
1692208080,+3.52,+34.543, +6.668,+0.947
1692208380,+3.52,+35.123, +6.571,+0.945
1692208680,+3.52,+35.742, +6.474,+0.942
1692208980,+3.51,+36.364, +6.384,+0.940
1692209280,+3.51,+36.454, +6.389,+0.939
1692209580,+3.51,+36.463, +6.434,+0.940
1692209880,+3.51,+36.463, +6.426,+0.939
1692210180,+3.51,+36.445, +6.434,+0.940
1692210480,+3.51,+36.463, +6.413,+0.939
1692210780,+3.51,+36.454, +6.421,+0.940
1692211080,+3.51,+36.463, +6.409,+0.939
