7450-269898
OS REV: 1.05 Sensor Cal: 1678994772
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1692181320,+3.53,+21.476, +8.552,+0.966
1692181620,+3.53,+21.467, +8.548,+0.966
1692181920,+3.53,+21.426, +8.545,+0.965
1692182220,+3.53,+21.375, +8.566,+0.966
1692182520,+3.53,+21.417, +8.558,+0.965
1692182820,+3.53,+21.451, +8.548,+0.965
1692183120,+3.53,+21.509, +8.561,+0.966
1692183420,+3.53,+21.609, +8.545,+0.966
1692183720,+3.53,+21.668, +8.533,+0.965
1692184020,+3.53,+21.768, +8.517,+0.965
1692184320,+3.53,+21.835, +8.513,+0.966
1692184620,+3.53,+21.969, +8.492,+0.966
1692184920,+3.53,+22.153, +8.451,+0.965
1692185220,+3.53,+22.353, +8.429,+0.966
1692185520,+3.53,+22.445, +8.427,+0.966
1692185820,+3.53,+22.529, +8.400,+0.965
1692186120,+3.53,+22.763, +8.359,+0.965
1692186420,+3.53,+23.073, +8.309,+0.965
1692186720,+3.53,+23.441, +8.256,+0.966
1692187020,+3.53,+23.692, +8.232,+0.966
1692187320,+3.53,+24.002, +8.187,+0.966
1692187620,+3.53,+24.388, +8.122,+0.966
1692187920,+3.53,+24.699, +8.079,+0.966
1692188220,+3.53,+24.984, +8.043,+0.967
1692188520,+3.52,+26.079, +7.894,+0.967
1692188820,+3.52,+27.154, +7.743,+0.968
1692189120,+3.52,+27.604, +7.689,+0.968
1692189420,+3.52,+27.919, +7.646,+0.968
1692189720,+3.52,+27.971, +7.642,+0.967
1692190020,+3.52,+27.971, +7.644,+0.967
1692190320,+3.52,+28.013, +7.978,+0.719
1692190620,+3.52,+27.536, +7.696,+0.967
1692190920,+3.53,+26.832, +7.813,+0.968
1692191220,+3.52,+26.240, +7.898,+0.969
1692191520,+3.52,+25.919, +7.921,+0.968
1692191820,+3.52,+25.894, +6.014,+0.967
1692192120,+3.53,+26.646, +3.318,+0.748
1692192420,+3.53,+26.781, +3.249,+0.943
1692192720,+3.52,+26.866, +3.249,+0.941
1692193020,+3.52,+26.934, +3.339,+0.941
1692193320,+3.52,+26.993, +3.549,+0.941
1692193620,+3.52,+27.061, +3.445,+0.941
1692193920,+3.52,+27.137, +3.422,+0.941
1692194220,+3.52,+27.188, +3.463,+0.941
1692194520,+3.52,+27.273, +3.469,+0.941
1692194820,+3.52,+27.341, +3.518,+0.941
1692195120,+3.52,+27.426, +3.515,+0.941
1692195420,+3.52,+27.477, +3.511,+0.941
1692195720,+3.52,+27.536, +3.560,+0.941
1692196020,+3.52,+27.553, +3.557,+0.941
1692196320,+3.52,+27.587, +3.580,+0.941
1692196620,+3.52,+27.596, +3.583,+0.941
1692196920,+3.52,+27.647, +3.585,+0.967
1692197220,+3.52,+27.672, +3.591,+0.967
1692197520,+3.52,+27.698, +3.599,+0.967
1692197820,+3.52,+27.724, +3.601,+0.968
1692198120,+3.53,+27.766, +3.608,+0.967
1692198420,+3.52,+27.775, +3.624,+0.967
1692198720,+3.52,+27.809, +3.644,+0.967
1692199020,+3.52,+27.868, +3.665,+0.968
1692199320,+3.52,+27.902, +3.680,+0.967
1692199620,+3.52,+27.945, +3.692,+0.967
1692199920,+3.52,+27.979, +3.708,+0.967
1692200220,+3.52,+27.971, +3.736,+0.967
1692200520,+3.52,+28.013, +3.760,+0.967
1692200820,+3.52,+28.013, +3.770,+0.967
1692201120,+3.52,+28.030, +3.794,+0.967
1692201420,+3.52,+28.056, +3.825,+0.967
1692201720,+3.52,+28.098, +3.842,+0.967
1692202020,+3.52,+28.150, +3.850,+0.967
1692202320,+3.52,+28.201, +3.881,+0.967
1692202620,+3.52,+28.235, +3.899,+0.967
1692202920,+3.52,+28.303, +3.905,+0.967
1692203220,+3.52,+28.329, +3.929,+0.967
1692203520,+3.52,+28.363, +4.111,+0.968
1692203820,+3.52,+28.355, +7.297,+0.967
1692204120,+3.52,+29.813, +7.214,+0.968
1692204420,+3.52,+30.418, +7.144,+0.972
1692204720,+3.52,+30.782, +7.114,+0.972
1692205020,+3.52,+31.287, +7.045,+0.964
1692205320,+3.52,+31.688, +7.001,+0.964
1692205620,+3.52,+32.021, +6.938,+0.962
1692205920,+3.52,+32.222, +6.935,+0.963
1692206220,+3.52,+32.398, +6.911,+0.963
1692206520,+3.52,+32.407, +6.922,+0.958
1692206820,+3.52,+32.372, +6.913,+0.958
1692207120,+3.52,+32.319, +6.917,+0.965
1692207420,+3.52,+32.328, +6.913,+0.965
1692207720,+3.52,+32.512, +6.893,+0.965
1692208020,+3.52,+32.776, +6.843,+0.963
1692208320,+3.51,+33.050, +6.816,+0.963
1692208620,+3.52,+33.475, +6.759,+0.962
1692208920,+3.52,+33.981, +6.684,+0.961
1692209220,+3.52,+34.382, +6.622,+0.959
1692209520,+3.52,+34.811, +6.561,+0.958
1692209820,+3.51,+35.188, +6.492,+0.956
1692210120,+3.52,+35.737, +6.412,+0.955
1692210420,+3.52,+36.144, +6.346,+0.953
1692210720,+3.51,+36.479, +6.290,+0.951
1692211020,+3.51,+36.479, +6.306,+0.951
