7450-249209
OS REV: 1.05 Sensor Cal: 1678994209
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1692181260,+3.54,+21.465, +8.832,+0.956
1692181560,+3.54,+21.423, +8.839,+0.956
1692181860,+3.54,+21.390, +8.837,+0.956
1692182160,+3.54,+21.340, +8.852,+0.955
1692182460,+3.54,+21.340, +8.851,+0.954
1692182760,+3.54,+21.382, +8.844,+0.956
1692183060,+3.54,+21.432, +8.839,+0.958
1692183360,+3.54,+21.540, +8.836,+0.956
1692183660,+3.54,+21.607, +8.828,+0.956
1692183960,+3.53,+21.716, +8.811,+0.955
1692184260,+3.53,+21.791, +8.801,+0.955
1692184560,+3.53,+21.967, +8.779,+0.957
1692184860,+3.53,+22.150, +8.739,+0.956
1692185160,+3.54,+22.334, +8.715,+0.957
1692185460,+3.54,+22.476, +8.694,+0.957
1692185760,+3.54,+22.552, +8.686,+0.957
1692186060,+3.53,+23.120, +8.587,+0.961
1692186360,+3.53,+23.857, +8.479,+0.962
1692186660,+3.53,+24.360, +8.409,+0.960
1692186960,+3.53,+24.721, +8.348,+0.960
1692187260,+3.53,+26.499, +3.224,+0.958
1692187560,+3.53,+26.956, +3.207,+0.957
1692187860,+3.53,+27.024, +3.064,+0.958
1692188160,+3.53,+26.973, +2.796,+0.957
1692188460,+3.53,+26.947, +2.680,+0.957
1692188760,+3.53,+26.930, +2.637,+0.956
1692189060,+3.53,+26.888, +2.585,+0.957
1692189360,+3.53,+26.888, +2.589,+0.957
1692189660,+3.53,+26.837, +2.611,+0.957
1692189960,+3.53,+26.829, +2.613,+0.957
1692190260,+3.53,+26.837, +2.717,+0.957
1692190560,+3.53,+26.888, +2.842,+0.957
1692190860,+3.53,+26.888, +2.974,+0.957
1692191160,+3.53,+26.914, +3.095,+0.957
1692191460,+3.53,+26.947, +3.195,+0.957
1692191760,+3.53,+26.930, +3.250,+0.957
1692192060,+3.53,+26.939, +3.256,+0.957
1692192360,+3.53,+26.964, +3.338,+0.957
1692192660,+3.53,+26.956, +3.446,+0.957
1692192960,+3.53,+26.998, +3.603,+0.957
1692193260,+3.53,+27.083, +3.723,+0.957
1692193560,+3.53,+27.134, +3.887,+0.957
1692193860,+3.53,+27.219, +4.112,+0.957
1692194160,+3.53,+27.295, +4.253,+0.957
1692194460,+3.52,+27.380, +4.373,+0.957
1692194760,+3.52,+27.448, +4.547,+0.957
1692195060,+3.53,+27.525, +4.770,+0.957
1692195360,+3.53,+27.576, +4.940,+0.957
1692195660,+3.53,+27.618, +5.127,+0.958
1692195960,+3.53,+27.644, +5.311,+0.958
1692196260,+3.53,+27.678, +5.526,+0.958
1692196560,+3.53,+27.695, +5.653,+0.957
1692196860,+3.53,+27.712, +5.959,+0.958
1692197160,+3.53,+27.772, +6.268,+0.958
1692197460,+3.53,+27.806, +6.489,+0.958
1692197760,+3.53,+27.874, +6.602,+0.959
1692198060,+3.53,+27.882, +6.655,+0.959
1692198360,+3.53,+27.933, +6.717,+0.958
1692198660,+3.53,+27.993, +6.902,+0.959
1692198960,+3.53,+28.053, +7.104,+0.958
1692199260,+3.53,+28.121, +7.302,+0.959
1692199560,+3.53,+28.172, +7.381,+0.960
1692199860,+3.53,+28.181, +7.383,+0.959
1692200160,+3.53,+28.138, +7.161,+0.959
1692200460,+3.53,+28.223, +7.439,+0.959
1692200760,+3.53,+28.275, +7.619,+0.959
1692201060,+3.53,+28.249, +7.570,+0.959
1692201360,+3.53,+28.309, +7.709,+0.960
1692201660,+3.52,+28.317, +7.976,+0.959
1692201960,+3.53,+28.360, +8.124,+0.960
1692202260,+3.52,+28.437, +8.446,+0.960
1692202560,+3.52,+28.565, +8.607,+0.960
1692202860,+3.52,+28.522, +8.657,+0.960
1692203160,+3.52,+28.548, +8.570,+0.961
1692203460,+3.53,+28.659, +8.719,+0.960
1692203760,+3.53,+28.694, +8.661,+0.960
1692204060,+3.53,+28.694, +8.700,+0.961
1692204360,+3.53,+28.711, +8.815,+0.961
1692204660,+3.53,+28.813, +9.038,+0.961
1692204960,+3.53,+28.916, +9.091,+0.961
1692205260,+3.53,+28.959, +9.256,+0.961
1692205560,+3.53,+29.105, +9.485,+0.960
1692205860,+3.53,+29.199, +9.627,+0.962
1692206160,+3.53,+29.165, +9.620,+0.961
1692206460,+3.53,+29.277, +9.935,+0.961
1692206760,+3.53,+29.303, +9.960,+0.962
1692207060,+3.53,+29.397, +9.799,+0.962
1692207360,+3.53,+29.320, +9.526,+0.962
1692207660,+3.53,+29.303, +9.192,+0.960
1692207960,+3.53,+29.303, +9.013,+0.960
1692208260,+3.53,+29.337, +9.102,+0.962
1692208560,+3.52,+29.397, +9.125,+0.961
1692208860,+3.52,+29.466, +9.250,+0.961
1692209160,+3.52,+29.466, +9.197,+0.961
1692209460,+3.52,+29.552, +9.435,+0.961
1692209760,+3.52,+29.595, +9.535,+0.961
1692210060,+3.52,+29.638, +9.815,+0.961
1692210360,+3.52,+29.664,+10.037,+0.962
1692210660,+3.53,+29.724,+10.231,+0.962
1692210960,+3.53,+29.724,+10.492,+0.963
1692211260,+3.53,+29.776,+10.395,+0.961
1692211560,+3.53,+29.793,+10.544,+0.964
