7450-137738
OS REV: 1.05 Sensor Cal: 1679088645
Time (sec),  BV (Volts),  T (deg C),  DO (mg/l),  Q ()
1692268440,+3.53,+20.714, +7.994,+0.922
1692268740,+3.53,+20.772, +7.980,+0.923
1692269040,+3.53,+20.998, +7.938,+0.922
1692269340,+3.53,+21.257, +7.893,+0.922
1692269640,+3.53,+21.617, +7.834,+0.922
1692269940,+3.53,+21.968, +7.773,+0.922
1692270240,+3.53,+22.336, +7.717,+0.923
1692270540,+3.53,+22.571, +7.684,+0.923
1692270840,+3.53,+22.730, +7.646,+0.923
1692271140,+3.53,+22.905, +7.617,+0.923
1692271440,+3.53,+23.090, +7.568,+0.922
1692271740,+3.53,+23.232, +7.573,+0.922
1692272040,+3.53,+23.324, +7.533,+0.922
1692272340,+3.53,+23.399, +7.538,+0.922
1692272640,+3.53,+23.517, +7.511,+0.922
1692272940,+3.53,+23.626, +7.481,+0.922
1692273240,+3.53,+23.684, +7.453,+0.922
1692273540,+3.53,+23.684, +7.457,+0.922
1692273840,+3.53,+23.651, +7.474,+0.922
1692274140,+3.53,+23.668, +7.470,+0.922
1692274440,+3.53,+23.735, +7.460,+0.922
1692274740,+3.53,+23.785, +7.450,+0.923
1692275040,+3.53,+23.860, +7.427,+0.922
1692275340,+3.53,+23.911, +7.418,+0.922
1692275640,+3.52,+24.020, +7.395,+0.922
1692275940,+3.52,+24.229, +7.358,+0.922
1692276240,+3.53,+24.439, +7.332,+0.923
1692276540,+3.53,+24.708, +7.300,+0.923
1692276840,+3.53,+24.893, +7.259,+0.922
1692277140,+3.52,+25.053, +7.242,+0.923
1692277440,+3.52,+25.246, +7.213,+0.923
1692277740,+3.53,+25.710, +7.149,+0.923
1692278040,+3.52,+26.461, +7.050,+0.923
1692278340,+3.52,+26.893, +6.977,+0.922
1692278640,+3.52,+27.071, +6.950,+0.923
1692278940,+3.52,+27.275, +6.914,+0.922
1692279240,+3.52,+27.922, +6.820,+0.922
1692279540,+3.52,+28.699, +6.719,+0.922
1692279840,+3.52,+29.256, +6.663,+0.922
1692280140,+3.52,+31.471, +6.393,+0.920
1692280440,+3.52,+32.407, +6.299,+0.919
1692280740,+3.52,+29.772, +5.041,+0.920
1692281040,+3.52,+29.359, +5.330,+0.922
1692281340,+3.52,+29.282, +5.975,+0.922
1692281640,+3.52,+29.273, +6.687,+0.922
1692281940,+3.52,+29.325, +7.433,+0.922
1692282240,+3.52,+29.334, +7.874,+0.924
1692282540,+3.52,+29.445, +8.651,+0.924
1692282840,+3.52,+29.574, +8.960,+0.924
1692283140,+3.52,+29.574, +8.278,+0.923
1692283440,+3.52,+29.643, +7.638,+0.922
1692283740,+3.52,+29.703, +7.609,+0.922
1692284040,+3.52,+29.712, +7.446,+0.923
1692284340,+3.52,+29.738, +7.351,+0.922
1692284640,+3.52,+29.772, +7.293,+0.922
1692284940,+3.52,+29.781, +7.214,+0.923
1692285240,+3.52,+29.798, +7.123,+0.923
1692285540,+3.52,+29.815, +6.998,+0.921
1692285840,+3.52,+29.833, +6.856,+0.922
1692286140,+3.52,+29.850, +6.770,+0.921
1692286440,+3.52,+29.867, +6.738,+0.921
1692286740,+3.52,+29.884, +6.590,+0.921
1692287040,+3.52,+29.910, +6.456,+0.921
1692287340,+3.52,+29.928, +6.474,+0.919
1692287640,+3.52,+29.962, +6.480,+0.920
1692287940,+3.52,+29.979, +6.428,+0.920
1692288240,+3.53,+30.005, +6.255,+0.919
1692288540,+3.52,+30.031, +6.015,+0.919
1692288840,+3.52,+30.031, +5.647,+0.918
1692289140,+3.52,+30.066, +5.286,+0.917
1692289440,+3.52,+30.092, +5.718,+0.917
1692289740,+3.52,+30.135, +5.918,+0.917
1692290040,+3.52,+30.161, +5.824,+0.918
1692290340,+3.52,+30.169, +5.652,+0.918
1692290640,+3.52,+30.204, +5.623,+0.917
1692290940,+3.52,+30.221, +5.571,+0.917
1692291240,+3.52,+30.221, +5.557,+0.917
1692291540,+3.52,+30.385, +6.437,+0.921
1692291840,+3.52,+30.550, +7.902,+0.923
1692292140,+3.52,+30.593, +8.172,+0.922
1692292440,+3.52,+30.645, +8.266,+0.922
1692292740,+3.52,+30.654, +8.406,+0.922
1692293040,+3.52,+30.619, +8.529,+0.922
1692293340,+3.52,+30.645, +9.020,+0.924
1692293640,+3.52,+30.645, +9.192,+0.923
1692293940,+3.52,+30.654, +9.495,+0.923
1692294240,+3.52,+30.637, +9.556,+0.924
1692294540,+3.52,+30.559, +8.677,+0.924
1692294840,+3.52,+30.611, +8.708,+0.923
1692295140,+3.52,+30.645, +8.741,+0.925
1692295440,+3.52,+30.654, +8.765,+0.924
1692295740,+3.52,+30.697, +8.801,+0.925
1692296040,+3.52,+30.663, +8.799,+0.925
1692296340,+3.52,+30.853, +7.315,+0.923
1692296640,+3.52,+33.685, +6.917,+0.919
1692296940,+3.52,+35.982, +6.659,+0.913
1692297240,+3.51,+36.461, +6.586,+0.911
1692297540,+3.51,+36.470, +6.615,+0.911
1692297840,+3.51,+36.479, +6.639,+0.912
1692298140,+3.51,+36.461, +6.634,+0.913
1692298440,+3.51,+36.461, +6.622,+0.912
1692298740,+3.51,+36.470, +6.624,+0.913
1692299040,+3.51,+36.461, +6.635,+0.913
1692299340,+3.51,+36.470, +6.549,+0.912
1692299640,+3.52,+36.361, +6.476,+0.911
1692299940,+3.52,+35.048, +6.673,+0.917
1692300240,+3.52,+33.464, +6.909,+0.922
1692300540,+3.52,+32.600, +7.016,+0.923
1692300840,+3.53,+33.146, +6.923,+0.921
1692301140,+3.52,+33.544, +6.879,+0.921
1692301440,+3.52,+33.863, +6.798,+0.919
1692301740,+3.53,+33.473, +6.843,+0.920
1692302040,+3.52,+32.996, +6.894,+0.921
1692302340,+3.53,+32.539, +6.953,+0.923
1692302640,+3.53,+32.118, +7.014,+0.924
1692302940,+3.52,+31.750, +7.065,+0.924
1692303240,+3.53,+31.445, +7.108,+0.924
1692303540,+3.53,+31.218, +7.120,+0.925
1692303840,+3.53,+31.018, +7.126,+0.924
1692304140,+3.53,+30.836, +7.156,+0.925
1692304440,+3.53,+30.680, +7.176,+0.926
1692304740,+3.53,+30.593, +7.173,+0.925
1692305040,+3.53,+30.593, +7.179,+0.925
1692305340,+3.53,+30.541, +7.192,+0.925
1692305640,+3.53,+30.533, +7.181,+0.925
1692305940,+3.53,+30.550, +7.177,+0.925
1692306240,+3.53,+30.593, +7.165,+0.925
1692306540,+3.53,+30.611, +7.150,+0.925
1692306840,+3.53,+30.671, +7.134,+0.924
1692307140,+3.53,+30.680, +7.121,+0.924
1692307440,+3.53,+30.654, +7.140,+0.926
1692307740,+3.53,+30.515, +7.125,+0.925
1692308040,+3.53,+30.083, +7.202,+0.925
1692308340,+3.53,+29.085, +7.442,+0.926
1692308640,+3.53,+28.400, +7.511,+0.926
1692308940,+3.54,+27.811, +7.571,+0.926
1692309240,+3.53,+27.267, +7.637,+0.927
1692309540,+3.54,+26.809, +7.673,+0.926
1692309840,+3.53,+26.411, +7.728,+0.927
1692310140,+3.54,+26.064, +7.759,+0.927
1692310440,+3.54,+25.735, +7.760,+0.927
1692310740,+3.54,+25.415, +7.789,+0.926
